Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the covid  pandemic in ecuador is part of the worldwide pandemic of coronavirus disease   caused by severe acute respiratory syndrome coronavirus   the virus was reported to have spread to ecuador on  february  when a woman in her s tested positive for the virus ecuador was described in april as emerging as a possible epicentre of the pandemic in latin america with the city of guayaquil overwhelmed to the point where bodies were being left in the street
",covid pandemic ecuador worldwide pandemic coronavirus disease caused severe acute respiratory syndrome coronavirus virus reported spread ecuador february woman tested positive virus ecuador described april emerging possible epicentre pandemic latin america city guayaquil overwhelmed point bodies left street,8.52,"covid,pandemic,ecuador,worldwide,pandemic,coronavirus,disease,caused,severe,acute,respiratory,syndrome,coronavirus,virus,reported,spread,ecuador,february,woman,tested,positive,virus,ecuador,described,april,emerging,possible,epicentre,pandemic,latin,america,city,guayaquil,overwhelmed,point,bodies,left,street",0.00,ecuador
"as of april  ecuador has been distributing cardboard coffins due to the countrys struggle in evacuating the dead bodiesneeds update the government built emergency cemeteries to dispose of the bodies which are left in the streets the pandemic which led to a fall in oil prices had severe economic repercussions for the country
",april ecuador distributing cardboard coffins countrys struggle evacuating dead bodiesneeds update government built emergency cemeteries dispose bodies left streets pandemic led fall oil prices severe economic repercussions country,7.67,"april,ecuador,distributing,cardboard,coffins,countrys,struggle,evacuating,dead,bodiesneeds,update,government,built,emergency,cemeteries,dispose,bodies,left,streets,pandemic,led,fall,oil,prices,severe,economic,repercussions,country",0.00,ecuador
"on  february the minister of public health in ecuador catalina andramuo confirmed the first case of the sars cov  virus in the country  the patient was a woman in her s and an ecuadorian citizen who resided in spain she arrived in guayaquil on  february according to andramuo she had no symptoms when she arrived in the country following her arrival she began experiencing symptoms including a fever and mild muscle pain she was taken to a healthcare facility in serious condition and with reserved prognosis further details about the woman and the hospital where she is located were not disclosed due to security measures also  people who had contact with the infected woman were put under observation
",february minister public health ecuador catalina andramuo confirmed case sars cov virus country patient woman ecuadorian citizen resided spain arrived guayaquil february according andramuo symptoms arrived country following arrival began experiencing symptoms including fever mild muscle pain taken healthcare facility condition reserved prognosis details woman hospital located disclosed security measures people contact infected woman observation,8.96,"february,minister,public,health,ecuador,catalina,andramuo,confirmed,case,sars,cov,virus,country,patient,woman,ecuadorian,citizen,resided,spain,arrived,guayaquil,february,according,andramuo,symptoms,arrived,country,following,arrival,began,experiencing,symptoms,including,fever,mild,muscle,pain,taken,healthcare,facility,condition,reserved,prognosis,details,woman,hospital,located,disclosed,security,measures,people,contact,infected,woman,observation",0.00,ecuador
"on  march andramuo announced that  new cases of the coronavirus had been confirmed in ecuador on  march  new cases were announced by the ministry of health the last report according to the inspi  confirmed a total of  positive cases
",march andramuo announced new cases coronavirus confirmed ecuador march new cases announced ministry health report according inspi confirmed total positive cases,7.73,"march,andramuo,announced,new,cases,coronavirus,confirmed,ecuador,march,new,cases,announced,ministry,health,report,according,inspi,confirmed,total,positive,cases",0.00,ecuador
"on  march the ministry of health in ecuador announced through social media a new case of the coronavirus in the country according to the statement the patient became infected from contact with the first case confirmed in the region at this time there were  confirmed cases in the country
",march ministry health ecuador announced social media new case coronavirus country according statement patient infected contact case confirmed region time confirmed cases country,9.03,"march,ministry,health,ecuador,announced,social,media,new,case,coronavirus,country,according,statement,patient,infected,contact,case,confirmed,region,time,confirmed,cases,country",0.00,ecuador
"on  march the ministry of health in ecuador announced  new cases of the coronavirus in the country these cases are in the provinces of guayas and los ros one of the cases is related to the first case in the country and the other is related to the first case in paraguay
",march ministry health ecuador announced new cases coronavirus country cases provinces guayas los ros cases related case country related case paraguay,11.48,"march,ministry,health,ecuador,announced,new,cases,coronavirus,country,cases,provinces,guayas,los,ros,cases,related,case,country,related,case,paraguay",0.00,ecuador
"on  march ecuadors government announced the closure of its borders from  march to all foreign travelers due to the spread of the coronavirus after local authorities confirmed a second death from the infection vice president otto sonnenholzner in a televised statement said all aerial land and maritime transport into the andean country will be prohibited ecuadorian citizens and foreigners with ecuadorean residency had until the end of  march to return he said ecuador at this point had confirmed  cases of the coronavirus including two deaths and authorities banned all public activities
",march ecuadors government announced closure borders march foreign travelers spread coronavirus local authorities confirmed second death infection vice president otto sonnenholzner televised statement said aerial land maritime transport andean country prohibited ecuadorian citizens foreigners ecuadorean residency end march return said ecuador point confirmed cases coronavirus including deaths authorities banned public activities,6.78,"march,ecuadors,government,announced,closure,borders,march,foreign,travelers,spread,coronavirus,local,authorities,confirmed,second,death,infection,vice,president,otto,sonnenholzner,televised,statement,said,aerial,land,maritime,transport,andean,country,prohibited,ecuadorian,citizens,foreigners,ecuadorean,residency,end,march,return,said,ecuador,point,confirmed,cases,coronavirus,including,deaths,authorities,banned,public,activities",0.00,ecuador
"on  march  cases had been confirmed by the government guayas had  cases los rios  cases pichincha  cases sucumbios  case and azuay  case
citizens of ecuador el salvador per and chile were stranded at benito jurez international airport in mexico city on  march because of the virus  cases of the coronavirus had been confirmed in ecuador including a new case in manta manabi guayas province had  infected los ros province  infected pichincha province  infected sucumbos province  case azuay province  infected and manabi  case
",march cases confirmed government guayas cases los rios cases pichincha cases sucumbios case azuay casecitizens ecuador el salvador chile stranded benito jurez international airport mexico city march virus cases coronavirus confirmed ecuador including new case manta manabi guayas province infected los ros province infected pichincha province infected sucumbos province case azuay province infected manabi case,4.94,"march,cases,confirmed,government,guayas,cases,los,rios,cases,pichincha,cases,sucumbios,case,azuay,casecitizens,ecuador,el,salvador,chile,stranded,benito,jurez,international,airport,mexico,city,march,virus,cases,coronavirus,confirmed,ecuador,including,new,case,manta,manabi,guayas,province,infected,los,ros,province,infected,pichincha,province,infected,sucumbos,province,case,azuay,province,infected,manabi,case",0.00,ecuador
"on  march the ecuadorian government reported  confirmed cases and  deaths
on  march the ecuadorian police moved to dismantle open markets to limit large groups of people coming together on the afternoon of  march the new minister of public health of ecuador juan carlos zevallos announced that  people had recovered
",march ecuadorian government reported confirmed cases deathson march ecuadorian police moved dismantle open markets limit large groups people coming afternoon march new minister public health ecuador juan carlos zevallos announced people recovered,5.38,"march,ecuadorian,government,reported,confirmed,cases,deathson,march,ecuadorian,police,moved,dismantle,open,markets,limit,large,groups,people,coming,afternoon,march,new,minister,public,health,ecuador,juan,carlos,zevallos,announced,people,recovered",0.00,ecuador
"on  april president lenn moreno said that the government was building a special camp for the victims of the coronavirus in guayaquil two thirds of covid  cases of ecuador were reported to be in guayaquil and its surrounding areas and local authorities have ordered cardboard coffins and said that a new cemetery would be opened and freezer units would be used to store the corpses
",april president lenn moreno said government building special camp victims coronavirus guayaquil thirds covid cases ecuador reported guayaquil surrounding areas local authorities ordered cardboard coffins said new cemetery opened freezer units store corpses,8.40,"april,president,lenn,moreno,said,government,building,special,camp,victims,coronavirus,guayaquil,thirds,covid,cases,ecuador,reported,guayaquil,surrounding,areas,local,authorities,ordered,cardboard,coffins,said,new,cemetery,opened,freezer,units,store,corpses",0.00,ecuador
"by  may the situation in guayaquil appeared to have stabilized although it still had  of the total  cases in ecuador however increasing numbers in quito were reported with  coronavirus cases and  deaths registered in the pichincha province
",situation guayaquil appeared stabilized total cases ecuador increasing numbers quito reported coronavirus cases deaths registered pichincha province,8.33,"situation,guayaquil,appeared,stabilized,total,cases,ecuador,increasing,numbers,quito,reported,coronavirus,cases,deaths,registered,pichincha,province",0.00,ecuador
"the financial times estimated that between january and mid may there were over  excess deaths in ecuador  of which were from guayaquil alone
",financial times estimated january mid excess deaths ecuador guayaquil,9.93,"financial,times,estimated,january,mid,excess,deaths,ecuador,guayaquil",0.00,ecuador
"on  july quito surpassed guayaquil in the number of cases becoming the epicenter of the disease in ecuador
",july quito surpassed guayaquil number cases epicenter disease ecuador,8.41,"july,quito,surpassed,guayaquil,number,cases,epicenter,disease,ecuador",0.00,ecuador
"on  august confirmed positive cases were reported in all  provinces with quito being the hardest hit area according to compassion ecuador the indigenous population is particularly vulnerable
",august confirmed positive cases reported provinces quito hardest hit area according compassion ecuador indigenous population particularly vulnerable,5.24,"august,confirmed,positive,cases,reported,provinces,quito,hardest,hit,area,according,compassion,ecuador,indigenous,population,particularly,vulnerable",0.00,ecuador
"the government is paying informal workers  per month to stay at home an estimated  venezuelan migrants in ecuador are especially vulnerable because they do not have access to the stimulus payments the country was already in economic difficulties before the pandemic but the covid  pandemic and fall in oil prices during the pandemic had led to severe economic problems in the country  all government officials and teachers had been asked to take a pay cut a number of national companies such as the national airline tame were liquidated and ecuador was unable to pay its foreign debt the budget deficit for  is expected to be at least bn which is about  per cent of ecuadors gross domestic product a law to make labour law more flexible was also passed government announcement of cuts has led to protests by demonstrators
",government paying informal workers month stay home estimated venezuelan migrants ecuador especially vulnerable access stimulus payments country economic difficulties pandemic covid pandemic fall oil prices pandemic led severe economic problems country government officials teachers asked pay cut number national companies national airline tame liquidated ecuador unable pay foreign debt budget deficit expected bn cent ecuadors gross domestic product law labour law flexible passed government announcement cuts led protests demonstrators,8.52,"government,paying,informal,workers,month,stay,home,estimated,venezuelan,migrants,ecuador,especially,vulnerable,access,stimulus,payments,country,economic,difficulties,pandemic,covid,pandemic,fall,oil,prices,pandemic,led,severe,economic,problems,country,government,officials,teachers,asked,pay,cut,number,national,companies,national,airline,tame,liquidated,ecuador,unable,pay,foreign,debt,budget,deficit,expected,bn,cent,ecuadors,gross,domestic,product,law,labour,law,flexible,passed,government,announcement,cuts,led,protests,demonstrators",0.00,ecuador
