Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"canadians  are people identified with the country of canada this connection may be residential legal historical or cultural for most canadians many  of these connections exist and are collectively the source of their being canadian
",canadians people identified country canada connection residential legal historical cultural canadians connections exist collectively source canadian,8.19,"canadians,people,identified,country,canada,connection,residential,legal,historical,cultural,canadians,connections,exist,collectively,source,canadian",0.00,canada
"canada is a multilingual and multicultural society home to people of groups of many different ethnic religious and national origins with the majority of the population made up of old world immigrants and their descendants following the initial period of french and then the much larger british colonization different waves  of immigration and settlement of non indigenous peoples took place over the course of nearly two centuries and continue today elements of indigenous french british and more recent immigrant customs languages and religions have combined to form the culture of canada and thus a canadian identity canada has also been strongly influenced by its linguistic geographic and economic neighbourthe united states
",canada multilingual multicultural society home people groups different ethnic religious national origins majority population old world immigrants descendants following initial period french larger british colonization different waves immigration settlement non indigenous peoples took place course nearly centuries continue today elements indigenous french british recent immigrant customs languages religions combined form culture canada canadian identity canada strongly influenced linguistic geographic economic neighbourthe united states,6.58,"canada,multilingual,multicultural,society,home,people,groups,different,ethnic,religious,national,origins,majority,population,old,world,immigrants,descendants,following,initial,period,french,larger,british,colonization,different,waves,immigration,settlement,non,indigenous,peoples,took,place,course,nearly,centuries,continue,today,elements,indigenous,french,british,recent,immigrant,customs,languages,religions,combined,form,culture,canada,canadian,identity,canada,strongly,influenced,linguistic,geographic,economic,neighbourthe,united,states",0.00,canada
"as of  canadians make up only  of the worlds total population having relied upon immigration for population growth and social development approximately  of current canadians are first  or second generation immigrants and  of canadian residents in the s were not born in the country statistics canada projects that by  nearly one half of canadians above the age of  will be foreign born or have one foreign born parent indigenous peoples according to the  canadian census numbered at  or  of the countrys  population
",canadians worlds total population relied immigration population growth social development approximately current canadians second generation immigrants canadian residents born country statistics canada projects nearly half canadians age foreign born foreign born parent indigenous peoples according canadian census numbered countrys population,8.14,"canadians,worlds,total,population,relied,immigration,population,growth,social,development,approximately,current,canadians,second,generation,immigrants,canadian,residents,born,country,statistics,canada,projects,nearly,half,canadians,age,foreign,born,foreign,born,parent,indigenous,peoples,according,canadian,census,numbered,countrys,population",0.00,canada
"while the first contact with europeans and indigenous peoples in canada had occurred a century or more before the first group of permanent settlers were the french who founded the new france settlements in present day quebec and ontario and acadia in present day nova scotia and new brunswick during the early part of the th century
",contact europeans indigenous peoples canada occurred century group permanent settlers french founded new france settlements present day quebec ontario acadia present day nova scotia new brunswick early th century,8.41,"contact,europeans,indigenous,peoples,canada,occurred,century,group,permanent,settlers,french,founded,new,france,settlements,present,day,quebec,ontario,acadia,present,day,nova,scotia,new,brunswick,early,th,century",0.00,canada
"the british conquest of new france was preceded by a small number of germans and swedes who settled alongside the scottish in port royal nova scotia while some irish immigrated to the newfoundland colony in the wake of the british conquest of new france in  and the expulsion of the acadians many families from the british colonies in new england moved over into nova scotia and other colonies in canada where the british made farmland available to british settlers on easy terms more settlers arrived during and after the american revolutionary war when approximately  united empire loyalists fled to british north america a large portion of whom settled in new brunswick after the war of  british  scottish and irish immigration was encouraged throughout ruperts land upper canada and lower canada
",british conquest new france preceded small number germans swedes settled alongside scottish port royal nova scotia irish immigrated newfoundland colony wake british conquest new france expulsion acadians families british colonies new england moved nova scotia colonies canada british farmland available british settlers easy terms settlers arrived american revolutionary war approximately united empire loyalists fled british north america large portion settled new brunswick war british scottish irish immigration encouraged ruperts land upper canada lower canada,7.00,"british,conquest,new,france,preceded,small,number,germans,swedes,settled,alongside,scottish,port,royal,nova,scotia,irish,immigrated,newfoundland,colony,wake,british,conquest,new,france,expulsion,acadians,families,british,colonies,new,england,moved,nova,scotia,colonies,canada,british,farmland,available,british,settlers,easy,terms,settlers,arrived,american,revolutionary,war,approximately,united,empire,loyalists,fled,british,north,america,large,portion,settled,new,brunswick,war,british,scottish,irish,immigration,encouraged,ruperts,land,upper,canada,lower,canada",0.00,canada
"between  and  some  immigrants came to the colonies of british north america mainly from the british isles as part of the great migration of canada these new arrivals included some gaelic speaking highland scots displaced by the highland clearances to nova scotia the great famine of ireland of the s significantly increased the pace of irish immigration to prince edward island and the province of canada with over  distressed individuals landing in toronto in  and  descendants of francophone and anglophone northern europeans who arrived in the th th and th centuries are often referred to as old stock canadians
",immigrants came colonies british north america mainly british isles great migration canada new arrivals included gaelic speaking highland scots displaced highland clearances nova scotia great famine ireland significantly increased pace irish immigration prince edward island province canada distressed individuals landing toronto descendants francophone anglophone northern europeans arrived th th th centuries referred old stock canadians,7.14,"immigrants,came,colonies,british,north,america,mainly,british,isles,great,migration,canada,new,arrivals,included,gaelic,speaking,highland,scots,displaced,highland,clearances,nova,scotia,great,famine,ireland,significantly,increased,pace,irish,immigration,prince,edward,island,province,canada,distressed,individuals,landing,toronto,descendants,francophone,anglophone,northern,europeans,arrived,th,th,th,centuries,referred,old,stock,canadians",0.00,canada
"beginning in the late s the immigration of chinese into the colony of vancouver island and colony of british columbia peaked with the onset of the fraser canyon gold rush the chinese immigration act of  eventually placed a head tax on all chinese immigrants in hopes of discouraging chinese immigration after completion of the canadian pacific railway additionally growing south asian immigration into british columbia during the early s led to the continuous journey regulation act of  which indirectly halted indian immigration to canada as later evidenced by the infamous  komagata maru incident
",beginning late immigration chinese colony vancouver island colony british columbia peaked onset fraser canyon gold rush chinese immigration act eventually placed head tax chinese immigrants hopes discouraging chinese immigration completion canadian pacific railway additionally growing south asian immigration british columbia early led continuous journey regulation act indirectly halted indian immigration canada later evidenced infamous komagata maru incident,6.01,"beginning,late,immigration,chinese,colony,vancouver,island,colony,british,columbia,peaked,onset,fraser,canyon,gold,rush,chinese,immigration,act,eventually,placed,head,tax,chinese,immigrants,hopes,discouraging,chinese,immigration,completion,canadian,pacific,railway,additionally,growing,south,asian,immigration,british,columbia,early,led,continuous,journey,regulation,act,indirectly,halted,indian,immigration,canada,later,evidenced,infamous,komagata,maru,incident",0.00,canada
"the population of canada has consistently risen doubling approximately every  years since the establishment of the canadian confederation in  in the mid to late th century canada had a policy of assisting immigrants from europe including an estimated  unwanted home children from britain block settlement communities were established throughout western canada between the late th and early th centuries some were planned and others were spontaneously created by the settlers themselves canada was now receiving a large number of european immigrants predominantly italians germans scandinavians dutch poles and ukrainians
legislative restrictions on immigration  that had favoured british and other european immigrants were amended in the s opening the doors to immigrants from all parts of the world while the s had still seen high levels of immigration by europeans by the s immigrants were increasingly chinese indian vietnamese jamaican and haitian during the late s and early s canada received many american vietnam war draft dissenters throughout the late s and s canadas growing pacific trade brought with it a large influx of south asians who tended to settle in british columbia immigrants of all backgrounds tend to settle in the major urban centres the canadian public as well as the major political parties are tolerant of immigrants
",population canada consistently risen doubling approximately years establishment canadian confederation mid late th century canada policy assisting immigrants europe including estimated unwanted home children britain block settlement communities established western canada late th early th centuries planned spontaneously created settlers canada receiving large number european immigrants predominantly italians germans scandinavians dutch poles ukrainianslegislative restrictions immigration favoured british european immigrants amended opening doors immigrants parts world seen high levels immigration europeans immigrants increasingly chinese indian vietnamese jamaican haitian late early canada received american vietnam war draft dissenters late canadas growing pacific trade brought large influx south asians tended settle british columbia immigrants backgrounds tend settle major urban centres canadian public major political parties tolerant immigrants,6.91,"population,canada,consistently,risen,doubling,approximately,years,establishment,canadian,confederation,mid,late,th,century,canada,policy,assisting,immigrants,europe,including,estimated,unwanted,home,children,britain,block,settlement,communities,established,western,canada,late,th,early,th,centuries,planned,spontaneously,created,settlers,canada,receiving,large,number,european,immigrants,predominantly,italians,germans,scandinavians,dutch,poles,ukrainianslegislative,restrictions,immigration,favoured,british,european,immigrants,amended,opening,doors,immigrants,parts,world,seen,high,levels,immigration,europeans,immigrants,increasingly,chinese,indian,vietnamese,jamaican,haitian,late,early,canada,received,american,vietnam,war,draft,dissenters,late,canadas,growing,pacific,trade,brought,large,influx,south,asians,tended,settle,british,columbia,immigrants,backgrounds,tend,settle,major,urban,centres,canadian,public,major,political,parties,tolerant,immigrants",0.00,canada
"canadian citizenship is typically obtained by birth in canada or by birth or adoption abroad when at least one biological parent or adoptive parent is a canadian citizen who was born in canada or naturalized in canada  it can also be granted to a permanent resident who lives in canada for three out of four years and meets specific requirements canada established its own nationality law in  with the enactment of the canadian citizenship act which took effect on january   the immigration and refugee protection act was passed by the parliament of canada in  as bill c  which replaced the immigration act  as the primary federal legislation regulating immigration prior to the conferring of legal status on canadian citizenship canadas naturalization laws consisted of a multitude of acts beginning with the immigration act of 
",canadian citizenship typically obtained birth canada birth adoption abroad biological parent adoptive parent canadian citizen born canada naturalized canada granted permanent resident lives canada years meets specific requirements canada established nationality law enactment canadian citizenship act took effect january immigration refugee protection act passed parliament canada bill c replaced immigration act primary federal legislation regulating immigration prior conferring legal status canadian citizenship canadas naturalization laws consisted multitude acts beginning immigration act,7.59,"canadian,citizenship,typically,obtained,birth,canada,birth,adoption,abroad,biological,parent,adoptive,parent,canadian,citizen,born,canada,naturalized,canada,granted,permanent,resident,lives,canada,years,meets,specific,requirements,canada,established,nationality,law,enactment,canadian,citizenship,act,took,effect,january,immigration,refugee,protection,act,passed,parliament,canada,bill,c,replaced,immigration,act,primary,federal,legislation,regulating,immigration,prior,conferring,legal,status,canadian,citizenship,canadas,naturalization,laws,consisted,multitude,acts,beginning,immigration,act",0.00,canada
"according to citizenship and immigration canada there are three main classifications for immigrants family class  economic class  and refugee class  in  there were  immigrants in the family class  refugees and  economic immigrants amongst the  total immigrants to the country canada resettles over one in  of the worlds refugees and has one of the highest per capita immigration rates in the world
",according citizenship immigration canada main classifications immigrants family class economic class refugee class immigrants family class refugees economic immigrants total immigrants country canada resettles worlds refugees highest capita immigration rates world,7.54,"according,citizenship,immigration,canada,main,classifications,immigrants,family,class,economic,class,refugee,class,immigrants,family,class,refugees,economic,immigrants,total,immigrants,country,canada,resettles,worlds,refugees,highest,capita,immigration,rates,world",0.00,canada
