Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"canberra  kan br  ngunnawal ngambri
is the capital city of australia founded following the federation of the colonies of australia as the seat of government for the new nation it is australias largest inland city and the eighth largest australian city overall the city is located at the northern end of the australian capital territory at the northern tip of the australian alps the countrys highest mountain range as of june update canberras estimated population was 
",canberra kan br ngunnawal ngambriis capital city australia founded following federation colonies australia seat government new nation australias largest inland city eighth largest australian city overall city located northern end australian capital territory northern tip australian alps countrys highest mountain range june update canberras estimated population,6.40,"canberra,kan,br,ngunnawal,ngambriis,capital,city,australia,founded,following,federation,colonies,australia,seat,government,new,nation,australias,largest,inland,city,eighth,largest,australian,city,overall,city,located,northern,end,australian,capital,territory,northern,tip,australian,alps,countrys,highest,mountain,range,june,update,canberras,estimated,population",0.00,canberra
"the area chosen for the capital had been inhabited by indigenous australians for up to  years with the principal group being the ngunnawal people european settlement commenced in the first half of the th century as evidenced by surviving landmarks such as st johns anglican church and blundells cottage on  january  federation of the colonies of australia was achieved following a long dispute over whether sydney or melbourne should be the national capital a compromise was reached the new capital would be built in new south wales so long as it was at least  mi  from sydney the capital city was founded and formally named as canberra in  a blueprint by american architects walter burley griffin and marion mahony griffin was selected after an international design contest and construction commenced in  unusual among australian cities it is an entirely planned city the griffins plan featured geometric motifs and was centred on axes aligned with significant topographical landmarks such as black mountain mount ainslie capital hill and city hill canberras mountainous location makes it the only mainland australian city where snow capped mountains can be seen in winter although snow in the city itself is uncommon
",area chosen capital inhabited indigenous australians years principal group ngunnawal people european settlement commenced half th century evidenced surviving landmarks st johns anglican church blundells cottage january federation colonies australia achieved following long dispute sydney melbourne national capital compromise reached new capital built new south wales long mi sydney capital city founded formally named canberra blueprint american architects walter burley griffin marion mahony griffin selected international design contest construction commenced unusual australian cities entirely planned city griffins plan featured geometric motifs centred axes aligned significant topographical landmarks black mountain mount ainslie capital hill city hill canberras mountainous location makes mainland australian city snow capped mountains seen winter snow city uncommon,6.97,"area,chosen,capital,inhabited,indigenous,australians,years,principal,group,ngunnawal,people,european,settlement,commenced,half,th,century,evidenced,surviving,landmarks,st,johns,anglican,church,blundells,cottage,january,federation,colonies,australia,achieved,following,long,dispute,sydney,melbourne,national,capital,compromise,reached,new,capital,built,new,south,wales,long,mi,sydney,capital,city,founded,formally,named,canberra,blueprint,american,architects,walter,burley,griffin,marion,mahony,griffin,selected,international,design,contest,construction,commenced,unusual,australian,cities,entirely,planned,city,griffins,plan,featured,geometric,motifs,centred,axes,aligned,significant,topographical,landmarks,black,mountain,mount,ainslie,capital,hill,city,hill,canberras,mountainous,location,makes,mainland,australian,city,snow,capped,mountains,seen,winter,snow,city,uncommon",0.00,canberra
"as the seat of the government of australia canberra is home to many important institutions of the federal government national monuments and museums this includes parliament house government house the high court and the headquarters of numerous government agencies it is the location of many social and cultural institutions of national significance such as the australian war memorial the australian national university the royal australian mint the australian institute of sport the national gallery the national museum and the national library the city is home to many important institutions of the australian defence force including the royal military college duntroon and the australian defence force academy it hosts all foreign embassies in australia as well as regional headquarters of many international organisations not for profit groups lobbying groups and professional associations
",seat government australia canberra home important institutions federal government national monuments museums includes parliament house government house high court headquarters numerous government agencies location social cultural institutions national significance australian war memorial australian national university royal australian mint australian institute sport national gallery national museum national library city home important institutions australian defence force including royal military college duntroon australian defence force academy hosts foreign embassies australia regional headquarters international organisations profit groups lobbying groups professional associations,6.04,"seat,government,australia,canberra,home,important,institutions,federal,government,national,monuments,museums,includes,parliament,house,government,house,high,court,headquarters,numerous,government,agencies,location,social,cultural,institutions,national,significance,australian,war,memorial,australian,national,university,royal,australian,mint,australian,institute,sport,national,gallery,national,museum,national,library,city,home,important,institutions,australian,defence,force,including,royal,military,college,duntroon,australian,defence,force,academy,hosts,foreign,embassies,australia,regional,headquarters,international,organisations,profit,groups,lobbying,groups,professional,associations",0.00,canberra
"canberra has been ranked among the worlds best cities to live and visit although the commonwealth government remains the largest single employer in canberra it is no longer the majority employer other major industries have developed in the city including in health care professional services education and training retail accommodation and food and construction compared to the national averages the unemployment rate is lower and the average income higher tertiary education levels are higher while the population is younger at the  census  of canberras inhabitants were reported as having been born overseas
",canberra ranked worlds best cities live visit commonwealth government remains largest single employer canberra longer majority employer major industries developed city including health care professional services education training retail accommodation food construction compared national averages unemployment rate lower average income higher tertiary education levels higher population younger census canberras inhabitants reported born overseas,6.39,"canberra,ranked,worlds,best,cities,live,visit,commonwealth,government,remains,largest,single,employer,canberra,longer,majority,employer,major,industries,developed,city,including,health,care,professional,services,education,training,retail,accommodation,food,construction,compared,national,averages,unemployment,rate,lower,average,income,higher,tertiary,education,levels,higher,population,younger,census,canberras,inhabitants,reported,born,overseas",0.00,canberra
"canberras design is influenced by the garden city movement and incorporates significant areas of natural vegetation its design can be viewed from its highest point at the telstra tower and the summit of mount ainslie other notable features include the national arboretum born out of the  canberra bushfires and lake burley griffin named for the citys architects highlights in the annual calendar of cultural events include floriade the largest flower festival in the southern hemisphere the enlighten festival skyfire the national multicultural festival and summernats canberras main sporting venues are canberra stadium and manuka oval the city is served with domestic and international flights at canberra airport while interstate train and coach services depart from canberra railway station and the jolimont centre respectively city interchange is the main hub of canberras bus and light rail transport network
",canberras design influenced garden city movement incorporates significant areas natural vegetation design viewed highest point telstra tower summit mount ainslie notable features include national arboretum born canberra bushfires lake burley griffin named citys architects highlights annual calendar cultural events include floriade largest flower festival southern hemisphere enlighten festival skyfire national multicultural festival summernats canberras main sporting venues canberra stadium manuka oval city served domestic international flights canberra airport interstate train coach services depart canberra railway station jolimont centre respectively city interchange main hub canberras bus light rail transport network,5.25,"canberras,design,influenced,garden,city,movement,incorporates,significant,areas,natural,vegetation,design,viewed,highest,point,telstra,tower,summit,mount,ainslie,notable,features,include,national,arboretum,born,canberra,bushfires,lake,burley,griffin,named,citys,architects,highlights,annual,calendar,cultural,events,include,floriade,largest,flower,festival,southern,hemisphere,enlighten,festival,skyfire,national,multicultural,festival,summernats,canberras,main,sporting,venues,canberra,stadium,manuka,oval,city,served,domestic,international,flights,canberra,airport,interstate,train,coach,services,depart,canberra,railway,station,jolimont,centre,respectively,city,interchange,main,hub,canberras,bus,light,rail,transport,network",0.00,canberra
"the word canberra is derived from the name of a local ngunnawal clan who resided in the area and were referred to by the early british colonists as either the canberry or nganbra tribe joshua john moore the first european land owner in the region named his grant canberry in  after these people canberry creek and canberry first appeared on regional maps from  while the derivative name canberra started to appear from around 
",word canberra derived local ngunnawal clan resided area referred early british colonists canberry nganbra tribe joshua john moore european land owner region named grant canberry people canberry creek canberry appeared regional maps derivative canberra started appear,8.67,"word,canberra,derived,local,ngunnawal,clan,resided,area,referred,early,british,colonists,canberry,nganbra,tribe,joshua,john,moore,european,land,owner,region,named,grant,canberry,people,canberry,creek,canberry,appeared,regional,maps,derivative,canberra,started,appear",0.00,canberra
"numerous local commentators including the ngunnawal elder don bell have speculated upon possible meanings of canberra over the years these include meeting place womans breasts and the hollow between a womans breasts
",numerous local commentators including ngunnawal elder bell speculated possible meanings canberra years include meeting place womans breasts hollow womans breasts,5.56,"numerous,local,commentators,including,ngunnawal,elder,bell,speculated,possible,meanings,canberra,years,include,meeting,place,womans,breasts,hollow,womans,breasts",0.00,canberra
"alternative proposals for the name of the city during its planning included austral australville aurora captain cook caucus city cookaburra dampier eden eucalypta flinders gonebroke home hopetoun kangaremu myola meladneyperbane new era olympus paradise shakespeare sydmelperadbrisho swindleville the national city union city unison wattleton wheatwoolgold yass canberra
",alternative proposals city planning included austral australville aurora captain cook caucus city cookaburra dampier eden eucalypta flinders gonebroke home hopetoun kangaremu myola meladneyperbane new era olympus paradise shakespeare sydmelperadbrisho swindleville national city union city unison wattleton wheatwoolgold yass canberra,2.16,"alternative,proposals,city,planning,included,austral,australville,aurora,captain,cook,caucus,city,cookaburra,dampier,eden,eucalypta,flinders,gonebroke,home,hopetoun,kangaremu,myola,meladneyperbane,new,era,olympus,paradise,shakespeare,sydmelperadbrisho,swindleville,national,city,union,city,unison,wattleton,wheatwoolgold,yass,canberra",0.00,canberra
"before british colonisation the area in which canberra would eventually be constructed was inhabited by indigenous australians anthropologist norman tindale suggested the principal group occupying the region were the ngunnawal people while the ngarigo lived immediately to the south of the act the wandandian to the east the walgulu also to the south gandangara people to the north and wiradjuri to the north west
",british colonisation area canberra eventually constructed inhabited indigenous australians anthropologist norman tindale suggested principal group occupying region ngunnawal people ngarigo lived immediately south act wandandian east walgulu south gandangara people north wiradjuri north west,7.25,"british,colonisation,area,canberra,eventually,constructed,inhabited,indigenous,australians,anthropologist,norman,tindale,suggested,principal,group,occupying,region,ngunnawal,people,ngarigo,lived,immediately,south,act,wandandian,east,walgulu,south,gandangara,people,north,wiradjuri,north,west",0.00,canberra
"the first british settlers into the canberra area described two clans of ngunnawal people resident to the vicinity the canberry or nganbra clan lived mostly around sullivans creek and had ceremonial grounds at the base of black mountain while the pialligo clan had land around what is now canberra airport
",british settlers canberra area described clans ngunnawal people resident vicinity canberry nganbra clan lived sullivans creek ceremonial grounds base black mountain pialligo clan land canberra airport,7.84,"british,settlers,canberra,area,described,clans,ngunnawal,people,resident,vicinity,canberry,nganbra,clan,lived,sullivans,creek,ceremonial,grounds,base,black,mountain,pialligo,clan,land,canberra,airport",0.00,canberra
