Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"chandigarh  is a union territory and planned city in india chandigarh is bordered by the state of punjab to the north west and the south and by the state of haryana to the east the states for which it serves as the capital it constitutes the bulk of the chandigarh capital region or greater chandigarh which also includes the adjacent satellite cities of panchkula and mohali it is located  km  north of new delhi and  km  southeast of amritsar
",chandigarh union territory planned city india chandigarh bordered state punjab north west south state haryana east states serves capital constitutes bulk chandigarh capital region greater chandigarh includes adjacent satellite cities panchkula mohali located km north new delhi km southeast amritsar,8.76,"chandigarh,union,territory,planned,city,india,chandigarh,bordered,state,punjab,north,west,south,state,haryana,east,states,serves,capital,constitutes,bulk,chandigarh,capital,region,greater,chandigarh,includes,adjacent,satellite,cities,panchkula,mohali,located,km,north,new,delhi,km,southeast,amritsar",0.00,chandigarh
"chandigarh is one of the earliest planned cities in post independence india and is internationally known for its architecture and urban design the master plan of the city was prepared by swiss french architect le corbusier which built upon earlier plans created by the polish architect maciej nowicki and the american planner albert mayer most of the government buildings and housing in the city were designed by a team headed by le corbusier jane drew and maxwell fry chandigarhs capitol complexas part of a global ensemble of corbusiers buildingswas declared a world heritage site by unesco at the th session of the world heritage conference in july 
",chandigarh earliest planned cities post independence india internationally known architecture urban design master plan city prepared swiss french architect le corbusier built earlier plans created polish architect maciej nowicki american planner albert mayer government buildings housing city designed team headed le corbusier jane drew maxwell fry chandigarhs capitol complexas global ensemble corbusiers buildingswas declared world heritage site unesco th session world heritage conference july,6.58,"chandigarh,earliest,planned,cities,post,independence,india,internationally,known,architecture,urban,design,master,plan,city,prepared,swiss,french,architect,le,corbusier,built,earlier,plans,created,polish,architect,maciej,nowicki,american,planner,albert,mayer,government,buildings,housing,city,designed,team,headed,le,corbusier,jane,drew,maxwell,fry,chandigarhs,capitol,complexas,global,ensemble,corbusiers,buildingswas,declared,world,heritage,site,unesco,th,session,world,heritage,conference,july",0.00,chandigarh
"chandigarh has grown greatly since its initial construction and has also driven the development of two satellite cities in its neighbouring states the metropolitan area of chandigarh mohali and panchkula collectively forms a tri city with a combined population of over  the city has one of the highest per capita incomes in the country the union territory has one of the highest human development index among indian states and territories in  a survey by lg electronics ranked it as the happiest city in india on the happiness index  in  an article published by bbc named chandigarh one of the few master planned cities in the world to have succeeded in terms of combining monumental architecture cultural growth and modernisation
",chandigarh grown greatly initial construction driven development satellite cities neighbouring states metropolitan area chandigarh mohali panchkula collectively forms tri city combined population city highest capita incomes country union territory highest human development index indian states territories survey lg electronics ranked happiest city india happiness index article published bbc named chandigarh master planned cities world succeeded terms combining monumental architecture cultural growth modernisation,7.80,"chandigarh,grown,greatly,initial,construction,driven,development,satellite,cities,neighbouring,states,metropolitan,area,chandigarh,mohali,panchkula,collectively,forms,tri,city,combined,population,city,highest,capita,incomes,country,union,territory,highest,human,development,index,indian,states,territories,survey,lg,electronics,ranked,happiest,city,india,happiness,index,article,published,bbc,named,chandigarh,master,planned,cities,world,succeeded,terms,combining,monumental,architecture,cultural,growth,modernisation",0.00,chandigarh
"the name chandigarh is a compound of chandi and garh chandi refers to the hindu goddess chandi and garh means fortress the name is derived from chandi mandir an ancient temple devoted to the hindu goddess chandi near the city in panchkula district
",chandigarh compound chandi garh chandi refers hindu goddess chandi garh means fortress derived chandi mandir ancient temple devoted hindu goddess chandi near city panchkula district,7.26,"chandigarh,compound,chandi,garh,chandi,refers,hindu,goddess,chandi,garh,means,fortress,derived,chandi,mandir,ancient,temple,devoted,hindu,goddess,chandi,near,city,panchkula,district",0.00,chandigarh
"the motif or sobriquet of the city of beauty was derived from the city beautiful movement which was a popular philosophy in north american urban planning during the s and s architect albert mayer the initial planner of chandigarh lamented the american rejection of city beautiful concepts and declared we want to create a beautiful city the phrase was used as a logo in official publications in the s and is now how the city describes itself
",motif sobriquet city beauty derived city beautiful movement popular philosophy north american urban planning architect albert mayer initial planner chandigarh lamented american rejection city beautiful concepts declared want create beautiful city phrase logo official publications city describes,9.05,"motif,sobriquet,city,beauty,derived,city,beautiful,movement,popular,philosophy,north,american,urban,planning,architect,albert,mayer,initial,planner,chandigarh,lamented,american,rejection,city,beautiful,concepts,declared,want,create,beautiful,city,phrase,logo,official,publications,city,describes",0.00,chandigarh
"as part of the partition of india in  the former british province of punjab was divided into two parts the mostly hindu and sikh east punjab in india and the mostly muslim west punjab in pakistan the capital of undivided punjab lahore had become part of pakistan after the partition instead of shifting the capital to an already existing and established city jawaharlal nehru the first prime minister of india envisioned an altogether new and modern city to be built to serve as the capital of punjab partap singh kairon then the chief minister of east punjab and edward nirmal mangat rai then the chief secretary of east punjab were instrumental in creating chandigarh as the capital of the state in  the american planner and architect albert mayer was commissioned to design a new city to be called chandigarh the government carved out chandigarh from about fifty puadhi speaking villages in the then state of east punjab india shimla was the temporary capital of the state until chandigarh was completed
",partition india british province punjab divided parts hindu sikh east punjab india muslim west punjab pakistan capital undivided punjab lahore pakistan partition instead shifting capital existing established city jawaharlal nehru prime minister india envisioned altogether new modern city built serve capital punjab partap singh kairon chief minister east punjab edward nirmal mangat rai chief secretary east punjab instrumental creating chandigarh capital state american planner architect albert mayer commissioned design new city called chandigarh government carved chandigarh puadhi speaking villages state east punjab india shimla temporary capital state chandigarh completed,8.04,"partition,india,british,province,punjab,divided,parts,hindu,sikh,east,punjab,india,muslim,west,punjab,pakistan,capital,undivided,punjab,lahore,pakistan,partition,instead,shifting,capital,existing,established,city,jawaharlal,nehru,prime,minister,india,envisioned,altogether,new,modern,city,built,serve,capital,punjab,partap,singh,kairon,chief,minister,east,punjab,edward,nirmal,mangat,rai,chief,secretary,east,punjab,instrumental,creating,chandigarh,capital,state,american,planner,architect,albert,mayer,commissioned,design,new,city,called,chandigarh,government,carved,chandigarh,puadhi,speaking,villages,state,east,punjab,india,shimla,temporary,capital,state,chandigarh,completed",0.00,chandigarh
"albert mayer developed a superblock based city interspersed with green spaces with an emphasis on cellular neighbourhoods and traffic segregation his site plan took advantage of natural land characteristics the lands gentle grade promoted proper drainage mayer stopped his work on the city after his architect partner matthew nowicki died in a plane crash in  government officials recruited le corbusier to succeed mayer and nowicki who utilized many elements of mayers original plan without attributing them to him
le corbusier designed many administration buildings including the high court the palace of assembly and the secretariat building le corbusier also designed the general layout of the city dividing it into sectors chandigarh hosts the largest of le corbusiers many open hand sculptures standing  metres high the open hand  is a recurring motif in le corbusiers architecture a sign for him of peace and reconciliation it is open to give and open to receive it represents what le corbusier called the second machine age two of the six monuments planned in the capitol complex which has the high court the assembly and the secretariat remain incomplete these include geometric hill and martyrs memorial drawings were made and they were begun in  but they were never completed
",albert mayer developed superblock based city interspersed green spaces emphasis cellular neighbourhoods traffic segregation site plan took advantage natural land characteristics lands gentle grade promoted proper drainage mayer stopped work city architect partner matthew nowicki died plane crash government officials recruited le corbusier succeed mayer nowicki utilized elements mayers original plan attributing himle corbusier designed administration buildings including high court palace assembly secretariat building le corbusier designed general layout city dividing sectors chandigarh hosts largest le corbusiers open hand sculptures standing metres high open hand recurring motif le corbusiers architecture sign peace reconciliation open open receive represents le corbusier called second machine age monuments planned capitol complex high court assembly secretariat remain incomplete include geometric hill martyrs memorial drawings begun completed,6.45,"albert,mayer,developed,superblock,based,city,interspersed,green,spaces,emphasis,cellular,neighbourhoods,traffic,segregation,site,plan,took,advantage,natural,land,characteristics,lands,gentle,grade,promoted,proper,drainage,mayer,stopped,work,city,architect,partner,matthew,nowicki,died,plane,crash,government,officials,recruited,le,corbusier,succeed,mayer,nowicki,utilized,elements,mayers,original,plan,attributing,himle,corbusier,designed,administration,buildings,including,high,court,palace,assembly,secretariat,building,le,corbusier,designed,general,layout,city,dividing,sectors,chandigarh,hosts,largest,le,corbusiers,open,hand,sculptures,standing,metres,high,open,hand,recurring,motif,le,corbusiers,architecture,sign,peace,reconciliation,open,open,receive,represents,le,corbusier,called,second,machine,age,monuments,planned,capitol,complex,high,court,assembly,secretariat,remain,incomplete,include,geometric,hill,martyrs,memorial,drawings,begun,completed",0.00,chandigarh
"the capital city was officially shifted from shimla to chandigarh on  september  though chandigarh was formally inaugurated by indias first president rajendra prasad on  october 
",capital city officially shifted shimla chandigarh september chandigarh formally inaugurated indias president rajendra prasad october,5.59,"capital,city,officially,shifted,shimla,chandigarh,september,chandigarh,formally,inaugurated,indias,president,rajendra,prasad,october",0.00,chandigarh
"during excavations at the time of the building of the city some indus valley artefacts were discovered suggesting that the area that is today chandigarh was home to some settlements of the indus valley civilisation
on  november  after a long drawn movement demanding the formation of a punjabi state the former state of punjab was split in two the western and northern mostly punjabi speaking portion became the present day state of punjab while the eastern and southern hindi  and haryanvi speaking areas became haryana chandigarh ended up being located on the border of the two states and both of them moved to incorporate the city into their respective territories however the city of chandigarh was controlled directly by the central government and was to serve as the shared capital of the two states until a resolution could be reached
",excavations time building city indus valley artefacts discovered suggesting area today chandigarh home settlements indus valley civilisationon november long drawn movement demanding formation punjabi state state punjab split western northern punjabi speaking portion present day state punjab eastern southern hindi haryanvi speaking areas haryana chandigarh ended located border states moved incorporate city respective territories city chandigarh controlled directly central government serve shared capital states resolution reached,8.79,"excavations,time,building,city,indus,valley,artefacts,discovered,suggesting,area,today,chandigarh,home,settlements,indus,valley,civilisationon,november,long,drawn,movement,demanding,formation,punjabi,state,state,punjab,split,western,northern,punjabi,speaking,portion,present,day,state,punjab,eastern,southern,hindi,haryanvi,speaking,areas,haryana,chandigarh,ended,located,border,states,moved,incorporate,city,respective,territories,city,chandigarh,controlled,directly,central,government,serve,shared,capital,states,resolution,reached",0.00,chandigarh
"present day chandigarh was also the site of a short lived late th century principality with a small fort at mani majra as of  many villages that predate the city are still inhabited within the modern blocks of some sectors including burail and ottawa while several other such villages lie on the margins of the city
",present day chandigarh site short lived late th century principality small fort mani majra villages predate city inhabited modern blocks sectors including burail ottawa villages lie margins city,8.86,"present,day,chandigarh,site,short,lived,late,th,century,principality,small,fort,mani,majra,villages,predate,city,inhabited,modern,blocks,sectors,including,burail,ottawa,villages,lie,margins,city",0.00,chandigarh
