Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"chhattisgarh  is a landlocked state in central india it is the ninth largest state by area and with a population of roughly  million the seventeenth most populous it borders seven states  uttar pradesh to the north madhya pradesh to the northwest maharashtra to the southwest jharkhand to the northeast odisha to the east telangana and andhra pradesh to the south formerly a part of madhya pradesh it was granted statehood on  november  with raipur as the designated state capital
",chhattisgarh landlocked state central india ninth largest state area population roughly million seventeenth populous borders seven states uttar pradesh north madhya pradesh northwest maharashtra southwest jharkhand northeast odisha east telangana andhra pradesh south madhya pradesh granted statehood november raipur designated state capital,7.69,"chhattisgarh,landlocked,state,central,india,ninth,largest,state,area,population,roughly,million,seventeenth,populous,borders,seven,states,uttar,pradesh,north,madhya,pradesh,northwest,maharashtra,southwest,jharkhand,northeast,odisha,east,telangana,andhra,pradesh,south,madhya,pradesh,granted,statehood,november,raipur,designated,state,capital",0.00,chhattisgarh
"chhattisgarh is one of the fastest developing states in india its gross state domestic product  is  lakh crore  with a per capita gsdp of   a resource rich state it has the third largest coal reserves in the country and provides electricity coal and steel to the rest of the nation it also has the third largest forest cover in the country after madhya pradesh and arunachal pradesh with over  of the state covered by forests
",chhattisgarh fastest developing states india gross state domestic product lakh crore capita gsdp resource rich state largest coal reserves country provides electricity coal steel rest nation largest forest cover country madhya pradesh arunachal pradesh state covered forests,8.92,"chhattisgarh,fastest,developing,states,india,gross,state,domestic,product,lakh,crore,capita,gsdp,resource,rich,state,largest,coal,reserves,country,provides,electricity,coal,steel,rest,nation,largest,forest,cover,country,madhya,pradesh,arunachal,pradesh,state,covered,forests",0.00,chhattisgarh
"there are several theories as to the origin of the name chhattisgarh which in ancient times was known as dakshina kosala  the native place of bhagwan rama as his mother name was kausalya daughter of kaushal nareshcitation needed chhattisgarh was popularised later during the time of the maratha empire and was first used in an official document in 
",theories origin chhattisgarh ancient times known dakshina kosala native place bhagwan rama mother kausalya daughter kaushal nareshcitation needed chhattisgarh popularised later time maratha empire official document,9.17,"theories,origin,chhattisgarh,ancient,times,known,dakshina,kosala,native,place,bhagwan,rama,mother,kausalya,daughter,kaushal,nareshcitation,needed,chhattisgarh,popularised,later,time,maratha,empire,official,document",0.00,chhattisgarh
"the most popular theory claims that chhattisgarh takes its name from the  ancient forts  in the areacitation needed  the old state had  demesnes  ratanpur vijaypur kharound maro kautgarh nawagarh sondhi aukhar padarbhatta semriya champa lafa chhuri kenda matin aparora pendra kurkuti kandri raipur patan simaga singarpur lavan omera durg saradha sirasa menhadi khallari sirpur figeswar rajim singhangarh suvarmar tenganagarh and akaltara however most historians disagree with this theory as  forts have not been found and identified
",popular theory claims chhattisgarh takes ancient forts areacitation needed old state demesnes ratanpur vijaypur kharound maro kautgarh nawagarh sondhi aukhar padarbhatta semriya champa lafa chhuri kenda matin aparora pendra kurkuti kandri raipur patan simaga singarpur lavan omera durg saradha sirasa menhadi khallari sirpur figeswar rajim singhangarh suvarmar tenganagarh akaltara historians disagree theory forts found identified,3.94,"popular,theory,claims,chhattisgarh,takes,ancient,forts,areacitation,needed,old,state,demesnes,ratanpur,vijaypur,kharound,maro,kautgarh,nawagarh,sondhi,aukhar,padarbhatta,semriya,champa,lafa,chhuri,kenda,matin,aparora,pendra,kurkuti,kandri,raipur,patan,simaga,singarpur,lavan,omera,durg,saradha,sirasa,menhadi,khallari,sirpur,figeswar,rajim,singhangarh,suvarmar,tenganagarh,akaltara,historians,disagree,theory,forts,found,identified",0.00,chhattisgarh
"according to the opinion of hiralal it is said that at one time there were  strongholds in this area that is why its name was chhattisgarh but even after the increase in the number of strongholds there was no change in the name chhattisgarh is the state of india which has been given the status of mahtari  there are two regions in india which are named for special reasons  one was magadha which became bihar due to the abundance of buddhism viharas and the other was dakshina kosala which became chhattisgarh due to the inclusion of thirty six strongholds
",according opinion hiralal said time strongholds area chhattisgarh increase number strongholds change chhattisgarh state india given status mahtari regions india named special reasons magadha bihar abundance buddhism viharas dakshina kosala chhattisgarh inclusion thirty strongholds,11.65,"according,opinion,hiralal,said,time,strongholds,area,chhattisgarh,increase,number,strongholds,change,chhattisgarh,state,india,given,status,mahtari,regions,india,named,special,reasons,magadha,bihar,abundance,buddhism,viharas,dakshina,kosala,chhattisgarh,inclusion,thirty,strongholds",0.00,chhattisgarh
"another view more popular with experts and historians is that chhattisgarh is the corrupted form of chedisgarh meaning raj or empire of the chediscitation needed in ancient times chhattisgarh region had been part of the chedi dynasty of kalinga in modern odisha in the medieval period up to  a major portion of present eastern chhattisgarh was part of the sambalpur kingdom of odisha
",view popular experts historians chhattisgarh corrupted form chedisgarh meaning raj empire chediscitation needed ancient times chhattisgarh region chedi dynasty kalinga modern odisha medieval period major portion present eastern chhattisgarh sambalpur kingdom odisha,8.07,"view,popular,experts,historians,chhattisgarh,corrupted,form,chedisgarh,meaning,raj,empire,chediscitation,needed,ancient,times,chhattisgarh,region,chedi,dynasty,kalinga,modern,odisha,medieval,period,major,portion,present,eastern,chhattisgarh,sambalpur,kingdom,odisha",0.00,chhattisgarh
"sitabega caves are one of the earliest examples of theatre architecture in india located on ramgarh hill of chhattisgarh dated to mauryan period of rd century bce jogimara caves contain ancient brahmi inscription and the oldest painting known in india the inscription can be translated as either a love proclamation by a girl or a dancer painter creating a cave theatre together in ancient times this region was known as dakshina kosala this area is also mentioned in ramayana and mahabharata one of the earliest statues of vishnu has been excavated from shunga period site at malhar 
",sitabega caves earliest examples theatre architecture india located ramgarh hill chhattisgarh dated mauryan period rd century bce jogimara caves contain ancient brahmi inscription oldest painting known india inscription translated love proclamation girl dancer painter creating cave theatre ancient times region known dakshina kosala area mentioned ramayana mahabharata earliest statues vishnu excavated shunga period site malhar,7.18,"sitabega,caves,earliest,examples,theatre,architecture,india,located,ramgarh,hill,chhattisgarh,dated,mauryan,period,rd,century,bce,jogimara,caves,contain,ancient,brahmi,inscription,oldest,painting,known,india,inscription,translated,love,proclamation,girl,dancer,painter,creating,cave,theatre,ancient,times,region,known,dakshina,kosala,area,mentioned,ramayana,mahabharata,earliest,statues,vishnu,excavated,shunga,period,site,malhar",0.00,chhattisgarh
"between the sixth and twelfth centuries sharabhpurias panduvanshis  somavanshi kalachuri and nagavanshi rulers dominated this region the bastar region of chhattisgarh was invaded by rajendra chola i and kulothunga chola i of the chola dynasty in the th century
",sixth twelfth centuries sharabhpurias panduvanshis somavanshi kalachuri nagavanshi rulers dominated region bastar region chhattisgarh invaded rajendra chola kulothunga chola chola dynasty th century,6.13,"sixth,twelfth,centuries,sharabhpurias,panduvanshis,somavanshi,kalachuri,nagavanshi,rulers,dominated,region,bastar,region,chhattisgarh,invaded,rajendra,chola,kulothunga,chola,chola,dynasty,th,century",0.00,chhattisgarh
"chhattisgarh was under maratha rule  from  to  ce they came under british rule from  to  as the chhattisgarh division of the central provinces raipur gained prominence over the capital ratanpur with the advent of the british in  in  the sambalpur district was transferred to odisha and the estates of surguja were transferred from bengal to chhattisgarh
",chhattisgarh maratha rule ce came british rule chhattisgarh division central provinces raipur gained prominence capital ratanpur advent british sambalpur district transferred odisha estates surguja transferred bengal chhattisgarh,8.19,"chhattisgarh,maratha,rule,ce,came,british,rule,chhattisgarh,division,central,provinces,raipur,gained,prominence,capital,ratanpur,advent,british,sambalpur,district,transferred,odisha,estates,surguja,transferred,bengal,chhattisgarh",0.00,chhattisgarh
"the area constituting the new state merged into madhya pradesh on  november  under the states reorganisation act  and remained a part of that state for  years prior to that the region was part of the central provinces and berar  under british rule some areas constituting the chhattisgarh state were princely states under british rule but were later on merged into madhya pradesh
",area constituting new state merged madhya pradesh november states reorganisation act remained state years prior region central provinces berar british rule areas constituting chhattisgarh state princely states british rule later merged madhya pradesh,7.63,"area,constituting,new,state,merged,madhya,pradesh,november,states,reorganisation,act,remained,state,years,prior,region,central,provinces,berar,british,rule,areas,constituting,chhattisgarh,state,princely,states,british,rule,later,merged,madhya,pradesh",0.00,chhattisgarh
