Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"china  officially the peoples republic of china k is a country in east asia it is the worlds most populous country with a population exceeding  billion slightly ahead of india china spans the equivalent of five time zones and borders fourteen countries by landl the most of any country in the world tied with russia with an area of approximately  million square kilometres  it is the worlds third largest country by total land aream the country consists of  provincesn five autonomous regions four municipalities and two special administrative regions  the national capital is beijing and the most populous city and largest financial center is shanghai
",china officially peoples republic china k country east asia worlds populous country population exceeding billion slightly ahead india china spans equivalent time zones borders fourteen countries landl country world tied russia area approximately million square kilometres worlds largest country total land aream country consists provincesn autonomous regions municipalities special administrative regions national capital beijing populous city largest financial center shanghai,6.89,"china,officially,peoples,republic,china,k,country,east,asia,worlds,populous,country,population,exceeding,billion,slightly,ahead,india,china,spans,equivalent,time,zones,borders,fourteen,countries,landl,country,world,tied,russia,area,approximately,million,square,kilometres,worlds,largest,country,total,land,aream,country,consists,provincesn,autonomous,regions,municipalities,special,administrative,regions,national,capital,beijing,populous,city,largest,financial,center,shanghai",0.00,china
"modern chinese trace their origins to a cradle of civilization in the fertile basin of the yellow river in the north china plain the semi legendary xia dynasty in the st century bce and the well attested shang and zhou dynasties developed a bureaucratic political system to serve hereditary monarchies or dynasties chinese writing chinese classic literature and the hundred schools of thought emerged during this period and influenced china and its neighbors for centuries to come in the third century bce qin shi huang founded the first chinese empire the short lived qin dynasty the qin was followed by the more stable han dynasty  which established a model for nearly two millennia in which the chinese empire was one of the worlds foremost economic powers the empire expanded fractured and reunified was conquered and reestablished absorbed foreign religions and ideas and made world leading scientific advances such as the four great inventions gunpowder paper the compass and printing after centuries of disunity following the fall of the han the sui  and tang  dynasties reunified the empire the multi ethnic tang welcomed foreign trade and culture that came over the silk road and adapted buddhism to chinese needs the early modern song dynasty  became increasingly urban and commercial the civilian scholar officials or literati used the examination system and  the doctrines of neo confucianism to replace the military aristocrats of earlier dynasties the mongol invasion established the yuan dynasty in  but the ming dynasty  re established han chinese control the manchu led qing dynasty nearly doubled the empires territory and established a multi ethnic state that was the basis of the modern chinese nation but suffered heavy losses to foreign imperialism in the th century
",modern chinese trace origins cradle civilization fertile basin yellow river north china plain semi legendary xia dynasty st century bce attested shang zhou dynasties developed bureaucratic political system serve hereditary monarchies dynasties chinese writing chinese classic literature schools thought emerged period influenced china neighbors centuries come century bce qin shi huang founded chinese empire short lived qin dynasty qin followed stable han dynasty established model nearly millennia chinese empire worlds foremost economic powers empire expanded fractured reunified conquered reestablished absorbed foreign religions ideas world leading scientific advances great inventions gunpowder paper compass printing centuries disunity following fall han sui tang dynasties reunified empire multi ethnic tang welcomed foreign trade culture came silk road adapted buddhism chinese needs early modern song dynasty increasingly urban commercial civilian scholar officials literati examination system doctrines neo confucianism replace military aristocrats earlier dynasties mongol invasion established yuan dynasty ming dynasty established han chinese control manchu led qing dynasty nearly doubled empires territory established multi ethnic state basis modern chinese nation suffered heavy losses foreign imperialism th century,6.32,"modern,chinese,trace,origins,cradle,civilization,fertile,basin,yellow,river,north,china,plain,semi,legendary,xia,dynasty,st,century,bce,attested,shang,zhou,dynasties,developed,bureaucratic,political,system,serve,hereditary,monarchies,dynasties,chinese,writing,chinese,classic,literature,schools,thought,emerged,period,influenced,china,neighbors,centuries,come,century,bce,qin,shi,huang,founded,chinese,empire,short,lived,qin,dynasty,qin,followed,stable,han,dynasty,established,model,nearly,millennia,chinese,empire,worlds,foremost,economic,powers,empire,expanded,fractured,reunified,conquered,reestablished,absorbed,foreign,religions,ideas,world,leading,scientific,advances,great,inventions,gunpowder,paper,compass,printing,centuries,disunity,following,fall,han,sui,tang,dynasties,reunified,empire,multi,ethnic,tang,welcomed,foreign,trade,culture,came,silk,road,adapted,buddhism,chinese,needs,early,modern,song,dynasty,increasingly,urban,commercial,civilian,scholar,officials,literati,examination,system,doctrines,neo,confucianism,replace,military,aristocrats,earlier,dynasties,mongol,invasion,established,yuan,dynasty,ming,dynasty,established,han,chinese,control,manchu,led,qing,dynasty,nearly,doubled,empires,territory,established,multi,ethnic,state,basis,modern,chinese,nation,suffered,heavy,losses,foreign,imperialism,th,century",0.00,china
"the chinese monarchy collapsed in  with the xinhai revolution when the republic of china  replaced the qing dynasty in its early years as a republic the country underwent a period of instability known as the warlord era before mostly reunifying in  under a nationalist government a civil war between the nationalist kuomintang  and the chinese communist party  began in  japan invaded china in  starting the second sino japanese war and temporarily halting the civil war the surrender and expulsion of japanese forces from china in  left a power vacuum in the country which led to renewed fighting between the ccp and the kuomintang the civil war ended in o with the division of chinese territory the ccp established the peoples republic of china on the mainland while the kuomintang led roc government retreated to the island of taiwanp both claim to be the sole legitimate government of china although the united nations has recognized the prc as the sole representation since  from  to  the prc implemented an economic and social campaign called the great leap forward that resulted in a sharp economic decline and an estimated  to  million deaths mostly through man made famine from  to  the turbulent period of political and social chaos within china known as the cultural revolution led to greater economic and educational decline with millions being purged or subjected to either persecution or politicide based on political categories since then the chinese government has rebuked some of the earlier maoist policies conducting a series of political and economic reforms since  that have greatly raised chinese standards of living and increased life expectancies
",chinese monarchy collapsed xinhai revolution republic china replaced qing dynasty early years republic country underwent period instability known warlord era reunifying nationalist government civil war nationalist kuomintang chinese communist party began japan invaded china starting second sino japanese war temporarily halting civil war surrender expulsion japanese forces china left power vacuum country led renewed fighting ccp kuomintang civil war ended division chinese territory ccp established peoples republic china mainland kuomintang led roc government retreated island taiwanp claim sole legitimate government china united nations recognized prc sole representation prc implemented economic social campaign called great leap forward resulted sharp economic decline estimated million deaths man famine turbulent period political social chaos china known cultural revolution led greater economic educational decline millions purged subjected persecution politicide based political categories chinese government rebuked earlier maoist policies conducting series political economic reforms greatly raised chinese standards living increased life expectancies,7.24,"chinese,monarchy,collapsed,xinhai,revolution,republic,china,replaced,qing,dynasty,early,years,republic,country,underwent,period,instability,known,warlord,era,reunifying,nationalist,government,civil,war,nationalist,kuomintang,chinese,communist,party,began,japan,invaded,china,starting,second,sino,japanese,war,temporarily,halting,civil,war,surrender,expulsion,japanese,forces,china,left,power,vacuum,country,led,renewed,fighting,ccp,kuomintang,civil,war,ended,division,chinese,territory,ccp,established,peoples,republic,china,mainland,kuomintang,led,roc,government,retreated,island,taiwanp,claim,sole,legitimate,government,china,united,nations,recognized,prc,sole,representation,prc,implemented,economic,social,campaign,called,great,leap,forward,resulted,sharp,economic,decline,estimated,million,deaths,man,famine,turbulent,period,political,social,chaos,china,known,cultural,revolution,led,greater,economic,educational,decline,millions,purged,subjected,persecution,politicide,based,political,categories,chinese,government,rebuked,earlier,maoist,policies,conducting,series,political,economic,reforms,greatly,raised,chinese,standards,living,increased,life,expectancies",0.00,china
"china is currently governed as a unitary marxistleninist one party socialist republic by the ccp china is a permanent member of the united nations security council and a founding member of several multilateral and regional cooperation organizations such as the asian infrastructure investment bank the silk road fund the new development bank the shanghai cooperation organisation and the rcep it is also a member of the brics the g the g the apec and the east asia summit it ranks among the lowest in measurements of democracy civil liberties government transparency freedom of the press freedom of religion and the human rights of ethnic minorities the chinese authorities have been criticized by human rights activists and non governmental organizations for human rights abuses including political repression mass censorship mass surveillance of their citizens and violent suppression of protest and dissent
",china currently governed unitary marxistleninist party socialist republic ccp china permanent member united nations security council founding member multilateral regional cooperation organizations asian infrastructure investment bank silk road fund new development bank shanghai cooperation organisation rcep member brics g g apec east asia summit ranks lowest measurements democracy civil liberties government transparency freedom press freedom religion human rights ethnic minorities chinese authorities criticized human rights activists non governmental organizations human rights abuses including political repression mass censorship mass surveillance citizens violent suppression protest dissent,6.15,"china,currently,governed,unitary,marxistleninist,party,socialist,republic,ccp,china,permanent,member,united,nations,security,council,founding,member,multilateral,regional,cooperation,organizations,asian,infrastructure,investment,bank,silk,road,fund,new,development,bank,shanghai,cooperation,organisation,rcep,member,brics,g,g,apec,east,asia,summit,ranks,lowest,measurements,democracy,civil,liberties,government,transparency,freedom,press,freedom,religion,human,rights,ethnic,minorities,chinese,authorities,criticized,human,rights,activists,non,governmental,organizations,human,rights,abuses,including,political,repression,mass,censorship,mass,surveillance,citizens,violent,suppression,protest,dissent",0.00,china
"making up around one fifth of the world economy china is the worlds largest economy by gdp at purchasing power parity the second largest economy by nominal gdp and the second wealthiest country the country is one of the fastest growing major economies and is the worlds largest manufacturer and exporter as well as the second largest importer china is a recognized nuclear weapon state with the worlds largest standing army by military personnel and the second largest defense budget china is considered to be a potential superpower due to its high level of innovation economic potential growing military strength and influence in international affairs
",making fifth world economy china worlds largest economy gdp purchasing power parity second largest economy nominal gdp second wealthiest country country fastest growing major economies worlds largest manufacturer exporter second largest importer china recognized nuclear weapon state worlds largest standing army military personnel second largest defense budget china considered potential superpower high level innovation economic potential growing military strength influence international affairs,6.58,"making,fifth,world,economy,china,worlds,largest,economy,gdp,purchasing,power,parity,second,largest,economy,nominal,gdp,second,wealthiest,country,country,fastest,growing,major,economies,worlds,largest,manufacturer,exporter,second,largest,importer,china,recognized,nuclear,weapon,state,worlds,largest,standing,army,military,personnel,second,largest,defense,budget,china,considered,potential,superpower,high,level,innovation,economic,potential,growing,military,strength,influence,international,affairs",0.00,china
"the word china has been used in english since the th century however it was not a word used by the chinese themselves during this period its origin has been traced through portuguese malay and persian back to the sanskrit word chna used in ancient india china appears in richard edens  translationq of the  journal of the portuguese explorer duarte barbosar barbosas usage was derived from persian chn  which was in turn derived from sanskrit cna  cna was first used in early hindu scripture including the mahbhrata  and the laws of manu  in  martino martini suggested that the word china is derived ultimately from the name of the qin dynasty  although usage in indian sources precedes this dynasty this derivation is still given in various sources the origin of the sanskrit word is a matter of debate according to the oxford english dictionary alternative suggestions include the names for yelang and the jing or chu state
the official name of the modern state is the peoples republic of china  the shorter form is china zhnggu  from zhng  and gu s a term which developed under the western zhou dynasty in reference to its royal demesnetyou it was then applied to the area around luoyi  during the eastern zhou and then to chinas central plain before being used as an occasional synonym for the state under the qing it was often used as a cultural concept to distinguish the huaxia people from perceived barbarians the name zhongguo is also translated as middle kingdom in english china  is sometimes referred to as the mainland when distinguishing the roc from the prc
",word china english th century word chinese period origin traced portuguese malay persian sanskrit word chna ancient india china appears richard edens translationq journal portuguese explorer duarte barbosar barbosas usage derived persian chn turn derived sanskrit cna cna early hindu scripture including mahbhrata laws manu martino martini suggested word china derived ultimately qin dynasty usage indian sources precedes dynasty derivation given sources origin sanskrit word matter debate according oxford english dictionary alternative suggestions include names yelang jing chu statethe official modern state peoples republic china shorter form china zhnggu zhng gu term developed western zhou dynasty reference royal demesnetyou applied area luoyi eastern zhou chinas central plain occasional synonym state qing cultural concept distinguish huaxia people perceived barbarians zhongguo translated middle kingdom english china referred mainland distinguishing roc prc,8.90,"word,china,english,th,century,word,chinese,period,origin,traced,portuguese,malay,persian,sanskrit,word,chna,ancient,india,china,appears,richard,edens,translationq,journal,portuguese,explorer,duarte,barbosar,barbosas,usage,derived,persian,chn,turn,derived,sanskrit,cna,cna,early,hindu,scripture,including,mahbhrata,laws,manu,martino,martini,suggested,word,china,derived,ultimately,qin,dynasty,usage,indian,sources,precedes,dynasty,derivation,given,sources,origin,sanskrit,word,matter,debate,according,oxford,english,dictionary,alternative,suggestions,include,names,yelang,jing,chu,statethe,official,modern,state,peoples,republic,china,shorter,form,china,zhnggu,zhng,gu,term,developed,western,zhou,dynasty,reference,royal,demesnetyou,applied,area,luoyi,eastern,zhou,chinas,central,plain,occasional,synonym,state,qing,cultural,concept,distinguish,huaxia,people,perceived,barbarians,zhongguo,translated,middle,kingdom,english,china,referred,mainland,distinguishing,roc,prc",0.00,china
"china is regarded as one of the worlds oldest civilisations archaeological evidence suggests that early hominids inhabited the country  million years ago the hominid fossils of peking man a homo erectus who used fire were discovered in a cave at zhoukoudian near beijing they have been dated to between  and  years ago the fossilized teeth of homo sapiens  have been discovered in fuyan cave in dao county hunan chinese proto writing existed in jiahu around  bce at damaidi around  bce dadiwan from  to  bce and banpo dating from the th millennium bce some scholars have suggested that the jiahu symbols  constituted the earliest chinese writing system
",china regarded worlds oldest civilisations archaeological evidence suggests early hominids inhabited country million years ago hominid fossils peking man homo erectus fire discovered cave zhoukoudian near beijing dated years ago fossilized teeth homo sapiens discovered fuyan cave dao county hunan chinese proto writing existed jiahu bce damaidi bce dadiwan bce banpo dating th millennium bce scholars suggested jiahu symbols constituted earliest chinese writing system,6.43,"china,regarded,worlds,oldest,civilisations,archaeological,evidence,suggests,early,hominids,inhabited,country,million,years,ago,hominid,fossils,peking,man,homo,erectus,fire,discovered,cave,zhoukoudian,near,beijing,dated,years,ago,fossilized,teeth,homo,sapiens,discovered,fuyan,cave,dao,county,hunan,chinese,proto,writing,existed,jiahu,bce,damaidi,bce,dadiwan,bce,banpo,dating,th,millennium,bce,scholars,suggested,jiahu,symbols,constituted,earliest,chinese,writing,system",0.00,china
"according to chinese tradition the first dynasty was the xia which emerged around  bce the xia dynasty marked the beginning of chinas political system based on hereditary monarchies or dynasties which lasted for a millennium the xia dynasty was considered mythical by historians until scientific excavations found early bronze age sites at erlitou henan in  it remains unclear whether these sites are the remains of the xia dynasty or of another culture from the same period the succeeding shang dynasty is the earliest to be confirmed by contemporary records the shang ruled the plain of the yellow river in eastern china from the th to the th century bce their oracle bone script  represents the oldest form of chinese writing yet found and is a direct ancestor of modern chinese characters
",according chinese tradition dynasty xia emerged bce xia dynasty marked beginning chinas political system based hereditary monarchies dynasties lasted millennium xia dynasty considered mythical historians scientific excavations found early bronze age sites erlitou henan remains unclear sites remains xia dynasty culture period succeeding shang dynasty earliest confirmed contemporary records shang ruled plain yellow river eastern china th th centurybce oracle bone script represents oldest form chinese writing found direct ancestor modern chinese characters,7.19,"according,chinese,tradition,dynasty,xia,emerged,bce,xia,dynasty,marked,beginning,chinas,political,system,based,hereditary,monarchies,dynasties,lasted,millennium,xia,dynasty,considered,mythical,historians,scientific,excavations,found,early,bronze,age,sites,erlitou,henan,remains,unclear,sites,remains,xia,dynasty,culture,period,succeeding,shang,dynasty,earliest,confirmed,contemporary,records,shang,ruled,plain,yellow,river,eastern,china,th,th,centurybce,oracle,bone,script,represents,oldest,form,chinese,writing,found,direct,ancestor,modern,chinese,characters",0.00,china
"the warring states period ended in  bce after the state of qin conquered the other six kingdoms reunited china and established the dominant order of autocracy king zheng of qin proclaimed himself the first emperor of the qin dynasty he enacted qins legalist reforms throughout china notably the forced standardization of chinese characters measurements road widths  and currency his dynasty also conquered the yue tribes in guangxi guangdong and vietnam the qin dynasty lasted only fifteen years falling soon after the first emperors death as his harsh authoritarian policies led to widespread rebellion
",warring states period ended bce state qin conquered kingdoms reunited china established dominant order autocracy king zheng qin proclaimed emperor qin dynasty enacted qins legalist reforms china notably forced standardization chinese characters measurements road widths currency dynasty conquered yue tribes guangxi guangdong vietnam qin dynasty lasted years falling soon emperors death harsh authoritarian policies led widespread rebellion,5.96,"warring,states,period,ended,bce,state,qin,conquered,kingdoms,reunited,china,established,dominant,order,autocracy,king,zheng,qin,proclaimed,emperor,qin,dynasty,enacted,qins,legalist,reforms,china,notably,forced,standardization,chinese,characters,measurements,road,widths,currency,dynasty,conquered,yue,tribes,guangxi,guangdong,vietnam,qin,dynasty,lasted,years,falling,soon,emperors,death,harsh,authoritarian,policies,led,widespread,rebellion",0.00,china
"following a widespread civil war during which the imperial library at xianyang was burnedv the han dynasty emerged to rule china between  bce and ce  creating a cultural identity among its populace still remembered in the ethnonym of the han chinese the han expanded the empires territory considerably with military campaigns reaching central asia mongolia south korea and yunnan and the recovery of guangdong and northern vietnam from nanyue han involvement in central asia and sogdia helped establish the land route of the silk road replacing the earlier path over the himalayas to india han china gradually became the largest economy of the ancient world despite the hans initial decentralization and the official abandonment of the qin philosophy of legalism in favor of confucianism qins legalist institutions and policies continued to be employed by the han government and its successors
",following widespread civil war imperial library xianyang burnedv han dynasty emerged rule china bce ce creating cultural identity populace remembered ethnonym han chinese han expanded empires territory considerably military campaigns reaching central asia mongolia south korea yunnan recovery guangdong northern vietnam nanyue han involvement central asia sogdia helped establish land route silk road replacing earlier path himalayas india han china gradually largest economy ancient world despite hans initial decentralization official abandonment qin philosophy legalism favor confucianism qins legalist institutions policies continued employed han government successors,6.15,"following,widespread,civil,war,imperial,library,xianyang,burnedv,han,dynasty,emerged,rule,china,bce,ce,creating,cultural,identity,populace,remembered,ethnonym,han,chinese,han,expanded,empires,territory,considerably,military,campaigns,reaching,central,asia,mongolia,south,korea,yunnan,recovery,guangdong,northern,vietnam,nanyue,han,involvement,central,asia,sogdia,helped,establish,land,route,silk,road,replacing,earlier,path,himalayas,india,han,china,gradually,largest,economy,ancient,world,despite,hans,initial,decentralization,official,abandonment,qin,philosophy,legalism,favor,confucianism,qins,legalist,institutions,policies,continued,employed,han,government,successors",0.00,china
