Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the church of england  is the established christian church in england it traces its history to the christian church recorded as existing in the roman province of britain by the rd century and to the th century gregorian mission to kent led by augustine of canterbury its adherents are called anglicans
",church england established christian church england traces history christian church recorded existing roman province britain rd century th century gregorian mission kent led augustine canterbury adherents called anglicans,7.62,"church,england,established,christian,church,england,traces,history,christian,church,recorded,existing,roman,province,britain,rd,century,th,century,gregorian,mission,kent,led,augustine,canterbury,adherents,called,anglicans",0.00,england
"the english church renounced papal authority in  when henry viii failed to secure a papal annulment of his marriage to catherine of aragon the english reformation accelerated under edward vis regents before a brief restoration of papal authority under queen mary i and king philip the act of supremacy  renewed the breach and the elizabethan settlement charted a course enabling the english church to describe itself as both reformed and catholic in the earlier phase of the english reformation there were both roman catholic martyrs and radical protestant martyrs the later phases saw the penal laws punish roman catholics and nonconforming protestants in the th century the puritan and presbyterian factions continued to challenge the leadership of the church which under the stuarts veered towards a more catholic interpretation of the elizabethan settlement especially under archbishop laud and the rise of the concept of anglicanism as a via media between roman catholicism and radical protestantism after the victory of the parliamentarians the prayer book was abolished and the presbyterian and independent factions dominated the episcopacy was abolished in  but the restoration restored the church of england episcopacy and the prayer book papal recognition of george iii in  led to greater religious tolerance
",english church renounced papal authority henryviii failed secure papal annulment marriage catherine aragon english reformation accelerated edwardvis regents brief restoration papal authority queen mary king philip act supremacy renewed breach elizabethan settlement charted course enabling english church describe reformed catholic earlier phase english reformation roman catholic martyrs radical protestant martyrs later phases saw penal laws punish roman catholics nonconforming protestants th century puritan presbyterian factions continued challenge leadership church stuarts veered catholic interpretation elizabethan settlement especially archbishop laud rise concept anglicanism media roman catholicism radical protestantism victory parliamentarians prayer book abolished presbyterian independent factions dominated episcopacy abolished restoration restored church england episcopacy prayer book papal recognition george iii led greater religious tolerance,6.67,"english,church,renounced,papal,authority,henryviii,failed,secure,papal,annulment,marriage,catherine,aragon,english,reformation,accelerated,edwardvis,regents,brief,restoration,papal,authority,queen,mary,king,philip,act,supremacy,renewed,breach,elizabethan,settlement,charted,course,enabling,english,church,describe,reformed,catholic,earlier,phase,english,reformation,roman,catholic,martyrs,radical,protestant,martyrs,later,phases,saw,penal,laws,punish,roman,catholics,nonconforming,protestants,th,century,puritan,presbyterian,factions,continued,challenge,leadership,church,stuarts,veered,catholic,interpretation,elizabethan,settlement,especially,archbishop,laud,rise,concept,anglicanism,media,roman,catholicism,radical,protestantism,victory,parliamentarians,prayer,book,abolished,presbyterian,independent,factions,dominated,episcopacy,abolished,restoration,restored,church,england,episcopacy,prayer,book,papal,recognition,george,iii,led,greater,religious,tolerance",0.00,england
"since the english reformation the church of england has used the english language in the liturgy as a broad church the church of england contains several doctrinal strands the main traditions are known as anglo catholicism high churchmanship central churchmanship and low churchmanship the latter producing a growing evangelical wing tensions between theological conservatives and liberals find expression in debates over the ordination of women and homosexuality  the british monarch  is the supreme governor and the archbishop of canterbury  is the most senior cleric the governing structure of the church is based on dioceses each presided over by a bishop within each diocese are local parishes the general synod of the church of england is the legislative body for the church and comprises bishops other clergy and laity its measures must be approved by the parliament of the united kingdom 
",english reformation church england english language liturgy broad church church england contains doctrinal strands main traditions known anglo catholicism high churchmanship central churchmanship low churchmanship producing growing evangelical wing tensions theological conservatives liberals find expression debates ordination women homosexuality british monarch supreme governor archbishop canterbury senior cleric governing structure church based dioceses presided bishop diocese local parishes general synod church england legislative body church comprises bishops clergy laity measures approved parliament united kingdom,7.47,"english,reformation,church,england,english,language,liturgy,broad,church,church,england,contains,doctrinal,strands,main,traditions,known,anglo,catholicism,high,churchmanship,central,churchmanship,low,churchmanship,producing,growing,evangelical,wing,tensions,theological,conservatives,liberals,find,expression,debates,ordination,women,homosexuality,british,monarch,supreme,governor,archbishop,canterbury,senior,cleric,governing,structure,church,based,dioceses,presided,bishop,diocese,local,parishes,general,synod,church,england,legislative,body,church,comprises,bishops,clergy,laity,measures,approved,parliament,united,kingdom",0.00,england
"there is evidence for christianity in roman britain as early as the rd century after the fall of the roman empire england was conquered by the anglo saxons who were pagans and the celtic church was confined to cornwall and wales in  pope gregory i sent missionaries to england to christianise the anglo saxons this mission was led by  augustine who became the first archbishop of canterbury the church of england considers  the start of its formal history
",evidence christianity roman britain early rd century fall roman empire england conquered anglo saxons pagans celtic church confined cornwall wales pope gregory sent missionaries england christianise anglo saxons mission led augustine archbishop canterbury church england considers start formal history,8.55,"evidence,christianity,roman,britain,early,rd,century,fall,roman,empire,england,conquered,anglo,saxons,pagans,celtic,church,confined,cornwall,wales,pope,gregory,sent,missionaries,england,christianise,anglo,saxons,mission,led,augustine,archbishop,canterbury,church,england,considers,start,formal,history",0.00,england
"by the late middle ages catholicism was an essential part of english life and culture the  parishes covering all of england were overseen by a hierarchy of deaneries archdeaconries dioceses led by bishops and ultimately the pope who presided over the catholic church from rome catholicism taught that the contrite person could cooperate with god towards their salvation by performing good works  gods grace was given through the seven sacraments in the mass a priest consecrated bread and wine to become the body and blood of christ through transubstantiation the church taught that in the name of the congregation the priest offered to god the same sacrifice of christ on the cross that provided atonement for the sins of humanity the mass was also an offering of prayer by which the living could help souls in purgatory while penance removed the guilt attached to sin catholicism taught that a penalty still remained it was believed that most people would end their lives with these penalties unsatisfied and would have to spend time in purgatory time in purgatory could be lessened through indulgences and prayers for the dead which were made possible by the communion of saints
",late middle ages catholicism essential english life culture parishes covering england overseen hierarchy deaneries archdeaconries dioceses led bishops ultimately pope presided catholic church rome catholicism taught contrite person cooperate god salvation performing good works gods grace given seven sacraments mass priest consecrated bread wine body blood christ transubstantiation church taught congregation priest offered god sacrifice christ cross provided atonement sins humanity mass offering prayer living help souls purgatory penance removed guilt attached sin catholicism taught penalty remained believed people end lives penalties unsatisfied spend time purgatory time purgatory lessened indulgences prayers dead possible communion saints,8.54,"late,middle,ages,catholicism,essential,english,life,culture,parishes,covering,england,overseen,hierarchy,deaneries,archdeaconries,dioceses,led,bishops,ultimately,pope,presided,catholic,church,rome,catholicism,taught,contrite,person,cooperate,god,salvation,performing,good,works,gods,grace,given,seven,sacraments,mass,priest,consecrated,bread,wine,body,blood,christ,transubstantiation,church,taught,congregation,priest,offered,god,sacrifice,christ,cross,provided,atonement,sins,humanity,mass,offering,prayer,living,help,souls,purgatory,penance,removed,guilt,attached,sin,catholicism,taught,penalty,remained,believed,people,end,lives,penalties,unsatisfied,spend,time,purgatory,time,purgatory,lessened,indulgences,prayers,dead,possible,communion,saints",0.00,england
"in  henry viii was desperate for a male heir and asked pope clement vii to annul his marriage to catharine of aragon when the pope refused henry used parliament to assert royal authority over the english church in  parliament passed the act in restraint of appeals barring legal cases from being appealed outside england this allowed the archbishop of canterbury to annul the marriage without reference to rome in november  the act of supremacy formally abolished papal authority and declared henry supreme head of the church of england
",henry viii desperate male heir asked pope clement vii annul marriage catharine aragon pope refused henry parliament assert royal authority english church parliament passed act restraint appeals barring legal cases appealed outside england allowed archbishop canterbury annul marriage reference rome november act supremacy formally abolished papal authority declared henry supreme head church england,6.52,"henry,viii,desperate,male,heir,asked,pope,clement,vii,annul,marriage,catharine,aragon,pope,refused,henry,parliament,assert,royal,authority,english,church,parliament,passed,act,restraint,appeals,barring,legal,cases,appealed,outside,england,allowed,archbishop,canterbury,annul,marriage,reference,rome,november,act,supremacy,formally,abolished,papal,authority,declared,henry,supreme,head,church,england",0.00,england
the dissolution of the monasteries in the late s was one of the most revolutionary events in english history there were nearly  religious houses in england around  for monks  for regular canons  nunneries and  friaries some  people in total  monks  canons  friars and  nunsone adult man in fifty was in religious orders,dissolution monasteries late revolutionary events english history nearly religious houses england monks regular canons nunneries friaries people total monks canons friars nunsone adult man religious orders,8.15,"dissolution,monasteries,late,revolutionary,events,english,history,nearly,religious,houses,england,monks,regular,canons,nunneries,friaries,people,total,monks,canons,friars,nunsone,adult,man,religious,orders",0.00,england
"in the reign of edward vi  the church of england underwent an extensive theological reformation justification by faith was made a central teaching government sanctioned iconoclasm led to the destruction of images and relics stained glass shrines statues and roods were defaced or destroyed church walls were whitewashed and covered with biblical texts condemning idolatry the most significant reform in edwards reign was the adoption of an english liturgy to replace the old latin rites written by archbishop thomas cranmer the  book of common prayer implicitly taught justification by faith and rejected the catholic doctrines of transubstantiation and the sacrifice of the mass this was followed by a greatly revised  book of common prayer that was even more protestant in tone going so far as to deny the real presence of christ in the eucharist
",reign edward vi church england underwent extensive theological reformation justification faith central teaching government sanctioned iconoclasm led destruction images relics stained glass shrines statues roods defaced destroyed church walls whitewashed covered biblical texts condemning idolatry significant reform edwards reign adoption english liturgy replace old latin rites written archbishop thomas cranmer book common prayer implicitly taught justification faith rejected catholic doctrines transubstantiation sacrifice mass followed greatly revised book common prayer protestant tone going far deny real presence christ eucharist,6.71,"reign,edward,vi,church,england,underwent,extensive,theological,reformation,justification,faith,central,teaching,government,sanctioned,iconoclasm,led,destruction,images,relics,stained,glass,shrines,statues,roods,defaced,destroyed,church,walls,whitewashed,covered,biblical,texts,condemning,idolatry,significant,reform,edwards,reign,adoption,english,liturgy,replace,old,latin,rites,written,archbishop,thomas,cranmer,book,common,prayer,implicitly,taught,justification,faith,rejected,catholic,doctrines,transubstantiation,sacrifice,mass,followed,greatly,revised,book,common,prayer,protestant,tone,going,far,deny,real,presence,christ,eucharist",0.00,england
"during the reign of mary i  england was briefly reunited with the catholic church mary died childless so it was left to the new regime of her half sister queen elizabeth i to resolve the direction of the church the elizabethan religious settlement returned the church to where it stood in  before edwards death the act of supremacy made the monarch the churchs supreme governor the act of uniformity restored a slightly altered  book of common prayer in  the thirty nine articles received parliamentary approval as a doctrinal statement for the church the settlement ensured the church of england was protestant but it was unclear what kind of protestantism was being adopted the prayer books eucharistic theology was vague the words of administration neither affirmed nor denied the real presence perhaps a spiritual presence was implied since article  of the thirty nine articles taught that the body of christ was eaten only after an heavenly and spiritual manner nevertheless there was enough ambiguity to allow later theologians to articulate various versions of anglican eucharistic theology
",reign mary england briefly reunited catholic church mary died childless left new regime half sister queen elizabeth resolve direction church elizabethan religious settlement returned church stood edwards death act supremacy monarch churchs supreme governor act uniformity restored slightly altered book common prayer thirty articles received parliamentary approval doctrinal statement church settlement ensured church england protestant unclear kind protestantism adopted prayer books eucharistic theology vague words administration affirmed denied real presence spiritual presence implied article thirty articles taught body christ eaten heavenly spiritual manner ambiguity allow later theologians articulate versions anglican eucharistic theology,7.56,"reign,mary,england,briefly,reunited,catholic,church,mary,died,childless,left,new,regime,half,sister,queen,elizabeth,resolve,direction,church,elizabethan,religious,settlement,returned,church,stood,edwards,death,act,supremacy,monarch,churchs,supreme,governor,act,uniformity,restored,slightly,altered,book,common,prayer,thirty,articles,received,parliamentary,approval,doctrinal,statement,church,settlement,ensured,church,england,protestant,unclear,kind,protestantism,adopted,prayer,books,eucharistic,theology,vague,words,administration,affirmed,denied,real,presence,spiritual,presence,implied,article,thirty,articles,taught,body,christ,eaten,heavenly,spiritual,manner,ambiguity,allow,later,theologians,articulate,versions,anglican,eucharistic,theology",0.00,england
"the church of england was the established church  the exact nature of the relationship between church and state would be a source of continued friction into the next century
",church england established church exact nature relationship church state source continued friction century,9.20,"church,england,established,church,exact,nature,relationship,church,state,source,continued,friction,century",0.00,england
