Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"croatia  kroh ay sh croatian hrvatska pronounced xatska officially the republic of croatia e is a country at the crossroads of central and southeast europe its coast lies entirely on the adriatic sea it borders slovenia to the northwest hungary to the northeast serbia to the east bosnia and herzegovina and montenegro to the southeast and shares a maritime border with italy to the west and southwest its capital and largest city zagreb forms one of the countrys primary subdivisions with twenty counties the country spans  square kilometres  and has a population of nearly  million
",croatia kroh ay sh croatian hrvatska pronouncedxatska officially republic croatia e country crossroads central southeast europe coast lies entirely adriatic sea borders slovenia northwest hungary northeast serbia east bosnia herzegovina montenegro southeast shares maritime border italy west southwest capital largest city zagreb forms countrys primary subdivisions counties country spans square kilometres population nearly million,6.85,"croatia,kroh,ay,sh,croatian,hrvatska,pronouncedxatska,officially,republic,croatia,e,country,crossroads,central,southeast,europe,coast,lies,entirely,adriatic,sea,borders,slovenia,northwest,hungary,northeast,serbia,east,bosnia,herzegovina,montenegro,southeast,shares,maritime,border,italy,west,southwest,capital,largest,city,zagreb,forms,countrys,primary,subdivisions,counties,country,spans,square,kilometres,population,nearly,million",0.00,croatia
"the croats arrived in the late th century by the th century they had organized the territory into two duchies croatia was first internationally recognized as independent on  june  during the reign of duke branimir tomislav became the first king by  elevating croatia to the status of a kingdom during the succession crisis after the trpimirovi dynasty ended croatia entered a personal union with hungary in  in  faced with ottoman conquest the croatian parliament elected ferdinand i of austria to the croatian throne in october  the state of slovenes croats and serbs independent from austria hungary was proclaimed in zagreb and in december  it merged into the kingdom of yugoslavia following the axis invasion of yugoslavia in april  most of croatia was incorporated into a nazi installed puppet state the independent state of croatia a resistance movement led to the creation of the socialist republic of croatia which after the war became a founding member and constituent of the socialist federal republic of yugoslavia on  june  croatia declared independence and the war of independence was successfully fought over the next four years
",croats arrived late th century th century organized territory duchies croatia internationally recognized independent june reign duke branimir tomislav king elevating croatia status kingdom succession crisis trpimirovi dynasty ended croatia entered personal union hungary faced ottoman conquest croatian parliament elected ferdinand austria croatian throne october state slovenes croats serbs independent austria hungary proclaimed zagreb december merged kingdom yugoslavia following axis invasion yugoslavia april croatia incorporated nazi installed puppet state independent state croatia resistance movement led creation socialist republic croatia war founding member constituent socialist federal republic yugoslavia june croatia declared independence war independence successfully fought years,7.52,"croats,arrived,late,th,century,th,century,organized,territory,duchies,croatia,internationally,recognized,independent,june,reign,duke,branimir,tomislav,king,elevating,croatia,status,kingdom,succession,crisis,trpimirovi,dynasty,ended,croatia,entered,personal,union,hungary,faced,ottoman,conquest,croatian,parliament,elected,ferdinand,austria,croatian,throne,october,state,slovenes,croats,serbs,independent,austria,hungary,proclaimed,zagreb,december,merged,kingdom,yugoslavia,following,axis,invasion,yugoslavia,april,croatia,incorporated,nazi,installed,puppet,state,independent,state,croatia,resistance,movement,led,creation,socialist,republic,croatia,war,founding,member,constituent,socialist,federal,republic,yugoslavia,june,croatia,declared,independence,war,independence,successfully,fought,years",0.00,croatia
"croatia is a republic and a parliamentary liberal democracy it is a member of the european union the eurozone the schengen area nato the united nations the council of europe the osce the world trade organization and a founding member of the union for the mediterranean an active participant in united nations peacekeeping croatia contributed troops to the international security assistance force and filled a nonpermanent seat on the united nations security council for the  term since  the croatian government has invested in infrastructure especially transport routes and facilities along the pan european corridors
",croatia republic parliamentary liberal democracy member european union eurozone schengen area nato united nations council europe osce world trade organization founding member union mediterranean active participant united nations peacekeeping croatia contributed troops international security assistance force filled nonpermanent seat united nations security council term croatian government invested infrastructure especially transport routes facilities pan european corridors,6.31,"croatia,republic,parliamentary,liberal,democracy,member,european,union,eurozone,schengen,area,nato,united,nations,council,europe,osce,world,trade,organization,founding,member,union,mediterranean,active,participant,united,nations,peacekeeping,croatia,contributed,troops,international,security,assistance,force,filled,nonpermanent,seat,united,nations,security,council,term,croatian,government,invested,infrastructure,especially,transport,routes,facilities,pan,european,corridors",0.00,croatia
"croatia is classified by the world bank as a high income economy and ranks high th on the human development index service industrial sectors and agriculture dominate the economy tourism is a significant source of revenue for the country which is ranked among the  most popular tourist destinationscitation needed the state controls a part of the economy with substantial government expenditure the european union is croatias most important trading partner croatia provides social security universal health care and tuition free primary and secondary education while supporting culture through public institutions and corporate investments in media and publishing
",croatia classified world bank high income economy ranks high th human development index service industrial sectors agriculture dominate economy tourism significant source revenue country ranked popular tourist destinationscitation needed state controls economy substantial government expenditure european union croatias important trading partner croatia provides social security universal health care tuition free primary secondary education supporting culture public institutions corporate investments media publishing,5.43,"croatia,classified,world,bank,high,income,economy,ranks,high,th,human,development,index,service,industrial,sectors,agriculture,dominate,economy,tourism,significant,source,revenue,country,ranked,popular,tourist,destinationscitation,needed,state,controls,economy,substantial,government,expenditure,european,union,croatias,important,trading,partner,croatia,provides,social,security,universal,health,care,tuition,free,primary,secondary,education,supporting,culture,public,institutions,corporate,investments,media,publishing",0.00,croatia
"croatias name derives from medieval latin crotia itself a derivation of north west slavic xrwate by liquid metathesis from common slavic period xorvat from proposed proto slavic xrvt which possibly comes from the rd century scytho sarmatian form attested in the tanais tablets as code ell promoted to code el   the origin is uncertain but most probably is from proto ossetian  alanian xurvt  or xurvt  in the meaning of one who guards  the oldest preserved record of the croatian ethnonym xrvat is of the variable stem attested in the baka tablet in style zvnmir kral xrvatsk  although it was archaeologically confirmed that the ethnonym croatorum is mentioned in a church inscription found in bijai near trogir dated to the end of the th or early th century the presumably oldest stone inscription with fully preserved ethnonym is the th century branimir inscription found near benkovac where duke branimir is styled dux cruatorvm likely dated between  and  during his rule the latin term chroatorumcode lat promoted to code la  is attributed to a charter of duke trpimir i of croatia dated to  in a  copy of a lost original but it is not certain if the original was indeed older than the branimir inscription
",croatias derives medieval latin crotia derivation north west slavic xrwate liquid metathesis common slavic period xorvat proposed proto slavic xrvt possibly comes rd century scytho sarmatian form attested tanais tablets code ell promoted code el origin uncertain probably proto ossetian alanian xurvt xurvt meaning guards oldest preserved record croatian ethnonym xrvat variable stem attested baka tablet style zvnmir kral xrvatsk archaeologically confirmed ethnonym croatorum mentioned church inscription found bijai near trogir dated end th early th century presumably oldest stone inscription fully preserved ethnonym th century branimir inscription found near benkovac duke branimir styled dux cruatorvm likely dated rule latin term chroatorumcode lat promoted code la attributed charter duke trpimir croatia dated copy lost original certain original older branimir inscription,6.85,"croatias,derives,medieval,latin,crotia,derivation,north,west,slavic,xrwate,liquid,metathesis,common,slavic,period,xorvat,proposed,proto,slavic,xrvt,possibly,comes,rd,century,scytho,sarmatian,form,attested,tanais,tablets,code,ell,promoted,code,el,origin,uncertain,probably,proto,ossetian,alanian,xurvt,xurvt,meaning,guards,oldest,preserved,record,croatian,ethnonym,xrvat,variable,stem,attested,baka,tablet,style,zvnmir,kral,xrvatsk,archaeologically,confirmed,ethnonym,croatorum,mentioned,church,inscription,found,bijai,near,trogir,dated,end,th,early,th,century,presumably,oldest,stone,inscription,fully,preserved,ethnonym,th,century,branimir,inscription,found,near,benkovac,duke,branimir,styled,dux,cruatorvm,likely,dated,rule,latin,term,chroatorumcode,lat,promoted,code,la,attributed,charter,duke,trpimir,croatia,dated,copy,lost,original,certain,original,older,branimir,inscription",0.00,croatia
"the area known as croatia today was inhabited throughout the prehistoric period neanderthal fossils dating to the middle palaeolithic period were unearthed in northern croatia best presented at the krapina site remnants of neolithic and chalcolithic cultures were found in all regions the largest proportion of sites is in the valleys of northern croatia the most significant are baden starevo and vuedol cultures iron age hosted the early illyrian hallstatt culture and the celtic la tne culture
",area known croatia today inhabited prehistoric period neanderthal fossils dating middle palaeolithic period unearthed northern croatia best presented krapina site remnants neolithic chalcolithic cultures found regions largest proportion sites valleys northern croatia significant baden starevo vuedol cultures iron age hosted early illyrian hallstatt culture celtic la tne culture,5.84,"area,known,croatia,today,inhabited,prehistoric,period,neanderthal,fossils,dating,middle,palaeolithic,period,unearthed,northern,croatia,best,presented,krapina,site,remnants,neolithic,chalcolithic,cultures,found,regions,largest,proportion,sites,valleys,northern,croatia,significant,baden,starevo,vuedol,cultures,iron,age,hosted,early,illyrian,hallstatt,culture,celtic,la,tne,culture",0.00,croatia
"much later the region was settled by illyrians and liburnians while the first greek colonies were established on the islands of hvar korula and vis in  ad the territory of todays croatia became part of the roman empire emperor diocletian was native to the region he had a large palace built in split to which he retired after abdicating in ad 
",later region settled illyrians liburnians greek colonies established islands hvar korula vis ad territory todays croatia roman empire emperor diocletian native region large palace built split retired abdicating ad,9.30,"later,region,settled,illyrians,liburnians,greek,colonies,established,islands,hvar,korula,vis,ad,territory,todays,croatia,roman,empire,emperor,diocletian,native,region,large,palace,built,split,retired,abdicating,ad",0.00,croatia
"the ethnogenesis of croats is uncertain the most accepted theory the slavic theory proposes migration of white croats from white croatia during the migration period conversely the iranian theory proposes iranian origin based on tanais tablets containing ancient greek inscriptions of given names   and   and their interpretation as anthroponyms of croatian people
",ethnogenesis croats uncertain accepted theory slavic theory proposes migration white croats white croatia migration period conversely iranian theory proposes iranian origin based tanais tablets containing ancient greek inscriptions given names interpretation anthroponyms croatian people,4.95,"ethnogenesis,croats,uncertain,accepted,theory,slavic,theory,proposes,migration,white,croats,white,croatia,migration,period,conversely,iranian,theory,proposes,iranian,origin,based,tanais,tablets,containing,ancient,greek,inscriptions,given,names,interpretation,anthroponyms,croatian,people",0.00,croatia
"according to the work de administrando imperio written by th century byzantine emperor constantine vii croats arrived in the roman province of dalmatia in the first half of the th century after they defeated the avars however that claim is disputed competing hypotheses date the event between the late th early th  or the late th early th  centuries but recent archaeological data has established that the migration and settlement of the slavscroats was in the late th and early th century eventually a dukedom was formed duchy of croatia ruled by borna as attested by chronicles of einhard starting in  the record represents the first document of croatian realms vassal states of francia at the time its neighbor to the north was principality of lower pannonia at the time ruled by duke ljudevit who ruled the territories between the drava and sava rivers centred from his fort at sisak this population and territory throughout history was tightly related and connected to croats and croatia
",according work de administrando imperio written th century byzantine emperor constantine vii croats arrived roman province dalmatia half th century defeated avars claim disputed competing hypotheses date event late th early th late th early th centuries recent archaeological data established migration settlement slavscroats late th early th century eventually dukedom formed duchy croatia ruled borna attested chronicles einhard starting record represents document croatian realms vassal states francia time neighbor north principality lower pannonia time ruled duke ljudevit ruled territories drava sava rivers centred fort sisak population territory history tightly related connected croats croatia,7.15,"according,work,de,administrando,imperio,written,th,century,byzantine,emperor,constantine,vii,croats,arrived,roman,province,dalmatia,half,th,century,defeated,avars,claim,disputed,competing,hypotheses,date,event,late,th,early,th,late,th,early,th,centuries,recent,archaeological,data,established,migration,settlement,slavscroats,late,th,early,th,century,eventually,dukedom,formed,duchy,croatia,ruled,borna,attested,chronicles,einhard,starting,record,represents,document,croatian,realms,vassal,states,francia,time,neighbor,north,principality,lower,pannonia,time,ruled,duke,ljudevit,ruled,territories,drava,sava,rivers,centred,fort,sisak,population,territory,history,tightly,related,connected,croats,croatia",0.00,croatia
"tomislav was the first king of croatia noted as such in a letter of pope john x in  tomislav defeated hungarian and bulgarian invasions the medieval croatian kingdom reached its peak in the th century during the reigns of petar kreimir iv  and dmitar zvonimir  when stjepan ii died in  ending the trpimirovi dynasty dmitar zvonimirs brother in law ladislaus i of hungary claimed the croatian crown this led to a war and personal union with hungary in  under coloman
",tomislav king croatia noted letter pope john x tomislav defeated hungarian bulgarian invasions medieval croatian kingdom reached peak th century reigns petar kreimir iv dmitar zvonimir stjepan ii died ending trpimirovi dynasty dmitar zvonimirs brother law ladislaus hungary claimed croatian crown led war personal union hungary coloman,7.08,"tomislav,king,croatia,noted,letter,pope,john,x,tomislav,defeated,hungarian,bulgarian,invasions,medieval,croatian,kingdom,reached,peak,th,century,reigns,petar,kreimir,iv,dmitar,zvonimir,stjepan,ii,died,ending,trpimirovi,dynasty,dmitar,zvonimirs,brother,law,ladislaus,hungary,claimed,croatian,crown,led,war,personal,union,hungary,coloman",0.00,croatia
