Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"due to political social and economic reasons many croats migrated to north and south america as well as new zealand and later australia establishing a diaspora in the aftermath of world war ii with grassroots assistance from earlier communities and the roman catholic church in croatia   million people identify themselves as croats and constitute about  of the population another  live in bosnia and herzegovina where they are one of the three constituent ethnic groups predominantly living in western herzegovina central bosnia and bosnian posavina the minority in serbia number about  mostly in vojvodina the ethnic tarara people indigenous to te tai tokerau in new zealand are of mixed croatian and mori  descent tarara day is celebrated every  march to commemorate their highly regarded place in present day moridom
",political social economic reasons croats migrated north south america new zealand later australia establishing diaspora aftermath world war ii grassroots assistance earlier communities roman catholic church croatia million people identify croats constitute population live bosnia herzegovina constituent ethnic groups predominantly living western herzegovina central bosnia bosnian posavina minority serbia number vojvodina ethnic tarara people indigenous te tai tokerau new zealand mixed croatian mori descent tarara day celebrated march commemorate highly regarded place present day moridom,6.46,"political,social,economic,reasons,croats,migrated,north,south,america,new,zealand,later,australia,establishing,diaspora,aftermath,world,war,ii,grassroots,assistance,earlier,communities,roman,catholic,church,croatia,million,people,identify,croats,constitute,population,live,bosnia,herzegovina,constituent,ethnic,groups,predominantly,living,western,herzegovina,central,bosnia,bosnian,posavina,minority,serbia,number,vojvodina,ethnic,tarara,people,indigenous,te,tai,tokerau,new,zealand,mixed,croatian,mori,descent,tarara,day,celebrated,march,commemorate,highly,regarded,place,present,day,moridom",0.00,croatia
"croats are mostly roman catholics the croatian language is official in croatia the european union and bosnia and herzegovina croatian is a recognised minority language within croatian autochthonous communities and minorities in montenegro austria  italy  romania  and serbia 
",croats roman catholics croatian language official croatia european union bosnia herzegovina croatian recognised minority language croatian autochthonous communities minorities montenegro austria italy romania serbia,5.07,"croats,roman,catholics,croatian,language,official,croatia,european,union,bosnia,herzegovina,croatian,recognised,minority,language,croatian,autochthonous,communities,minorities,montenegro,austria,italy,romania,serbia",0.00,croatia
"traditionally scholarship has placed the arrival of the white croats from greatwhite croatia in the th century primarily on the basis of the later byzantine document de administrando imperio as such the arrival of the croats was seen as a second wave of slavic migrations which took over dalmatia from avar hegemony however as early as the s scholars questioned the reliability of porphyrogenitus work written as it was in the th century rather than being an accurate historical account de administrando imperio more accurately reflects the political situation during the th century it mainly served as byzantine propaganda praising emperor heraclius for repopulating the balkans  with croats who were seen by the byzantines as tributary peoples living on what had always been roman land
",traditionally scholarship placed arrival white croats greatwhite croatia th century primarily basis later byzantine document de administrando imperio arrival croats seen second wave slavic migrations took dalmatia avar hegemony early scholars questioned reliability porphyrogenitus work written th century accurate historical account de administrando imperio accurately reflects political situation th century mainly served byzantine propaganda praising emperor heraclius repopulating balkans croats seen byzantines tributary peoples living roman land,7.36,"traditionally,scholarship,placed,arrival,white,croats,greatwhite,croatia,th,century,primarily,basis,later,byzantine,document,de,administrando,imperio,arrival,croats,seen,second,wave,slavic,migrations,took,dalmatia,avar,hegemony,early,scholars,questioned,reliability,porphyrogenitus,work,written,th,century,accurate,historical,account,de,administrando,imperio,accurately,reflects,political,situation,th,century,mainly,served,byzantine,propaganda,praising,emperor,heraclius,repopulating,balkans,croats,seen,byzantines,tributary,peoples,living,roman,land",0.00,croatia
"other distinct polities also existed near the croat duchy these included the guduscans  pagania  zachlumia  bosnia and the sorabi  who ruled some other eastern parts of ex roman province of dalmatia also prominent in the territory of future croatia was the polity of prince ljudevit who ruled the territories between the drava and sava rivers  centred from his fort at sisak although duke liutevid and his people are commonly seen as a pannonian croats he is due to the lack of evidence that they had a sense of croat identity referred to as dux pannoniae inferioris or simply a slav by contemporary sources a closer reading of the dai suggests that constantine viis consideration about the ethnic origin and identity of the population of lower pannonia pagania zachlumia and other principalities is based on tenth century political rule and does not indicate ethnicity and although both croats and serbs could have been a small military elite which managed to organize other already settled and more numerous slavs it is possible that narentines zachlumians and others also arrived as croats or with croatian tribal alliance
",distinct polities existed near croat duchy included guduscans pagania zachlumia bosnia sorabi ruled eastern parts ex roman province dalmatia prominent territory future croatia polity prince ljudevit ruled territories drava sava rivers centred fort sisak duke liutevid people commonly seen pannonian croats lack evidence sense croat identity referred dux pannoniae inferioris simply slav contemporary sources closer reading dai suggests constantine viis consideration ethnic origin identity population lower pannonia pagania zachlumia principalities based tenth century political rule indicate ethnicity croats serbs small military elite managed organize settled numerous slavs possible narentines zachlumians arrived croats croatian tribal alliance,7.90,"distinct,polities,existed,near,croat,duchy,included,guduscans,pagania,zachlumia,bosnia,sorabi,ruled,eastern,parts,ex,roman,province,dalmatia,prominent,territory,future,croatia,polity,prince,ljudevit,ruled,territories,drava,sava,rivers,centred,fort,sisak,duke,liutevid,people,commonly,seen,pannonian,croats,lack,evidence,sense,croat,identity,referred,dux,pannoniae,inferioris,simply,slav,contemporary,sources,closer,reading,dai,suggests,constantine,viis,consideration,ethnic,origin,identity,population,lower,pannonia,pagania,zachlumia,principalities,based,tenth,century,political,rule,indicate,ethnicity,croats,serbs,small,military,elite,managed,organize,settled,numerous,slavs,possible,narentines,zachlumians,arrived,croats,croatian,tribal,alliance",0.00,croatia
"the croats became the dominant local power in northern dalmatia absorbing liburnia and expanding their name by conquest and prestige in the south while having periods of independence the naretines merged with croats later under control of croatian kings with such expansion croatia became the dominant power and absorbed other polities between frankish bulgarian and byzantine empire although the chronicle of the priest of duklja has been dismissed as an unreliable record the mentioned red croatia suggests that croatian clans and families might have settled as far south as dukljazeta
",croats dominant local power northern dalmatia absorbing liburnia expanding conquest prestige south periods independence naretines merged croats later control croatian kings expansion croatia dominant power absorbed polities frankish bulgarian byzantine empire chronicle priest duklja dismissed unreliable record mentioned red croatia suggests croatian clans families settled far south dukljazeta,7.14,"croats,dominant,local,power,northern,dalmatia,absorbing,liburnia,expanding,conquest,prestige,south,periods,independence,naretines,merged,croats,later,control,croatian,kings,expansion,croatia,dominant,power,absorbed,polities,frankish,bulgarian,byzantine,empire,chronicle,priest,duklja,dismissed,unreliable,record,mentioned,red,croatia,suggests,croatian,clans,families,settled,far,south,dukljazeta",0.00,croatia
"the lands which constitute modern croatia fell under three major geographic politic zones during the middle ages which were influenced by powerful neighbour empires  notably the byzantines the avars and later magyars franks and bulgars each vied for control of the northwest balkan regions two independent slavic dukedoms emerged sometime during the th century the duchy of croatia and principality of lower pannonia
",lands constitute modern croatia fell major geographic politic zones middle ages influenced powerful neighbour empires notably byzantines avars later magyars franks bulgars vied control northwest balkan regions independent slavic dukedoms emerged th century duchy croatia principality lower pannonia,6.00,"lands,constitute,modern,croatia,fell,major,geographic,politic,zones,middle,ages,influenced,powerful,neighbour,empires,notably,byzantines,avars,later,magyars,franks,bulgars,vied,control,northwest,balkan,regions,independent,slavic,dukedoms,emerged,th,century,duchy,croatia,principality,lower,pannonia",0.00,croatia
"in  his rule stretched from vienna and budapest to the southern croat dutchies and included almost the whole of ex roman pannonian provinces he probably died c  fighting against his former allies the magyars the subsequent history of savia again becomes mirky and historians are not sure who controlled savia during much of the th century however it is likely that the ruler tomislav the first crowned king was able to exert much control over savia and adjacent areas during his reign it is at this time that sources first refer to a pannonian croatia appearing in the th century byzantine work de administrando imperio
",rule stretched vienna budapest southern croat dutchies included ex roman pannonian provinces probably died c fighting allies magyars subsequent history savia mirky historians sure controlled savia th century likely ruler tomislav crowned king able exert control savia adjacent areas reign time sources refer pannonian croatia appearing th century byzantine work de administrando imperio,8.39,"rule,stretched,vienna,budapest,southern,croat,dutchies,included,ex,roman,pannonian,provinces,probably,died,c,fighting,allies,magyars,subsequent,history,savia,mirky,historians,sure,controlled,savia,th,century,likely,ruler,tomislav,crowned,king,able,exert,control,savia,adjacent,areas,reign,time,sources,refer,pannonian,croatia,appearing,th,century,byzantine,work,de,administrando,imperio",0.00,croatia
"the croatian prince trpimir i  succeeded mislav in  there was a great battle between trpimirs forces and the bulgars neither side emerged victorious and the outcome was the exchange of gifts and the establishment of peace trpimir i managed to consolidate power over dalmatia and much of the inland regions towards pannonia while instituting counties as a way of controlling his subordinates  the first known written mention of the croats dates from  march  in statute by trpimir trpimir is remembered as the initiator of the trpimirovi dynasty that ruled in croatia with interruptions from  until  after his death an uprising was raised by a powerful nobleman from knin  domagoj and his son zdeslav was exiled with his brothers petar and muncimir to constantinople
",croatian prince trpimir succeeded mislav great battle trpimirs forces bulgars emerged victorious outcome exchange gifts establishment peace trpimir managed consolidate power dalmatia inland regions pannonia instituting counties way controlling subordinates known written mention croats dates march statute trpimir trpimir remembered initiator trpimirovi dynasty ruled croatia interruptions death uprising raised powerful nobleman knin domagoj son zdeslav exiled brothers petar muncimir constantinople,8.24,"croatian,prince,trpimir,succeeded,mislav,great,battle,trpimirs,forces,bulgars,emerged,victorious,outcome,exchange,gifts,establishment,peace,trpimir,managed,consolidate,power,dalmatia,inland,regions,pannonia,instituting,counties,way,controlling,subordinates,known,written,mention,croats,dates,march,statute,trpimir,trpimir,remembered,initiator,trpimirovi,dynasty,ruled,croatia,interruptions,death,uprising,raised,powerful,nobleman,knin,domagoj,son,zdeslav,exiled,brothers,petar,muncimir,constantinople",0.00,croatia
"branimirs  own actions were approved from the holy see to bring the croats further away from the influence of byzantium and closer to rome duke branimir wrote to pope john viii affirming this split from byzantine and commitment to the roman papacy during the solemn divine service in st peters church in rome in  john viii gave his blessing to the duke and the croatian people about which he informed branimir in his letters in which branimir was recognized as the duke of the croats  during his reign croatia retained its sovereignty from both the holy roman empire and byzantine rule and became a fully recognized state after branimirs death prince muncimir  zdeslavs brother took control of dalmatia and ruled it independently of both rome and byzantium as divino munere croatorum dux  in dalmatia duke tomislav  succeeded muncimir tomislav successfully repelled magyar mounted invasions of the arpads expelled them over the sava river and united  pannonian and dalmatian croats into one state
",branimirs actions approved holy bring croats away influence byzantium closer rome duke branimir wrote pope john viii affirming split byzantine commitment roman papacy solemn divine service st peters church rome john viii gave blessing duke croatian people informed branimir letters branimir recognized duke croats reign croatia retained sovereignty holy roman empire byzantine rule fully recognized state branimirs death prince muncimir zdeslavs brother took control dalmatia ruled independently rome byzantium divino munere croatorum dux dalmatia duke tomislav succeeded muncimir tomislav successfully repelled magyar mounted invasions arpads expelled sava river united pannonian dalmatian croats state,6.92,"branimirs,actions,approved,holy,bring,croats,away,influence,byzantium,closer,rome,duke,branimir,wrote,pope,john,viii,affirming,split,byzantine,commitment,roman,papacy,solemn,divine,service,st,peters,church,rome,john,viii,gave,blessing,duke,croatian,people,informed,branimir,letters,branimir,recognized,duke,croats,reign,croatia,retained,sovereignty,holy,roman,empire,byzantine,rule,fully,recognized,state,branimirs,death,prince,muncimir,zdeslavs,brother,took,control,dalmatia,ruled,independently,rome,byzantium,divino,munere,croatorum,dux,dalmatia,duke,tomislav,succeeded,muncimir,tomislav,successfully,repelled,magyar,mounted,invasions,arpads,expelled,sava,river,united,pannonian,dalmatian,croats,state",0.00,croatia
"tomislav  became king of croatia by  the chief piece of evidence that tomislav was crowned king comes in the form of a letter dated  surviving only in th century copies from pope john x calling tomislav rex chroatorum according to de administrando imperio tomislavs army and navy could have consisted approximately  infantry units  cavaliers and  larger  and  smaller warships  but generally is not taken as credible according to the palaeographic analysis of the original manuscript of de administrando imperio an estimation of the number of inhabitants in medieval croatia between  and  thousand people and military numbers of franks and byzantines  the croatian military force was most probably composed of  infantrymen and  horsemen organized in  allagions the croatian kingdom as an ally of byzantine empire was in conflict with the rising bulgarian empire ruled by tsar simeon i in  due to a deal of pope john x and a patriarch of constantinopole the sovereignty of byzantine coastal cities in dalmatia came under tomislavs governancy the war escalated on  may  in the battle of the bosnian highlands after serbs were conquered and some fled to the croatian kingdom there croats under leadership of their king tomislav completely defeated the bulgarian army led by military commander alogobotur and stopped simeons extension westwards the central town in the duvno field was named tomislavgrad  in his honour in the th century
",tomislav king croatia chief piece evidence tomislav crowned king comes form letter dated surviving th century copies pope john x calling tomislav rex chroatorum according de administrando imperio tomislavs army navy consisted approximately infantry units cavaliers larger smaller warships generally taken credible according palaeographic analysis original manuscript de administrando imperio estimation number inhabitants medieval croatia thousand people military numbers franks byzantines croatian military force probably composed infantrymen horsemen organized allagions croatian kingdom ally byzantine empire conflict rising bulgarian empire ruled tsar simeon deal pope john x patriarch constantinopole sovereignty byzantine coastal cities dalmatia came tomislavs governancy war escalated battle bosnian highlands serbs conquered fled croatian kingdom croats leadership king tomislav completely defeated bulgarian army led military commander alogobotur stopped simeons extension westwards central town duvno field named tomislavgrad honour th century,6.63,"tomislav,king,croatia,chief,piece,evidence,tomislav,crowned,king,comes,form,letter,dated,surviving,th,century,copies,pope,john,x,calling,tomislav,rex,chroatorum,according,de,administrando,imperio,tomislavs,army,navy,consisted,approximately,infantry,units,cavaliers,larger,smaller,warships,generally,taken,credible,according,palaeographic,analysis,original,manuscript,de,administrando,imperio,estimation,number,inhabitants,medieval,croatia,thousand,people,military,numbers,franks,byzantines,croatian,military,force,probably,composed,infantrymen,horsemen,organized,allagions,croatian,kingdom,ally,byzantine,empire,conflict,rising,bulgarian,empire,ruled,tsar,simeon,deal,pope,john,x,patriarch,constantinopole,sovereignty,byzantine,coastal,cities,dalmatia,came,tomislavs,governancy,war,escalated,battle,bosnian,highlands,serbs,conquered,fled,croatian,kingdom,croats,leadership,king,tomislav,completely,defeated,bulgarian,army,led,military,commander,alogobotur,stopped,simeons,extension,westwards,central,town,duvno,field,named,tomislavgrad,honour,th,century",0.00,croatia
