Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the krone  is the official currency of denmark greenland and the faroe islands introduced on  january  both the iso code dkk and currency sign kr are in common use the former precedes the value the latter in some contexts follows it the currency is sometimes referred to as the danish crown in english since krone literally means crown historically krone coins have been minted in denmark since the th century
",krone official currency denmark greenland faroe islands introduced january iso code dkk currency sign kr common use precedes value contexts follows currency referred danish crown english krone literally means crown historically krone coins minted denmark th century,8.05,"krone,official,currency,denmark,greenland,faroe,islands,introduced,january,iso,code,dkk,currency,sign,kr,common,use,precedes,value,contexts,follows,currency,referred,danish,crown,english,krone,literally,means,crown,historically,krone,coins,minted,denmark,th,century",0.00,krone
"one krone is subdivided into  re  the name re is probably derived from the latin word for gold altogether there are eleven denominations of the krone with the smallest being the  re coin  formerly there were more re coins but those were discontinued due to inflation
",krone subdivided probably derived latin word gold altogether denominations krone smallest coin coins discontinued inflation,11.61,"krone,subdivided,probably,derived,latin,word,gold,altogether,denominations,krone,smallest,coin,coins,discontinued,inflation",0.00,krone
"the krone is pegged to the euro via the erm ii the european unions exchange rate mechanism adoption of the euro is favoured by some of the major political parties however a  referendum on joining the eurozone was defeated with  voting to maintain the krone and  voting to join the eurozone
",krone pegged euro erm ii european unions exchange rate mechanism adoption euro favoured major political parties referendum joining eurozone defeated voting maintain krone voting join eurozone,8.62,"krone,pegged,euro,erm,ii,european,unions,exchange,rate,mechanism,adoption,euro,favoured,major,political,parties,referendum,joining,eurozone,defeated,voting,maintain,krone,voting,join,eurozone",0.00,krone
"several different currency systems have been used by denmark from the th to th centuries the krone  has existed as early as  as a unit of account worth  marks in more general use until  however was a krone or schlecht daler worth  rigsdaler  marks or  skilling
",different currency systems denmark th th centuries krone existed early unit account worth marks general use krone schlecht daler worth rigsdaler marks skilling,8.81,"different,currency,systems,denmark,th,th,centuries,krone,existed,early,unit,account,worth,marks,general,use,krone,schlecht,daler,worth,rigsdaler,marks,skilling",0.00,krone
"the modern day krone was introduced as the currency of denmark in january  it replaced the rigsdaler at a rate of  kroner   rigsdaler this placed the krone on the gold standard at a rate of  kroner   kilogram fine gold the latter part of the th century and much of the th century saw expanding economic activity and thus also a need for means of payment that were easier to handle than coins consequently banknotes were increasingly used instead of coins
",modern day krone introduced currency denmark january replaced rigsdaler rate kroner rigsdaler placed krone gold standard rate kroner kilogram fine gold th century th century saw expanding economic activity need means payment easier handle coins consequently banknotes increasingly instead coins,8.79,"modern,day,krone,introduced,currency,denmark,january,replaced,rigsdaler,rate,kroner,rigsdaler,placed,krone,gold,standard,rate,kroner,kilogram,fine,gold,th,century,th,century,saw,expanding,economic,activity,need,means,payment,easier,handle,coins,consequently,banknotes,increasingly,instead,coins",0.00,krone
"the introduction of the new krone was a result of the scandinavian monetary union which came into effect in   and lasted until world war i the parties to the union were the three scandinavian countries where the name was krone in denmark and norway and krona in sweden a word which in all three languages literally means crown the three currencies were on the gold standard with the kronekrona defined as  of a kilogram of pure goldcitation needed
",introduction new krone result scandinavian monetary union came effect lasted world war parties union scandinavian countries krone denmark norway krona sweden word languages literally means crown currencies gold standard kronekrona defined kilogram pure goldcitation needed,9.60,"introduction,new,krone,result,scandinavian,monetary,union,came,effect,lasted,world,war,parties,union,scandinavian,countries,krone,denmark,norway,krona,sweden,word,languages,literally,means,crown,currencies,gold,standard,kronekrona,defined,kilogram,pure,goldcitation,needed",0.00,krone
"denmark returned to the gold standard in  but left it permanently in  between  and  the krone was tied to the german reichsmark following the end of the german occupation a rate of  kroner to the british pound was introduced reduced to   in august the same year within the bretton woods system denmark devalued its currency with the pound in  to a rate of  to the dollar a further devaluation in  resulted in rates of  kronercitation needed
",denmark returned gold standard left permanently krone tied german reichsmark following end german occupation rate kroner british pound introduced reduced august year bretton woods system denmark devalued currency pound rate dollar devaluation resulted rates kronercitation needed,9.07,"denmark,returned,gold,standard,left,permanently,krone,tied,german,reichsmark,following,end,german,occupation,rate,kroner,british,pound,introduced,reduced,august,year,bretton,woods,system,denmark,devalued,currency,pound,rate,dollar,devaluation,resulted,rates,kronercitation,needed",0.00,krone
"in  it was decided to stop printing of the krone in denmark but the work would be outsourced and on  december  the last notes were printed by the national bank
",decided stop printing krone denmark work outsourced december notes printed national bank,11.25,"decided,stop,printing,krone,denmark,work,outsourced,december,notes,printed,national,bank",0.00,krone
"denmark has not introduced the euro following a rejection by referendum in  but the danish krone is pegged closely to the euro  in erm ii the eus exchange rate mechanism denmark borders one eurozone member germany and one other eu member sweden which is legally obliged to join the euro in the future 
",denmark introduced euro following rejection referendum danish krone pegged closely euro erm ii eus exchange rate mechanism denmark borders eurozone member germany eu member sweden legally obliged join euro future,7.62,"denmark,introduced,euro,following,rejection,referendum,danish,krone,pegged,closely,euro,erm,ii,eus,exchange,rate,mechanism,denmark,borders,eurozone,member,germany,eu,member,sweden,legally,obliged,join,euro,future",0.00,krone
"the faroe islands uses a localized non independent version of the danish krone known as the faroese krna pegged with the danish krone at par using the danish coin series but have their own series of distinct banknotes first being issued in the s and later modernized in the s and the s
",faroe islands uses localized non independent version danish krone known faroese krna pegged danish krone par danish coin series series distinct banknotes issued later modernized,9.79,"faroe,islands,uses,localized,non,independent,version,danish,krone,known,faroese,krna,pegged,danish,krone,par,danish,coin,series,series,distinct,banknotes,issued,later,modernized",0.00,krone
