Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"danish  dansk pronounced tnsk  dansk sprog tnsk spw is a north germanic language spoken by about six million people principally in and around denmark communities of danish speakers are also found in greenland the faroe islands and the northern german region of southern schleswig where it has minority language status minor danish speaking communities are also found in norway sweden the united states canada brazil and argentina
",danish dansk pronouncedtnsk dansk sprog tnsk spw north germanic language spoken million people principally denmark communities danish speakers found greenland faroe islands northern german region southern schleswig minority language status minor danish speaking communities found norway sweden united states canada brazil argentina,5.58,"danish,dansk,pronouncedtnsk,dansk,sprog,tnsk,spw,north,germanic,language,spoken,million,people,principally,denmark,communities,danish,speakers,found,greenland,faroe,islands,northern,german,region,southern,schleswig,minority,language,status,minor,danish,speaking,communities,found,norway,sweden,united,states,canada,brazil,argentina",0.00,danish
"along with the other north germanic languages danish is a descendant of old norse the common language of the germanic peoples who lived in scandinavia during the viking era danish together with swedish derives from the east norse dialect group while the middle norwegian language  and norwegian bokml are classified as west norse along with faroese and icelandic a more recent classification based on mutual intelligibility separates modern spoken danish norwegian and swedish as mainland  scandinavian while icelandic and faroese are classified as insular scandinavian although the written languages are compatible spoken danish is distinctly different from norwegian and swedish and thus the degree of mutual intelligibility with either is variable between regions and speakers
",north germanic languages danish descendant old norse common language germanic peoples lived scandinavia viking era danish swedish derives east norse dialect group middle norwegian language norwegian bokml classified west norse faroese icelandic recent classification based mutual intelligibility separates modern spoken danish norwegian swedish mainland scandinavian icelandic faroese classified insular scandinavian written languages compatible spoken danish distinctly different norwegian swedish degree mutual intelligibility variable regions speakers,6.41,"north,germanic,languages,danish,descendant,old,norse,common,language,germanic,peoples,lived,scandinavia,viking,era,danish,swedish,derives,east,norse,dialect,group,middle,norwegian,language,norwegian,bokml,classified,west,norse,faroese,icelandic,recent,classification,based,mutual,intelligibility,separates,modern,spoken,danish,norwegian,swedish,mainland,scandinavian,icelandic,faroese,classified,insular,scandinavian,written,languages,compatible,spoken,danish,distinctly,different,norwegian,swedish,degree,mutual,intelligibility,variable,regions,speakers",0.00,danish
"until the th century danish was a continuum of dialects spoken from southern jutland and schleswig to scania with no standard variety or spelling conventions with the protestant reformation and the introduction of the printing press a standard language was developed which was based on the educated dialect of copenhagen and malm it spread through use in the education system and administration though german and latin continued to be the most important written languages well into the th century following the loss of territory to germany and sweden a nationalist movement adopted the language as a token of danish identity and the language experienced a strong surge in use and popularity with major works of literature produced in the th and th centuries today traditional danish dialects have all but disappeared though regional variants of the standard language exist the main differences in language are between generations with youth language being particularly innovative
",th century danish continuum dialects spoken southern jutland schleswig scania standard variety spelling conventions protestant reformation introduction printing press standard language developed based educated dialect copenhagen malm spread use education system administration german latin continued important written languages th century following loss territory germany sweden nationalist movement adopted language token danish identity language experienced strong surge use popularity major works literature produced th th centuries today traditional danish dialects disappeared regional variants standard language exist main differences language generations youth language particularly innovative,7.14,"th,century,danish,continuum,dialects,spoken,southern,jutland,schleswig,scania,standard,variety,spelling,conventions,protestant,reformation,introduction,printing,press,standard,language,developed,based,educated,dialect,copenhagen,malm,spread,use,education,system,administration,german,latin,continued,important,written,languages,th,century,following,loss,territory,germany,sweden,nationalist,movement,adopted,language,token,danish,identity,language,experienced,strong,surge,use,popularity,major,works,literature,produced,th,th,centuries,today,traditional,danish,dialects,disappeared,regional,variants,standard,language,exist,main,differences,language,generations,youth,language,particularly,innovative",0.00,danish
"danish has a very large vowel inventory consisting of  phonemically distinctive vowels and its prosody is characterized by the distinctive phenomenon std a kind of laryngeal phonation type due to the many pronunciation differences that set danish apart from its neighboring languages particularly the vowels difficult prosody and weakly pronounced consonants it is sometimes considered to be a difficult language to learn acquire and understand and some evidence shows that children are slower to acquire the phonological distinctions of danish compared to other languages the grammar is moderately inflective with strong  and weak  conjugations and inflections nouns and demonstrative pronouns distinguish common and neutral gender like english danish only has remnants of a former case system particularly in the pronouns unlike english it has lost all person marking on verbs its word order is v with the finite verb always occupying the second slot in the sentence
",danish large vowel inventory consisting phonemically distinctive vowels prosody characterized distinctive phenomenon std kind laryngeal phonation type pronunciation differences set danish apart neighboring languages particularly vowels difficult prosody weakly pronounced consonants considered difficult language learn acquire understand evidence shows children slower acquire phonological distinctions danish compared languages grammar moderately inflective strong weak conjugations inflections nouns demonstrative pronouns distinguish common neutral gender like english danish remnants case system particularly pronouns unlike english lost person marking verbs word order v finite verb occupying second slot sentence,6.50,"danish,large,vowel,inventory,consisting,phonemically,distinctive,vowels,prosody,characterized,distinctive,phenomenon,std,kind,laryngeal,phonation,type,pronunciation,differences,set,danish,apart,neighboring,languages,particularly,vowels,difficult,prosody,weakly,pronounced,consonants,considered,difficult,language,learn,acquire,understand,evidence,shows,children,slower,acquire,phonological,distinctions,danish,compared,languages,grammar,moderately,inflective,strong,weak,conjugations,inflections,nouns,demonstrative,pronouns,distinguish,common,neutral,gender,like,english,danish,remnants,case,system,particularly,pronouns,unlike,english,lost,person,marking,verbs,word,order,v,finite,verb,occupying,second,slot,sentence",0.00,danish
"danish
",danish,0.00,danish,0.00,danish
"danish is a germanic language of the north germanic branch other names for this group are the nordic or scandinavian languages along with swedish danish descends from the eastern dialects of the old norse language danish and swedish are also classified as east scandinavian or east nordic languages
",danish germanic language north germanic branch names group nordic scandinavian languages swedish danish descends eastern dialects old norse language danish swedish classified east scandinavian east nordic languages,7.02,"danish,germanic,language,north,germanic,branch,names,group,nordic,scandinavian,languages,swedish,danish,descends,eastern,dialects,old,norse,language,danish,swedish,classified,east,scandinavian,east,nordic,languages",0.00,danish
"like norwegian and swedish danish was significantly influenced by low german in the middle ages and has been influenced by english since the turn of the th century
",like norwegian swedish danish significantly influenced low german middle ages influenced english turn th century,7.93,"like,norwegian,swedish,danish,significantly,influenced,low,german,middle,ages,influenced,english,turn,th,century",0.00,danish
"danish itself can be divided into three main dialect areas jutlandic  insular danish  and east danish  under the view that scandinavian is a dialect continuum east danish can be considered intermediary between danish and swedish while scanian can be considered a swedified east danish dialect and bornholmian is its closest relative
",danish divided main dialect areas jutlandic insular danish east danish view scandinavian dialect continuum east danish considered intermediary danish swedish scanian considered swedified east danish dialect bornholmian closest relative,6.61,"danish,divided,main,dialect,areas,jutlandic,insular,danish,east,danish,view,scandinavian,dialect,continuum,east,danish,considered,intermediary,danish,swedish,scanian,considered,swedified,east,danish,dialect,bornholmian,closest,relative",0.00,danish
"contemporary scanian is fully mutually intelligible with swedish and less so with danish since it shares a standardized vocabulary and less distinct pronunciations with the rest of sweden than in the past blekinge and halland the two other provinces further away from copenhagen that transitioned to sweden in the th century speak dialects more similar to standard swedishcitation needed
",contemporary scanian fully mutually intelligible swedish danish shares standardized vocabulary distinct pronunciations rest sweden past blekinge halland provinces away copenhagen transitioned sweden th century speak dialects similar standard swedishcitation needed,7.47,"contemporary,scanian,fully,mutually,intelligible,swedish,danish,shares,standardized,vocabulary,distinct,pronunciations,rest,sweden,past,blekinge,halland,provinces,away,copenhagen,transitioned,sweden,th,century,speak,dialects,similar,standard,swedishcitation,needed",0.00,danish
"about  of danish non compound words are derived from the old norse language and ultimately from proto indo european of these  words  are nouns  are verbs  are adjectives and the rest belong to other word classes danish has also absorbed a large number of loan words most of which were borrowed from middle low german in the late medieval period out of the  most frequently used words in danish  are medieval loans from middle low german as low german was the other official language of denmarknorway in the th and th centuries standard german and french superseded low german influence and in the th century english became the main supplier of loan words especially after world war ii although many old nordic words remain some were replaced with borrowed synonyms as can be seen with de  which became less common when the low german spise came into fashion as well as loan words new words are freely formed by compounding existing words in standard texts of contemporary danish middle low german loans account for about  of the vocabulary graeco latin loans  french  and english about 
",danish non compound words derived old norse language ultimately proto indo european words nouns verbs adjectives rest belong word classes danish absorbed large number loan words borrowed middle low german late medieval period frequently words danish medieval loans middle low german low german official language denmarknorway th th centuries standard german french superseded low german influence th century english main supplier loan words especially world war ii old nordic words remain replaced borrowed synonyms seen de common low german spise came fashion loan words new words freely formed compounding existing words standard texts contemporary danish middle low german loans account vocabulary graeco latin loans french english,7.27,"danish,non,compound,words,derived,old,norse,language,ultimately,proto,indo,european,words,nouns,verbs,adjectives,rest,belong,word,classes,danish,absorbed,large,number,loan,words,borrowed,middle,low,german,late,medieval,period,frequently,words,danish,medieval,loans,middle,low,german,low,german,official,language,denmarknorway,th,th,centuries,standard,german,french,superseded,low,german,influence,th,century,english,main,supplier,loan,words,especially,world,war,ii,old,nordic,words,remain,replaced,borrowed,synonyms,seen,de,common,low,german,spise,came,fashion,loan,words,new,words,freely,formed,compounding,existing,words,standard,texts,contemporary,danish,middle,low,german,loans,account,vocabulary,graeco,latin,loans,french,english",0.00,danish
