Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"delhia officially the national capital territory  of delhi is a city and a union territory of india containing new delhi the capital of india straddling the yamuna river primarily its western or right bank delhi shares borders with the state of uttar pradesh in the east and with the state of haryana in the remaining directions the nct covers an area of  square kilometres  according to the  census delhis city proper population was over  million while the ncts population was about  million delhis urban agglomeration which includes the satellite cities ghaziabad faridabad gurgaon and noida in an area known as the national capital region  has an estimated population of over  million making it the largest metropolitan area in india and the second largest in the world 
",delhia officially national capital territory delhi city union territory india containing new delhi capital india straddling yamuna river primarily western right bank delhi shares borders state uttar pradesh east state haryana remaining directions nct covers area square kilometres according census delhis city proper population million ncts population million delhis urban agglomeration includes satellite cities ghaziabad faridabad gurgaon noida area known national capital region estimated population million making largest metropolitan area india second largest world,6.72,"delhia,officially,national,capital,territory,delhi,city,union,territory,india,containing,new,delhi,capital,india,straddling,yamuna,river,primarily,western,right,bank,delhi,shares,borders,state,uttar,pradesh,east,state,haryana,remaining,directions,nct,covers,area,square,kilometres,according,census,delhis,city,proper,population,million,ncts,population,million,delhis,urban,agglomeration,includes,satellite,cities,ghaziabad,faridabad,gurgaon,noida,area,known,national,capital,region,estimated,population,million,making,largest,metropolitan,area,india,second,largest,world",0.00,delhi
"the topography of the medieval fort purana qila on the banks of the river yamuna matches the literary description of the citadel indraprastha in the sanskrit epic mahabharata however excavations in the area have revealed no signs of an ancient built environment from the early th century until the mid th century delhi was the capital of two major empires the delhi sultanate and the mughal empire which covered large parts of south asia all three unesco world heritage sites in the city the qutub minar humayuns tomb and the red fort belong to this period delhi was the early centre of sufism and qawwali music  the names of nizamuddin auliya and amir khusrau are prominently associated with it the khariboli dialect of delhi was part of a linguistic development that gave rise to the literature of the urdu language and then of modern standard hindi major urdu poets from delhi include mir taqi mir and mirza ghalib delhi was a major centre of the indian rebellion of  in  new delhi a southern region within delhi became the capital of the british indian empire  during the partition of india in  delhi was transformed from a mughal city to a punjabi one losing two thirds of its muslim residents in part due to the pressure brought to bear by arriving hindu refugees from western punjab after independence in  new delhi continued as the capital of the dominion of india and after  of the republic of india  
",topography medieval fort purana qila banks river yamuna matches literary description citadel indraprastha sanskrit epic mahabharata excavations area revealed signs ancient built environment early th century mid th century delhi capital major empires delhi sultanate mughal empire covered large parts south asia unesco world heritage sites city qutub minar humayuns tomb red fort belong period delhi early centre sufism qawwali music names nizamuddin auliya amir khusrau prominently associated khariboli dialect delhi linguistic development gave rise literature urdu language modern standard hindi major urdu poets delhi include mir taqi mir mirza ghalib delhi major centre indian rebellion new delhi southern region delhi capital british indian empire partition india delhi transformed mughal city punjabi losing thirds muslim residents pressure brought bear arriving hindu refugees western punjab independence new delhi continued capital dominion india republic india,7.94,"topography,medieval,fort,purana,qila,banks,river,yamuna,matches,literary,description,citadel,indraprastha,sanskrit,epic,mahabharata,excavations,area,revealed,signs,ancient,built,environment,early,th,century,mid,th,century,delhi,capital,major,empires,delhi,sultanate,mughal,empire,covered,large,parts,south,asia,unesco,world,heritage,sites,city,qutub,minar,humayuns,tomb,red,fort,belong,period,delhi,early,centre,sufism,qawwali,music,names,nizamuddin,auliya,amir,khusrau,prominently,associated,khariboli,dialect,delhi,linguistic,development,gave,rise,literature,urdu,language,modern,standard,hindi,major,urdu,poets,delhi,include,mir,taqi,mir,mirza,ghalib,delhi,major,centre,indian,rebellion,new,delhi,southern,region,delhi,capital,british,indian,empire,partition,india,delhi,transformed,mughal,city,punjabi,losing,thirds,muslim,residents,pressure,brought,bear,arriving,hindu,refugees,western,punjab,independence,new,delhi,continued,capital,dominion,india,republic,india",0.00,delhi
"delhi ranks fifth among the indian states and union territories in human development index delhi has the second highest gdp per capita in india  although a union territory the political administration of the nct of delhi today more closely resembles that of a state of india with its own legislature high court and an executive council of ministers headed by a chief minister new delhi is jointly administered by the federal government of india and the local government of delhi and serves as the capital of the nation as well as the nct of delhi delhi is also the centre of the national capital region which is an interstate regional planning area created in 
delhi hosted the inaugural  asian games the  asian games the  non aligned movement summit the  mens hockey world cup the  commonwealth games and the  brics summit and was one of the major host cities of the  cricket world cup
",delhi ranks fifth indian states union territories human development index delhi second highest gdp capita india union territory political administration nct delhi today closely resembles state india legislature high court executive council ministers headed chief minister new delhi jointly administered federal government india local government delhi serves capital nation nct delhi delhi centre national capital region interstate regional planning area created delhi hosted inaugural asian games asian games non aligned movement summit mens hockey world cup commonwealth games brics summit major host cities cricket world cup,7.55,"delhi,ranks,fifth,indian,states,union,territories,human,development,index,delhi,second,highest,gdp,capita,india,union,territory,political,administration,nct,delhi,today,closely,resembles,state,india,legislature,high,court,executive,council,ministers,headed,chief,minister,new,delhi,jointly,administered,federal,government,india,local,government,delhi,serves,capital,nation,nct,delhi,delhi,centre,national,capital,region,interstate,regional,planning,area,created,delhi,hosted,inaugural,asian,games,asian,games,non,aligned,movement,summit,mens,hockey,world,cup,commonwealth,games,brics,summit,major,host,cities,cricket,world,cup",0.00,delhi
"there are a number of myths and legends associated with the origin of the name delhi one of them is derived from dhillu or dilu a king who built a city at this location in  bce and named it after himself another legend holds that the name of the city is based on the hindiprakrit word dhili  and that it was used by the tomaras to refer to the city because the iron pillar of delhi had a weak foundation and had to be moved according to panjab notes and queries the name of the city at the time of king prithviraj was dilpat and that dilpat and dilli are probably derived from the old hindi word dil meaning eminence the former director of the archaeological survey of india alexander cunningham mentioned that dilli later became dihlidehli some suggest the coins in circulation in the region under the tomaras were called dehliwal according to the bhavishya purana king prithiviraja of indraprastha built a new fort in the modern day purana qila area for the convenience of all four castes in his kingdom he ordered the construction of a gateway to the fort and later named the fort dehali some historians believe that dhilli or dhillika is the original name for the city while others believe the name could be a corruption of the hindustani words dehleez or dehaliboth terms meaning threshold or gatewayand symbolic of the city as a gateway to the gangetic plain
",number myths legends associated origin delhi derived dhillu dilu king built city location bce named legend holds city based hindiprakrit word dhili tomaras refer city iron pillar delhi weak foundation moved according panjab notes queries city time king prithviraj dilpat dilpat dilli probably derived old hindi word dil meaning eminence director archaeological survey india alexander cunningham mentioned dilli later dihlidehli suggest coins circulation region tomaras called dehliwal according bhavishya purana king prithiviraja indraprastha built new fort modern day purana qila area convenience castes kingdom ordered construction gateway fort later named fort dehali historians believe dhilli dhillika original city believe corruption hindustani words dehleez dehaliboth terms meaning threshold gatewayand symbolic city gateway gangetic plain,9.60,"number,myths,legends,associated,origin,delhi,derived,dhillu,dilu,king,built,city,location,bce,named,legend,holds,city,based,hindiprakrit,word,dhili,tomaras,refer,city,iron,pillar,delhi,weak,foundation,moved,according,panjab,notes,queries,city,time,king,prithviraj,dilpat,dilpat,dilli,probably,derived,old,hindi,word,dil,meaning,eminence,director,archaeological,survey,india,alexander,cunningham,mentioned,dilli,later,dihlidehli,suggest,coins,circulation,region,tomaras,called,dehliwal,according,bhavishya,purana,king,prithiviraja,indraprastha,built,new,fort,modern,day,purana,qila,area,convenience,castes,kingdom,ordered,construction,gateway,fort,later,named,fort,dehali,historians,believe,dhilli,dhillika,original,city,believe,corruption,hindustani,words,dehleez,dehaliboth,terms,meaning,threshold,gatewayand,symbolic,city,gateway,gangetic,plain",0.00,delhi
"the people of delhi are referred to as delhiites or dilliwalas the city is referenced in various idioms of the northern indo aryan languages examples include
",people delhi referred delhiites dilliwalas city referenced idioms northern indo aryan languages examples include,7.59,"people,delhi,referred,delhiites,dilliwalas,city,referenced,idioms,northern,indo,aryan,languages,examples,include",0.00,delhi
"the form delhi used in latin script and strangely with an h following an l originated under colonial rule and is a corrupt spelling based on the urdu name of the city 
",form delhi latin script strangely h following l originated colonial rule corrupt spelling based urdu city,9.52,"form,delhi,latin,script,strangely,h,following,l,originated,colonial,rule,corrupt,spelling,based,urdu,city",0.00,delhi
" traditionally seven cities have been associated with the region of delhi  the earliest indraprastha is part of a literary description in the sanskrit epic mahabharata  which situates a city on a knoll on the banks of the river yamuna  according to art historian catherine b asher the topographical description of the mahabharata matches the area of purana qila a th century ce fort of the delhi sultanate but the analogy does not go much further whereas the mahabharata speaks of a beautifully decorated city with surrounding fortification the excavations have yielded uneven findings of painted grey pottery characteristic of the eleventh century bce no signs of a built environment much fewer fortifications have been revealed
",traditionally seven cities associated region delhi earliest indraprastha literary description sanskrit epic mahabharata situates city knoll banks river yamuna according art historian catherine b asher topographical description mahabharata matches area purana qila th century ce fort delhi sultanate analogy mahabharata speaks beautifully decorated city surrounding fortification excavations yielded uneven findings painted grey pottery characteristic eleventh century bce signs built environment fewer fortifications revealed,7.12,"traditionally,seven,cities,associated,region,delhi,earliest,indraprastha,literary,description,sanskrit,epic,mahabharata,situates,city,knoll,banks,river,yamuna,according,art,historian,catherine,b,asher,topographical,description,mahabharata,matches,area,purana,qila,th,century,ce,fort,delhi,sultanate,analogy,mahabharata,speaks,beautifully,decorated,city,surrounding,fortification,excavations,yielded,uneven,findings,painted,grey,pottery,characteristic,eleventh,century,bce,signs,built,environment,fewer,fortifications,revealed",0.00,delhi
"the earliest architectural relics date back to the maurya period  in  an inscription of the mauryan emperor ashoka  was discovered near srinivaspuri remains of several major cities can be found in delhi the first of these was in the southern part of present day delhi king anang pal of the tomara dynasty built lal kot and several temples in  ce vigraharaj chauhan conquered lal kot in the mid th century and renamed it qila rai pithora
",earliest architectural relics date maurya period inscription mauryan emperor ashoka discovered near srinivaspuri remains major cities found delhi southern present day delhi king anang pal tomara dynasty built lal kot temples ce vigraharaj chauhan conquered lal kot mid th century renamed qila rai pithora,7.32,"earliest,architectural,relics,date,maurya,period,inscription,mauryan,emperor,ashoka,discovered,near,srinivaspuri,remains,major,cities,found,delhi,southern,present,day,delhi,king,anang,pal,tomara,dynasty,built,lal,kot,temples,ce,vigraharaj,chauhan,conquered,lal,kot,mid,th,century,renamed,qila,rai,pithora",0.00,delhi
"prithviraj chauhan was defeated in  by muhammad ghori in the second battle of tarain qutb ud din aibak was given the responsibility of governing the conquered territories of india after ghori returned to his capital ghor when ghori died without an heir in  ce  qutb ud din assumed control of ghoris indian possessions and laid the foundation of the delhi sultanate and the mamluk dynasty he began construction of the qutb minar and quwwat al islam  mosque the earliest extant mosque in india it was his successor iltutmish  who consolidated the turkic conquest of northern india  at  m  the qutb minar a unesco world heritage site in delhi was completed during the reign of sultan illtutmish in the th century although its style has some similarities with the jarkurgan minaret it is more closely related to the ghaznavid and ghurid minarets of central asia razia daughter of iltutmish became the sultana of delhi upon the formers death
",prithviraj chauhan defeated muhammad ghori second battle tarain qutb ud din aibak given responsibility governing conquered territories india ghori returned capital ghor ghori died heir ce qutb ud din assumed control ghoris indian possessions laid foundation delhi sultanate mamluk dynasty began construction qutb minar quwwat al islam mosque earliest extant mosque india successor iltutmish consolidated turkic conquest northern india qutb minar unesco world heritage site delhi completed reign sultan illtutmish th century style similarities jarkurgan minaret closely related ghaznavid ghurid minarets central asia razia daughter iltutmish sultana delhi formers death,7.15,"prithviraj,chauhan,defeated,muhammad,ghori,second,battle,tarain,qutb,ud,din,aibak,given,responsibility,governing,conquered,territories,india,ghori,returned,capital,ghor,ghori,died,heir,ce,qutb,ud,din,assumed,control,ghoris,indian,possessions,laid,foundation,delhi,sultanate,mamluk,dynasty,began,construction,qutb,minar,quwwat,al,islam,mosque,earliest,extant,mosque,india,successor,iltutmish,consolidated,turkic,conquest,northern,india,qutb,minar,unesco,world,heritage,site,delhi,completed,reign,sultan,illtutmish,th,century,style,similarities,jarkurgan,minaret,closely,related,ghaznavid,ghurid,minarets,central,asia,razia,daughter,iltutmish,sultana,delhi,formers,death",0.00,delhi
"for the next three hundred years delhi was ruled by a succession of turkic and an afghan lodi dynasty they built several forts and townships that are part of the seven cities of delhi delhi was a major centre of sufism during this period the mamluk sultanate  was overthrown in  by jalal ud din firuz khalji  under the second khalji ruler ala ud din khalji the delhi sultanate extended its control south of the narmada river in the deccan the delhi sultanate reached its greatest extent during the reign of muhammad bin tughluq  in an attempt to bring the whole of the deccan under control he moved his capital to daulatabad maharashtra in central india however by moving away from delhi he lost control of the north and was forced to return to delhi to restore order the southern provinces then broke away in the years following the reign of firoz shah tughlaq  the delhi sultanate rapidly began to lose its hold over its northern provinces delhi was captured and sacked by timur in  who massacred  captive civilian delhis decline continued under the sayyid dynasty  until the sultanate was reduced to delhi and its hinterland under the afghan lodi dynasty  the delhi sultanate recovered control of punjab and the gangetic plain to once again achieve domination over northern india however the recovery was short lived and the sultanate was destroyed in  by babur founder of the mughal dynasty
",years delhi ruled succession turkic afghan lodi dynasty built forts townships seven cities delhi delhi major centre sufism period mamluk sultanate overthrown jalal ud din firuz khalji second khalji ruler ala ud din khalji delhi sultanate extended control south narmada river deccan delhi sultanate reached greatest extent reign muhammad bin tughluq attempt bring deccan control moved capital daulatabad maharashtra central india moving away delhi lost control north forced return delhi restore order southern provinces broke away years following reign firoz shah tughlaq delhi sultanate rapidly began lose hold northern provinces delhi captured sacked timur massacred captive civilian delhis decline continued sayyid dynasty sultanate reduced delhi hinterland afghan lodi dynasty delhi sultanate recovered control punjab gangetic plain achieve domination northern india recovery short lived sultanate destroyed babur founder mughal dynasty,7.81,"years,delhi,ruled,succession,turkic,afghan,lodi,dynasty,built,forts,townships,seven,cities,delhi,delhi,major,centre,sufism,period,mamluk,sultanate,overthrown,jalal,ud,din,firuz,khalji,second,khalji,ruler,ala,ud,din,khalji,delhi,sultanate,extended,control,south,narmada,river,deccan,delhi,sultanate,reached,greatest,extent,reign,muhammad,bin,tughluq,attempt,bring,deccan,control,moved,capital,daulatabad,maharashtra,central,india,moving,away,delhi,lost,control,north,forced,return,delhi,restore,order,southern,provinces,broke,away,years,following,reign,firoz,shah,tughlaq,delhi,sultanate,rapidly,began,lose,hold,northern,provinces,delhi,captured,sacked,timur,massacred,captive,civilian,delhis,decline,continued,sayyid,dynasty,sultanate,reduced,delhi,hinterland,afghan,lodi,dynasty,delhi,sultanate,recovered,control,punjab,gangetic,plain,achieve,domination,northern,india,recovery,short,lived,sultanate,destroyed,babur,founder,mughal,dynasty",0.00,delhi
"in  babur a descendant of genghis khan and timur from the fergana valley in modern day uzbekistan invaded india defeated the last lodhi sultan in the first battle of panipat and founded the mughal empire that ruled from delhi and agra the mughal dynasty ruled delhi for more than three centuries with a sixteen year hiatus during the reigns of sher shah suri and hemu from  to  shah jahan built the seventh city of delhi that bears his name shahjahanabad which served as the capital of the mughal empire from  and is today known as the old city or old delhi
",babur descendant genghis khan timur fergana valley modern day uzbekistan invaded india defeated lodhi sultan battle panipat founded mughal empire ruled delhi agra mughal dynasty ruled delhi centuries sixteen year hiatus reigns sher shah suri hemu shah jahan built seventh city delhi bears shahjahanabad served capital mughal empire today known old city old delhi,8.42,"babur,descendant,genghis,khan,timur,fergana,valley,modern,day,uzbekistan,invaded,india,defeated,lodhi,sultan,battle,panipat,founded,mughal,empire,ruled,delhi,agra,mughal,dynasty,ruled,delhi,centuries,sixteen,year,hiatus,reigns,sher,shah,suri,hemu,shah,jahan,built,seventh,city,delhi,bears,shahjahanabad,served,capital,mughal,empire,today,known,old,city,old,delhi",0.00,delhi
