Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"india is the second most populated country in the world with a sixth of the worlds population according to official estimates in  indias population stood at  billion
",india second populated country world sixth worlds population according official estimates indias population stood billion,7.23,"india,second,populated,country,world,sixth,worlds,population,according,official,estimates,indias,population,stood,billion",0.00,india
"between  and  the population doubled to  billion reaching the billion mark in  india is projected to surpass china to become the worlds most populous country by  it is expected to become the first country to be home to more than  billion people by  and its population is set to reach  billion by  however its pace of population growth is slowing  in  its population growth rate was  ranking th in the world in contrast from  to  indias population grew by an annual rate of 
",population doubled billion reaching billion mark india projected surpass china worlds populous country expected country home billion people population set reach billion pace population growth slowing population growth rate ranking th world contrast indias population grew annual rate,9.49,"population,doubled,billion,reaching,billion,mark,india,projected,surpass,china,worlds,populous,country,expected,country,home,billion,people,population,set,reach,billion,pace,population,growth,slowing,population,growth,rate,ranking,th,world,contrast,indias,population,grew,annual,rate",0.00,india
"in  the median age of an indian was  years compared to  for china and  for japan and by       indias dependency ratio will be just over  however the number of children in india peaked more than a decade ago and is now falling the number of children under the age of five peaked in  and since then the number has been falling the number of indians under  years old peaked slightly later  and is now also declining
",median age indian years compared china japan indias dependency ratio number children india peaked decade ago falling number children age peaked number falling number indians years old peaked slightly later declining,10.90,"median,age,indian,years,compared,china,japan,indias,dependency,ratio,number,children,india,peaked,decade,ago,falling,number,children,age,peaked,number,falling,number,indians,years,old,peaked,slightly,later,declining",0.00,india
"india has more than two thousand ethnic groups and every major religion is represented as are four major families of languages  as well as two language isolates the nihali language spoken in parts of maharashtra and the burushaski language spoken in parts of jammu and kashmir  people in india are anglo indians and  united states citizens are living in india they represent over  of the total population of india overall only the continent of africa exceeds the linguistic genetic and cultural diversity of the nation of india
",india thousand ethnic groups major religion represented major families languages language isolates nihali language spoken parts maharashtra burushaski language spoken parts jammu kashmir people india anglo indians united states citizens living india represent total population india overall continent africa exceeds linguistic genetic cultural diversity nation india,7.77,"india,thousand,ethnic,groups,major,religion,represented,major,families,languages,language,isolates,nihali,language,spoken,parts,maharashtra,burushaski,language,spoken,parts,jammu,kashmir,people,india,anglo,indians,united,states,citizens,living,india,represent,total,population,india,overall,continent,africa,exceeds,linguistic,genetic,cultural,diversity,nation,india",0.00,india
"the following table lists estimates for the population of india  from prehistory up until  it includes estimates and growth rates according to five economic historians along with interpolated estimates and overall aggregate averages derived from their estimatescitation needed
",following table lists estimates population india prehistory includes estimates growth rates according economic historians interpolated estimates overall aggregate averages derived estimatescitation needed,5.78,"following,table,lists,estimates,population,india,prehistory,includes,estimates,growth,rates,according,economic,historians,interpolated,estimates,overall,aggregate,averages,derived,estimatescitation,needed",0.00,india
"under mughal empire india experienced a high economic and demographic upsurge due to mughal agrarian reforms that intensified agricultural production  of the population lived in urban centres higher than the percentage of the population in th century british india and contemporary europe up until the th century those estimates were criticised by tim dyson who considers them exaggerations according to dyson urbanisation of the mughal empire was less than 
",mughal empire india experienced high economic demographic upsurge mughal agrarian reforms intensified agricultural production population lived urban centres higher percentage population th century british india contemporary europe th century estimates criticised tim dyson considers exaggerations according dyson urbanisation mughal empire,6.32,"mughal,empire,india,experienced,high,economic,demographic,upsurge,mughal,agrarian,reforms,intensified,agricultural,production,population,lived,urban,centres,higher,percentage,population,th,century,british,india,contemporary,europe,th,century,estimates,criticised,tim,dyson,considers,exaggerations,according,dyson,urbanisation,mughal,empire",0.00,india
"under the reign of akbar  in  the mughal empires urban population was up to  million people larger than the urban population in europe by  mughal india had an urban population of  million people larger than british indias urban population of  million in  nizamuddin ahmad  reported that under akbars reign mughal india had  large cities and  townships a number of cities in india had a population between a quarter million and half million people with larger cities including agra  with up to  people and dhaka  with over  million people mughal india also had a large number of villages with  villages by the time of aurangzeb 
",reign akbar mughal empires urban population million people larger urban population europe mughal india urban population million people larger british indias urban population million nizamuddin ahmad reported akbars reign mughal india large cities townships number cities india population quarter million half million people larger cities including agra people dhaka million people mughal india large number villages villages time aurangzeb,7.17,"reign,akbar,mughal,empires,urban,population,million,people,larger,urban,population,europe,mughal,india,urban,population,million,people,larger,british,indias,urban,population,million,nizamuddin,ahmad,reported,akbars,reign,mughal,india,large,cities,townships,number,cities,india,population,quarter,million,half,million,people,larger,cities,including,agra,people,dhaka,million,people,mughal,india,large,number,villages,villages,time,aurangzeb",0.00,india
"the population of india under the british raj  according to censuses
",population india british raj according censuses,7.25,"population,india,british,raj,according,censuses",0.00,india
"india occupies  of the worlds land area but supports over  of the worlds population at the  census  of the population lived in about  villages and the remaining  lived in more than  towns and over  urban agglomerations
",india occupies worlds land area supports worlds population census population lived villages remaining lived towns urban agglomerations,8.68,"india,occupies,worlds,land,area,supports,worlds,population,census,population,lived,villages,remaining,lived,towns,urban,agglomerations",0.00,india
"indias population exceeded that of the entire continent of africa by  million people in  however because africas population growth is nearly double that of india it is expected to surpass both china and india by citation needed
",indias population exceeded entire continent africa million people africas population growth nearly double india expected surpass china india citation needed,7.46,"indias,population,exceeded,entire,continent,africa,million,people,africas,population,growth,nearly,double,india,expected,surpass,china,india,citation,needed",0.00,india
"the table below represents the infant mortality rate trends in india based on sex over the last  years in the urban areas of india average male infant mortality rates are slightly higher than average female infant mortality rates
",table represents infant mortality rate trends india based sex years urban areas india average male infant mortality rates slightly higher average female infant mortality rates,5.65,"table,represents,infant,mortality,rate,trends,india,based,sex,years,urban,areas,india,average,male,infant,mortality,rates,slightly,higher,average,female,infant,mortality,rates",0.00,india
"some activists believe indias  census shows a serious decline in the number of girls under the age of seven  activists posit that eight million female fetuses may have been aborted between  and  these claims are controversial scientists who study human sex ratios and demographic trends suggest that a birth sex ratio between  and  can be due to natural factors such as the age of mother at the babys birth the age of father at conception number of babies per couple economic stress endocrinological factors and others the  census birth sex ratio in india of  girls to  boys is similar to birth sex ratios  observed in japanese chinese cuban filipino and hawaiian ethnic groups in the united states between  and  they are also similar to birth sex ratios  observed in mothers of different age groups and gestation periods in the united states
",activists believe indias census shows decline number girls age seven activists posit million female fetuses aborted claims controversial scientists study human sex ratios demographic trends suggest birth sex ratio natural factors age mother babys birth age father conception number babies couple economic stress endocrinological factors census birth sex ratio india girls boys similar birth sex ratios observed japanese chinese cuban filipino hawaiian ethnic groups united states similar birth sex ratios observed mothers different age groups gestation periods united states,7.35,"activists,believe,indias,census,shows,decline,number,girls,age,seven,activists,posit,million,female,fetuses,aborted,claims,controversial,scientists,study,human,sex,ratios,demographic,trends,suggest,birth,sex,ratio,natural,factors,age,mother,babys,birth,age,father,conception,number,babies,couple,economic,stress,endocrinological,factors,census,birth,sex,ratio,india,girls,boys,similar,birth,sex,ratios,observed,japanese,chinese,cuban,filipino,hawaiian,ethnic,groups,united,states,similar,birth,sex,ratios,observed,mothers,different,age,groups,gestation,periods,united,states",0.00,india
"mother tongue languages of india 
",mother tongue languages india,2.94,"mother,tongue,languages,india",0.00,india
"according to the  census  of the indians spoke hindi natively while the rest spoke assamese bengali gujarati maithili kannada malayalam marathi odia punjabi tamil telugu urdu and a variety of other languages there are a total of  languages and  mother tongues spoken in india of these  languages are specified in the eighth schedule of indian constitution while  are non specified
",according census indians spoke hindi natively rest spoke assamese bengali gujarati maithili kannada malayalam marathi odia punjabi tamil telugu urdu variety languages total languages mother tongues spoken india languages specified eighth schedule indian constitution non specified,6.30,"according,census,indians,spoke,hindi,natively,rest,spoke,assamese,bengali,gujarati,maithili,kannada,malayalam,marathi,odia,punjabi,tamil,telugu,urdu,variety,languages,total,languages,mother,tongues,spoken,india,languages,specified,eighth,schedule,indian,constitution,non,specified",0.00,india
"see languages of india and list of languages by number of native speakers in india there are  languages with more than  native speakers in india the largest of these is hindi with some  million and the second largest is bengali with  million  languages are recognised as official languages in india there are  languages and dialects in total
",languages india list languages number native speakers india languages native speakers india largest hindi million second largest bengali million languages recognised official languages india languages dialects total,8.77,"languages,india,list,languages,number,native,speakers,india,languages,native,speakers,india,largest,hindi,million,second,largest,bengali,million,languages,recognised,official,languages,india,languages,dialects,total",0.00,india
