Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"as of  the kingdom of denmark including the faroe islands and greenland has a total of  islands above  square metres   of which have been named and of which  are inhabited spanning a total area of  km  metropolitan denmark consists of the northern part of the jutland peninsula and an archipelago of  islands of these the most populated island is zealand on which the capital copenhagen is situated followed by funen the north jutlandic island and amager denmarks geography is characterised by flat arable land sandy coasts low elevation and a temperate climate as of  it had a population of  million  of which  live in the capital and largest city copenhagen denmark exercises hegemonic influence in the danish realm devolving powers to handle internal affairs home rule was established in the faroe islands in  and in greenland in  the latter obtained further autonomy in 
",kingdom denmark including faroe islands greenland total islands square metres named inhabited spanning total area km metropolitan denmark consists northern jutland peninsula archipelago islands populated island zealand capital copenhagen situated followed funen north jutlandic island amager denmarks geography characterised flat arable land sandy coasts low elevation temperate climate population million live capital largest city copenhagen denmark exercises hegemonic influence danish realm devolving powers handle internal affairs home rule established faroe islands greenland obtained autonomy,7.89,"kingdom,denmark,including,faroe,islands,greenland,total,islands,square,metres,named,inhabited,spanning,total,area,km,metropolitan,denmark,consists,northern,jutland,peninsula,archipelago,islands,populated,island,zealand,capital,copenhagen,situated,followed,funen,north,jutlandic,island,amager,denmarks,geography,characterised,flat,arable,land,sandy,coasts,low,elevation,temperate,climate,population,million,live,capital,largest,city,copenhagen,denmark,exercises,hegemonic,influence,danish,realm,devolving,powers,handle,internal,affairs,home,rule,established,faroe,islands,greenland,obtained,autonomy",0.00,danish
"an industrialised exporter of agricultural produce in the second half of the th century denmark introduced social and labour market reforms in the early th century which formed the basis for the present welfare state model and advanced mixed economy denmark remained neutral during world war i but regained the northern half of schleswig in  danish neutrality was violated in world war ii following a swift german invasion in april  during occupation a resistance movement emerged in  while iceland declared independence in  denmark was liberated in may  in  denmark together with greenland but not the faroes became a member of what is now the european union but negotiated certain opt outs such as retaining its own currency the krone
",industrialised exporter agricultural produce second half th century denmark introduced social labour market reforms early th century formed basis present welfare state model advanced mixed economy denmark remained neutral world war regained northern half schleswig danish neutrality violated world war ii following swift german invasion april occupation resistance movement emerged iceland declared independence denmark liberated denmark greenland faroes member european union negotiated certain opt outs retaining currency krone,6.92,"industrialised,exporter,agricultural,produce,second,half,th,century,denmark,introduced,social,labour,market,reforms,early,th,century,formed,basis,present,welfare,state,model,advanced,mixed,economy,denmark,remained,neutral,world,war,regained,northern,half,schleswig,danish,neutrality,violated,world,war,ii,following,swift,german,invasion,april,occupation,resistance,movement,emerged,iceland,declared,independence,denmark,liberated,denmark,greenland,faroes,member,european,union,negotiated,certain,opt,outs,retaining,currency,krone",0.00,danish
"denmark is a highly developed country with a high standard of living the country performs at or near the top in measures of education health care civil liberties democratic governance and lgbt equality denmark is a founding member of nato the nordic council the oecd osce and the united nations it is also part of the schengen area denmark maintains close political cultural and linguistic ties with its scandinavian neighbours with the danish language being partially mutually intelligible with both norwegian and swedish
",denmark highly developed country high standard living country performs near measures education health care civil liberties democratic governance lgbt equality denmark founding member nato nordic council oecd osce united nations schengen area denmark maintains close political cultural linguistic ties scandinavian neighbours danish language partially mutually intelligible norwegian swedish,6.69,"denmark,highly,developed,country,high,standard,living,country,performs,near,measures,education,health,care,civil,liberties,democratic,governance,lgbt,equality,denmark,founding,member,nato,nordic,council,oecd,osce,united,nations,schengen,area,denmark,maintains,close,political,cultural,linguistic,ties,scandinavian,neighbours,danish,language,partially,mutually,intelligible,norwegian,swedish",0.00,danish
"the tribal danes came from the east danish islands  and scania and spoke an early form of north germanic historians believe that before their arrival most of jutland and the nearest islands were settled by tribal jutes the jutes migrated to great britain eventually some as mercenaries of brythonic king vortigern and were granted the south eastern territories of kent the isle of wight and other areas where they settled they were later absorbed or ethnically cleansed by the invading angles and saxons who formed the anglo saxons the remaining jutish population in jutland assimilated in with the settling danes
",tribal danes came east danish islands scania spoke early form north germanic historians believe arrival jutland nearest islands settled tribal jutes jutes migrated great britain eventually mercenaries brythonic king vortigern granted south eastern territories kent isle wight areas settled later absorbed ethnically cleansed invading angles saxons formed anglo saxons remaining jutish population jutland assimilated settling danes,7.17,"tribal,danes,came,east,danish,islands,scania,spoke,early,form,north,germanic,historians,believe,arrival,jutland,nearest,islands,settled,tribal,jutes,jutes,migrated,great,britain,eventually,mercenaries,brythonic,king,vortigern,granted,south,eastern,territories,kent,isle,wight,areas,settled,later,absorbed,ethnically,cleansed,invading,angles,saxons,formed,anglo,saxons,remaining,jutish,population,jutland,assimilated,settling,danes",0.00,danish
"a short note about the dani in getica by the historian jordanes is believed to be an early mention of the danes one of the ethnic groups from whom modern danes are descended the danevirke defence structures were built in phases from the rd century forward and the sheer size of the construction efforts in ad  are attributed to the emergence of a danish king a new runic alphabet was first used around the same time and ribe the oldest town of denmark was founded about ad 
",short note dani getica historian jordanes believed early mention danes ethnic groups modern danes descended danevirke defence structures built phases rd century forward sheer size construction efforts ad attributed emergence danish king new runic alphabet time ribe oldest town denmark founded ad,9.49,"short,note,dani,getica,historian,jordanes,believed,early,mention,danes,ethnic,groups,modern,danes,descended,danevirke,defence,structures,built,phases,rd,century,forward,sheer,size,construction,efforts,ad,attributed,emergence,danish,king,new,runic,alphabet,time,ribe,oldest,town,denmark,founded,ad",0.00,danish
"from the th to the th century the wider scandinavian region was the source of vikings they colonised raided and traded in all parts of europe the danish vikings were most active in the eastern and southern british isles and western europe they settled in parts of england  under king sweyn forkbeard in  and in france where danes and norwegians were allowed to settle in what would become normandy in exchange of allegiance to robert i of france with rollo as first ruler some anglo saxon pence of this period have been found in denmark
",th th century wider scandinavian region source vikings colonised raided traded parts europe danish vikings active eastern southern british isles western europe settled parts england king sweyn forkbeard france danes norwegians allowed settle normandy exchange allegiance robert france rollo ruler anglo saxon pence period found denmark,9.12,"th,th,century,wider,scandinavian,region,source,vikings,colonised,raided,traded,parts,europe,danish,vikings,active,eastern,southern,british,isles,western,europe,settled,parts,england,king,sweyn,forkbeard,france,danes,norwegians,allowed,settle,normandy,exchange,allegiance,robert,france,rollo,ruler,anglo,saxon,pence,period,found,denmark",0.00,danish
"denmark was largely consolidated by the late th century and its rulers are consistently referred to in frankish sources as kings  under the reign of gudfred in  the danish kingdom may have included all the lands of jutland scania and the danish islands excluding bornholm
",denmark largely consolidated late th century rulers consistently referred frankish sources kings reign gudfred danish kingdom included lands jutland scania danish islands excluding bornholm,7.72,"denmark,largely,consolidated,late,th,century,rulers,consistently,referred,frankish,sources,kings,reign,gudfred,danish,kingdom,included,lands,jutland,scania,danish,islands,excluding,bornholm",0.00,danish
"the extant danish monarchy traces its roots back to gorm the old who established his reign in the early th century as attested by the jelling stones the danes were christianised around  by harald bluetooth the son of gorm it is believed that denmark became christian for political reasons so as not to get invaded by the holy roman empire a rising christian power in europe the holy roman empire was an important trading partner for the danes as a deterrent against this threat harald built six fortresses around denmark called trelleborg and built a further danevirke in the early th century canute the great won and united denmark england and norway for almost  years with a scandinavian army
",extant danish monarchy traces roots gorm old established reign early th century attested jelling stones danes christianised harald bluetooth son gorm believed denmark christian political reasons invaded holy roman empire rising christian power europe holy roman empire important trading partner danes deterrent threat harald built fortresses denmark called trelleborg built danevirke early th century canute great united denmark england norway years scandinavian army,8.06,"extant,danish,monarchy,traces,roots,gorm,old,established,reign,early,th,century,attested,jelling,stones,danes,christianised,harald,bluetooth,son,gorm,believed,denmark,christian,political,reasons,invaded,holy,roman,empire,rising,christian,power,europe,holy,roman,empire,important,trading,partner,danes,deterrent,threat,harald,built,fortresses,denmark,called,trelleborg,built,danevirke,early,th,century,canute,great,united,denmark,england,norway,years,scandinavian,army",0.00,danish
"throughout the high and late middle ages denmark also included skneland  and danish kings ruled danish estonia as well as the duchies of schleswig and holstein most of the latter two now form the state of schleswig holstein in northern germany
",high late middle ages denmark included skneland danish kings ruled danish estonia duchies schleswig holstein form state schleswig holstein northern germany,8.20,"high,late,middle,ages,denmark,included,skneland,danish,kings,ruled,danish,estonia,duchies,schleswig,holstein,form,state,schleswig,holstein,northern,germany",0.00,danish
"after sweden permanently broke away from the personal union denmark tried on several occasions to reassert control over its neighbour king christian iv attacked sweden in the  kalmar war but failed to accomplish his main objective of forcing it to return to the union the war led to no territorial changes but sweden was forced to pay a war indemnity of  million silver riksdaler to denmark an amount known as the lvsborg ransom king christian used this money to found several towns and fortresses most notably glckstadt  and christiania inspired by the dutch east india company he founded a similar danish company and planned to claim ceylon as a colony but the company only managed to acquire tranquebar on indias coromandel coast denmarks large colonial aspirations included a few key trading posts in africa and india while denmarks trading posts in india were of little note it played an important role in the highly lucrative atlantic slave trade through its trading outposts in fort christiansborg in osu ghana through which  million slaves were traded while the danish colonial empire was sustained by trade with other major powers and plantations  ultimately a lack of resources led to its stagnation
",sweden permanently broke away personal union denmark tried occasions reassert control neighbour king christian iv attacked sweden kalmar war failed accomplish main objective forcing return union war led territorial changes sweden forced pay war indemnity million silver riksdaler denmark known lvsborg ransom king christian money found towns fortresses notably glckstadt christiania inspired dutch east india company founded similar danish company planned claim ceylon colony company managed acquire tranquebar indias coromandel coast denmarks large colonial aspirations included key trading posts africa india denmarks trading posts india little note played important role highly lucrative atlantic slave trade trading outposts fort christiansborg osu ghana million slaves traded danish colonial empire sustained trade major powers plantations ultimately lack resources led stagnation,6.69,"sweden,permanently,broke,away,personal,union,denmark,tried,occasions,reassert,control,neighbour,king,christian,iv,attacked,sweden,kalmar,war,failed,accomplish,main,objective,forcing,return,union,war,led,territorial,changes,sweden,forced,pay,war,indemnity,million,silver,riksdaler,denmark,known,lvsborg,ransom,king,christian,money,found,towns,fortresses,notably,glckstadt,christiania,inspired,dutch,east,india,company,founded,similar,danish,company,planned,claim,ceylon,colony,company,managed,acquire,tranquebar,indias,coromandel,coast,denmarks,large,colonial,aspirations,included,key,trading,posts,africa,india,denmarks,trading,posts,india,little,note,played,important,role,highly,lucrative,atlantic,slave,trade,trading,outposts,fort,christiansborg,osu,ghana,million,slaves,traded,danish,colonial,empire,sustained,trade,major,powers,plantations,ultimately,lack,resources,led,stagnation",0.00,danish
