Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"dhaka  formerly known as dacca is the capital and largest city of bangladesh it was established as jahangirnagar in  by the mughal empire jahangir which made it the capital of bengal subah  it is the sixth largest and seventh most densely populated city in the world with a population of  million residents as of  and a population of over  million residents in greater dhaka according to a demographia survey dhaka has the most densely populated built up urban area in the world and is popularly described as such in the news media dhaka is one of the major cities of south asia and a major global muslim majority city dhaka ranks third in south asia and th in the world in terms of urban gdp as a part of the bengal delta the city is bounded by the buriganga river turag river dhaleshwari river and shitalakshya river the city holds the distinction as the worlds largest bengali speaking city
",dhaka known dacca capital largest city bangladesh established jahangirnagar mughal empire jahangir capital bengal subah sixth largest seventh densely populated city world population million residents population million residents greater dhaka according demographia survey dhaka densely populated built urban area world popularly described news media dhaka major cities south asia major global muslim majority city dhaka ranks south asia th world terms urban gdp bengal delta city bounded buriganga river turag river dhaleshwari river shitalakshya river city holds distinction worlds largest bengali speaking city,8.50,"dhaka,known,dacca,capital,largest,city,bangladesh,established,jahangirnagar,mughal,empire,jahangir,capital,bengal,subah,sixth,largest,seventh,densely,populated,city,world,population,million,residents,population,million,residents,greater,dhaka,according,demographia,survey,dhaka,densely,populated,built,urban,area,world,popularly,described,news,media,dhaka,major,cities,south,asia,major,global,muslim,majority,city,dhaka,ranks,south,asia,th,world,terms,urban,gdp,bengal,delta,city,bounded,buriganga,river,turag,river,dhaleshwari,river,shitalakshya,river,city,holds,distinction,worlds,largest,bengali,speaking,city",0.00,dhaka
"the area of dhaka has been inhabited since the first millennium an early modern city developed from the th century as a provincial capital and commercial centre of the mughal empire dhaka was the capital of a proto industrialised mughal bengal for  years  it was the hub of the muslin trade in bengal and one of the most prosperous cities in the world the mughal city was named jahangirnagar  in honour of the erstwhile ruling emperor jahangir the citys wealthy mughal elite included princes and the sons of mughal emperors the pre colonial citys glory peaked in the th and th centuries when it was home to merchants from across eurasia the port of dhaka was a major trading post for both riverine and seaborne trade the mughals decorated the city with well laid gardens tombs mosques palaces and forts the city was once called the venice of the east under british rule the city saw the introduction of electricity railways cinemas western style universities and colleges and a modern water supply it became an important administrative and educational centre in the british raj as the capital of eastern bengal and assam province after  in  after the end of british rule the city became the administrative capital of east pakistan it was declared the legislative capital of pakistan in  in  after the liberation war it became the capital of independent bangladesh in  dhaka celebrated  years as a municipal city
",area dhaka inhabited millennium early modern city developed th century provincial capital commercial centre mughal empire dhaka capital proto industrialised mughal bengal years hub muslin trade bengal prosperous cities world mughal city named jahangirnagar honour erstwhile ruling emperor jahangir citys wealthy mughal elite included princes sons mughal emperors pre colonial citys glory peaked th th centuries home merchants eurasia port dhaka major trading post riverine seaborne trade mughals decorated city laid gardens tombs mosques palaces forts city called venice east british rule city saw introduction electricity railways cinemas western style universities colleges modern water supply important administrative educational centre british raj capital eastern bengal assam province end british rule city administrative capital east pakistan declared legislative capital pakistan liberation war capital independent bangladesh dhaka celebrated years municipal city,7.86,"area,dhaka,inhabited,millennium,early,modern,city,developed,th,century,provincial,capital,commercial,centre,mughal,empire,dhaka,capital,proto,industrialised,mughal,bengal,years,hub,muslin,trade,bengal,prosperous,cities,world,mughal,city,named,jahangirnagar,honour,erstwhile,ruling,emperor,jahangir,citys,wealthy,mughal,elite,included,princes,sons,mughal,emperors,pre,colonial,citys,glory,peaked,th,th,centuries,home,merchants,eurasia,port,dhaka,major,trading,post,riverine,seaborne,trade,mughals,decorated,city,laid,gardens,tombs,mosques,palaces,forts,city,called,venice,east,british,rule,city,saw,introduction,electricity,railways,cinemas,western,style,universities,colleges,modern,water,supply,important,administrative,educational,centre,british,raj,capital,eastern,bengal,assam,province,end,british,rule,city,administrative,capital,east,pakistan,declared,legislative,capital,pakistan,liberation,war,capital,independent,bangladesh,dhaka,celebrated,years,municipal,city",0.00,dhaka
"a beta global city dhaka is the centre of political economic and culture life in bangladesh it is the seat of the government of bangladesh many bangladeshi companies and leading bangladeshi educational scientific research and cultural organizations since its establishment as a modern capital city the population area and social and economic diversity of dhaka have grown tremendously the city is now one of the most densely industrialized regions in the country the city accounts for  of bangladeshs economy the dhaka stock exchange has over  listed companies dhaka hosts over  diplomatic missions as well as the headquarters of bimstec cirdap and the international jute study group dhaka has a renowned culinary heritage the citys culture is known for its rickshaws biryani art festivals and religious diversity the old city is home to around  buildings from the mughal and british periods since  the city saw significant growth in its publishing industry including the emergence of a thriving press in bengali literature dhakas heritage has been  reflected in the works of akhteruzzaman elias tahmima anam shazia omar and other bangladeshi writers
",beta global city dhaka centre political economic culture life bangladesh seat government bangladesh bangladeshi companies leading bangladeshi educational scientific research cultural organizations establishment modern capital city population area social economic diversity dhaka grown tremendously city densely industrialized regions country city accounts bangladeshs economy dhaka stock exchange listed companies dhaka hosts diplomatic missions headquarters bimstec cirdap international jute study group dhaka renowned culinary heritage citys culture known rickshaws biryani art festivals religious diversity old city home buildings mughal british periods city saw significant growth publishing industry including emergence thriving press bengali literature dhakas heritage reflected works akhteruzzaman elias tahmima anam shazia omar bangladeshi writers,6.60,"beta,global,city,dhaka,centre,political,economic,culture,life,bangladesh,seat,government,bangladesh,bangladeshi,companies,leading,bangladeshi,educational,scientific,research,cultural,organizations,establishment,modern,capital,city,population,area,social,economic,diversity,dhaka,grown,tremendously,city,densely,industrialized,regions,country,city,accounts,bangladeshs,economy,dhaka,stock,exchange,listed,companies,dhaka,hosts,diplomatic,missions,headquarters,bimstec,cirdap,international,jute,study,group,dhaka,renowned,culinary,heritage,citys,culture,known,rickshaws,biryani,art,festivals,religious,diversity,old,city,home,buildings,mughal,british,periods,city,saw,significant,growth,publishing,industry,including,emergence,thriving,press,bengali,literature,dhakas,heritage,reflected,works,akhteruzzaman,elias,tahmima,anam,shazia,omar,bangladeshi,writers",0.00,dhaka
"the origins of the name dhaka are uncertain once dhak trees were very common in the area and the name may have originated from it another popular theory states that dhaka refers to a membranophone instrument dhak which was played by order of subahdar islam khan i during the inauguration of the bengal capital in 
",origins dhaka uncertain dhak trees common area originated popular theory states dhaka refers membranophone instrument dhak played order subahdar islam khan inauguration bengal capital,9.87,"origins,dhaka,uncertain,dhak,trees,common,area,originated,popular,theory,states,dhaka,refers,membranophone,instrument,dhak,played,order,subahdar,islam,khan,inauguration,bengal,capital",0.00,dhaka
"some references also say it was derived from a prakrit dialect called dhaka bhasa or dhakka used in the rajtarangini for a watch station or it is the same as davaka mentioned in the allahabad pillar inscription of samudragupta as an eastern frontier kingdom according to rajatarangini written by a kashmiri brahman kalhana the region was originally known as dhakka the word dhakka means watchtower bikrampur and sonargaonthe earlier strongholds of bengal rulers were situated nearby so dhaka was most likely used as the watchtower for the fortification purpose
",references derived prakrit dialect called dhaka bhasa dhakka rajtarangini watch station davaka mentioned allahabad pillar inscription samudragupta eastern frontier kingdom according rajatarangini written kashmiri brahman kalhana region originally known dhakka word dhakka means watchtower bikrampur sonargaonthe earlier strongholds bengal rulers situated nearby dhaka likely watchtower fortification purpose,7.49,"references,derived,prakrit,dialect,called,dhaka,bhasa,dhakka,rajtarangini,watch,station,davaka,mentioned,allahabad,pillar,inscription,samudragupta,eastern,frontier,kingdom,according,rajatarangini,written,kashmiri,brahman,kalhana,region,originally,known,dhakka,word,dhakka,means,watchtower,bikrampur,sonargaonthe,earlier,strongholds,bengal,rulers,situated,nearby,dhaka,likely,watchtower,fortification,purpose",0.00,dhaka
"the history of urban settlements in the area of modern day dhaka dates to the first millennium the region was part of the ancient district of bikrampur which was ruled by the sena dynasty under islamic rule it became part of the historic district of sonargaon the regional administrative hub of the delhi and the bengal sultanates the grand trunk road passed through the region connecting it with north india central asia and the southeastern port city of chittagong before dhaka the capital of bengal was gour even earlier capitals included pandua bikrampur and sonargaon the latter was also the seat of isa khan and his son musa khan who both headed a confederation of twelve chieftains that resisted mughal expansion in eastern bengal during the late th century due to a change in the course of the ganges the strategic importance of gour was lost dhaka was viewed with strategic importance due to the mughal need to consolidate control in eastern bengal the mughals also planned to extend their empire beyond into assam and arakan dhaka and chittagong became the eastern frontiers of the mughal empire
",history urban settlements area modern day dhaka dates millennium region ancient district bikrampur ruled sena dynasty islamic rule historic district sonargaon regional administrative hub delhi bengal sultanates grand trunk road passed region connecting north india central asia southeastern port city chittagong dhaka capital bengal gour earlier capitals included pandua bikrampur sonargaon seat isa khan son musa khan headed confederation chieftains resisted mughal expansion eastern bengal late th century change course ganges strategic importance gour lost dhaka viewed strategic importance mughal need consolidate control eastern bengal mughals planned extend empire assam arakan dhaka chittagong eastern frontiers mughal empire,8.14,"history,urban,settlements,area,modern,day,dhaka,dates,millennium,region,ancient,district,bikrampur,ruled,sena,dynasty,islamic,rule,historic,district,sonargaon,regional,administrative,hub,delhi,bengal,sultanates,grand,trunk,road,passed,region,connecting,north,india,central,asia,southeastern,port,city,chittagong,dhaka,capital,bengal,gour,earlier,capitals,included,pandua,bikrampur,sonargaon,seat,isa,khan,son,musa,khan,headed,confederation,chieftains,resisted,mughal,expansion,eastern,bengal,late,th,century,change,course,ganges,strategic,importance,gour,lost,dhaka,viewed,strategic,importance,mughal,need,consolidate,control,eastern,bengal,mughals,planned,extend,empire,assam,arakan,dhaka,chittagong,eastern,frontiers,mughal,empire",0.00,dhaka
"dhaka became the capital of the mughal province of bengal bihar and orissa in  with a jurisdiction covering modern day bangladesh and eastern india including the modern day indian states of west bengal bihar and orissa this province was known as bengal subah dhaka became one of the richest and greatest cities in the world during the early period of bengal subah  the prosperity of dhaka reached its peak during the administration of governor shaista khan  rice was then sold at eight maunds per rupee thomas bowrey an english merchant sailor who visited the city between  and  wrote that the city was  miles in circuit he estimated the city to be more populated than london with  people
",dhaka capital mughal province bengal bihar orissa jurisdiction covering modern day bangladesh eastern india including modern day indian states west bengal bihar orissa province known bengal subah dhaka richest greatest cities world early period bengal subah prosperity dhaka reached peak administration governor shaista khan rice sold maunds rupee thomas bowrey english merchant sailor visited city wrote city miles circuit estimated city populated london people,7.69,"dhaka,capital,mughal,province,bengal,bihar,orissa,jurisdiction,covering,modern,day,bangladesh,eastern,india,including,modern,day,indian,states,west,bengal,bihar,orissa,province,known,bengal,subah,dhaka,richest,greatest,cities,world,early,period,bengal,subah,prosperity,dhaka,reached,peak,administration,governor,shaista,khan,rice,sold,maunds,rupee,thomas,bowrey,english,merchant,sailor,visited,city,wrote,city,miles,circuit,estimated,city,populated,london,people",0.00,dhaka
"bengal became the economic engine of the mughal empire dhaka played a key role in the proto industrialisation of bengal it was the centre of the muslin trade in bengal leading to muslin being called daka in distant markets as far away as central asia mughal india depended on bengali products like rice silk and cotton textiles european east india companies from britain holland france and denmark also depended on bengali products bengal accounted for  of dutch imports from asia with many products being sold to dutch ships in bengali harbors and then transported to batavia in the dutch east indies bengal accounted for  of textiles and  of silks in dutch textile imports from asia silk was also exported to premodern japan the region had a large shipbuilding industry which supplied the mughal navy the shipbuilding output of bengal during the th and th centuries stood at  tons annually compared to  tons produced by north america from  to  the mughals decorated the city with well laid out gardens caravanserai included the bara katra and choto katra the architect of the palatial bara katra was abul qashim al hussaini attabatayi assemani  according to inscriptions in the bangladesh national museum the ownership of bara katra was entrusted to an islamic waqf  the bara katra also served as a residence for mughal governors including prince shah shuja  dhaka was home to an array of mughal bureaucrats and military officials as well as members of the imperial family the city was guarded by mughal artillery like the bibi mariam cannon 
",bengal economic engine mughal empire dhaka played key role proto industrialisation bengal centre muslin trade bengal leading muslin called daka distant markets far away central asia mughal india depended bengali products like rice silk cotton textiles european east india companies britain holland france denmark depended bengali products bengal accounted dutch imports asia products sold dutch ships bengali harbors transported batavia dutch east indies bengal accounted textiles silks dutch textile imports asia silk exported premodern japan region large shipbuilding industry supplied mughal navy shipbuilding output bengal th th centuries stood tons annually compared tons produced north america mughals decorated city laid gardens caravanserai included bara katra choto katra architect palatial bara katra abul qashim al hussaini attabatayi assemani according inscriptions bangladesh national museum ownership bara katra entrusted islamic waqf bara katra served residence mughal governors including prince shah shuja dhaka home array mughal bureaucrats military officials members imperial family city guarded mughal artillery like bibi mariam cannon,6.47,"bengal,economic,engine,mughal,empire,dhaka,played,key,role,proto,industrialisation,bengal,centre,muslin,trade,bengal,leading,muslin,called,daka,distant,markets,far,away,central,asia,mughal,india,depended,bengali,products,like,rice,silk,cotton,textiles,european,east,india,companies,britain,holland,france,denmark,depended,bengali,products,bengal,accounted,dutch,imports,asia,products,sold,dutch,ships,bengali,harbors,transported,batavia,dutch,east,indies,bengal,accounted,textiles,silks,dutch,textile,imports,asia,silk,exported,premodern,japan,region,large,shipbuilding,industry,supplied,mughal,navy,shipbuilding,output,bengal,th,th,centuries,stood,tons,annually,compared,tons,produced,north,america,mughals,decorated,city,laid,gardens,caravanserai,included,bara,katra,choto,katra,architect,palatial,bara,katra,abul,qashim,al,hussaini,attabatayi,assemani,according,inscriptions,bangladesh,national,museum,ownership,bara,katra,entrusted,islamic,waqf,bara,katra,served,residence,mughal,governors,including,prince,shah,shuja,dhaka,home,array,mughal,bureaucrats,military,officials,members,imperial,family,city,guarded,mughal,artillery,like,bibi,mariam,cannon",0.00,dhaka
"islam khan i was the first mughal governor to reside in the city khan named it jahangir nagar  in honour of the emperor jahangir the name was dropped soon after the english conquered the main expansion of the city took place under governor shaista khan the city then measured  by  kilometres  with a population of nearly one million dhaka became home to one of the richest elites in mughal india
the construction of lalbagh fort was commenced in  by prince azam shah who was the governor of bengal a son of emperor aurangzeb and a future mughal emperor himself the lalbagh fort was intended to be the viceregal residence of mughal governors in eastern india before the forts construction could be completed the prince was recalled by emperor aurangzeb the forts construction was halted by shaista khan after the death of his daughter pari bibi who is buried in a tomb in the centre of the unfinished fort pari bibi whose name means fairy lady was legendary for her beauty engaged to prince azam shah and a potential future mughal empress before her premature death internal conflict in the mughal court cut short dhakas growth as an imperial city prince azam shahs rivalry with murshid quli khan resulted in dhaka losing its status as the provincial capital in  the provincial capital was shifted to murshidabad where murshid quli khan declared himself as the nawab of bengal
",islam khan mughal governor reside city khan named jahangir nagar honour emperor jahangir dropped soon english conquered main expansion city took place governor shaista khan city measured kilometres population nearly million dhaka home richest elites mughal indiathe construction lalbagh fort commenced prince azam shah governor bengal son emperor aurangzeb future mughal emperor lalbagh fort intended viceregal residence mughal governors eastern india forts construction completed prince recalled emperor aurangzeb forts construction halted shaista khan death daughter pari bibi buried tomb centre unfinished fort pari bibi means fairy lady legendary beauty engaged prince azam shah potential future mughal empress premature death internal conflict mughal court cut short dhakas growth imperial city prince azam shahs rivalry murshid quli khan resulted dhaka losing status provincial capital provincial capital shifted murshidabad murshid quli khan declared nawab bengal,7.56,"islam,khan,mughal,governor,reside,city,khan,named,jahangir,nagar,honour,emperor,jahangir,dropped,soon,english,conquered,main,expansion,city,took,place,governor,shaista,khan,city,measured,kilometres,population,nearly,million,dhaka,home,richest,elites,mughal,indiathe,construction,lalbagh,fort,commenced,prince,azam,shah,governor,bengal,son,emperor,aurangzeb,future,mughal,emperor,lalbagh,fort,intended,viceregal,residence,mughal,governors,eastern,india,forts,construction,completed,prince,recalled,emperor,aurangzeb,forts,construction,halted,shaista,khan,death,daughter,pari,bibi,buried,tomb,centre,unfinished,fort,pari,bibi,means,fairy,lady,legendary,beauty,engaged,prince,azam,shah,potential,future,mughal,empress,premature,death,internal,conflict,mughal,court,cut,short,dhakas,growth,imperial,city,prince,azam,shahs,rivalry,murshid,quli,khan,resulted,dhaka,losing,status,provincial,capital,provincial,capital,shifted,murshidabad,murshid,quli,khan,declared,nawab,bengal",0.00,dhaka
"under the nawabs of bengal the naib nazim of dhaka was in charge of the city as the principal tax collector the annual revenue of the naib nazim was  million rupees which was a staggeringly high amount in that era the naib nazim was the deputy governor of bengal he also dealt with the upkeep of the mughal navy the naib nazim was in charge of dhaka division which included dhaka comilla and chittagong dhaka division was one of the four divisions under the nawabs of bengal the nawabs of bengal allowed european trading companies to establish factories across bengal the region then became a hotbed for european rivalries the british moved to oust the last independent nawab of bengal in  who was allied with the french due to the defection of the nawabs army chief mir jafar to the british side the last nawab lost the battle of plassey
",nawabs bengal naib nazim dhaka charge city principal tax collector annual revenue naib nazim million rupees staggeringly high era naib nazim deputy governor bengal dealt upkeep mughal navy naib nazim charge dhaka division included dhaka comilla chittagong dhaka division divisions nawabs bengal nawabs bengal allowed european trading companies establish factories bengal region hotbed european rivalries british moved oust independent nawab bengal allied french defection nawabs army chief mir jafar british nawab lost battle plassey,9.06,"nawabs,bengal,naib,nazim,dhaka,charge,city,principal,tax,collector,annual,revenue,naib,nazim,million,rupees,staggeringly,high,era,naib,nazim,deputy,governor,bengal,dealt,upkeep,mughal,navy,naib,nazim,charge,dhaka,division,included,dhaka,comilla,chittagong,dhaka,division,divisions,nawabs,bengal,nawabs,bengal,allowed,european,trading,companies,establish,factories,bengal,region,hotbed,european,rivalries,british,moved,oust,independent,nawab,bengal,allied,french,defection,nawabs,army,chief,mir,jafar,british,nawab,lost,battle,plassey",0.00,dhaka
