Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"doha  is the capital city and main financial hub of qatar located on the persian gulf coast in the east of the country north of al wakrah and south of al khor it is home to most of the countrys population it is also qatars fastest growing city with over  of the nations population living in doha or its surrounding suburbs
",doha capital city main financial hub qatar located persian gulf coast east country north al wakrah south al khor home countrys population qatars fastest growing city nations population living doha surrounding suburbs,8.98,"doha,capital,city,main,financial,hub,qatar,located,persian,gulf,coast,east,country,north,al,wakrah,south,al,khor,home,countrys,population,qatars,fastest,growing,city,nations,population,living,doha,surrounding,suburbs",0.00,doha
"doha was founded in the s as an offshoot of al bidda it was officially declared as the countrys capital in  when qatar gained independence from being a british protectorate as the commercial capital of qatar and one of the emergent financial centers in the middle east doha is considered a beta level global city by the globalization and world cities research network doha accommodates education city an area devoted to research and education and hamad medical city an administrative area of medical care it also includes doha sports city or aspire zone an international sports destination that includes khalifa international stadium hamad aquatic centre and the aspire dome
",doha founded offshoot al bidda officially declared countrys capital qatar gained independence british protectorate commercial capital qatar emergent financial centers middle east doha considered beta level global city globalization world cities research network doha accommodates education city area devoted research education hamad medical city administrative area medical care includes doha sports city aspire zone international sports destination includes khalifa international stadium hamad aquatic centre aspire dome,6.37,"doha,founded,offshoot,al,bidda,officially,declared,countrys,capital,qatar,gained,independence,british,protectorate,commercial,capital,qatar,emergent,financial,centers,middle,east,doha,considered,beta,level,global,city,globalization,world,cities,research,network,doha,accommodates,education,city,area,devoted,research,education,hamad,medical,city,administrative,area,medical,care,includes,doha,sports,city,aspire,zone,international,sports,destination,includes,khalifa,international,stadium,hamad,aquatic,centre,aspire,dome",0.00,doha
"the city was host to the first ministerial level meeting of the doha development round of world trade organization negotiations it was also selected as host city of a number of sporting events including the  asian games the  pan arab games the  world beach games the fina world aquatics championships the fivb volleyball club world championship the wta finals and most of the games at the  afc asian cup in december  the world petroleum council held the th world petroleum conference in doha additionally the city hosted the  unfccc climate negotiations and the  fifa world cup
",city host ministerial level meeting doha development round world trade organization negotiations selected host city number sporting events including asian games pan arab games world beach games fina world aquatics championships fivb volleyball club world championship wta finals games afc asian cup december world petroleum council held th world petroleum conference doha additionally city hosted unfccc climate negotiations fifa world cup,6.06,"city,host,ministerial,level,meeting,doha,development,round,world,trade,organization,negotiations,selected,host,city,number,sporting,events,including,asian,games,pan,arab,games,world,beach,games,fina,world,aquatics,championships,fivb,volleyball,club,world,championship,wta,finals,games,afc,asian,cup,december,world,petroleum,council,held,th,world,petroleum,conference,doha,additionally,city,hosted,unfccc,climate,negotiations,fifa,world,cup",0.00,doha
"according to the ministry of municipality and environment the name doha originated from the arabic term dohat meaning roundnessa reference to the rounded bays surrounding the areas coastline
",according ministry municipality environment doha originated arabic term dohat meaning roundnessa reference rounded bays surrounding areas coastline,5.76,"according,ministry,municipality,environment,doha,originated,arabic,term,dohat,meaning,roundnessa,reference,rounded,bays,surrounding,areas,coastline",0.00,doha
"the city of doha was formed seceding from another local settlement known as al bidda the earliest documented mention of al bidda was made in  by the carmelite convent in an account which chronicles several settlements in qatar in the record the ruler and a fort in the confines of al bidda are alluded to carsten niebuhr a german explorer who visited the arabian peninsula created one of the first maps to depict the settlement in  in which he labelled it as guttur
",city doha formed seceding local settlement known al bidda earliest documented mention al bidda carmelite convent account chronicles settlements qatar record ruler fort confines al bidda alluded carsten niebuhr german explorer visited arabian peninsula created maps depict settlement labelled guttur,9.23,"city,doha,formed,seceding,local,settlement,known,al,bidda,earliest,documented,mention,al,bidda,carmelite,convent,account,chronicles,settlements,qatar,record,ruler,fort,confines,al,bidda,alluded,carsten,niebuhr,german,explorer,visited,arabian,peninsula,created,maps,depict,settlement,labelled,guttur",0.00,doha
"doha was founded in the vicinity of al bidda sometime during the s in january  political resident john macleod visited al bidda to meet with the ruler and initial founder of doha buhur bin jubrun who was also the chief of the al buainain tribe macleod noted that al bidda was the only substantial trading port in the peninsula during this time following the founding of doha written records often conflated al bidda and doha due to the extremely close proximity of the two settlements later that year lt guy and lt brucks mapped and wrote a description of the two settlements despite being mapped as two separate entities they were referred to under the collective name of al bidda in the written description
",doha founded vicinity al bidda january political resident john macleod visited al bidda meet ruler initial founder doha buhur bin jubrun chief al buainain tribe macleod noted al bidda substantial trading port peninsula time following founding doha written records conflated al bidda doha extremely close proximity settlements later year lt guy lt brucks mapped wrote description settlements despite mapped separate entities referred collective al bidda written description,8.04,"doha,founded,vicinity,al,bidda,january,political,resident,john,macleod,visited,al,bidda,meet,ruler,initial,founder,doha,buhur,bin,jubrun,chief,al,buainain,tribe,macleod,noted,al,bidda,substantial,trading,port,peninsula,time,following,founding,doha,written,records,conflated,al,bidda,doha,extremely,close,proximity,settlements,later,year,lt,guy,lt,brucks,mapped,wrote,description,settlements,despite,mapped,separate,entities,referred,collective,al,bidda,written,description",0.00,doha
"in  mohammed bin khamis a prominent member of the al buainain tribe and successor of buhur bin jubrun as chief of al bidda was embroiled in controversy he had murdered a native of bahrain prompting the al khalifa sheikh to imprison him in response the al buainain tribe revolted provoking the al khalifa to destroy the tribes fort and evict them to fuwayrit and ar ruays this incident allowed the al khalifa additional jurisdiction over the town with essentially no effective ruler al bidda and doha became a sanctuary for pirates and outlaws
",mohammed bin khamis prominent member al buainain tribe successor buhur bin jubrun chief al bidda embroiled controversy murdered native bahrain prompting al khalifa sheikh imprison response al buainain tribe revolted provoking al khalifa destroy tribes fort evict fuwayrit ar ruays incident allowed al khalifa additional jurisdiction town essentially effective ruler al bidda doha sanctuary pirates outlaws,6.81,"mohammed,bin,khamis,prominent,member,al,buainain,tribe,successor,buhur,bin,jubrun,chief,al,bidda,embroiled,controversy,murdered,native,bahrain,prompting,al,khalifa,sheikh,imprison,response,al,buainain,tribe,revolted,provoking,al,khalifa,destroy,tribes,fort,evict,fuwayrit,ar,ruays,incident,allowed,al,khalifa,additional,jurisdiction,town,essentially,effective,ruler,al,bidda,doha,sanctuary,pirates,outlaws",0.00,doha
"isa bin tarif a powerful tribal chief from the al bin ali tribe moved to doha in may  he subsequently evicted the ruling sudan tribe and installed the al maadeed and al kuwari tribes in positions of power bin tarif had been loyal to the al khalifa however shortly after the swearing in of a new ruler in bahrain bin tarif grew increasingly suspicious of the ruling al khalifa and switched his allegiance to the deposed ruler of bahrain abdullah bin khalifa whom he had previously assisted in deposing of bin tarif died in the battle of fuwayrit against the ruling family of bahrain in 
",isa bin tarif powerful tribal chief al bin ali tribe moved doha subsequently evicted ruling sudan tribe installed al maadeed al kuwari tribes positions power bin tarif loyal al khalifa shortly swearing new ruler bahrain bin tarif grew increasingly suspicious ruling al khalifa switched allegiance deposed ruler bahrain abdullah bin khalifa previously assisted deposing bin tarif died battle fuwayrit ruling family bahrain,7.34,"isa,bin,tarif,powerful,tribal,chief,al,bin,ali,tribe,moved,doha,subsequently,evicted,ruling,sudan,tribe,installed,al,maadeed,al,kuwari,tribes,positions,power,bin,tarif,loyal,al,khalifa,shortly,swearing,new,ruler,bahrain,bin,tarif,grew,increasingly,suspicious,ruling,al,khalifa,switched,allegiance,deposed,ruler,bahrain,abdullah,bin,khalifa,previously,assisted,deposing,bin,tarif,died,battle,fuwayrit,ruling,family,bahrain",0.00,doha
"the al thani family migrated to doha from fuwayrit shortly after bin tarifs death in  under the leadership of mohammed bin thani in the proceeding years the al thani family assumed control of the town at various times they swapped allegiances between the two prevailing powers in the area the al khalifa of bahrain and the bin saudis
",al thani family migrated doha fuwayrit shortly bin tarifs death leadership mohammed bin thani proceeding years al thani family assumed control town times swapped allegiances prevailing powers area al khalifa bahrain bin saudis,7.49,"al,thani,family,migrated,doha,fuwayrit,shortly,bin,tarifs,death,leadership,mohammed,bin,thani,proceeding,years,al,thani,family,assumed,control,town,times,swapped,allegiances,prevailing,powers,area,al,khalifa,bahrain,bin,saudis",0.00,doha
"in  many ships and troops were sent from bahrain to assault the towns al wakrah and doha over a series of disputes abu dhabi joined on bahrains behalf due to the perception that al wakrah served as a refuge for fugitives from oman later that year the combined forces sacked the two qatari towns with around  men in what would come to be known as the qataribahraini war a british record later stated that the towns of doha and wakrah were at the end of  temporarily blotted out of existence the houses being dismantled and the inhabitants deported
",ships troops sent bahrain assault towns al wakrah doha series disputes abu dhabi joined bahrains behalf perception al wakrah served refuge fugitives oman later year combined forces sacked qatari towns men come known qataribahraini war british record later stated towns doha wakrah end temporarily blotted existence houses dismantled inhabitants deported,8.78,"ships,troops,sent,bahrain,assault,towns,al,wakrah,doha,series,disputes,abu,dhabi,joined,bahrains,behalf,perception,al,wakrah,served,refuge,fugitives,oman,later,year,combined,forces,sacked,qatari,towns,men,come,known,qataribahraini,war,british,record,later,stated,towns,doha,wakrah,end,temporarily,blotted,existence,houses,dismantled,inhabitants,deported",0.00,doha
