Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"dollar is the name of more than  currencies the united states dollar named after the international currency known as the spanish dollar was established in  and is the first so named that still survives others include the australian dollar brunei dollar canadian dollar eastern caribbean dollar hong kong dollar jamaican dollar liberian dollar namibian dollar new taiwan dollar new zealand dollar singapore dollar trinidad and tobago dollar and several others the symbol for most of those currencies is the dollar sign  in the same way as many countries using peso currencies the name dollar originates from bohemia and a  g silver coin called the joachimsthaler
",dollar currencies united states dollar named international currency known spanish dollar established named survives include australian dollar brunei dollar canadian dollar eastern caribbean dollar hong kong dollar jamaican dollar liberian dollar namibian dollar new taiwan dollar new zealand dollar singapore dollar trinidad tobago dollar symbol currencies dollar sign way countries peso currencies dollar originates bohemia g silver coin called joachimsthaler,6.80,"dollar,currencies,united,states,dollar,named,international,currency,known,spanish,dollar,established,named,survives,include,australian,dollar,brunei,dollar,canadian,dollar,eastern,caribbean,dollar,hong,kong,dollar,jamaican,dollar,liberian,dollar,namibian,dollar,new,taiwan,dollar,new,zealand,dollar,singapore,dollar,trinidad,tobago,dollar,symbol,currencies,dollar,sign,way,countries,peso,currencies,dollar,originates,bohemia,g,silver,coin,called,joachimsthaler",0.00,dollar
"for the english north american colonists however the spanish peso or piece of eight has always held first place and this coin was also called the dollar as early as  spanish dollars or pieces of eight were distributed widely in the spanish colonies in the new world and in the philippines
",english north american colonists spanish peso piece held place coin called dollar early spanish dollars pieces distributed widely spanish colonies new world philippines,9.69,"english,north,american,colonists,spanish,peso,piece,held,place,coin,called,dollar,early,spanish,dollars,pieces,distributed,widely,spanish,colonies,new,world,philippines",0.00,dollar
"the sign is first attested in business correspondence in the s as a scribal abbreviation ps referring to the spanish american peso that is the spanish dollar as it was known in british north america these late th  and early th century manuscripts show that the s gradually came to be written over the p developing a close equivalent to the  mark and this new symbol was retained to refer to the american dollar as well once this currency was adopted in  by the united states
",sign attested business correspondence scribal abbreviation ps referring spanish american peso spanish dollar known british north america late th early th century manuscripts gradually came written p developing close equivalent mark new symbol retained refer american dollar currency adopted united states,9.47,"sign,attested,business,correspondence,scribal,abbreviation,ps,referring,spanish,american,peso,spanish,dollar,known,british,north,america,late,th,early,th,century,manuscripts,gradually,came,written,p,developing,close,equivalent,mark,new,symbol,retained,refer,american,dollar,currency,adopted,united,states",0.00,dollar
"on april   yous secretary of the treasury alexander hamilton reported to congress the precise amount of silver found in spanish dollar coins in common use in the states as a result the united states dollar was defined as a unit of pure silver weighing  th grains  or  grains of standard silver  it was specified that the money of account of the united states should be expressed in those same dollars or parts thereof additionally all lesser denomination coins were defined as percentages of the dollar coin such that a half dollar was to contain half as much silver as a dollar quarter dollars would contain one fourth as much and so on
",april yous secretary treasury alexander hamilton reported congress precise silver found spanish dollar coins common use states result united states dollar defined unit pure silver weighing th grains grains standard silver specified money account united states expressed dollars parts thereof additionally lesser denomination coins defined percentages dollar coin half dollar contain half silver dollar quarter dollars contain fourth,8.46,"april,yous,secretary,treasury,alexander,hamilton,reported,congress,precise,silver,found,spanish,dollar,coins,common,use,states,result,united,states,dollar,defined,unit,pure,silver,weighing,th,grains,grains,standard,silver,specified,money,account,united,states,expressed,dollars,parts,thereof,additionally,lesser,denomination,coins,defined,percentages,dollar,coin,half,dollar,contain,half,silver,dollar,quarter,dollars,contain,fourth",0.00,dollar
"in an act passed in january  the dollars weight was reduced to  grains and alloy at  silver resulting in the same fine silver content of  grains on february   the quantity of silver in the lesser coins was reduced with the effect that their denominations no longer represented their silver content relative to dollar coins
",act passed january dollars weight reduced grains alloy silver resulting fine silver content grains february quantity silver lesser coins reduced effect denominations longer represented silver content relative dollar coins,7.74,"act,passed,january,dollars,weight,reduced,grains,alloy,silver,resulting,fine,silver,content,grains,february,quantity,silver,lesser,coins,reduced,effect,denominations,longer,represented,silver,content,relative,dollar,coins",0.00,dollar
"various acts have subsequently been passed affecting the amount and type of metal in yous coins so that today there is no legal definition of the term dollar to be found in yous statute currently the closest thing to a definition is found in united states code title  section  paragraph b subsection  the secretary of the treasury shall sell silver under conditions the secretary considers appropriate for at least  a fine troy ounce
",acts subsequently passed affecting type metal yous coins today legal definition term dollar found yous statute currently closest thing definition found united states code title section paragraph b subsection secretary treasury shall sell silver conditions secretary considers appropriate fine troy ounce,7.37,"acts,subsequently,passed,affecting,type,metal,yous,coins,today,legal,definition,term,dollar,found,yous,statute,currently,closest,thing,definition,found,united,states,code,title,section,paragraph,b,subsection,secretary,treasury,shall,sell,silver,conditions,secretary,considers,appropriate,fine,troy,ounce",0.00,dollar
"silver was mostly removed from yous coinage by  and the dollar became a free floating fiat money without a commodity backing defined in terms of real gold or silver the us mint continues to make silver  denomination coins but these are not intended for general circulation
",silver removed yous coinage dollar free floating fiat money commodity backing defined terms real gold silver mint continues silver denomination coins intended general circulation,8.06,"silver,removed,yous,coinage,dollar,free,floating,fiat,money,commodity,backing,defined,terms,real,gold,silver,mint,continues,silver,denomination,coins,intended,general,circulation",0.00,dollar
"in  a british five shilling piece or crown was sometimes called dollar it was an overstruck spanish eight real coin  the original of which was known as a spanish dollar large numbers of these eight real coins were captured during the napoleonic wars hence their re use by the bank of england they remained in use until  during world war ii when the yous dollar was  valued at five shillings the half crown  acquired the nickname half dollar or half a dollar in the uk
",british shilling piece crown called dollar overstruck spanish real coin original known spanish dollar large numbers real coins captured napoleonic wars use bank england remained use world war ii yous dollar valued shillings half crown acquired nickname half dollar half dollar uk,9.19,"british,shilling,piece,crown,called,dollar,overstruck,spanish,real,coin,original,known,spanish,dollar,large,numbers,real,coins,captured,napoleonic,wars,use,bank,england,remained,use,world,war,ii,yous,dollar,valued,shillings,half,crown,acquired,nickname,half,dollar,half,dollar,uk",0.00,dollar
"prior to  the silver dollar circulated in many parts of the world with a value in relation to the british gold sovereign of roughly   s d  as a result of the decision of the german empire to stop minting silver thaler coins in  in the wake of the franco prussian war the worldwide price of silver began to fall this resulted in the yous coinage act  which put the united states onto a de facto gold standard canada and newfoundland were already on the gold standard and the result was that the value of the dollar in north america increased in relation to silver dollars being used elsewhere particularly latin america and the far east by  value of silver dollars had fallen to  percent of gold dollars following the abandonment of the gold standard by canada in  the canadian dollar began to drift away from parity with the yous dollar it returned to parity a few times but since the end of the bretton woods system of fixed exchange rates that was agreed to in  the canadian dollar has been floating against the yous dollar the silver dollars of latin america and south east asia began to diverge from each other as well during the course of the th century the straits dollar adopted a gold exchange standard in  after it had been forced to rise in value against other silver dollars in the region hence by  when china and hong kong came off the silver standard the straits dollar was worth s d  sterling whereas the hong kong dollar was worth only s d sterling 
",prior silver dollar circulated parts world value relation british gold sovereign roughly result decision german empire stop minting silver thaler coins wake franco prussian war worldwide price silver began fall resulted yous coinage act united states de facto gold standard canada newfoundland gold standard result value dollar north america increased relation silver dollars particularly latin america far east value silver dollars fallen percent gold dollars following abandonment gold standard canada canadian dollar began drift away parity yous dollar returned parity times end bretton woods system fixed exchange rates agreed canadian dollar floating yous dollar silver dollars latin america south east asia began diverge course th century straits dollar adopted gold exchange standard forced rise value silver dollars region china hong kong came silver standard straits dollar worth sterling hong kong dollar worth sterling,9.08,"prior,silver,dollar,circulated,parts,world,value,relation,british,gold,sovereign,roughly,result,decision,german,empire,stop,minting,silver,thaler,coins,wake,franco,prussian,war,worldwide,price,silver,began,fall,resulted,yous,coinage,act,united,states,de,facto,gold,standard,canada,newfoundland,gold,standard,result,value,dollar,north,america,increased,relation,silver,dollars,particularly,latin,america,far,east,value,silver,dollars,fallen,percent,gold,dollars,following,abandonment,gold,standard,canada,canadian,dollar,began,drift,away,parity,yous,dollar,returned,parity,times,end,bretton,woods,system,fixed,exchange,rates,agreed,canadian,dollar,floating,yous,dollar,silver,dollars,latin,america,south,east,asia,began,diverge,course,th,century,straits,dollar,adopted,gold,exchange,standard,forced,rise,value,silver,dollars,region,china,hong,kong,came,silver,standard,straits,dollar,worth,sterling,hong,kong,dollar,worth,sterling",0.00,dollar
"the term dollar has also been adopted by other countries for currencies which do not share a common history with other dollars many of these currencies adopted the name after moving from a sd based to a decimalized monetary system examples include the australian dollar the new zealand dollar the jamaican dollar the cayman islands dollar the fiji dollar the namibian dollar the rhodesian dollar the zimbabwe dollar and the solomon islands dollar
",term dollar adopted countries currencies share common history dollars currencies adopted moving sd based decimalized monetary system examples include australian dollar new zealand dollar jamaican dollar cayman islands dollar fiji dollar namibian dollar rhodesian dollar zimbabwe dollar solomon islands dollar,7.38,"term,dollar,adopted,countries,currencies,share,common,history,dollars,currencies,adopted,moving,sd,based,decimalized,monetary,system,examples,include,australian,dollar,new,zealand,dollar,jamaican,dollar,cayman,islands,dollar,fiji,dollar,namibian,dollar,rhodesian,dollar,zimbabwe,dollar,solomon,islands,dollar",0.00,dollar
