Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"dutch  is a west germanic language spoken by about  million people as a first language and  million as a second language it is the third most widely spoken germanic language after its close relatives german and english afrikaans is a separate but somewhat mutually intelligible daughter languagen  spoken to some degree by at least  million people mainly in south africa and namibian  evolving from the cape dutch dialects of southern africa the dialects used in belgium  and in suriname meanwhile are all guided by the dutch language union
",dutch west germanic language spoken million people language million second language widely spoken germanic language close relatives german english afrikaans separate somewhat mutually intelligible daughter languagen spoken degree million people mainly south africa namibian evolving cape dutch dialects southern africa dialects belgium suriname guided dutch language union,7.58,"dutch,west,germanic,language,spoken,million,people,language,million,second,language,widely,spoken,germanic,language,close,relatives,german,english,afrikaans,separate,somewhat,mutually,intelligible,daughter,languagen,spoken,degree,million,people,mainly,south,africa,namibian,evolving,cape,dutch,dialects,southern,africa,dialects,belgium,suriname,guided,dutch,language,union",0.00,dutch
"in europe most of the population of the netherlands  and about  of the population of belgium  speak dutch outside the low countries dutch is the native language of the majority of the population of the south american country of suriname a former dutch colony where it also holds an official status as it does in the caribbean island countries of aruba curaao and sint maarten which are constituent countries of the kingdom of the netherlands  up to half a million native speakers reside in the united states canada and australia combinedn  and historical linguistic minorities on the verge of extinction remain in parts of france germany and indonesian 
",europe population netherlands population belgium speak dutch outside low countries dutch native language majority population south american country suriname dutch colony holds official status caribbean island countries aruba curaao sint maarten constituent countries kingdom netherlands half million native speakers reside united states canada australia combinedn historical linguistic minorities verge extinction remain parts france germany indonesian,8.10,"europe,population,netherlands,population,belgium,speak,dutch,outside,low,countries,dutch,native,language,majority,population,south,american,country,suriname,dutch,colony,holds,official,status,caribbean,island,countries,aruba,curaao,sint,maarten,constituent,countries,kingdom,netherlands,half,million,native,speakers,reside,united,states,canada,australia,combinedn,historical,linguistic,minorities,verge,extinction,remain,parts,france,germany,indonesian",0.00,dutch
"dutch is one of the closest relatives of both german and englishn  and is colloquially said to be roughly in between themn  dutch like english has not undergone the high german consonant shift does not use germanic umlaut as a grammatical marker has largely abandoned the use of the subjunctive and has levelled much of its morphology including most of its case systemn  features shared with german include the survival of two to three grammatical gendersalbeit with few grammatical consequencesn as well as the use of modal particles final obstruent devoicing and a similar word ordern  dutch vocabulary is mostly germanic it incorporates slightly more romance loans than german but far fewer than englishn 
",dutch closest relatives german englishn colloquially said roughly themn dutch like english undergone high german consonant shift use germanic umlaut grammatical marker largely abandoned use subjunctive levelled morphology including case systemn features shared german include survival grammatical gendersalbeit grammatical consequencesn use modal particles final obstruent devoicing similar word ordern dutch vocabulary germanic incorporates slightly romance loans german far fewer englishn,7.62,"dutch,closest,relatives,german,englishn,colloquially,said,roughly,themn,dutch,like,english,undergone,high,german,consonant,shift,use,germanic,umlaut,grammatical,marker,largely,abandoned,use,subjunctive,levelled,morphology,including,case,systemn,features,shared,german,include,survival,grammatical,gendersalbeit,grammatical,consequencesn,use,modal,particles,final,obstruent,devoicing,similar,word,ordern,dutch,vocabulary,germanic,incorporates,slightly,romance,loans,german,far,fewer,englishn",0.00,dutch
"in both belgium and the netherlands the native official name for dutch is nederlands  sometimes vlaams  is used as well to describe standard dutch in flanders whereas hollands  is occasionally used as a colloquial term for the standard language in the central and northwestern parts of the netherlands
",belgium netherlands native official dutch nederlands vlaams describe standard dutch flanders hollands occasionally colloquial term standard language central northwestern parts netherlands,8.94,"belgium,netherlands,native,official,dutch,nederlands,vlaams,describe,standard,dutch,flanders,hollands,occasionally,colloquial,term,standard,language,central,northwestern,parts,netherlands",0.00,dutch
"english is the only language to use the adjective dutch for the language of the netherlands and flanders or something else from the netherlands the word is derived from proto germanic iudiskaz the stem of this word eud meant people in proto germanic and  iskaz was an adjective forming suffix of which  ish is the modern english form theodiscus was its latinised form and used as an adjective referring to the germanic vernaculars of the early middle ages in this sense it meant  the language of the common people the term was used as opposed to latin the non native language of writing and the catholic church it was first recorded in  when the bishop of ostia writes to pope adrian i about a synod taking place in corbridge england where the decisions are being written down tam latine quam theodisce meaning in latin as well as common vernacular
",english language use adjective dutch language netherlands flanders netherlands word derived proto germanic iudiskaz stem word eud meant people proto germanic iskaz adjective forming suffix ish modern english form theodiscus latinised form adjective referring germanic vernaculars early middle ages sense meant language common people term opposed latin non native language writing catholic church recorded bishop ostia writes pope adrian synod taking place corbridge england decisions written tam latine quam theodisce meaning latin common vernacular,8.83,"english,language,use,adjective,dutch,language,netherlands,flanders,netherlands,word,derived,proto,germanic,iudiskaz,stem,word,eud,meant,people,proto,germanic,iskaz,adjective,forming,suffix,ish,modern,english,form,theodiscus,latinised,form,adjective,referring,germanic,vernaculars,early,middle,ages,sense,meant,language,common,people,term,opposed,latin,non,native,language,writing,catholic,church,recorded,bishop,ostia,writes,pope,adrian,synod,taking,place,corbridge,england,decisions,written,tam,latine,quam,theodisce,meaning,latin,common,vernacular",0.00,dutch
"in northwestern west francia  the term would take on a new meaning during the early middle ages when within the context of a highly dichromatic linguistic landscape it came to be the antonym of walhisk  the word now rendered as dietsc  or duutsc  could refer to the dutch language itself as well as a broader germanic category depending on context during the high middle ages dietscduutsc was increasingly used as an umbrella term for the specific germanic dialects spoken in the low countries its meaning being largely implicitly provided by the regional orientation of medieval dutch society apart from the higher echelons of the clergy and nobility mobility was largely static and hence while dutch could by extension also be used in its earlier sense referring to what to today would be called germanic dialects as opposed to romance dialects in many cases it was understood or meant to refer to the language now known as dutchcitation needed
",northwestern west francia term new meaning early middle ages context highly dichromatic linguistic landscape came antonym walhisk word rendered dietsc duutsc refer dutch language broader germanic category depending context high middle ages dietscduutsc increasingly umbrella term specific germanic dialects spoken low countries meaning largely implicitly provided regional orientation medieval dutch society apart higher echelons clergy nobility mobility largely static dutch extension earlier sense referring today called germanic dialects opposed romance dialects cases understood meant refer language known dutchcitation needed,8.34,"northwestern,west,francia,term,new,meaning,early,middle,ages,context,highly,dichromatic,linguistic,landscape,came,antonym,walhisk,word,rendered,dietsc,duutsc,refer,dutch,language,broader,germanic,category,depending,context,high,middle,ages,dietscduutsc,increasingly,umbrella,term,specific,germanic,dialects,spoken,low,countries,meaning,largely,implicitly,provided,regional,orientation,medieval,dutch,society,apart,higher,echelons,clergy,nobility,mobility,largely,static,dutch,extension,earlier,sense,referring,today,called,germanic,dialects,opposed,romance,dialects,cases,understood,meant,refer,language,known,dutchcitation,needed",0.00,dutch
"in the low countries dietsch or its early modern dutch form duytsch as an endonym for dutch gradually went out of common use and was gradually replaced by the dutch endonym nederlands this designation  started at the burgundian court in the th century although the use of neder laag bas and inferior  to refer to the area known as the low countries goes back further in time with the romans referring to the region as germania inferior  it is a reference to the low countries downriver location at the rhinemeusescheldt delta near the north sea
",low countries dietsch early modern dutch form duytsch endonym dutch gradually went common use gradually replaced dutch endonym nederlands designation started burgundian court th century use neder laag bas inferior refer area known low countries goes time romans referring region germania inferior reference low countries downriver location rhinemeusescheldt delta near north sea,7.89,"low,countries,dietsch,early,modern,dutch,form,duytsch,endonym,dutch,gradually,went,common,use,gradually,replaced,dutch,endonym,nederlands,designation,started,burgundian,court,th,century,use,neder,laag,bas,inferior,refer,area,known,low,countries,goes,time,romans,referring,region,germania,inferior,reference,low,countries,downriver,location,rhinemeusescheldt,delta,near,north,sea",0.00,dutch
"from  the designation nederlands received strong competition from the name nederduytsch  it is a calque of the aforementioned roman province germania inferior and an attempt by early dutch grammarians to give their language more prestige by linking it to roman times likewise hoogduits  and overlands  came into use as a dutch exonym for the various german dialects used in neighboring german states use of nederduytsch was popular in the th century but ultimately lost out over nederlands during the close of the th century with duytsch establishing itself as the dutch exonym for german during this same period 
",designation nederlands received strong competition nederduytsch calque aforementioned roman province germania inferior attempt early dutch grammarians language prestige linking roman times likewise hoogduits overlands came use dutch exonym german dialects neighboring german states use nederduytsch popular th century ultimately lost nederlands close th century duytsch establishing dutch exonym german period,7.82,"designation,nederlands,received,strong,competition,nederduytsch,calque,aforementioned,roman,province,germania,inferior,attempt,early,dutch,grammarians,language,prestige,linking,roman,times,likewise,hoogduits,overlands,came,use,dutch,exonym,german,dialects,neighboring,german,states,use,nederduytsch,popular,th,century,ultimately,lost,nederlands,close,th,century,duytsch,establishing,dutch,exonym,german,period",0.00,dutch
"in the th century germany saw the rise of the categorisation of dialects with german dialectologists terming the german dialects spoken in the mountainous south of germany as hochdeutsch  subsequently german dialects spoken in the north were designated as niederdeutsch  the names for these dialects were calqued by dutch linguists as nederduits and hoogduits as a result nederduits no longer serves as a synonym for the dutch language in the th century the term diets was revived by dutch linguists and historians as well as a poetic name for middle dutch and its literature
",th century germany saw rise categorisation dialects german dialectologists terming german dialects spoken mountainous south germany hochdeutsch subsequently german dialects spoken north designated niederdeutsch names dialects calqued dutch linguists nederduits hoogduits result nederduits longer serves synonym dutch language th century term diets revived dutch linguists historians poetic middle dutch literature,7.64,"th,century,germany,saw,rise,categorisation,dialects,german,dialectologists,terming,german,dialects,spoken,mountainous,south,germany,hochdeutsch,subsequently,german,dialects,spoken,north,designated,niederdeutsch,names,dialects,calqued,dutch,linguists,nederduits,hoogduits,result,nederduits,longer,serves,synonym,dutch,language,th,century,term,diets,revived,dutch,linguists,historians,poetic,middle,dutch,literature",0.00,dutch
"old dutch can be discerned more or less around the same time as old english  old high german old frisian and old saxon these names are derived from the modern standard languages in this age no standard languages had yet developed while a perfect west germanic dialect continuum remained present the division reflects the contingent future contribution dialect groups would have to the later languages the early form of dutch was a set of franconian dialects spoken by the salian franks in the th century these happened to develop through middle dutch to modern dutch over the course of fifteen centuries during that period they forced old frisian back from the western coast to the north of the low countries and influenced or even replaced old saxon spoken in the east  on the other hand dutch has been replaced in adjacent lands in present day france and germany the division into old middle and modern dutch is mostly conventional since the transition between them was very gradual one of the few moments when linguists can detect something of a revolution is when the dutch standard language emerged and quickly established itself the development of the dutch language is illustrated by the following sentence in old middle and modern dutch
",old dutch discerned time old english old high german old frisian old saxon names derived modern standard languages age standard languages developed perfect west germanic dialect continuum remained present division reflects contingent future contribution dialect groups later languages early form dutch set franconian dialects spoken salian franks th century happened develop middle dutch modern dutch course centuries period forced old frisian western coast north low countries influenced replaced old saxon spoken east hand dutch replaced adjacent lands present day france germany division old middle modern dutch conventional transition gradual moments linguists detect revolution dutch standard language emerged quickly established development dutch language illustrated following sentence old middle modern dutch,8.03,"old,dutch,discerned,time,old,english,old,high,german,old,frisian,old,saxon,names,derived,modern,standard,languages,age,standard,languages,developed,perfect,west,germanic,dialect,continuum,remained,present,division,reflects,contingent,future,contribution,dialect,groups,later,languages,early,form,dutch,set,franconian,dialects,spoken,salian,franks,th,century,happened,develop,middle,dutch,modern,dutch,course,centuries,period,forced,old,frisian,western,coast,north,low,countries,influenced,replaced,old,saxon,spoken,east,hand,dutch,replaced,adjacent,lands,present,day,france,germany,division,old,middle,modern,dutch,conventional,transition,gradual,moments,linguists,detect,revolution,dutch,standard,language,emerged,quickly,established,development,dutch,language,illustrated,following,sentence,old,middle,modern,dutch",0.00,dutch
