Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"dynamic random access memory  is a type of  random access semiconductor memory that stores each bit of data in a memory cell usually consisting of a tiny capacitor and a transistor both typically based on metaloxidesemiconductor  technology while most dram memory cell designs use a capacitor and transistor some only use two transistors in the designs where a capacitor is used the capacitor can either be charged or discharged these two states are taken to represent the two values of a bit conventionally called  and   the electric charge on the capacitors gradually leaks away without intervention the data on the capacitor would soon be lost  to prevent this dram requires an external memory refresh circuit which periodically rewrites the data in the capacitors restoring them to their original charge this refresh process is the defining characteristic of dynamic random access memory in contrast to static random access memory  which does not require data to be refreshed unlike flash memory dram is volatile memory  since it loses its data quickly when power is removed however dram does exhibit limited data remanence
",dynamic random access memory type random access semiconductor memory stores bit data memory cell usually consisting tiny capacitor transistor typically based metaloxidesemiconductor technology dram memory cell designs use capacitor transistor use transistors designs capacitor capacitor charged discharged states taken represent values bit conventionally called electric charge capacitors gradually leaks away intervention data capacitor soon lost prevent dram requires external memory refresh circuit periodically rewrites data capacitors restoring original charge refresh process defining characteristic dynamic random access memory contrast static random access memory require data refreshed unlike flash memory dram volatile memory loses data quickly power removed dram exhibit limited data remanence,7.00,"dynamic,random,access,memory,type,random,access,semiconductor,memory,stores,bit,data,memory,cell,usually,consisting,tiny,capacitor,transistor,typically,based,metaloxidesemiconductor,technology,dram,memory,cell,designs,use,capacitor,transistor,use,transistors,designs,capacitor,capacitor,charged,discharged,states,taken,represent,values,bit,conventionally,called,electric,charge,capacitors,gradually,leaks,away,intervention,data,capacitor,soon,lost,prevent,dram,requires,external,memory,refresh,circuit,periodically,rewrites,data,capacitors,restoring,original,charge,refresh,process,defining,characteristic,dynamic,random,access,memory,contrast,static,random,access,memory,require,data,refreshed,unlike,flash,memory,dram,volatile,memory,loses,data,quickly,power,removed,dram,exhibit,limited,data,remanence",0.00,dram
"dram typically takes the form of an integrated circuit chip which can consist of dozens to billions of dram memory cells dram chips are widely used in digital electronics where low cost and high capacity computer memory is required one of the largest applications for dram is the main memory  in modern computers and graphics cards   it is also used in many portable devices and video game consoles  in contrast sram which is faster and more expensive than dram is typically used where speed is of greater concern than cost and size such as the cache memories in processors
",dram typically takes form integrated circuit chip consist dozens billions dram memory cells dram chips widely digital electronics low cost high capacity computer memory required largest applications dram main memory modern computers graphics cards portable devices video game consoles contrast sram faster expensive dram typically speed greater concern cost size cache memories processors,8.01,"dram,typically,takes,form,integrated,circuit,chip,consist,dozens,billions,dram,memory,cells,dram,chips,widely,digital,electronics,low,cost,high,capacity,computer,memory,required,largest,applications,dram,main,memory,modern,computers,graphics,cards,portable,devices,video,game,consoles,contrast,sram,faster,expensive,dram,typically,speed,greater,concern,cost,size,cache,memories,processors",0.00,dram
"the need to refresh dram demands more complicated circuitry and timing than sram this is offset by the structural simplicity of dram memory cells only one transistor and a capacitor are required per bit compared to four or six transistors in sram this allows dram to reach very high densities with a simultaneous reduction in cost per bit refreshing the data consumes power and a variety of techniques are used to manage the overall power consumption
",need refresh dram demands complicated circuitry timing sram offset structural simplicity dram memory cells transistor capacitor required bit compared transistors sram allows dram reach high densities simultaneous reduction cost bit refreshing data consumes power variety techniques manage overall power consumption,7.98,"need,refresh,dram,demands,complicated,circuitry,timing,sram,offset,structural,simplicity,dram,memory,cells,transistor,capacitor,required,bit,compared,transistors,sram,allows,dram,reach,high,densities,simultaneous,reduction,cost,bit,refreshing,data,consumes,power,variety,techniques,manage,overall,power,consumption",0.00,dram
"dram had a  increase in the price per bit in  the largest jump in  years since the  jump in  while in recent years the price has been going down in  a key characteristic of the dram market is that there are currently only three major suppliers  micron technology sk hynix and samsung electronics that are keeping a pretty tight rein on their capacity there is also kioxia  other manufactures make and sell dimms  such as kingston technology and some manufacturers that sell stacked dram  separately such as viking technology others sell such integrated into other products such as fujitsu into its cpus amd in gpus and nvidia with hbm in some of their gpu chips
",dram increase price bit largest jump years jump recent years price going key characteristic dram market currently major suppliers micron technology sk hynix samsung electronics keeping pretty tight rein capacity kioxia manufactures sell dimms kingston technology manufacturers sell stacked dram separately viking technology sell integrated products fujitsu cpus amd gpus nvidia hbm gpu chips,9.21,"dram,increase,price,bit,largest,jump,years,jump,recent,years,price,going,key,characteristic,dram,market,currently,major,suppliers,micron,technology,sk,hynix,samsung,electronics,keeping,pretty,tight,rein,capacity,kioxia,manufactures,sell,dimms,kingston,technology,manufacturers,sell,stacked,dram,separately,viking,technology,sell,integrated,products,fujitsu,cpus,amd,gpus,nvidia,hbm,gpu,chips",0.00,dram
"in  arnold farber and eugene schlig working for ibm created a hard wired memory cell using a transistor gate and tunnel diode latch they replaced the latch with two transistors and two resistors a configuration that became known as the farber schlig cell that year they submitted an invention closure but it was initially rejected in  benjamin agusta and his team at ibm created a  bit silicon memory chip based on the farber schlig cell with  transistors  resistors and  diodes the toshiba toscal because  electronic calculator which was introduced in november  used a form of capacitive dram  built from discrete bipolar memory cells
",arnold farber eugene schlig working ibm created hard wired memory cell transistor gate tunnel diode latch replaced latch transistors resistors configuration known farber schlig cell year submitted invention closure initially rejected benjamin agusta team ibm created bit silicon memory chip based farber schlig cell transistors resistors diodes toshiba toscal electronic calculator introduced november form capacitive dram built discrete bipolar memory cells,6.60,"arnold,farber,eugene,schlig,working,ibm,created,hard,wired,memory,cell,transistor,gate,tunnel,diode,latch,replaced,latch,transistors,resistors,configuration,known,farber,schlig,cell,year,submitted,invention,closure,initially,rejected,benjamin,agusta,team,ibm,created,bit,silicon,memory,chip,based,farber,schlig,cell,transistors,resistors,diodes,toshiba,toscal,electronic,calculator,introduced,november,form,capacitive,dram,built,discrete,bipolar,memory,cells",0.00,dram
"the earliest forms of dram mentioned above used bipolar transistors while it offered improved performance over magnetic core memory bipolar dram could not compete with the lower price of the then dominant magnetic core memory capacitors had also been used for earlier memory schemes such as the drum of the atanasoffberry computer the williams tube and the selectron tube
",earliest forms dram mentioned bipolar transistors offered improved performance magnetic core memory bipolar dram compete lower price dominant magnetic core memory capacitors earlier memory schemes drum atanasoffberry computer williams tube selectron tube,7.26,"earliest,forms,dram,mentioned,bipolar,transistors,offered,improved,performance,magnetic,core,memory,bipolar,dram,compete,lower,price,dominant,magnetic,core,memory,capacitors,earlier,memory,schemes,drum,atanasoffberry,computer,williams,tube,selectron,tube",0.00,dram
"in  dr robert dennard at the ibm thomas j watson research center was working on mos memory and was trying to create an alternative to sram which required six mos transistors for each bit of data while examining the characteristics of mos technology he found it was capable of building capacitors and that storing a charge or no charge on the mos capacitor could represent the  and  of a bit while the mos transistor could control writing the charge to the capacitor this led to his development of the single transistor mos dram memory cell he filed a patent in  and was granted yous patent number  in  mos memory offered higher performance was cheaper and consumed less power than magnetic core memory
",dr robert dennard ibm thomas j watson research center working mos memory trying create alternative sram required mos transistors bit data examining characteristics mos technology found capable building capacitors storing charge charge mos capacitor represent bit mos transistor control writing charge capacitor led development single transistor mos dram memory cell filed patent granted yous patent number mos memory offered higher performance cheaper consumed power magnetic core memory,7.83,"dr,robert,dennard,ibm,thomas,j,watson,research,center,working,mos,memory,trying,create,alternative,sram,required,mos,transistors,bit,data,examining,characteristics,mos,technology,found,capable,building,capacitors,storing,charge,charge,mos,capacitor,represent,bit,mos,transistor,control,writing,charge,capacitor,led,development,single,transistor,mos,dram,memory,cell,filed,patent,granted,yous,patent,number,mos,memory,offered,higher,performance,cheaper,consumed,power,magnetic,core,memory",0.00,dram
"mos dram chips were commercialized in  by advanced memory systems inc of sunnyvale ca this  bit chip was sold to honeywell raytheon wang laboratories and others
the same year honeywell asked intel to make a dram using a three transistor cell that they had developed this became the intel  in early  however the  had many problems prompting intel to begin work on their own improved design in secrecy to avoid conflict with honeywell this became the first commercially available dram the intel  in october  despite initial problems with low yield until the fifth revision of the masks the  was designed by joel karp and laid out by pat earhart the masks were cut by barbara maness and judy garciaoriginal research mos memory overtook magnetic core memory as the dominant memory technology in the early s
",mos dram chips commercialized advanced memory systems inc sunnyvale bit chip sold honeywell raytheon wang laboratories othersthe year honeywell asked intel dram transistor cell developed intel early problems prompting intel begin work improved design secrecy avoid conflict honeywell commercially available dram intel october despite initial problems low yield fifth revision masks designed joel karp laid pat earhart masks cut barbara maness judy garciaoriginal research mos memory overtook magnetic core memory dominant memory technology early,7.72,"mos,dram,chips,commercialized,advanced,memory,systems,inc,sunnyvale,bit,chip,sold,honeywell,raytheon,wang,laboratories,othersthe,year,honeywell,asked,intel,dram,transistor,cell,developed,intel,early,problems,prompting,intel,begin,work,improved,design,secrecy,avoid,conflict,honeywell,commercially,available,dram,intel,october,despite,initial,problems,low,yield,fifth,revision,masks,designed,joel,karp,laid,pat,earhart,masks,cut,barbara,maness,judy,garciaoriginal,research,mos,memory,overtook,magnetic,core,memory,dominant,memory,technology,early",0.00,dram
"the first dram with multiplexed row and column address lines was the mostek mk  kbit dram designed by robert proebsting and introduced in  this addressing scheme uses the same address pins to receive the low half and the high half of the address of the memory cell being referenced switching between the two halves on alternating bus cycles this was a radical advance effectively halving the number of address lines required which enabled it to fit into packages with fewer pins a cost advantage that grew with every jump in memory size the mk proved to be a very robust design for customer applications at the  kbit density the cost advantage increased the  kbit mostek mk dram introduced in  achieved greater than  worldwide dram market share however as density increased to  kbit in the early s mostek and other us manufacturers were overtaken by japanese dram manufacturers which dominated the us and worldwide markets during the s and s
",dram multiplexed row column address lines mostek mk kbit dram designed robert proebsting introduced addressing scheme uses address pins receive low half high half address memory cell referenced switching halves alternating bus cycles radical advance effectively halving number address lines required enabled fit packages fewer pins cost advantage grew jump memory size mk proved robust design customer applications kbit density cost advantage increased kbit mostek mk dram introduced achieved greater worldwide dram market share density increased kbit early mostek manufacturers overtaken japanese dram manufacturers dominated worldwide markets,7.64,"dram,multiplexed,row,column,address,lines,mostek,mk,kbit,dram,designed,robert,proebsting,introduced,addressing,scheme,uses,address,pins,receive,low,half,high,half,address,memory,cell,referenced,switching,halves,alternating,bus,cycles,radical,advance,effectively,halving,number,address,lines,required,enabled,fit,packages,fewer,pins,cost,advantage,grew,jump,memory,size,mk,proved,robust,design,customer,applications,kbit,density,cost,advantage,increased,kbit,mostek,mk,dram,introduced,achieved,greater,worldwide,dram,market,share,density,increased,kbit,early,mostek,manufacturers,overtaken,japanese,dram,manufacturers,dominated,worldwide,markets",0.00,dram
"in  when k dram memory chips were the most common memory chips used in computers and when more than  percent of those chips were produced by japanese companies semiconductor makers in the united states accused japanese companies of export dumping for the purpose of driving makers in the united states out of the commodity memory chip business prices for the k product plummeted to as low as  cents apiece from  within  months with disastrous financial consequences for some yous firms  on  december  the us commerce departments international trade administration ruled in favor of the complaint 
",k dram memory chips common memory chips computers percent chips produced japanese companies semiconductor makers united states accused japanese companies export dumping purpose driving makers united states commodity memory chip business prices k product plummeted low cents apiece months disastrous financial consequences yous firms december commerce departments international trade administration ruled favor complaint,7.04,"k,dram,memory,chips,common,memory,chips,computers,percent,chips,produced,japanese,companies,semiconductor,makers,united,states,accused,japanese,companies,export,dumping,purpose,driving,makers,united,states,commodity,memory,chip,business,prices,k,product,plummeted,low,cents,apiece,months,disastrous,financial,consequences,yous,firms,december,commerce,departments,international,trade,administration,ruled,favor,complaint",0.00,dram
