Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"east asia is the easternmost region of asia which is defined in both geographical and ethno cultural terms the modern states of east asia include china japan mongolia north korea south korea and taiwan hong kong and macau two small coastal quasi dependent territories located in the south of china are officially highly autonomous but are under chinese sovereignty japan taiwan south korea mainland china hong kong and macau are among the worlds largest and most prosperous economies east asia borders siberia and the russian far east to the north southeast asia to the south south asia to the southwest and central asia to the west to the east is the pacific ocean and to the southeast is micronesia 
",east asia easternmost region asia defined geographical ethno cultural terms modern states east asia include china japan mongolia north korea south korea taiwan hong kong macau small coastal quasi dependent territories located south china officially highly autonomous chinese sovereignty japan taiwan south korea mainland china hong kong macau worlds largest prosperous economies east asia borders siberia russian far east north southeast asia south south asia southwest central asia west east pacific ocean southeast micronesia,6.41,"east,asia,easternmost,region,asia,defined,geographical,ethno,cultural,terms,modern,states,east,asia,include,china,japan,mongolia,north,korea,south,korea,taiwan,hong,kong,macau,small,coastal,quasi,dependent,territories,located,south,china,officially,highly,autonomous,chinese,sovereignty,japan,taiwan,south,korea,mainland,china,hong,kong,macau,worlds,largest,prosperous,economies,east,asia,borders,siberia,russian,far,east,north,southeast,asia,south,south,asia,southwest,central,asia,west,east,pacific,ocean,southeast,micronesia",0.00,asia
"east asia especially chinese civilization is regarded as one of the earliest cradles of civilization other ancient civilizations in east asia that still exist as independent countries in the present day include the japanese korean and mongolian civilizations various other civilizations existed as independent polities in east asia in the past but have since been absorbed into neighbouring civilizations in the present day such as tibet baiyue khitan manchuria ryukyu  and ainu among many others taiwan has a relatively young history in the region after the prehistoric era originally it was a major site of austronesian civilization prior to colonisation by european colonial powers and china from the th century onward for thousands of years china was the leading civilization in the region exerting influence on its neighbours historically societies in east asia have fallen within the chinese sphere of influence and east asian vocabulary and scripts are often derived from classical chinese and chinese script the chinese calendar serves as the root from which many other east asian calendars are derived major religions in east asia include buddhism  confucianism and neo confucianism taoism ancestral worship and chinese folk religion in mainland china hong kong macau and taiwan shinto in japan and christianity and  musok in korea tengerism and tibetan buddhism are prevalent among mongols and tibetans while other religions such as shamanism are widespread among the indigenous populations of northeastern china such as the manchus major languages in east asia include mandarin chinese japanese and korean major ethnic groups of east asia include the han  yamato  and koreans  mongols although not as populous as the previous three ethnic groups constitute the majority of mongolias population there are  officially recognised minority or indigenous ethnic groups in east asia  native to mainland china   native to the island of taiwan  one native to the major japanese island of hokkaido  and four native to mongolia  ryukyuan people are an unrecognised ethnic group indigenous to the ryukyu islands in southern japan which stretch from kyushu island  to taiwan there are also several unrecognised indigenous ethnic groups in mainland china and taiwan
",east asia especially chinese civilization regarded earliest cradles civilization ancient civilizations east asia exist independent countries present day include japanese korean mongolian civilizations civilizations existed independent polities east asia past absorbed neighbouring civilizations present day tibet baiyue khitan manchuria ryukyu ainu taiwan relatively young history region prehistoric era originally major site austronesian civilization prior colonisation european colonial powers china th century onward thousands years china leading civilization region exerting influence neighbours historically societies east asia fallen chinese sphere influence east asian vocabulary scripts derived classical chinese chinese script chinese calendar serves root east asian calendars derived major religions east asia include buddhism confucianism neo confucianism taoism ancestral worship chinese folk religion mainland china hong kong macau taiwan shinto japan christianity musok korea tengerism tibetan buddhism prevalent mongols tibetans religions shamanism widespread indigenous populations northeastern china manchus major languages east asia include mandarin chinese japanese korean major ethnic groups east asia include han yamato koreans mongols populous previous ethnic groups constitute majority mongolias population officially recognised minority indigenous ethnic groups east asia native mainland china native island taiwan native major japanese island hokkaido native mongolia ryukyuan people unrecognised ethnic group indigenous ryukyu islands southern japan stretch kyushu island taiwan unrecognised indigenous ethnic groups mainland china taiwan,6.27,"east,asia,especially,chinese,civilization,regarded,earliest,cradles,civilization,ancient,civilizations,east,asia,exist,independent,countries,present,day,include,japanese,korean,mongolian,civilizations,civilizations,existed,independent,polities,east,asia,past,absorbed,neighbouring,civilizations,present,day,tibet,baiyue,khitan,manchuria,ryukyu,ainu,taiwan,relatively,young,history,region,prehistoric,era,originally,major,site,austronesian,civilization,prior,colonisation,european,colonial,powers,china,th,century,onward,thousands,years,china,leading,civilization,region,exerting,influence,neighbours,historically,societies,east,asia,fallen,chinese,sphere,influence,east,asian,vocabulary,scripts,derived,classical,chinese,chinese,script,chinese,calendar,serves,root,east,asian,calendars,derived,major,religions,east,asia,include,buddhism,confucianism,neo,confucianism,taoism,ancestral,worship,chinese,folk,religion,mainland,china,hong,kong,macau,taiwan,shinto,japan,christianity,musok,korea,tengerism,tibetan,buddhism,prevalent,mongols,tibetans,religions,shamanism,widespread,indigenous,populations,northeastern,china,manchus,major,languages,east,asia,include,mandarin,chinese,japanese,korean,major,ethnic,groups,east,asia,include,han,yamato,koreans,mongols,populous,previous,ethnic,groups,constitute,majority,mongolias,population,officially,recognised,minority,indigenous,ethnic,groups,east,asia,native,mainland,china,native,island,taiwan,native,major,japanese,island,hokkaido,native,mongolia,ryukyuan,people,unrecognised,ethnic,group,indigenous,ryukyu,islands,southern,japan,stretch,kyushu,island,taiwan,unrecognised,indigenous,ethnic,groups,mainland,china,taiwan",0.00,asia
"east asian people comprise around  billion people making up about  of the population in continental asia and  of the global population the region is home to major world metropolises such as beijing hong kong osaka seoul shanghai and tokyo although the coastal and riparian areas of the region form one of the worlds most populated places the population in mongolia and western china both landlocked areas is very sparsely distributed with mongolia having the lowest population density of a sovereign state the overall population density of the region is  inhabitants per square kilometre  about three times the world average of km whencitation needed
",east asian people comprise billion people making population continental asia global population region home major world metropolises beijing hong kong osaka seoul shanghai tokyo coastal riparian areas region form worlds populated places population mongolia western china landlocked areas sparsely distributed mongolia lowest population density sovereign state overall population density region inhabitants square kilometre times world average km whencitation needed,6.76,"east,asian,people,comprise,billion,people,making,population,continental,asia,global,population,region,home,major,world,metropolises,beijing,hong,kong,osaka,seoul,shanghai,tokyo,coastal,riparian,areas,region,form,worlds,populated,places,population,mongolia,western,china,landlocked,areas,sparsely,distributed,mongolia,lowest,population,density,sovereign,state,overall,population,density,region,inhabitants,square,kilometre,times,world,average,km,whencitation,needed",0.00,asia
"china was the first region settled in east asia and was undoubtedly the core of east asian civilization from where other parts of east asia were formed the various other regions in east asia were selective in the chinese influences they adopted into their local customs historian ping ti ho famously labeled chinese civilization as the cradle of eastern civilization in parallel with the cradle of middle eastern civilization along the fertile crescent encompassing mesopotamia and ancient egypt as well as the cradle of western civilization encompassing ancient greece a and ancient romeb
",china region settled east asia undoubtedly core east asian civilization parts east asia formed regions east asia selective chinese influences adopted local customs historian ping ti ho famously labeled chinese civilization cradle eastern civilization parallel cradle middle eastern civilization fertile crescent encompassing mesopotamia ancient egypt cradle western civilization encompassing ancient greece ancient romeb,6.78,"china,region,settled,east,asia,undoubtedly,core,east,asian,civilization,parts,east,asia,formed,regions,east,asia,selective,chinese,influences,adopted,local,customs,historian,ping,ti,ho,famously,labeled,chinese,civilization,cradle,eastern,civilization,parallel,cradle,middle,eastern,civilization,fertile,crescent,encompassing,mesopotamia,ancient,egypt,cradle,western,civilization,encompassing,ancient,greece,ancient,romeb",0.00,asia
"chinese civilization existed for about  years before other east asian civilizations emerged into history imperial china would exert much of its cultural economic technological and political muscle onto its neighbours succeeding chinese dynasties exerted enormous influence across east asia culturally economically politically and militarily for over two millennia the imperial chinese tributary system shaped much of east asias history for over two millennia due to imperial chinas economic and cultural influence over the region and thus played a huge role in the history of east asia in particular imperial chinas cultural preeminence not only led the country to become east asias first literate nation in the entire region it also supplied japan and korea with chinese loanwords and linguistic influences rooted in their writing systems
",chinese civilization existed years east asian civilizations emerged history imperial china exert cultural economic technological political muscle neighbours succeeding chinese dynasties exerted enormous influence east asia culturally economically politically militarily millennia imperial chinese tributary system shaped east asias history millennia imperial chinas economic cultural influence region played huge role history east asia particular imperial chinas cultural preeminence led country east asias literate nation entire region supplied japan korea chinese loanwords linguistic influences rooted writing systems,5.95,"chinese,civilization,existed,years,east,asian,civilizations,emerged,history,imperial,china,exert,cultural,economic,technological,political,muscle,neighbours,succeeding,chinese,dynasties,exerted,enormous,influence,east,asia,culturally,economically,politically,militarily,millennia,imperial,chinese,tributary,system,shaped,east,asias,history,millennia,imperial,chinas,economic,cultural,influence,region,played,huge,role,history,east,asia,particular,imperial,chinas,cultural,preeminence,led,country,east,asias,literate,nation,entire,region,supplied,japan,korea,chinese,loanwords,linguistic,influences,rooted,writing,systems",0.00,asia
"under emperor wu of han the han dynasty made china the regional power in east asia projecting much of its imperial power on its neighbours han china hosted the largest unified population in east asia the most literate and urbanised as well as being the most economically developed as well as the most technologically and culturally advanced civilization in the region at the time cultural and religious interaction between the chinese and other regional east asian dynasties and kingdoms occurred chinas impact and influence on korea began with the han dynastys northeastern expansion in  because when the han chinese conquered the northern part of the korean peninsula and established a province called lelang chinese influence would soon take root in korea through the inclusion of the chinese writing system monetary system rice culture and confucian political institutions jomon society in ancient japan incorporated wet rice cultivation and metallurgy through its contact with korea starting from the fourth century ad japan incorporated the chinese writing system which evolved into kanji by the fifth century ad and has become a significant part of the japanese writing system utilizing the chinese writing system allowed the japanese to conduct their daily activities maintain historical records and give form to various ideas thoughts and philosophies during the tang dynasty china exerted its greatest influence on east asia as various aspects of chinese culture spread to japan and korea as full fledged medieval east asian states were established korea by the fourth century ad and japan by the seventh century ad japan and korea actively began to incorporate chinese influences such as confucianism the use of written han characters chinese style architecture state institutions political philosophies religion urban planning and various scientific and technological methods into their culture and society through direct contacts with tang china and succeeding chinese dynasties drawing inspiration from the tang political system prince naka no oe launched the taika reform in  ad where he radically transformed japans political bureaucracy into a more centralised bureaucratic empire the japanese also adopted mahayana buddhism chinese style architecture and the imperial courts rituals and ceremonies including the orchestral music and state dances had tang influences written chinese gained prestige and aspects of tang culture such as poetry calligraphy and landscape painting became widespread during the nara period japan began to aggressively import chinese culture and styles of government which included confucian protocol that served as a foundation for japanese culture as well as political and social philosophy the japanese also created laws adopted from the chinese legal system that was used to govern in addition to the kimono which was inspired from the chinese robe  during the eighth century ad for many centuries most notably from the th to the th centuries china stood as east asias most advanced civilization and foremost military and economic power exerting its influence as the transmission of advanced chinese cultural practices and ways of thinking greatly shaped the region up until the nineteenth century
",emperor wu han han dynasty china regional power east asia projecting imperial power neighbours han china hosted largest unified population east asia literate urbanised economically developed technologically culturally advanced civilization region time cultural religious interaction chinese regional east asian dynasties kingdoms occurred chinas impact influence korea began han dynastys northeastern expansion han chinese conquered northern korean peninsula established province called lelang chinese influence soon root korea inclusion chinese writing system monetary system rice culture confucian political institutions jomon society ancient japan incorporated wet rice cultivation metallurgy contact korea starting fourth century ad japan incorporated chinese writing system evolved kanji fifth century ad significant japanese writing system utilizing chinese writing system allowed japanese conduct daily activities maintain historical records form ideas thoughts philosophies tang dynasty china exerted greatest influence east asia aspects chinese culture spread japan korea fledged medieval east asian states established korea fourth century ad japan seventh century ad japan korea actively began incorporate chinese influences confucianism use written han characters chinese style architecture state institutions political philosophies religion urban planning scientific technological methods culture society direct contacts tang china succeeding chinese dynasties drawing inspiration tang political system prince naka oe launched taika reform ad radically transformed japans political bureaucracy centralised bureaucratic empire japanese adopted mahayana buddhism chinese style architecture imperial courts rituals ceremonies including orchestral music state dances tang influences written chinese gained prestige aspects tang culture poetry calligraphy landscape painting widespread nara period japan began aggressively import chinese culture styles government included confucian protocol served foundation japanese culture political social philosophy japanese created laws adopted chinese legal system govern addition kimono inspired chinese robe eighth century ad centuries notably th th centuries china stood east asias advanced civilization foremost military economic power exerting influence transmission advanced chinese cultural practices ways thinking greatly shaped region nineteenth century,6.04,"emperor,wu,han,han,dynasty,china,regional,power,east,asia,projecting,imperial,power,neighbours,han,china,hosted,largest,unified,population,east,asia,literate,urbanised,economically,developed,technologically,culturally,advanced,civilization,region,time,cultural,religious,interaction,chinese,regional,east,asian,dynasties,kingdoms,occurred,chinas,impact,influence,korea,began,han,dynastys,northeastern,expansion,han,chinese,conquered,northern,korean,peninsula,established,province,called,lelang,chinese,influence,soon,root,korea,inclusion,chinese,writing,system,monetary,system,rice,culture,confucian,political,institutions,jomon,society,ancient,japan,incorporated,wet,rice,cultivation,metallurgy,contact,korea,starting,fourth,century,ad,japan,incorporated,chinese,writing,system,evolved,kanji,fifth,century,ad,significant,japanese,writing,system,utilizing,chinese,writing,system,allowed,japanese,conduct,daily,activities,maintain,historical,records,form,ideas,thoughts,philosophies,tang,dynasty,china,exerted,greatest,influence,east,asia,aspects,chinese,culture,spread,japan,korea,fledged,medieval,east,asian,states,established,korea,fourth,century,ad,japan,seventh,century,ad,japan,korea,actively,began,incorporate,chinese,influences,confucianism,use,written,han,characters,chinese,style,architecture,state,institutions,political,philosophies,religion,urban,planning,scientific,technological,methods,culture,society,direct,contacts,tang,china,succeeding,chinese,dynasties,drawing,inspiration,tang,political,system,prince,naka,oe,launched,taika,reform,ad,radically,transformed,japans,political,bureaucracy,centralised,bureaucratic,empire,japanese,adopted,mahayana,buddhism,chinese,style,architecture,imperial,courts,rituals,ceremonies,including,orchestral,music,state,dances,tang,influences,written,chinese,gained,prestige,aspects,tang,culture,poetry,calligraphy,landscape,painting,widespread,nara,period,japan,began,aggressively,import,chinese,culture,styles,government,included,confucian,protocol,served,foundation,japanese,culture,political,social,philosophy,japanese,created,laws,adopted,chinese,legal,system,govern,addition,kimono,inspired,chinese,robe,eighth,century,ad,centuries,notably,th,th,centuries,china,stood,east,asias,advanced,civilization,foremost,military,economic,power,exerting,influence,transmission,advanced,chinese,cultural,practices,ways,thinking,greatly,shaped,region,nineteenth,century",0.00,asia
"as east asias connections with europe and the western world strengthened during the late nineteenth century chinas power began to decline by the mid nineteenth century the weakening qing dynasty became fraught with political corruption obstacles and stagnation that was incapable of rejuvenating itself as a world power in contrast to the industrializing imperial european colonial powers and a rapidly modernizing japan the yous commodore matthew c perry would open japan to western ways and the country would expand in earnest after the s around the same time japan with its rush to modernity transformed itself from an isolated feudal samurai state into east asias first industrialised nation in the modern era the modern and militarily powerful japan would galvanise its position in the orient as east asias greatest power with a global mission poised to advance to lead the entire world by the early s the japanese empire succeeded in asserting itself as east asias most dominant power with its newly found international status japan would begin to challenge the european colonial powers and inextricably took on a more active geopolitical position in east asia and world affairs at large flexing its nascent political and military might japan soundly defeated the stagnant qing dynasty during the first sino japanese war as well as vanquishing imperial rival russia in  the first major military victory in the modern era of an east asian power over a european one its hegemony was the heart of an empire that would include taiwan and korea during world war ii japanese expansionism with its imperialist aspirations through the greater east asia co prosperity sphere would incorporate korea taiwan much of eastern china and manchuria hong kong and southeast asia under its control establishing itself as a maritime colonial power in east asia after a century of exploitation by the european and japanese colonialists post colonial east asia saw the defeat and occupation of japan by the victorious allies as well as the division of china and korea during the cold war the korean peninsula became independent but then it was divided into two rival states while taiwan became the main territory of de facto state republic of china after the latter lost mainland china to the peoples republic of china in the chinese civil war during the latter half of the twentieth century the region would see the post war economic miracle of japan which ushered in three decades of unprecedented growth only to experience an economic slowdown during the s but nonetheless japan continues to remain a global economic power east asia would also see the economic rise of hong kong south korea and taiwan and the integration of mainland china into the global economy through its entry in the world trade organization while enhancing its emerging international status as a potential world power although there have been no wars in east asia for decades the stability of the region remains fragile because of north koreas nuclear program
",east asias connections europe western world strengthened late nineteenth century chinas power began decline mid nineteenth century weakening qing dynasty fraught political corruption obstacles stagnation incapable rejuvenating world power contrast industrializing imperial european colonial powers rapidly modernizing japan yous commodore matthew c perry open japan western ways country expand earnest time japan rush modernity transformed isolated feudal samurai state east asias industrialised nation modern era modern militarily powerful japan galvanise position orient east asias greatest power global mission poised advance lead entire world early japanese empire succeeded asserting east asias dominant power newly found international status japan begin challenge european colonial powers inextricably took active geopolitical position east asia world affairs large flexing nascent political military japan soundly defeated stagnant qing dynasty sino japanese war vanquishing imperial rival russia major military victory modern era east asian power european hegemony heart empire include taiwan korea world war ii japanese expansionism imperialist aspirations greater east asia co prosperity sphere incorporate korea taiwan eastern china manchuria hong kong southeast asia control establishing maritime colonial power east asia century exploitation european japanese colonialists post colonial east asia saw defeat occupation japan victorious allies division china korea cold war korean peninsula independent divided rival states taiwan main territory de facto state republic china lost mainland china peoples republic china chinese civil war half twentieth century region post war economic miracle japan ushered decades unprecedented growth experience economic slowdown nonetheless japan continues remain global economic power east asia economic rise hong kong south korea taiwan integration mainland china global economy entry world trade organization enhancing emerging international status potential world power wars east asia decades stability region remains fragile north koreas nuclear program,7.18,"east,asias,connections,europe,western,world,strengthened,late,nineteenth,century,chinas,power,began,decline,mid,nineteenth,century,weakening,qing,dynasty,fraught,political,corruption,obstacles,stagnation,incapable,rejuvenating,world,power,contrast,industrializing,imperial,european,colonial,powers,rapidly,modernizing,japan,yous,commodore,matthew,c,perry,open,japan,western,ways,country,expand,earnest,time,japan,rush,modernity,transformed,isolated,feudal,samurai,state,east,asias,industrialised,nation,modern,era,modern,militarily,powerful,japan,galvanise,position,orient,east,asias,greatest,power,global,mission,poised,advance,lead,entire,world,early,japanese,empire,succeeded,asserting,east,asias,dominant,power,newly,found,international,status,japan,begin,challenge,european,colonial,powers,inextricably,took,active,geopolitical,position,east,asia,world,affairs,large,flexing,nascent,political,military,japan,soundly,defeated,stagnant,qing,dynasty,sino,japanese,war,vanquishing,imperial,rival,russia,major,military,victory,modern,era,east,asian,power,european,hegemony,heart,empire,include,taiwan,korea,world,war,ii,japanese,expansionism,imperialist,aspirations,greater,east,asia,co,prosperity,sphere,incorporate,korea,taiwan,eastern,china,manchuria,hong,kong,southeast,asia,control,establishing,maritime,colonial,power,east,asia,century,exploitation,european,japanese,colonialists,post,colonial,east,asia,saw,defeat,occupation,japan,victorious,allies,division,china,korea,cold,war,korean,peninsula,independent,divided,rival,states,taiwan,main,territory,de,facto,state,republic,china,lost,mainland,china,peoples,republic,china,chinese,civil,war,half,twentieth,century,region,post,war,economic,miracle,japan,ushered,decades,unprecedented,growth,experience,economic,slowdown,nonetheless,japan,continues,remain,global,economic,power,east,asia,economic,rise,hong,kong,south,korea,taiwan,integration,mainland,china,global,economy,entry,world,trade,organization,enhancing,emerging,international,status,potential,world,power,wars,east,asia,decades,stability,region,remains,fragile,north,koreas,nuclear,program",0.00,asia
"in common usage the term east asia typically refers to a region including greater china japan and korea
",common usage term east asia typically refers region including greater china japan korea,4.81,"common,usage,term,east,asia,typically,refers,region,including,greater,china,japan,korea",0.00,asia
"china japan and korea  represent the three core countries and civilizations of traditional east asia   as they once shared a common written language culture as well as sharing confucian philosophical tenets and the confucian societal value system once instituted by imperial china other usages define mainland china hong kong macau japan north korea south korea and taiwan as countries that constitute east asia based on their geographic proximity as well as historical and modern cultural and economic ties particularly with japan and korea having strong cultural influences that originated from china
",china japan korea represent core countries civilizations traditional east asia shared common written language culture sharing confucian philosophical tenets confucian societal value system instituted imperial china usages define mainland china hong kong macau japan north korea south korea taiwan countries constitute east asia based geographic proximity historical modern cultural economic ties particularly japan korea strong cultural influences originated china,5.31,"china,japan,korea,represent,core,countries,civilizations,traditional,east,asia,shared,common,written,language,culture,sharing,confucian,philosophical,tenets,confucian,societal,value,system,instituted,imperial,china,usages,define,mainland,china,hong,kong,macau,japan,north,korea,south,korea,taiwan,countries,constitute,east,asia,based,geographic,proximity,historical,modern,cultural,economic,ties,particularly,japan,korea,strong,cultural,influences,originated,china",0.00,asia
"some people include vietnama southeast asian country geographicallyas part of east asia as it is always considered part of the chinese cultural sphere north vietnam  has a subtropical climate and at times may be influenced by cold waves which also differs from most of southeast asia 
",people include vietnama southeast asian country geographicallyas east asia considered chinese cultural sphere north vietnam subtropical climate times influenced cold waves differs southeast asia,7.72,"people,include,vietnama,southeast,asian,country,geographicallyas,east,asia,considered,chinese,cultural,sphere,north,vietnam,subtropical,climate,times,influenced,cold,waves,differs,southeast,asia",0.00,asia
