Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"east germany  officially the german democratic republic  ddr pronounced dede  was a country in central europe that existed from its creation on  october  until its dissolution on  october  commonly viewed as a communist state it described itself as a socialist workers and peasants state its territory was administered and occupied by soviet forces following the surrender of nazi germany after world war ii when the potsdam agreement established the soviet occupation zone bounded on the east by the oderneisse line the soviet zone surrounded west berlin but did not include it and west berlin remained outside the jurisdiction of the gdr from  to  east germany was a part of the eastern bloc in the cold war most scholars and academics describe the gdr as a totalitarian dictatorship
",east germany officially german democratic republic ddr pronounced dede country central europe existed creation october dissolution october commonly viewed communist state described socialist workers peasants state territory administered occupied soviet forces following surrender nazi germany world war ii potsdam agreement established soviet occupation zone bounded east oderneisse line soviet zone surrounded west berlin include west berlin remained outside jurisdiction gdr east germany eastern bloc cold war scholars academics describe gdr totalitarian dictatorship,7.00,"east,germany,officially,german,democratic,republic,ddr,pronounced,dede,country,central,europe,existed,creation,october,dissolution,october,commonly,viewed,communist,state,described,socialist,workers,peasants,state,territory,administered,occupied,soviet,forces,following,surrender,nazi,germany,world,war,ii,potsdam,agreement,established,soviet,occupation,zone,bounded,east,oderneisse,line,soviet,zone,surrounded,west,berlin,include,west,berlin,remained,outside,jurisdiction,gdr,east,germany,eastern,bloc,cold,war,scholars,academics,describe,gdr,totalitarian,dictatorship",0.00,germany
"the gdr was established in the soviet occupied zone of former nazi germany while the federal republic of germany commonly referred to as west germany was established in the three western usukfrench occupied zones a satellite state of the soviet union soviet occupation authorities began transferring administrative responsibility to german communist leaders in  and the gdr began to function as a state on  october  gaining sovereignty from the soviet union in  although soviet forces remained in the country throughout the cold war until  the gdr was governed by the socialist unity party of germany  although other parties nominally participated in its alliance organization the national front of the german democratic republic the sed made the teaching of marxismleninism and the russian language compulsory in schools
",gdr established soviet occupied zone nazi germany federal republic germany commonly referred west germany established western usukfrench occupied zones satellite state soviet union soviet occupation authorities began transferring administrative responsibility german communist leaders gdr began function state october gaining sovereignty soviet union soviet forces remained country cold war gdr governed socialist unity party germany parties nominally participated alliance organization national german democratic republic sed teaching marxismleninism russian language compulsory schools,6.69,"gdr,established,soviet,occupied,zone,nazi,germany,federal,republic,germany,commonly,referred,west,germany,established,western,usukfrench,occupied,zones,satellite,state,soviet,union,soviet,occupation,authorities,began,transferring,administrative,responsibility,german,communist,leaders,gdr,began,function,state,october,gaining,sovereignty,soviet,union,soviet,forces,remained,country,cold,war,gdr,governed,socialist,unity,party,germany,parties,nominally,participated,alliance,organization,national,german,democratic,republic,sed,teaching,marxismleninism,russian,language,compulsory,schools",0.00,germany
"the economy was centrally planned and state owned prices of housing basic goods and services were heavily subsidized and set by central government planners rather than rising and falling through supply and demand although the gdr had to pay substantial war reparations to the soviets it became the most successful economy in the eastern bloc emigration to the west was a significant problem as many of the emigrants were well educated young people such emigration weakened the state economically in response the government fortified its inner german border and built the berlin wall in  many people attempting to flee were killed by border guards or booby traps such as landmines those captured spent long periods of time imprisoned for attempting to escape in  a referendum in east germany regarding the remilitarization of germany was held with  of the population voting in favour
",economy centrally planned state owned prices housing basic goods services heavily subsidized set central government planners rising falling supply demand gdr pay substantial war reparations soviets successful economy eastern bloc emigration west significant problem emigrants educated young people emigration weakened state economically response government fortified inner german border built berlin wall people attempting flee killed border guards booby traps landmines captured spent long periods time imprisoned attempting escape referendum east germany remilitarization germany held population voting favour,7.36,"economy,centrally,planned,state,owned,prices,housing,basic,goods,services,heavily,subsidized,set,central,government,planners,rising,falling,supply,demand,gdr,pay,substantial,war,reparations,soviets,successful,economy,eastern,bloc,emigration,west,significant,problem,emigrants,educated,young,people,emigration,weakened,state,economically,response,government,fortified,inner,german,border,built,berlin,wall,people,attempting,flee,killed,border,guards,booby,traps,landmines,captured,spent,long,periods,time,imprisoned,attempting,escape,referendum,east,germany,remilitarization,germany,held,population,voting,favour",0.00,germany
"in  numerous social economic and political forces in the gdr and abroad one of the most notable being peaceful protests starting in the city of leipzig led to the fall of the berlin wall and the establishment of a government committed to liberalization the following year a free and fair election was held and international negotiations led to the signing of the final settlement treaty on the status and borders of future reunited germany the gdr ceased to exist when its states  joined the federal republic of germany under article  of the basic law on  october  several of the gdrs leaders notably its last communist leader egon krenz were later prosecuted for offenses committed during the gdr times
",numerous social economic political forces gdr abroad notable peaceful protests starting city leipzig led fall berlin wall establishment government committed liberalization following year free fair election held international negotiations led signing final settlement treaty status borders future reunited germany gdr ceased exist states joined federal republic germany article basic law october gdrs leaders notably communist leader egon krenz later prosecuted offenses committed gdr times,7.67,"numerous,social,economic,political,forces,gdr,abroad,notable,peaceful,protests,starting,city,leipzig,led,fall,berlin,wall,establishment,government,committed,liberalization,following,year,free,fair,election,held,international,negotiations,led,signing,final,settlement,treaty,status,borders,future,reunited,germany,gdr,ceased,exist,states,joined,federal,republic,germany,article,basic,law,october,gdrs,leaders,notably,communist,leader,egon,krenz,later,prosecuted,offenses,committed,gdr,times",0.00,germany
"geographically the gdr bordered the baltic sea to the north poland to the east czechoslovakia to the southeast and west germany to the southwest and west internally the gdr also bordered the soviet sector of allied occupied berlin known as east berlin which was also administered as the states de facto capital it also bordered the three sectors occupied by the united states united kingdom and france known collectively as west berlin the three sectors occupied by the western nations were sealed off from the gdr by the berlin wall from its construction in  until it was brought down in 
",geographically gdr bordered baltic sea north poland east czechoslovakia southeast west germany southwest west internally gdr bordered soviet sector allied occupied berlin known east berlin administered states de facto capital bordered sectors occupied united states united kingdom france known collectively west berlin sectors occupied western nations sealed gdr berlin wall construction brought,8.14,"geographically,gdr,bordered,baltic,sea,north,poland,east,czechoslovakia,southeast,west,germany,southwest,west,internally,gdr,bordered,soviet,sector,allied,occupied,berlin,known,east,berlin,administered,states,de,facto,capital,bordered,sectors,occupied,united,states,united,kingdom,france,known,collectively,west,berlin,sectors,occupied,western,nations,sealed,gdr,berlin,wall,construction,brought",0.00,germany
"the official name was deutsche demokratische republik  usually abbreviated to ddr  both terms were used in east germany with increasing usage of the abbreviated form especially since east germany considered west germans and west berliners to be foreigners following the promulgation of its second constitution in  west germans the western media and statesmen initially avoided the official name and its abbreviation instead using terms like ostzone  sowjetische besatzungszone  and sogenannte ddr or so called gdr
",official deutsche demokratische republik usually abbreviated ddr terms east germany increasing usage abbreviated form especially east germany considered west germans west berliners foreigners following promulgation second constitution west germans western media statesmen initially avoided official abbreviation instead terms like ostzone sowjetische besatzungszone sogenannte ddr called gdr,5.64,"official,deutsche,demokratische,republik,usually,abbreviated,ddr,terms,east,germany,increasing,usage,abbreviated,form,especially,east,germany,considered,west,germans,west,berliners,foreigners,following,promulgation,second,constitution,west,germans,western,media,statesmen,initially,avoided,official,abbreviation,instead,terms,like,ostzone,sowjetische,besatzungszone,sogenannte,ddr,called,gdr",0.00,germany
"when used by west germans westdeutschland  was a term almost always in reference to the geographic region of western germany and not to the area within the boundaries of the federal republic of germany however this use was not always consistent and west berliners frequently used the term westdeutschland to denote the federal republic before world war ii ostdeutschland  was used to describe all the territories east of the elbe  as reflected in the works of sociologist max weber and political theorist carl schmitt
",west germans westdeutschland term reference geographic region western germany area boundaries federal republic germany use consistent west berliners frequently term westdeutschland denote federal republic world war ii ostdeutschland describe territories east elbe reflected works sociologist max weber political theorist carl schmitt,8.30,"west,germans,westdeutschland,term,reference,geographic,region,western,germany,area,boundaries,federal,republic,germany,use,consistent,west,berliners,frequently,term,westdeutschland,denote,federal,republic,world,war,ii,ostdeutschland,describe,territories,east,elbe,reflected,works,sociologist,max,weber,political,theorist,carl,schmitt",0.00,germany
"at the yalta conference during world war ii the allies that is the united states  the united kingdom  and the soviet union  agreed on dividing a defeated nazi germany into occupation zones and on dividing berlin the german capital among the allied powers as well initially this meant the formation of three zones of occupation that is american british and soviet later a french zone was carved out of the us and british zones
",yalta conference world war ii allies united states united kingdom soviet union agreed dividing defeated nazi germany occupation zones dividing berlin german capital allied powers initially meant formation zones occupation american british soviet later french zone carved british zones,8.22,"yalta,conference,world,war,ii,allies,united,states,united,kingdom,soviet,union,agreed,dividing,defeated,nazi,germany,occupation,zones,dividing,berlin,german,capital,allied,powers,initially,meant,formation,zones,occupation,american,british,soviet,later,french,zone,carved,british,zones",0.00,germany
"the ruling communist party known as the socialist unity party of germany  formed in april  from the merger between the communist party of germany  and the social democratic party of germany  the two former parties were notorious rivals when they were active before the nazis consolidated all power and criminalized them and official east german and soviet histories portrayed this merger as a voluntary pooling of efforts by the socialist parties and symbolic of the new friendship of german socialists after defeating their common enemy however there is much evidence that the merger was more troubled than commonly portrayed and that the soviet occupation authorities applied great pressure on the spds eastern branch to merge with the kpd and the communists who held a majority had virtually total control over policy the sed remained the ruling party for the entire duration of the east german state it had close ties with the soviets which maintained military forces in east germany until the dissolution of the soviet regime in   with the purpose of countering nato bases in west germany
",ruling communist party known socialist unity party germany formed april merger communist party germany social democratic party germany parties notorious rivals active nazis consolidated power criminalized official east german soviet histories portrayed merger voluntary pooling efforts socialist parties symbolic new friendship german socialists defeating common enemy evidence merger troubled commonly portrayed soviet occupation authorities applied great pressure spds eastern branch merge kpd communists held majority virtually total control policy sed remained ruling party entire duration east german state close ties soviets maintained military forces east germany dissolution soviet regime purpose countering nato bases west germany,7.59,"ruling,communist,party,known,socialist,unity,party,germany,formed,april,merger,communist,party,germany,social,democratic,party,germany,parties,notorious,rivals,active,nazis,consolidated,power,criminalized,official,east,german,soviet,histories,portrayed,merger,voluntary,pooling,efforts,socialist,parties,symbolic,new,friendship,german,socialists,defeating,common,enemy,evidence,merger,troubled,commonly,portrayed,soviet,occupation,authorities,applied,great,pressure,spds,eastern,branch,merge,kpd,communists,held,majority,virtually,total,control,policy,sed,remained,ruling,party,entire,duration,east,german,state,close,ties,soviets,maintained,military,forces,east,germany,dissolution,soviet,regime,purpose,countering,nato,bases,west,germany",0.00,germany
"as west germany was reorganized and gained independence from its occupiers  the gdr was established in east germany in october  the emergence of the two sovereign states solidified the  division of germany on  march   the general secretary of the communist party of the soviet union joseph stalin issued a proposal to reunify germany with a policy of neutrality with no conditions on economic policies and with guarantees for the rights of man and basic freedoms including freedom of speech press religious persuasion political conviction and assembly and free activity of democratic parties and organizations the west demurred reunification was not then a priority for the leadership of west germany and the nato powers declined the proposal asserting that germany should be able to join nato and that such a negotiation with the soviet union would be seen as a capitulation there have been several debates about whether germany missed a chance for reunification in 
",west germany reorganized gained independence occupiers gdr established east germany october emergence sovereign states solidified division germany march general secretary communist party soviet union joseph stalin issued proposal reunify germany policy neutrality conditions economic policies guarantees rights man basic freedoms including freedom speech press religious persuasion political conviction assembly free activity democratic parties organizations west demurred reunification priority leadership west germany nato powers declined proposal asserting germany able join nato negotiation soviet union seen capitulation debates germany missed chance reunification,7.64,"west,germany,reorganized,gained,independence,occupiers,gdr,established,east,germany,october,emergence,sovereign,states,solidified,division,germany,march,general,secretary,communist,party,soviet,union,joseph,stalin,issued,proposal,reunify,germany,policy,neutrality,conditions,economic,policies,guarantees,rights,man,basic,freedoms,including,freedom,speech,press,religious,persuasion,political,conviction,assembly,free,activity,democratic,parties,organizations,west,demurred,reunification,priority,leadership,west,germany,nato,powers,declined,proposal,asserting,germany,able,join,nato,negotiation,soviet,union,seen,capitulation,debates,germany,missed,chance,reunification",0.00,germany
