Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"eastern europe is a subregion of the european continent as a largely ambiguous term it has a wide range of geopolitical geographical ethnic cultural and socio economic connotations the vast majority of the region is covered by russia which spans roughly  of the continents landmass while accounting for approximately  of its total population
",eastern europe subregion european continent largely ambiguous term wide range geopolitical geographical ethnic cultural socio economic connotations vast majority region covered russia spans roughly continents landmass accounting approximately total population,6.73,"eastern,europe,subregion,european,continent,largely,ambiguous,term,wide,range,geopolitical,geographical,ethnic,cultural,socio,economic,connotations,vast,majority,region,covered,russia,spans,roughly,continents,landmass,accounting,approximately,total,population",0.00,europe
"it represents a significant part of european culture the main socio cultural characteristics of eastern europe have historically been defined by the traditions of slavs and greeks as well as by the influence of eastern christianity as it developed through the eastern roman empire and the ottoman empire another definition was created by the cold war as europe was ideologically divided by the iron curtain with eastern europe being synonymous with communist states constituting the eastern bloc under the influence of the soviet union
",represents significant european culture main socio cultural characteristics eastern europe historically defined traditions slavs greeks influence eastern christianity developed eastern roman empire ottoman empire definition created cold war europe ideologically divided iron curtain eastern europe synonymous communist states constituting eastern bloc influence soviet union,7.46,"represents,significant,european,culture,main,socio,cultural,characteristics,eastern,europe,historically,defined,traditions,slavs,greeks,influence,eastern,christianity,developed,eastern,roman,empire,ottoman,empire,definition,created,cold,war,europe,ideologically,divided,iron,curtain,eastern,europe,synonymous,communist,states,constituting,eastern,bloc,influence,soviet,union",0.00,europe
"the term is sometimes considered to be pejorative through stereotypes about eastern europe being inferior  to western europe the term central and eastern europe is sometimes used instead for more neutral grouping
",term considered pejorative stereotypes eastern europe inferior western europe term central eastern europe instead neutral grouping,7.51,"term,considered,pejorative,stereotypes,eastern,europe,inferior,western,europe,term,central,eastern,europe,instead,neutral,grouping",0.00,europe
"several definitions of eastern europe exist in the early st century but they often lack precision and may be anachronistic these definitions are debated across cultures and among experts even political scientists as the term has a wide range of geopolitical geographical cultural and socioeconomic connotations it has also been described as a fuzzy term as the idea itself of eastern europe is in constant redefinition the solidification of the idea of an eastern europe dates back chiefly to the  enlightenment
",definitions eastern europe exist early st century lack precision anachronistic definitions debated cultures experts political scientists term wide range geopolitical geographical cultural socioeconomic connotations described fuzzy term idea eastern europe constant redefinition solidification idea eastern europe dates chiefly enlightenment,8.20,"definitions,eastern,europe,exist,early,st,century,lack,precision,anachronistic,definitions,debated,cultures,experts,political,scientists,term,wide,range,geopolitical,geographical,cultural,socioeconomic,connotations,described,fuzzy,term,idea,eastern,europe,constant,redefinition,solidification,idea,eastern,europe,dates,chiefly,enlightenment",0.00,europe
"there are almost as many definitions of eastern europe as there are scholars of the region a related united nations paper adds that every assessment of spatial identities is essentially a social and cultural construct
",definitions eastern europe scholars region related united nations paper adds assessment spatial identities essentially social cultural construct,8.26,"definitions,eastern,europe,scholars,region,related,united,nations,paper,adds,assessment,spatial,identities,essentially,social,cultural,construct",0.00,europe
"while the eastern geographical boundaries of europe are well defined the boundary between eastern and western europe is not geographical but historical religious and cultural and is harder to designate
",eastern geographical boundaries europe defined boundary eastern western europe geographical historical religious cultural harder designate,7.43,"eastern,geographical,boundaries,europe,defined,boundary,eastern,western,europe,geographical,historical,religious,cultural,harder,designate",0.00,europe
"the ural mountains ural river and the caucasus mountains are the geographical land border of the eastern edge of europe for example kazakhstan which is mainly located in central asia with the most western parts of it located west of the ural river also shares a part of eastern europe
",ural mountains ural river caucasus mountains geographical land border eastern edge europe example kazakhstan mainly located central asia western parts located west ural river shares eastern europe,8.07,"ural,mountains,ural,river,caucasus,mountains,geographical,land,border,eastern,edge,europe,example,kazakhstan,mainly,located,central,asia,western,parts,located,west,ural,river,shares,eastern,europe",0.00,europe
"in the west however the historical and cultural boundaries of eastern europe are subject to some overlap and most importantly have undergone historical fluctuations which makes a precise definition of the western geographic boundaries of eastern europe and the geographical midpoint of europe somewhat difficult
",west historical cultural boundaries eastern europe subject overlap importantly undergone historical fluctuations makes precise definition western geographic boundaries eastern europe geographical midpoint europe somewhat difficult,6.41,"west,historical,cultural,boundaries,eastern,europe,subject,overlap,importantly,undergone,historical,fluctuations,makes,precise,definition,western,geographic,boundaries,eastern,europe,geographical,midpoint,europe,somewhat,difficult",0.00,europe
" after the eastwest schism in  significant parts of eastern europe developed cultural unity and resistance to the catholic  western europe within the framework of the eastern orthodox church church slavonic language and the cyrillic alphabet
",eastwest schism significant parts eastern europe developed cultural unity resistance catholic western europe framework eastern orthodox church church slavonic language cyrillic alphabet,5.37,"eastwest,schism,significant,parts,eastern,europe,developed,cultural,unity,resistance,catholic,western,europe,framework,eastern,orthodox,church,church,slavonic,language,cyrillic,alphabet",0.00,europe
"western europe according to this point of view is formed by countries with dominant roman catholic and protestant churches 
",western europe according point view formed countries dominant roman catholic protestant churches,5.65,"western,europe,according,point,view,formed,countries,dominant,roman,catholic,protestant,churches",0.00,europe
"a large part of eastern europe is formed by countries with dominant orthodox churches like armenia belarus bulgaria cyprus georgia greece moldova montenegro north macedonia romania russia serbia and ukraine for instance the eastern orthodox church has played a prominent role in the history and culture of eastern and southeastern europe
",large eastern europe formed countries dominant orthodox churches like armenia belarus bulgaria cyprus georgia greece moldova montenegro north macedonia romania russia serbia ukraine instance eastern orthodox church played prominent role history culture eastern southeastern europe,4.73,"large,eastern,europe,formed,countries,dominant,orthodox,churches,like,armenia,belarus,bulgaria,cyprus,georgia,greece,moldova,montenegro,north,macedonia,romania,russia,serbia,ukraine,instance,eastern,orthodox,church,played,prominent,role,history,culture,eastern,southeastern,europe",0.00,europe
"the schism is the break of communion and theology between what are now the eastern  and western  churches this division dominated europe for centuries in opposition to the rather short lived cold war division of four decades
",schism break communion theology eastern western churches division dominated europe centuries opposition short lived cold war division decades,8.44,"schism,break,communion,theology,eastern,western,churches,division,dominated,europe,centuries,opposition,short,lived,cold,war,division,decades",0.00,europe
"since the great schism of  europe has been divided between roman catholic  churches in the west and the eastern orthodox christian  churches in the east due to this religious cleavage eastern orthodox countries are often associated with eastern europe a cleavage of this sort is however often problematic for example greece is overwhelmingly orthodox but is very rarely included in eastern europe for a variety of reasons the most prominent being that greeces history for the most part was more influenced by mediterranean cultures and contact
",great schism europe divided roman catholic churches west eastern orthodox christian churches east religious cleavage eastern orthodox countries associated eastern europe cleavage sort problematic example greece overwhelmingly orthodox rarely included eastern europe variety reasons prominent greeces history influenced mediterranean cultures contact,8.27,"great,schism,europe,divided,roman,catholic,churches,west,eastern,orthodox,christian,churches,east,religious,cleavage,eastern,orthodox,countries,associated,eastern,europe,cleavage,sort,problematic,example,greece,overwhelmingly,orthodox,rarely,included,eastern,europe,variety,reasons,prominent,greeces,history,influenced,mediterranean,cultures,contact",0.00,europe
"the fall of the iron curtain brought the end of the cold war eastwest division in europe but this geopolitical concept is sometimes still used for quick reference by the media another definition was used during the  years of cold war between  and  and was more or less synonymous with the terms eastern bloc and warsaw pact a similar definition names the formerly communist european states outside the soviet union as eastern europe
",fall iron curtain brought end cold war eastwest division europe geopolitical concept quick reference media definition years cold war synonymous terms eastern bloc warsaw pact similar definition names communist european states outside soviet union eastern europe,8.55,"fall,iron,curtain,brought,end,cold,war,eastwest,division,europe,geopolitical,concept,quick,reference,media,definition,years,cold,war,synonymous,terms,eastern,bloc,warsaw,pact,similar,definition,names,communist,european,states,outside,soviet,union,eastern,europe",0.00,europe
"unesco eurovoc national geographic society committee for international cooperation in national research in demography and the stw thesaurus for economics place the baltic states in northern europe whereas the cia world factbook places the region in eastern europe with a strong assimilation to northern europe they are members of the nordic baltic eight regional cooperation forum whereas central european countries formed their own alliance called the visegrd group the northern future forum the nordic investment bank the nordic battlegroup the nordic baltic eight and the new hanseatic league are other examples of northern european cooperation that includes the three countries collectively referred to as the baltic states
",unesco eurovoc national geographic society committee international cooperation national research demography stw thesaurus economics place baltic states northern europe cia world factbook places region eastern europe strong assimilation northern europe members nordic baltic regional cooperation forum central european countries formed alliance called visegrd group northern future forum nordic investment bank nordic battlegroup nordic baltic new hanseatic league examples northern european cooperation includes countries collectively referred baltic states,5.49,"unesco,eurovoc,national,geographic,society,committee,international,cooperation,national,research,demography,stw,thesaurus,economics,place,baltic,states,northern,europe,cia,world,factbook,places,region,eastern,europe,strong,assimilation,northern,europe,members,nordic,baltic,regional,cooperation,forum,central,european,countries,formed,alliance,called,visegrd,group,northern,future,forum,nordic,investment,bank,nordic,battlegroup,nordic,baltic,new,hanseatic,league,examples,northern,european,cooperation,includes,countries,collectively,referred,baltic,states",0.00,europe
"the south caucasus nations of armenia azerbaijan and georgia are included in definitions or histories of eastern europe they are located in the transition zone of eastern europe and western asia they participate in the european unions eastern partnership program the euronest parliamentary assembly and are members of the council of europe which specifies that all three have political and cultural connections to europe in january  the european parliament noted that armenia and georgia may enter the eu in the future however georgia is currently the only south caucasus nation actively seeking nato and eu membership
",south caucasus nations armenia azerbaijan georgia included definitions histories eastern europe located transition zone eastern europe western asia participate european unions eastern partnership program euronest parliamentary assembly members council europe specifies political cultural connections europe january european parliament noted armenia georgia enter eu future georgia currently south caucasus nation actively seeking nato eu membership,6.79,"south,caucasus,nations,armenia,azerbaijan,georgia,included,definitions,histories,eastern,europe,located,transition,zone,eastern,europe,western,asia,participate,european,unions,eastern,partnership,program,euronest,parliamentary,assembly,members,council,europe,specifies,political,cultural,connections,europe,january,european,parliament,noted,armenia,georgia,enter,eu,future,georgia,currently,south,caucasus,nation,actively,seeking,nato,eu,membership",0.00,europe
"some european republics of the former soviet union are considered a part of eastern europe
",european republics soviet union considered eastern europe,8.79,"european,republics,soviet,union,considered,eastern,europe",0.00,europe
"the term central europe is often used by historians to designate states formerly belonging to the holy roman empire the austro hungarian empire and the western portion of polishlithuanian commonwealth
",term central europe historians designate states belonging holy roman empire austro hungarian empire western portion polishlithuanian commonwealth,6.47,"term,central,europe,historians,designate,states,belonging,holy,roman,empire,austro,hungarian,empire,western,portion,polishlithuanian,commonwealth",0.00,europe
"in some media central europe can thus partially overlap with eastern europe of the cold war era the following countries are labelled central european by some commentators though others still consider them to be eastern european
",media central europe partially overlap eastern europe cold war era following countries labelled central european commentators consider eastern european,7.46,"media,central,europe,partially,overlap,eastern,europe,cold,war,era,following,countries,labelled,central,european,commentators,consider,eastern,european",0.00,europe
"some countries in southeast europe can be considered part of eastern europe some of them can sometimes albeit rarely be characterized as belonging to southern europe and some may also be included in central europe
",countries southeast europe considered eastern europe albeit rarely characterized belonging southern europe included central europe,9.35,"countries,southeast,europe,considered,eastern,europe,albeit,rarely,characterized,belonging,southern,europe,included,central,europe",0.00,europe
"in some media southeast europe can thus partially overlap with eastern europe of the cold war era the following countries are labelled southeast european by some commentators though others still consider them to be eastern european
",media southeast europe partially overlap eastern europe cold war era following countries labelled southeast european commentators consider eastern european,7.33,"media,southeast,europe,partially,overlap,eastern,europe,cold,war,era,following,countries,labelled,southeast,european,commentators,consider,eastern,european",0.00,europe
"the earliest known distinctions between east and west in europe originate in the history of the roman republic as the roman domain expanded a cultural and linguistic division appeared the mainly greek speaking eastern provinces had formed the highly urbanized hellenistic civilization in contrast the western territories largely adopted the latin language this cultural and linguistic division was eventually reinforced by the later political eastwest division of the roman empire the division between these two spheres deepened during late antiquity and the middle ages due to a number of events the western roman empire collapsed in the th century marking the start of the early middle ages by contrast the eastern roman empirethe byzantine empirehad a survival strategy that kept it alive for another  years
",earliest known distinctions east west europe originate history roman republic roman domain expanded cultural linguistic division appeared mainly greek speaking eastern provinces formed highly urbanized hellenistic civilization contrast western territories largely adopted latin language cultural linguistic division eventually reinforced later political eastwest division roman empire division spheres deepened late antiquity middle ages number events western roman empire collapsed th century marking start early middle ages contrast eastern roman empirethe byzantine empirehad survival strategy kept alive years,6.04,"earliest,known,distinctions,east,west,europe,originate,history,roman,republic,roman,domain,expanded,cultural,linguistic,division,appeared,mainly,greek,speaking,eastern,provinces,formed,highly,urbanized,hellenistic,civilization,contrast,western,territories,largely,adopted,latin,language,cultural,linguistic,division,eventually,reinforced,later,political,eastwest,division,roman,empire,division,spheres,deepened,late,antiquity,middle,ages,number,events,western,roman,empire,collapsed,th,century,marking,start,early,middle,ages,contrast,eastern,roman,empirethe,byzantine,empirehad,survival,strategy,kept,alive,years",0.00,europe
