Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ecuador  ek w dor spanish pronunciation ekwao  quechua ikwayur shuar ecuador or ekuatur officially the republic of ecuador  is a country in northwestern south america bordered by colombia on the north peru on the east and south and the pacific ocean on the west ecuador also includes the galpagos islands in the pacific about  kilometers  west of the mainland the countrys capital and largest city is quito
",ecuador ek w dor spanish pronunciationekwao quechua ikwayur shuar ecuador ekuatur officially republic ecuador country northwestern south america bordered colombia north peru east south pacific ocean west ecuador includes galpagos islands pacific kilometers west mainland countrys capital largest city quito,6.39,"ecuador,ek,w,dor,spanish,pronunciationekwao,quechua,ikwayur,shuar,ecuador,ekuatur,officially,republic,ecuador,country,northwestern,south,america,bordered,colombia,north,peru,east,south,pacific,ocean,west,ecuador,includes,galpagos,islands,pacific,kilometers,west,mainland,countrys,capital,largest,city,quito",0.00,ecuador
"the territories of modern day ecuador were once home to a variety of indigenous groups that were gradually incorporated into the inca empire during the th century the territory was colonized by spain during the th century achieving independence in  as part of gran colombia from which it emerged as its own sovereign state in  the legacy of both empires is reflected in ecuadors ethnically diverse population with most of its  million people being mestizos followed by large minorities of europeans native american african and asian descendants spanish is the official language and is spoken by a majority of the population though  native languages are also recognized including quechua and shuar
",territories modern day ecuador home variety indigenous groups gradually incorporated inca empire th century territory colonized spain th century achieving independence gran colombia emerged sovereign state legacy empires reflected ecuadors ethnically diverse population million people mestizos followed large minorities europeans native american african asian descendants spanish official language spoken majority population native languages recognized including quechua shuar,7.75,"territories,modern,day,ecuador,home,variety,indigenous,groups,gradually,incorporated,inca,empire,th,century,territory,colonized,spain,th,century,achieving,independence,gran,colombia,emerged,sovereign,state,legacy,empires,reflected,ecuadors,ethnically,diverse,population,million,people,mestizos,followed,large,minorities,europeans,native,american,african,asian,descendants,spanish,official,language,spoken,majority,population,native,languages,recognized,including,quechua,shuar",0.00,ecuador
"the sovereign state of ecuador is a representative democratic republic and a developing country that is highly dependent on commodities namely petroleum and agricultural products it is governed as a democratic presidential republic the country is a founding member of the united nations organization of american states mercosur prosur and the non aligned movement
",sovereign state ecuador representative democratic republic developing country highly dependent commodities petroleum agricultural products governed democratic presidential republic country founding member united nations organization american states mercosur prosur non aligned movement,6.32,"sovereign,state,ecuador,representative,democratic,republic,developing,country,highly,dependent,commodities,petroleum,agricultural,products,governed,democratic,presidential,republic,country,founding,member,united,nations,organization,american,states,mercosur,prosur,non,aligned,movement",0.00,ecuador
"one of  megadiverse countries in the world ecuador hosts many endemic plants and animals such as those of the galpagos islands in recognition of its unique ecological heritage the new constitution of  is the first in the world to recognize legally enforceable rights of nature or ecosystem rights
",megadiverse countries world ecuador hosts endemic plants animals galpagos islands recognition unique ecological heritage new constitution world recognize legally enforceable rights nature ecosystem rights,8.08,"megadiverse,countries,world,ecuador,hosts,endemic,plants,animals,galpagos,islands,recognition,unique,ecological,heritage,new,constitution,world,recognize,legally,enforceable,rights,nature,ecosystem,rights",0.00,ecuador
"the countrys name means equator in spanish truncated from the spanish official name repblica del ecuador  derived from the former ecuador department of gran colombia established in  as a division of the former territory of the royal audience of quito quito which remained the capital of the department and republic is located only about  kilometers   of a degree south of the equator
",countrys means equator spanish truncated spanish official repblica del ecuador derived ecuador department gran colombia established division territory royal audience quito quito remained capital department republic located kilometers degree south equator,8.07,"countrys,means,equator,spanish,truncated,spanish,official,repblica,del,ecuador,derived,ecuador,department,gran,colombia,established,division,territory,royal,audience,quito,quito,remained,capital,department,republic,located,kilometers,degree,south,equator",0.00,ecuador
"various peoples had settled in the area of future ecuador before the arrival of the incas the archeological evidence suggests that the paleo indians first dispersal into the americas occurred near the end of the last glacial period around  years ago the first people who reached ecuador may have journeyed by land from north and central america or by boat down the pacific ocean coastline
",peoples settled area future ecuador arrival incas archeological evidence suggests paleo indians dispersal americas occurred near end glacial period years ago people reached ecuador journeyed land north central america boat pacific ocean coastline,8.23,"peoples,settled,area,future,ecuador,arrival,incas,archeological,evidence,suggests,paleo,indians,dispersal,americas,occurred,near,end,glacial,period,years,ago,people,reached,ecuador,journeyed,land,north,central,america,boat,pacific,ocean,coastline",0.00,ecuador
"over time these groups began to interact and intermingle with each other so that groups of families in one area became one community or tribe with a similar language and culture many civilizations arose in ecuador such as the valdivia culture and machalilla culture on the coast the quitus  and the caari    each civilisation developed its own distinctive architecture pottery and religious interestscitation needed
",time groups began interact intermingle groups families area community tribe similar language culture civilizations arose ecuador valdivia culture machalilla culture coast quitus caari civilisation developed distinctive architecture pottery religious interestscitation needed,7.93,"time,groups,began,interact,intermingle,groups,families,area,community,tribe,similar,language,culture,civilizations,arose,ecuador,valdivia,culture,machalilla,culture,coast,quitus,caari,civilisation,developed,distinctive,architecture,pottery,religious,interestscitation,needed",0.00,ecuador
"when the incas arrived they found that these confederations were so developed that it took the incas two generations of rulerstopa inca yupanqui and huayna capacto absorb them into the inca empire the native confederations that gave them the most problems were deported to distant areas of peru bolivia and north argentina similarly a number of loyal inca subjects from peru and bolivia were brought to ecuador to prevent rebellion thus the region of highland ecuador became part of the inca empire in  sharing the same language
",incas arrived found confederations developed took incas generations rulerstopa inca yupanqui huayna capacto absorb inca empire native confederations gave problems deported distant areas peru bolivia north argentina similarly number loyal inca subjects peru bolivia brought ecuador prevent rebellion region highland ecuador inca empire sharing language,7.94,"incas,arrived,found,confederations,developed,took,incas,generations,rulerstopa,inca,yupanqui,huayna,capacto,absorb,inca,empire,native,confederations,gave,problems,deported,distant,areas,peru,bolivia,north,argentina,similarly,number,loyal,inca,subjects,peru,bolivia,brought,ecuador,prevent,rebellion,region,highland,ecuador,inca,empire,sharing,language",0.00,ecuador
"in contrast when the incas made incursions into coastal ecuador and the eastern amazon jungles of ecuador they found both the environment and indigenous people more hostile moreover when the incas tried to subdue them these indigenous people withdrew to the interior and resorted to guerrilla tactics as a result inca expansion into the amazon basin and the pacific coast of ecuador was hampered the indigenous people of the amazon jungle and coastal ecuador remained relatively autonomous until the spanish soldiers and missionaries arrived in force the amazonian people and the cayapas of coastal ecuador were the only groups to resist inca and spanish domination maintaining their language and culture well into the st century
",contrast incas incursions coastal ecuador eastern amazon jungles ecuador found environment indigenous people hostile incas tried subdue indigenous people withdrew interior resorted guerrilla tactics result inca expansion amazon basin pacific coast ecuador hampered indigenous people amazon jungle coastal ecuador remained relatively autonomous spanish soldiers missionaries arrived force amazonian people cayapas coastal ecuador groups resist inca spanish domination maintaining language culture st century,7.26,"contrast,incas,incursions,coastal,ecuador,eastern,amazon,jungles,ecuador,found,environment,indigenous,people,hostile,incas,tried,subdue,indigenous,people,withdrew,interior,resorted,guerrilla,tactics,result,inca,expansion,amazon,basin,pacific,coast,ecuador,hampered,indigenous,people,amazon,jungle,coastal,ecuador,remained,relatively,autonomous,spanish,soldiers,missionaries,arrived,force,amazonian,people,cayapas,coastal,ecuador,groups,resist,inca,spanish,domination,maintaining,language,culture,st,century",0.00,ecuador
"before the arrival of the spaniards the inca empire was involved in a civil war the untimely death of both the heir ninan cuchi and the emperor huayna capac from a european disease that spread into ecuador created a power vacuum between two factions the northern faction headed by atahualpa claimed that huayna capac gave a verbal decree before his death about how the empire should be divided he gave the territories pertaining to present day ecuador and northern peru to his favorite son atahualpa who was to rule from quito and he gave the rest to huscar who was to rule from cuzco he willed that his heart be buried in quito his favorite city and the rest of his body be buried with his ancestors in cuzco
",arrival spaniards inca empire involved civil war untimely death heir ninan cuchi emperor huayna capac european disease spread ecuador created power vacuum factions northern faction headed atahualpa claimed huayna capac gave verbal decree death empire divided gave territories pertaining present day ecuador northern peru favorite son atahualpa rule quito gave rest huscar rule cuzco willed heart buried quito favorite city rest body buried ancestors cuzco,9.01,"arrival,spaniards,inca,empire,involved,civil,war,untimely,death,heir,ninan,cuchi,emperor,huayna,capac,european,disease,spread,ecuador,created,power,vacuum,factions,northern,faction,headed,atahualpa,claimed,huayna,capac,gave,verbal,decree,death,empire,divided,gave,territories,pertaining,present,day,ecuador,northern,peru,favorite,son,atahualpa,rule,quito,gave,rest,huscar,rule,cuzco,willed,heart,buried,quito,favorite,city,rest,body,buried,ancestors,cuzco",0.00,ecuador
"on  october  the department of guayaquil became the first territory in ecuador to gain its independence from spain and it spawned most of the ecuadorian coastal provinces establishing itself as an independent state its inhabitants celebrated what is now ecuadors official independence day on  may  the rest of ecuador gained its independence after antonio jos de sucre defeated the spanish royalist forces at the battle of pichincha near quito following the battle ecuador joined simn bolvars republic of gran colombia also including modern day colombia venezuela and panama in  ecuador separated from gran colombia and became an independent republic two years later it annexed the galapagos islands
",october department guayaquil territory ecuador gain independence spain spawned ecuadorian coastal provinces establishing independent state inhabitants celebrated ecuadors official independence day rest ecuador gained independence antonio jos de sucre defeated spanish royalist forces battle pichincha near quito following battle ecuador joined simn bolvars republic gran colombia including modern day colombia venezuela panama ecuador separated gran colombia independent republic years later annexed galapagos islands,6.29,"october,department,guayaquil,territory,ecuador,gain,independence,spain,spawned,ecuadorian,coastal,provinces,establishing,independent,state,inhabitants,celebrated,ecuadors,official,independence,day,rest,ecuador,gained,independence,antonio,jos,de,sucre,defeated,spanish,royalist,forces,battle,pichincha,near,quito,following,battle,ecuador,joined,simn,bolvars,republic,gran,colombia,including,modern,day,colombia,venezuela,panama,ecuador,separated,gran,colombia,independent,republic,years,later,annexed,galapagos,islands",0.00,ecuador
"the th century was marked by instability for ecuador with a rapid succession of rulers the first president of ecuador was the venezuelan born juan jos flores who was ultimately deposed followed by several authoritarian leaders such as vicente rocafuerte jos joaqun de olmedo jos mara urbina diego noboa pedro jos de arteta manuel de ascsubi and floress own son antonio flores jijn among others the conservative gabriel garca moreno unified the country in the s with the support of the roman catholic church in the late th century world demand for cocoa tied the economy to commodity exports and led to migrations from the highlands to the agricultural frontier on the coast
",th century marked instability ecuador rapid succession rulers president ecuador venezuelan born juan jos flores ultimately deposed followed authoritarian leaders vicente rocafuerte jos joaqun de olmedo jos mara urbina diego noboa pedro jos de arteta manuel de ascsubi floress son antonio flores jijn conservative gabriel garca moreno unified country support roman catholic church late th century world demand cocoa tied economy commodity exports led migrations highlands agricultural frontier coast,6.53,"th,century,marked,instability,ecuador,rapid,succession,rulers,president,ecuador,venezuelan,born,juan,jos,flores,ultimately,deposed,followed,authoritarian,leaders,vicente,rocafuerte,jos,joaqun,de,olmedo,jos,mara,urbina,diego,noboa,pedro,jos,de,arteta,manuel,de,ascsubi,floress,son,antonio,flores,jijn,conservative,gabriel,garca,moreno,unified,country,support,roman,catholic,church,late,th,century,world,demand,cocoa,tied,economy,commodity,exports,led,migrations,highlands,agricultural,frontier,coast",0.00,ecuador
"ecuador abolished slavery and freed its black slaves in 
",ecuador abolished slavery freed black slaves,5.26,"ecuador,abolished,slavery,freed,black,slaves",0.00,ecuador
"since ecuadors separation from colombia on  may  its first president general juan jos flores laid claim to the territory that was called the real audiencia of quito also referred to as the presidencia of quito he supported his claims with spanish royal decrees or real cedulas that delineated the borders of spains former overseas colonies in the case of ecuador flores based ecuadors de jure claims on the following cedulas  real cedula of   and  with modifications in the amazon basin and andes mountains that were introduced through the treaty of guayaquil  which peru reluctantly signed after the overwhelmingly outnumbered gran colombian force led by antonio jos de sucre defeated president and general la mars peruvian invasion force in the battle of tarqui in addition ecuadors eastern border with the portuguese colony of brazil in the amazon basin was modified before the wars of independence by the first treaty of san ildefonso  between the spanish empire and the portuguese empire moreover to add legitimacy to his claims on  february  flores signed a treaty with spain whereby flores convinced spain to officially recognize ecuadorian independence and its sole rights to colonial titles over spains former colonial territory known anciently to spain as the kingdom and presidency of quito
",ecuadors separation colombia president general juan jos flores laid claim territory called real audiencia quito referred presidencia quito supported claims spanish royal decrees real cedulas delineated borders spains overseas colonies case ecuador flores based ecuadors de jure claims following cedulas real cedula modifications amazon basin andes mountains introduced treaty guayaquil peru reluctantly signed overwhelmingly outnumbered gran colombian force led antonio jos de sucre defeated president general la mars peruvian invasion force battle tarqui addition ecuadors eastern border portuguese colony brazil amazon basin modified wars independence treaty san ildefonso spanish empire portuguese empire add legitimacy claims february flores signed treaty spain flores convinced spain officially recognize ecuadorian independence sole rights colonial titles spains colonial territory known anciently spain kingdom presidency quito,6.61,"ecuadors,separation,colombia,president,general,juan,jos,flores,laid,claim,territory,called,real,audiencia,quito,referred,presidencia,quito,supported,claims,spanish,royal,decrees,real,cedulas,delineated,borders,spains,overseas,colonies,case,ecuador,flores,based,ecuadors,de,jure,claims,following,cedulas,real,cedula,modifications,amazon,basin,andes,mountains,introduced,treaty,guayaquil,peru,reluctantly,signed,overwhelmingly,outnumbered,gran,colombian,force,led,antonio,jos,de,sucre,defeated,president,general,la,mars,peruvian,invasion,force,battle,tarqui,addition,ecuadors,eastern,border,portuguese,colony,brazil,amazon,basin,modified,wars,independence,treaty,san,ildefonso,spanish,empire,portuguese,empire,add,legitimacy,claims,february,flores,signed,treaty,spain,flores,convinced,spain,officially,recognize,ecuadorian,independence,sole,rights,colonial,titles,spains,colonial,territory,known,anciently,spain,kingdom,presidency,quito",0.00,ecuador
"ecuador during its long and turbulent history has lost most of its contested territories to each of its more powerful neighbors such as colombia in  and  brazil in  through a series of peaceful treaties and peru after a short war in which the protocol of rio de janeiro was signed in 
",ecuador long turbulent history lost contested territories powerful neighbors colombia brazil series peaceful treaties peru short war protocol rio de janeiro signed,10.18,"ecuador,long,turbulent,history,lost,contested,territories,powerful,neighbors,colombia,brazil,series,peaceful,treaties,peru,short,war,protocol,rio,de,janeiro,signed",0.00,ecuador
"during the struggle for independence before peru or ecuador became independent nations a few areas of the former vice royalty of new granada  guayaquil tumbez and jan  declared themselves independent from spain a few months later a part of the peruvian liberation army of san martin decided to occupy the independent cities of tumbez and jan with the intention of using these towns as springboards to occupy the independent city of guayaquil and then to liberate the rest of the audiencia de quito  it was common knowledge among the top officers of the liberation army from the south that their leader san martin wished to liberate present day ecuador and add it to the future republic of peru since it had been part of the inca empire before the spaniards conquered it
",struggle independence peru ecuador independent nations areas vice royalty new granada guayaquil tumbez jan declared independent spain months later peruvian liberation army san martin decided occupy independent cities tumbez jan intention towns springboards occupy independent city guayaquil liberate rest audiencia de quito common knowledge officers liberation army south leader san martin wished liberate present day ecuador add future republic peru inca empire spaniards conquered,8.83,"struggle,independence,peru,ecuador,independent,nations,areas,vice,royalty,new,granada,guayaquil,tumbez,jan,declared,independent,spain,months,later,peruvian,liberation,army,san,martin,decided,occupy,independent,cities,tumbez,jan,intention,towns,springboards,occupy,independent,city,guayaquil,liberate,rest,audiencia,de,quito,common,knowledge,officers,liberation,army,south,leader,san,martin,wished,liberate,present,day,ecuador,add,future,republic,peru,inca,empire,spaniards,conquered",0.00,ecuador
"however bolvars intention was to form a new republic known as the gran colombia out of the liberated spanish territory of new granada which consisted of colombia venezuela and ecuador san martins plans were thwarted when bolvar with the help of marshal antonio jos de sucre and the gran colombian liberation force descended from the andes mountains and occupied guayaquil they also annexed the newly liberated audiencia de quito to the republic of gran colombia this happened a few days before san martins peruvian forces could arrive and occupy guayaquil with the intention of annexing guayaquil to the rest of audiencia of quito  and to the future republic of peru historic documents repeatedly stated that san martin told bolivar he came to guayaquil to liberate the land of the incas from spain bolivar countered by sending a message from guayaquil welcoming san martin and his troops to colombian soil
",bolvars intention form new republic known gran colombia liberated spanish territory new granada consisted colombia venezuela ecuador san martins plans thwarted bolvar help marshal antonio jos de sucre gran colombian liberation force descended andes mountains occupied guayaquil annexed newly liberated audiencia de quito republic gran colombia happened days san martins peruvian forces arrive occupy guayaquil intention annexing guayaquil rest audiencia quito future republic peru historic documents repeatedly stated san martin told bolivar came guayaquil liberate land incas spain bolivar countered sending message guayaquil welcoming san martin troops colombian soil,6.62,"bolvars,intention,form,new,republic,known,gran,colombia,liberated,spanish,territory,new,granada,consisted,colombia,venezuela,ecuador,san,martins,plans,thwarted,bolvar,help,marshal,antonio,jos,de,sucre,gran,colombian,liberation,force,descended,andes,mountains,occupied,guayaquil,annexed,newly,liberated,audiencia,de,quito,republic,gran,colombia,happened,days,san,martins,peruvian,forces,arrive,occupy,guayaquil,intention,annexing,guayaquil,rest,audiencia,quito,future,republic,peru,historic,documents,repeatedly,stated,san,martin,told,bolivar,came,guayaquil,liberate,land,incas,spain,bolivar,countered,sending,message,guayaquil,welcoming,san,martin,troops,colombian,soil",0.00,ecuador
"in the south ecuador had de jure claims to a small piece of land beside the pacific ocean known as tumbes which lay between the zarumilla and tumbes rivers in ecuadors southern andes mountain region where the maraon cuts across ecuador had de jure claims to an area it called jan de bracamoros these areas were included as part of the territory of gran colombia by bolivar on  december  during the congress of angostura when the republic of gran colombia was created tumbes declared itself independent from spain on  january  and jaen de bracamoros on  june  without any outside help from revolutionary armies however that same year  peruvian forces participating in the trujillo revolution occupied both jaen and tumbes some peruvian generals without any legal titles backing them up and with ecuador still federated with the gran colombia had the desire to annex ecuador to the republic of peru at the expense of the gran colombia feeling that ecuador was once part of the inca empire
",south ecuador de jure claims small piece land pacific ocean known tumbes lay zarumilla tumbes rivers ecuadors southern andes mountain region maraon cuts ecuador de jure claims area called jan de bracamoros areas included territory gran colombia bolivar december congress angostura republic gran colombia created tumbes declared independent spain january jaen de bracamoros june outside help revolutionary armies year peruvian forces participating trujillo revolution occupied jaen tumbes peruvian generals legal titles backing ecuador federated gran colombia desire annex ecuador republic peru expense gran colombia feeling ecuador inca empire,7.90,"south,ecuador,de,jure,claims,small,piece,land,pacific,ocean,known,tumbes,lay,zarumilla,tumbes,rivers,ecuadors,southern,andes,mountain,region,maraon,cuts,ecuador,de,jure,claims,area,called,jan,de,bracamoros,areas,included,territory,gran,colombia,bolivar,december,congress,angostura,republic,gran,colombia,created,tumbes,declared,independent,spain,january,jaen,de,bracamoros,june,outside,help,revolutionary,armies,year,peruvian,forces,participating,trujillo,revolution,occupied,jaen,tumbes,peruvian,generals,legal,titles,backing,ecuador,federated,gran,colombia,desire,annex,ecuador,republic,peru,expense,gran,colombia,feeling,ecuador,inca,empire",0.00,ecuador
