Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"egypt  officially the arab republic of egypt is a transcontinental country spanning the northeast corner of africa and southwest corner of asia via a land bridge formed by the sinai peninsula it is bordered by the mediterranean sea to the north the gaza strip of palestine and israel to the northeast the red sea to the east sudan to the south and libya to the west the gulf of aqaba in the northeast separates egypt from jordan and saudi arabia cairo is the capital and largest city of egypt while alexandria the second largest city is an important industrial and tourist hub at the mediterranean coast at approximately  million inhabitants egypt is the th most populated country in the world
",egypt officially arab republic egypt transcontinental country spanning northeast corner africa southwest corner asia land bridge formed sinai peninsula bordered mediterranean sea north gaza strip palestine israel northeast red sea east sudan south libya west gulf aqaba northeast separates egypt jordan saudi arabia cairo capital largest city egypt alexandria second largest city important industrial tourist hub mediterranean coast approximately million inhabitants egypt th populated country world,7.78,"egypt,officially,arab,republic,egypt,transcontinental,country,spanning,northeast,corner,africa,southwest,corner,asia,land,bridge,formed,sinai,peninsula,bordered,mediterranean,sea,north,gaza,strip,palestine,israel,northeast,red,sea,east,sudan,south,libya,west,gulf,aqaba,northeast,separates,egypt,jordan,saudi,arabia,cairo,capital,largest,city,egypt,alexandria,second,largest,city,important,industrial,tourist,hub,mediterranean,coast,approximately,million,inhabitants,egypt,th,populated,country,world",0.00,egypt
"egypt has one of the longest histories of any country tracing its heritage along the nile delta back to the thth millennia bce considered a cradle of civilisation ancient egypt saw some of the earliest developments of writing agriculture urbanisation organised religion and central government iconic monuments such as the giza necropolis and its great sphinx as well the ruins of memphis thebes karnak and the valley of the kings reflect this legacy and remain a significant focus of scientific and popular interest egypts long and rich cultural heritage is an integral part of its national identity which reflects its unique transcontinental location being simultaneously mediterranean middle eastern and north african egypt was an early and important centre of christianity but was largely islamised in the seventh century and remains a predominantly sunni muslim country albeit with a significant christian minority along with other lesser practiced faiths
",egypt longest histories country tracing heritage nile delta thth millennia bce considered cradle civilisation ancient egypt saw earliest developments writing agriculture urbanisation organised religion central government iconic monuments giza necropolis great sphinx ruins memphis thebes karnak valley kings reflect legacy remain significant focus scientific popular interest egypts long rich cultural heritage integral national identity reflects unique transcontinental location simultaneously mediterranean middle eastern north african egypt early important centre christianity largely islamised seventh century remains predominantly sunni muslim country albeit significant christian minority lesser practiced faiths,6.46,"egypt,longest,histories,country,tracing,heritage,nile,delta,thth,millennia,bce,considered,cradle,civilisation,ancient,egypt,saw,earliest,developments,writing,agriculture,urbanisation,organised,religion,central,government,iconic,monuments,giza,necropolis,great,sphinx,ruins,memphis,thebes,karnak,valley,kings,reflect,legacy,remain,significant,focus,scientific,popular,interest,egypts,long,rich,cultural,heritage,integral,national,identity,reflects,unique,transcontinental,location,simultaneously,mediterranean,middle,eastern,north,african,egypt,early,important,centre,christianity,largely,islamised,seventh,century,remains,predominantly,sunni,muslim,country,albeit,significant,christian,minority,lesser,practiced,faiths",0.00,egypt
"modern egypt dates back to  when it gained independence from the british empire as a monarchy following the  revolution egypt declared itself a republic and in  it merged with syria to form the united arab republic which dissolved in  throughout the second half of the th century egypt endured social and religious strife and political instability fighting several armed conflicts with israel in    and  and occupying the gaza strip intermittently until  in  egypt signed the camp david accords officially withdrawing from the gaza strip and recognising israel after the arab spring which led to the  egyptian revolution and overthrow of hosni mubarak the country faced a protracted period of political unrest egypts current government a semi presidential republic led by abdel fattah el sisi has been described by a number of watchdogs as authoritarian or heading an authoritarian regime responsible for perpetuating the countrys poor human rights record
",modern egypt dates gained independence british empire monarchy following revolution egypt declared republic merged syria form united arab republic dissolved second half th century egypt endured social religious strife political instability fighting armed conflicts israel occupying gaza strip intermittently egypt signed camp david accords officially withdrawing gaza strip recognising israel arab spring led egyptian revolution overthrow hosni mubarak country faced protracted period political unrest egypts current government semi presidential republic led abdel fattah el sisi described number watchdogs authoritarian heading authoritarian regime responsible perpetuating countrys poor human rights record,6.17,"modern,egypt,dates,gained,independence,british,empire,monarchy,following,revolution,egypt,declared,republic,merged,syria,form,united,arab,republic,dissolved,second,half,th,century,egypt,endured,social,religious,strife,political,instability,fighting,armed,conflicts,israel,occupying,gaza,strip,intermittently,egypt,signed,camp,david,accords,officially,withdrawing,gaza,strip,recognising,israel,arab,spring,led,egyptian,revolution,overthrow,hosni,mubarak,country,faced,protracted,period,political,unrest,egypts,current,government,semi,presidential,republic,led,abdel,fattah,el,sisi,described,number,watchdogs,authoritarian,heading,authoritarian,regime,responsible,perpetuating,countrys,poor,human,rights,record",0.00,egypt
"islam is the official religion of egypt and arabic is its official language with over  million inhabitants egypt is the most populous country in north africa the middle east and the arab world the third most populous in africa  and the fourteenth most populous in the world the great majority of its people live near the banks of the nile river an area of about  square kilometres  where the only arable land is found the large regions of the sahara desert which constitute most of egypts territory are sparsely inhabited about  of egypts residents live across the countrys urban areas with most spread across the densely populated centres of greater cairo alexandria and other major cities in the nile delta
",islam official religion egypt arabic official language million inhabitants egypt populous country north africa middle east arab world populous africa fourteenth populous world great majority people live near banks nile river area square kilometres arable land found large regions sahara desert constitute egypts territory sparsely inhabited egypts residents live countrys urban areas spread densely populated centres greater cairo alexandria major cities nile delta,8.04,"islam,official,religion,egypt,arabic,official,language,million,inhabitants,egypt,populous,country,north,africa,middle,east,arab,world,populous,africa,fourteenth,populous,world,great,majority,people,live,near,banks,nile,river,area,square,kilometres,arable,land,found,large,regions,sahara,desert,constitute,egypts,territory,sparsely,inhabited,egypts,residents,live,countrys,urban,areas,spread,densely,populated,centres,greater,cairo,alexandria,major,cities,nile,delta",0.00,egypt
"egypt is considered to be a regional power in north africa the middle east and the muslim world and a middle power worldwide it is a developing country ranking th on the human development index it has a diversified economy which is the third largest in africa the rd largest economy by nominal gdp and the th largest globally by ppp egypt is a founding member of the united nations the non aligned movement the arab league the african union organisation of islamic cooperation and the world youth forum
",egypt considered regional power north africa middle east muslim world middle power worldwide developing country ranking th human development index diversified economy largest africa rd largest economy nominal gdp th largest globally ppp egypt founding member united nations non aligned movement arab league african union organisation islamic cooperation world youth forum,7.55,"egypt,considered,regional,power,north,africa,middle,east,muslim,world,middle,power,worldwide,developing,country,ranking,th,human,development,index,diversified,economy,largest,africa,rd,largest,economy,nominal,gdp,th,largest,globally,ppp,egypt,founding,member,united,nations,non,aligned,movement,arab,league,african,union,organisation,islamic,cooperation,world,youth,forum",0.00,egypt
"mir  is the classical quranic arabic and modern official name of egypt while mar  is the local pronunciation in egyptian arabic the name is of semitic origin directly cognate with other semitic words for egypt such as the hebrew   the oldest attestation of this name for egypt is the akkadian mi i ru  related to mirumiirrumiaru meaning border or frontier the neo assyrian empire used the derived term  mu you are
",mir classical quranic arabic modern official egypt mar local pronunciation egyptian arabic semitic origin directly cognate semitic words egypt hebrew oldest attestation egypt akkadian mi ru related mirumiirrumiaru meaning border frontier neo assyrian empire derived term mu,8.21,"mir,classical,quranic,arabic,modern,official,egypt,mar,local,pronunciation,egyptian,arabic,semitic,origin,directly,cognate,semitic,words,egypt,hebrew,oldest,attestation,egypt,akkadian,mi,ru,related,mirumiirrumiaru,meaning,border,frontier,neo,assyrian,empire,derived,term,mu",0.00,egypt
"there is evidence of rock carvings along the nile terraces and in desert oases in the th millennium bce a culture of hunter gatherers and fishers was replaced by a grain grinding culture climate changes or overgrazing around  bce began to desiccate the pastoral lands of egypt forming the sahara early tribal peoples migrated to the nile river where they developed a settled agricultural economy and more centralised society
",evidence rock carvings nile terraces desert oases th millennium bce culture hunter gatherers fishers replaced grain grinding culture climate changes overgrazing bce began desiccate pastoral lands egypt forming sahara early tribal peoples migrated nile river developed settled agricultural economy centralised society,6.59,"evidence,rock,carvings,nile,terraces,desert,oases,th,millennium,bce,culture,hunter,gatherers,fishers,replaced,grain,grinding,culture,climate,changes,overgrazing,bce,began,desiccate,pastoral,lands,egypt,forming,sahara,early,tribal,peoples,migrated,nile,river,developed,settled,agricultural,economy,centralised,society",0.00,egypt
"by about  bce a neolithic culture took root in the nile valley during the neolithic era several predynastic cultures developed independently in upper and lower egypt the badarian culture and the successor naqada series are generally regarded as precursors to dynastic egypt the earliest known lower egyptian site merimda predates the badarian by about seven hundred years contemporaneous lower egyptian communities coexisted with their southern counterparts for more than two thousand years remaining culturally distinct but maintaining frequent contact through trade the earliest known evidence of egyptian hieroglyphic inscriptions appeared during the predynastic period on naqada iii pottery vessels dated to about  bce
",bce neolithic culture took root nile valley neolithic era predynastic cultures developed independently upper lower egypt badarian culture successor naqada series generally regarded precursors dynastic egypt earliest known lower egyptian site merimda predates badarian seven years contemporaneous lower egyptian communities coexisted southern counterparts thousand years remaining culturally distinct maintaining frequent contact trade earliest known evidence egyptian hieroglyphic inscriptions appeared predynastic period naqada iii pottery vessels dated bce,4.98,"bce,neolithic,culture,took,root,nile,valley,neolithic,era,predynastic,cultures,developed,independently,upper,lower,egypt,badarian,culture,successor,naqada,series,generally,regarded,precursors,dynastic,egypt,earliest,known,lower,egyptian,site,merimda,predates,badarian,seven,years,contemporaneous,lower,egyptian,communities,coexisted,southern,counterparts,thousand,years,remaining,culturally,distinct,maintaining,frequent,contact,trade,earliest,known,evidence,egyptian,hieroglyphic,inscriptions,appeared,predynastic,period,naqada,iii,pottery,vessels,dated,bce",0.00,egypt
"a unified kingdom was founded c  bce by king menes leading to a series of dynasties that ruled egypt for the next three millennia egyptian culture flourished during this long period and remained distinctively egyptian in its religion arts language and customs the first two ruling dynasties of a unified egypt set the stage for the old kingdom period c  bce which constructed many pyramids most notably the third dynasty pyramid of djoser and the fourth dynasty giza pyramids
",unified kingdom founded c bce king menes leading series dynasties ruled egypt millennia egyptian culture flourished long period remained distinctively egyptian religion arts language customs ruling dynasties unified egypt set stage old kingdom period c bce constructed pyramids notably dynasty pyramid djoser fourth dynasty giza pyramids,6.93,"unified,kingdom,founded,c,bce,king,menes,leading,series,dynasties,ruled,egypt,millennia,egyptian,culture,flourished,long,period,remained,distinctively,egyptian,religion,arts,language,customs,ruling,dynasties,unified,egypt,set,stage,old,kingdom,period,c,bce,constructed,pyramids,notably,dynasty,pyramid,djoser,fourth,dynasty,giza,pyramids",0.00,egypt
"the first intermediate period ushered in a time of political upheaval for about  years stronger nile floods and stabilisation of government however brought back renewed prosperity for the country in the middle kingdom c  bce reaching a peak during the reign of pharaoh amenemhat iii a second period of disunity heralded the arrival of the first foreign ruling dynasty in egypt that of the semitic hyksos the hyksos invaders took over much of lower egypt around  bce and founded a new capital at avaris they were driven out by an upper egyptian force led by ahmose i who founded the eighteenth dynasty and relocated the capital from memphis to thebes
",intermediate period ushered time political upheaval years stronger nile floods stabilisation government brought renewed prosperity country middle kingdom c bce reaching peak reign pharaoh amenemhat iii second period disunity heralded arrival foreign ruling dynasty egypt semitic hyksos hyksos invaders took lower egypt bce founded new capital avaris driven upper egyptian force led ahmose founded eighteenth dynasty relocated capital memphis thebes,7.69,"intermediate,period,ushered,time,political,upheaval,years,stronger,nile,floods,stabilisation,government,brought,renewed,prosperity,country,middle,kingdom,c,bce,reaching,peak,reign,pharaoh,amenemhat,iii,second,period,disunity,heralded,arrival,foreign,ruling,dynasty,egypt,semitic,hyksos,hyksos,invaders,took,lower,egypt,bce,founded,new,capital,avaris,driven,upper,egyptian,force,led,ahmose,founded,eighteenth,dynasty,relocated,capital,memphis,thebes",0.00,egypt
