Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the empire of japane also known as the japanese empire or imperial japan was a historical nation statef and great power that existed from the meiji restoration in  until the enactment of the post world war ii  constitution and subsequent formation of modern japan it encompassed the japanese archipelago and several colonies protectorates mandates and other territories
",empire japane known japanese empire imperial japan historical nation statef great power existed meiji restoration enactment post world war ii constitution subsequent formation modern japan encompassed japanese archipelago colonies protectorates mandates territories,6.76,"empire,japane,known,japanese,empire,imperial,japan,historical,nation,statef,great,power,existed,meiji,restoration,enactment,post,world,war,ii,constitution,subsequent,formation,modern,japan,encompassed,japanese,archipelago,colonies,protectorates,mandates,territories",0.00,japan
"under the slogans of fukoku kyheig and shokusan kgyh following the boshin war and restoration of power to the emperor from the shogun japan underwent a period of industrialization and militarization the meiji restoration which is often regarded as the fastest modernisation of any country to date all of these aspects contributed to japans emergence as a great power and the establishment of a colonial empire following the first sino japanese war the boxer rebellion the russo japanese war and world war i economic and political turmoil in the s including the great depression led to the rise of militarism nationalism and totalitarianism as embodied in the showa statism ideology eventually culminating in japans membership in the axis alliance and the conquest of a large part of the asia pacific in world war ii
",slogans fukoku kyheig shokusan kgyh following boshin war restoration power emperor shogun japan underwent period industrialization militarization meiji restoration regarded fastest modernisation country date aspects contributed japans emergence great power establishment colonial empire following sino japanese war boxer rebellion russo japanese war world war economic political turmoil including great depression led rise militarism nationalism totalitarianism embodied showa statism ideology eventually culminating japans membership axis alliance conquest large asia pacific world war ii,7.60,"slogans,fukoku,kyheig,shokusan,kgyh,following,boshin,war,restoration,power,emperor,shogun,japan,underwent,period,industrialization,militarization,meiji,restoration,regarded,fastest,modernisation,country,date,aspects,contributed,japans,emergence,great,power,establishment,colonial,empire,following,sino,japanese,war,boxer,rebellion,russo,japanese,war,world,war,economic,political,turmoil,including,great,depression,led,rise,militarism,nationalism,totalitarianism,embodied,showa,statism,ideology,eventually,culminating,japans,membership,axis,alliance,conquest,large,asia,pacific,world,war,ii",0.00,japan
"japans armed forces initially achieved large scale military successes during the second sino japanese war  and the pacific war however starting from  particularly after the battles of midway and guadalcanal japan was forced to adopt a defensive stance and the american island hopping campaign led to the eventual loss of many of japans oceanian island possessions throughout the following three years eventually the americans captured iwo jima and okinawa island leaving the japanese mainland unprotected and without a significant naval defense force the yous forces had planned an invasion but japan surrendered following the atomic bombings of hiroshima and nagasaki and the nearly simultaneous soviet declaration of war on august   and subsequent invasion of manchuria and other territories the pacific war officially came to a close on september   a period of occupation by the allies followed in  with american involvement a new constitution was enacted officially bringing the empire of japan to an end and japans imperial army was replaced with the japan self defense forces occupation and reconstruction continued until  eventually forming the current constitutional monarchy known as japan
",japans armed forces initially achieved large scale military successes second sino japanese war pacific war starting particularly battles midway guadalcanal japan forced adopt defensive stance american island hopping campaign led eventual loss japans oceanian island possessions following years eventually americans captured iwo jima okinawa island leaving japanese mainland unprotected significant naval defense force yous forces planned invasion japan surrendered following atomic bombings hiroshima nagasaki nearly simultaneous soviet declaration war august subsequent invasion manchuria territories pacific war officially came close september period occupation allies followed american involvement new constitution enacted officially bringing empire japan end japans imperial army replaced japan self defense forces occupation reconstruction continued eventually forming current constitutional monarchy known japan,5.67,"japans,armed,forces,initially,achieved,large,scale,military,successes,second,sino,japanese,war,pacific,war,starting,particularly,battles,midway,guadalcanal,japan,forced,adopt,defensive,stance,american,island,hopping,campaign,led,eventual,loss,japans,oceanian,island,possessions,following,years,eventually,americans,captured,iwo,jima,okinawa,island,leaving,japanese,mainland,unprotected,significant,naval,defense,force,yous,forces,planned,invasion,japan,surrendered,following,atomic,bombings,hiroshima,nagasaki,nearly,simultaneous,soviet,declaration,war,august,subsequent,invasion,manchuria,territories,pacific,war,officially,came,close,september,period,occupation,allies,followed,american,involvement,new,constitution,enacted,officially,bringing,empire,japan,end,japans,imperial,army,replaced,japan,self,defense,forces,occupation,reconstruction,continued,eventually,forming,current,constitutional,monarchy,known,japan",0.00,japan
"the empire of japan had three emperors although it came to an end partway through shwas reign the emperors were given posthumous names and the emperors are as follows meiji taisho and shwa
",empire japan emperors came end partway shwas reign emperors given posthumous names emperors follows meiji taisho shwa,8.47,"empire,japan,emperors,came,end,partway,shwas,reign,emperors,given,posthumous,names,emperors,follows,meiji,taisho,shwa",0.00,japan
"the historical state is frequently referred to as the empire of japan the japanese empire or imperial japan in english in japanese it is referred to as dai nippon teikoku  which translates to empire of great japan  teikoku is itself composed of the nouns tei referring to an emperor and  koku nation state literally imperial state or imperial realm 
",historical state frequently referred empire japan japanese empire imperial japan english japanese referred dai nippon teikoku translates empire great japan teikoku composed nouns tei referring emperor koku nation state literally imperial state imperial realm,7.14,"historical,state,frequently,referred,empire,japan,japanese,empire,imperial,japan,english,japanese,referred,dai,nippon,teikoku,translates,empire,great,japan,teikoku,composed,nouns,tei,referring,emperor,koku,nation,state,literally,imperial,state,imperial,realm",0.00,japan
"this meaning is significant in terms of geography encompassing japan and its surrounding areas the nomenclature empire of japan had existed since the anti tokugawa domains satsuma and chsh which founded their new government during the meiji restoration with the intention of forming a modern state to resist western domination later the empire emerged as a major colonial power in the world
",meaning significant terms geography encompassing japan surrounding areas nomenclature empire japan existed anti tokugawa domains satsuma chsh founded new government meiji restoration intention forming modern state resist western domination later empire emerged major colonial power world,6.65,"meaning,significant,terms,geography,encompassing,japan,surrounding,areas,nomenclature,empire,japan,existed,anti,tokugawa,domains,satsuma,chsh,founded,new,government,meiji,restoration,intention,forming,modern,state,resist,western,domination,later,empire,emerged,major,colonial,power,world",0.00,japan
"after two centuries the seclusion policy or sakoku under the shguns of the edo period came to an end when the country was forced open to trade by the convention of kanagawa which came when matthew c perry arrived in japan in  thus the period known as bakumatsu began
",centuries seclusion policy sakoku shguns edo period came end country forced open trade convention kanagawa came matthew c perry arrived japan period known bakumatsu began,8.99,"centuries,seclusion,policy,sakoku,shguns,edo,period,came,end,country,forced,open,trade,convention,kanagawa,came,matthew,c,perry,arrived,japan,period,known,bakumatsu,began",0.00,japan
"in march  the emperor issued the order to expel barbarians although the shogunate had no intention of enforcing the order it nevertheless inspired attacks against the shogunate itself and against foreigners in japan the namamugi incident during  led to the murder of an englishman charles lennox richardson by a party of samurai from satsuma the british demanded reparations but were denied while attempting to exact payment the royal navy was fired on from coastal batteries near the town of kagoshima they responded by bombarding the port of kagoshima in  the tokugawa government agreed to pay an indemnity for richardsons death shelling of foreign shipping in shimonoseki and attacks against foreign property led to the bombardment of shimonoseki by a multinational force in  the chsh clan also launched the failed coup known as the kinmon incident the satsuma chsh alliance was established in  to combine their efforts to overthrow the tokugawa bakufu in early  emperor kmei died of smallpox and was replaced by his son crown prince mutsuhito 
",march emperor issued order expel barbarians shogunate intention enforcing order inspired attacks shogunate foreigners japan namamugi incident led murder englishman charles lennox richardson party samurai satsuma british demanded reparations denied attempting exact payment royal navy fired coastal batteries near town kagoshima responded bombarding port kagoshima tokugawa government agreed pay indemnity richardsons death shelling foreign shipping shimonoseki attacks foreign property led bombardment shimonoseki multinational force chsh clan launched failed coup known kinmon incident satsuma chsh alliance established combine efforts overthrow tokugawa bakufu early emperor kmei died smallpox replaced son crown prince mutsuhito,7.25,"march,emperor,issued,order,expel,barbarians,shogunate,intention,enforcing,order,inspired,attacks,shogunate,foreigners,japan,namamugi,incident,led,murder,englishman,charles,lennox,richardson,party,samurai,satsuma,british,demanded,reparations,denied,attempting,exact,payment,royal,navy,fired,coastal,batteries,near,town,kagoshima,responded,bombarding,port,kagoshima,tokugawa,government,agreed,pay,indemnity,richardsons,death,shelling,foreign,shipping,shimonoseki,attacks,foreign,property,led,bombardment,shimonoseki,multinational,force,chsh,clan,launched,failed,coup,known,kinmon,incident,satsuma,chsh,alliance,established,combine,efforts,overthrow,tokugawa,bakufu,early,emperor,kmei,died,smallpox,replaced,son,crown,prince,mutsuhito",0.00,japan
"the boshin war  was fought between january  and may  the alliance of samurai from southern and western domains and court officials had now secured the cooperation of the young emperor meiji who ordered the dissolution of the two hundred year old tokugawa shogunate tokugawa yoshinobu launched a military campaign to seize the emperors court in kyoto however the tide rapidly turned in favor of the smaller but relatively modernized imperial faction and resulted in defections of many daimys to the imperial side the battle of tobafushimi was a decisive victory in which a combined army from chsh tosa and satsuma domains defeated the tokugawa army a series of battles were then fought in pursuit of supporters of the shogunate edo surrendered to the imperial forces and afterward yoshinobu personally surrendered yoshinobu was stripped of all his power by emperor meiji and most of japan accepted the emperors rule
",boshin war fought january alliance samurai southern western domains court officials secured cooperation young emperor meiji ordered dissolution year old tokugawa shogunate tokugawa yoshinobu launched military campaign seize emperors court kyoto tide rapidly turned favor smaller relatively modernized imperial faction resulted defections daimys imperial battle tobafushimi decisive victory combined army chsh tosa satsuma domains defeated tokugawa army series battles fought pursuit supporters shogunate edo surrendered imperial forces afterward yoshinobu personally surrendered yoshinobu stripped power emperor meiji japan accepted emperors rule,7.43,"boshin,war,fought,january,alliance,samurai,southern,western,domains,court,officials,secured,cooperation,young,emperor,meiji,ordered,dissolution,year,old,tokugawa,shogunate,tokugawa,yoshinobu,launched,military,campaign,seize,emperors,court,kyoto,tide,rapidly,turned,favor,smaller,relatively,modernized,imperial,faction,resulted,defections,daimys,imperial,battle,tobafushimi,decisive,victory,combined,army,chsh,tosa,satsuma,domains,defeated,tokugawa,army,series,battles,fought,pursuit,supporters,shogunate,edo,surrendered,imperial,forces,afterward,yoshinobu,personally,surrendered,yoshinobu,stripped,power,emperor,meiji,japan,accepted,emperors,rule",0.00,japan
"the charter oath was made public at the enthronement of emperor meiji of japan on april   the oath outlined the main aims and the course of action to be followed during emperor meijis reign setting the legal stage for japans modernization the meiji leaders also aimed to boost morale and win financial support for the new government
",charter oath public enthronement emperor meiji japan april oath outlined main aims course action followed emperor meijis reign setting legal stage japans modernization meiji leaders aimed boost morale win financial support new government,7.21,"charter,oath,public,enthronement,emperor,meiji,japan,april,oath,outlined,main,aims,course,action,followed,emperor,meijis,reign,setting,legal,stage,japans,modernization,meiji,leaders,aimed,boost,morale,win,financial,support,new,government",0.00,japan
