Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the english electric canberra is a british first generation jet powered medium bomber it was developed by english electric during the mid  to late s in response to a  air ministry requirement for a successor to the wartime de havilland mosquito fast bomber among the performance requirements for the type was an outstanding high altitude bombing capability and high speed these were partly accomplished by making use of newly developed jet propulsion technology when the canberra was introduced to service with the royal air force  the types first operator in may  it became the services first jet powered bomber
",english electric canberra british generation jet powered medium bomber developed english electric mid late response air ministry requirement successor wartime de havilland mosquito fast bomber performance requirements type outstanding high altitude bombing capability high speed partly accomplished making use newly developed jet propulsion technology canberra introduced service royal air force types operator services jet powered bomber,7.01,"english,electric,canberra,british,generation,jet,powered,medium,bomber,developed,english,electric,mid,late,response,air,ministry,requirement,successor,wartime,de,havilland,mosquito,fast,bomber,performance,requirements,type,outstanding,high,altitude,bombing,capability,high,speed,partly,accomplished,making,use,newly,developed,jet,propulsion,technology,canberra,introduced,service,royal,air,force,types,operator,services,jet,powered,bomber",0.00,canberra
"in february  a canberra set another world record when it became the first jet aircraft to make a nonstop transatlantic flight throughout most of the s the canberra could fly at a higher altitude than any other aircraft in the world and in  a canberra established a world altitude record of  feet  due to its ability to evade the early jet interceptor aircraft and its significant performance advancement over contemporary piston engined bombers the canberra became a popular aircraft on the export market being procured for service in the air forces of many nations both inside and outside of the commonwealth of nations the type was also licence produced in australia by government aircraft factories  and in the us by martin as the b  canberra the latter produced both the slightly modified b a canberra and the significantly updated b b
",february canberra set world record jet aircraft nonstop transatlantic flight canberra fly higher altitude aircraft world canberra established world altitude record feet ability evade early jet interceptor aircraft significant performance advancement contemporary piston engined bombers canberra popular aircraft export market procured service air forces nations inside outside commonwealth nations type licence produced australia government aircraft factories martin b canberra produced slightly modified b canberra significantly updated b b,8.69,"february,canberra,set,world,record,jet,aircraft,nonstop,transatlantic,flight,canberra,fly,higher,altitude,aircraft,world,canberra,established,world,altitude,record,feet,ability,evade,early,jet,interceptor,aircraft,significant,performance,advancement,contemporary,piston,engined,bombers,canberra,popular,aircraft,export,market,procured,service,air,forces,nations,inside,outside,commonwealth,nations,type,licence,produced,australia,government,aircraft,factories,martin,b,canberra,produced,slightly,modified,b,canberra,significantly,updated,b,b",0.00,canberra
"in addition to being a tactical nuclear strike aircraft the canberra proved to be highly adaptable serving in varied roles such as tactical bombing and photographic and electronic reconnaissance canberras served throughout the cold war in the suez crisis vietnam war falklands war indo pakistani wars and numerous african conflicts in several wars each of the opposing sides had canberras in its air force
",addition tactical nuclear strike aircraft canberra proved highly adaptable serving varied roles tactical bombing photographic electronic reconnaissance canberras served cold war suez crisis vietnam war falklands war indo pakistani wars numerous african conflicts wars opposing sides canberras air force,6.16,"addition,tactical,nuclear,strike,aircraft,canberra,proved,highly,adaptable,serving,varied,roles,tactical,bombing,photographic,electronic,reconnaissance,canberras,served,cold,war,suez,crisis,vietnam,war,falklands,war,indo,pakistani,wars,numerous,african,conflicts,wars,opposing,sides,canberras,air,force",0.00,canberra
"the canberra served for more than  years with some operators in june  the raf retired the last three of its canberras  years after its first flight three of the martin b  variant remain in service performing meteorological and re entry tracking work for nasa as well as providing electronic communication  testing for deployment to afghanistanneeds update
",canberra served years operators june raf retired canberras years flight martin b variant remain service performing meteorological entry tracking work nasa providing electronic communication testing deployment afghanistanneeds update,7.87,"canberra,served,years,operators,june,raf,retired,canberras,years,flight,martin,b,variant,remain,service,performing,meteorological,entry,tracking,work,nasa,providing,electronic,communication,testing,deployment,afghanistanneeds,update",0.00,canberra
"the canberra had its formal origins in a  requirement issued by the air ministry for a successor to the de havilland mosquito this requirement the initial revision being e sought a high altitude high speed bomber which was to be equipped with no defensive armament according to aviation historians bill gunston and peter gilchrist air ministry officials are alleged to have had difficulty defining what they sought for the proposed type which led to several revisions of the requirement further specification refinements including b and b issued further details such as a three man crew and other features such as a visual bombing capability several british aircraft manufacturers submitted proposals to meet the requirement including english electric the firm was among those companies to be short listed to proceed with development studies
",canberra formal origins requirement issued air ministry successor de havilland mosquito requirement initial revision e sought high altitude high speed bomber equipped defensive armament according aviation historians bill gunston peter gilchrist air ministry officials alleged difficulty defining sought proposed type led revisions requirement specification refinements including b b issued details man crew features visual bombing capability british aircraft manufacturers submitted proposals meet requirement including english electric firm companies short listed proceed development studies,7.01,"canberra,formal,origins,requirement,issued,air,ministry,successor,de,havilland,mosquito,requirement,initial,revision,e,sought,high,altitude,high,speed,bomber,equipped,defensive,armament,according,aviation,historians,bill,gunston,peter,gilchrist,air,ministry,officials,alleged,difficulty,defining,sought,proposed,type,led,revisions,requirement,specification,refinements,including,b,b,issued,details,man,crew,features,visual,bombing,capability,british,aircraft,manufacturers,submitted,proposals,meet,requirement,including,english,electric,firm,companies,short,listed,proceed,development,studies",0.00,canberra
"by june  the aircraft that was to become the canberra bore many similarities to the eventual design despite the placement of a single centrally mounted turbojet engine petter had held discussions with rolls royce ltd on the topic of the development of a scaled up derivative of the nene engine in late  the design was modified further with a pair of engines being adopted instead initially to be set in the wing roots and later to be mounted in a midwing position this change was made principally due to centre of gravity issues imposed by the position and weight of a heavy bombload and centrally mounted single engine the new engine position decreased the aircrafts weight by  and improved the aircrafts centre of gravity as well as improved accessibility to the engines and related accessories its downsides were slight thrust loss from the longer jet pipes and greater yaw during engine out instances
",june aircraft canberra bore similarities eventual design despite placement single centrally mounted turbojet engine petter held discussions rolls royce ltd topic development scaled derivative nene engine late design modified pair engines adopted instead initially set wing roots later mounted midwing position change principally centre gravity issues imposed position weight heavy bombload centrally mounted single engine new engine position decreased aircrafts weight improved aircrafts centre gravity improved accessibility engines related accessories downsides slight thrust loss longer jet pipes greater yaw engine instances,7.96,"june,aircraft,canberra,bore,similarities,eventual,design,despite,placement,single,centrally,mounted,turbojet,engine,petter,held,discussions,rolls,royce,ltd,topic,development,scaled,derivative,nene,engine,late,design,modified,pair,engines,adopted,instead,initially,set,wing,roots,later,mounted,midwing,position,change,principally,centre,gravity,issues,imposed,position,weight,heavy,bombload,centrally,mounted,single,engine,new,engine,position,decreased,aircrafts,weight,improved,aircrafts,centre,gravity,improved,accessibility,engines,related,accessories,downsides,slight,thrust,loss,longer,jet,pipes,greater,yaw,engine,instances",0.00,canberra
"during the early stages of design the aircraft had grown from being roughly the same size as the mosquito to being around double its weightclarification needed although jet powered the canberra design philosophy was very much in the mosquito mould providing room for a substantial bomb load fitting two of the most powerful engines available and wrapping it in the most compact and aerodynamic package possible an example being a leading edge formed of a single sheet of light alloy wrapped around to  of chord sitting on redux bonded stiffeners through which the ribs were passed the panels secured with adjustable eye bolts enabling a highly accurate wing profile to be maintained from the leading edge to main spar without any external joints or fastenings also in line with the mosquito philosophy the canberra by design dispensed with defensive armament which had historically proven unequal to fighter aircraft and the resulting performance gain permitted the canberra to avoid air to air combat entirely
",early stages design aircraft grown roughly size mosquito double weightclarification needed jet powered canberra design philosophy mosquito mould providing room substantial bomb load fitting powerful engines available wrapping compact aerodynamic package possible example leading edge formed single sheet light alloy wrapped chord sitting redux bonded stiffeners ribs passed panels secured adjustable eye bolts enabling highly accurate wing profile maintained leading edge main spar external joints fastenings line mosquito philosophy canberra design dispensed defensive armament historically proven unequal fighter aircraft resulting performance gain permitted canberra avoid air air combat entirely,7.32,"early,stages,design,aircraft,grown,roughly,size,mosquito,double,weightclarification,needed,jet,powered,canberra,design,philosophy,mosquito,mould,providing,room,substantial,bomb,load,fitting,powerful,engines,available,wrapping,compact,aerodynamic,package,possible,example,leading,edge,formed,single,sheet,light,alloy,wrapped,chord,sitting,redux,bonded,stiffeners,ribs,passed,panels,secured,adjustable,eye,bolts,enabling,highly,accurate,wing,profile,maintained,leading,edge,main,spar,external,joints,fastenings,line,mosquito,philosophy,canberra,design,dispensed,defensive,armament,historically,proven,unequal,fighter,aircraft,resulting,performance,gain,permitted,canberra,avoid,air,air,combat,entirely",0.00,canberra
"on  january  the ministry of supply placed a contract for the development and production of four english electric a aircraft it continued to be known as the english electric a until it was given the name canberra after the capital of australia in january  by sir george nelson chairman of english electric as australia had become the aircrafts first export customer
",january ministry supply placed contract development production english electric aircraft continued known english electric given canberra capital australia january sir george nelson chairman english electric australia aircrafts export customer,8.74,"january,ministry,supply,placed,contract,development,production,english,electric,aircraft,continued,known,english,electric,given,canberra,capital,australia,january,sir,george,nelson,chairman,english,electric,australia,aircrafts,export,customer",0.00,canberra
"flight testing of the prototypes proved to be vice free and required only a few modifications the changes included the installation of a glazed nose to accommodate a bomb aimer due to the advanced hs mk bombing radar being unavailable for production the turbojet engines were replaced by more powerful rolls royce avon ras and distinctive teardrop shaped fuel tanks were fitted under the wingtips refinements were also made following early flight testing to the rudder and elevator to reduce instances of buffeting after which it is claimed that the canberra handled much like a fighter proving to be atypically manoeuvrable for a bomber
",flight testing prototypes proved vice free required modifications changes included installation glazed nose accommodate bomb aimer advanced hs mk bombing radar unavailable production turbojet engines replaced powerful rolls royce avon ras distinctive teardrop shaped fuel tanks fitted wingtips refinements following early flight testing rudder elevator reduce instances buffeting claimed canberra handled like fighter proving atypically manoeuvrable bomber,7.37,"flight,testing,prototypes,proved,vice,free,required,modifications,changes,included,installation,glazed,nose,accommodate,bomb,aimer,advanced,hs,mk,bombing,radar,unavailable,production,turbojet,engines,replaced,powerful,rolls,royce,avon,ras,distinctive,teardrop,shaped,fuel,tanks,fitted,wingtips,refinements,following,early,flight,testing,rudder,elevator,reduce,instances,buffeting,claimed,canberra,handled,like,fighter,proving,atypically,manoeuvrable,bomber",0.00,canberra
"the project had found considerable support from the government in the late s in march  in advance of the maiden flight of the first prototype english electric received an instruction to proceed for production by the time the first prototype had flown the air ministry had placed orders for  production aircraft in bomber reconnaissance and training variants on  april  the first production standard aircraft designated as the canberra b conducted its maiden flight piloted by beamont proving to be free of problems this first flight was almost immediately followed by the mainstream manufacturing of production canberras in may  the canberra entered raf squadron service no  squadron being the first to receive the type in a testament to the aircrafts benign handling characteristics the transition programme for the canberra consisted of only  hours in the gloster meteor and three hours in a dual control canberra trainer
",project found considerable support government late march advance maiden flight prototype english electric received instruction proceed production time prototype flown air ministry placed orders production aircraft bomber reconnaissance training variants april production standard aircraft designated canberra b conducted maiden flight piloted beamont proving free problems flight immediately followed mainstream manufacturing production canberras canberra entered raf squadron service squadron receive type testament aircrafts benign handling characteristics transition programme canberra consisted hours gloster meteor hours dual control canberra trainer,7.36,"project,found,considerable,support,government,late,march,advance,maiden,flight,prototype,english,electric,received,instruction,proceed,production,time,prototype,flown,air,ministry,placed,orders,production,aircraft,bomber,reconnaissance,training,variants,april,production,standard,aircraft,designated,canberra,b,conducted,maiden,flight,piloted,beamont,proving,free,problems,flight,immediately,followed,mainstream,manufacturing,production,canberras,canberra,entered,raf,squadron,service,squadron,receive,type,testament,aircrafts,benign,handling,characteristics,transition,programme,canberra,consisted,hours,gloster,meteor,hours,dual,control,canberra,trainer",0.00,canberra
