Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"english is a west germanic language in the indo european language family with its earliest forms spoken by the inhabitants of early medieval england it is named after the angles one of the ancient germanic peoples that migrated to the island of great britain existing on a dialect continuum with scots and then most closely related to the low german and frisian languages english is genealogically germanic however its vocabulary also shows major influences from french  and latin  plus some grammar and a small amount of core vocabulary influenced by old norse  speakers of english are called anglophones
",english west germanic language indo european language family earliest forms spoken inhabitants early medieval england named angles ancient germanic peoples migrated island great britain existing dialect continuum scots closely related low german frisian languages english genealogically germanic vocabulary shows major influences french latin plus grammar small core vocabulary influenced old norse speakers english called anglophones,7.10,"english,west,germanic,language,indo,european,language,family,earliest,forms,spoken,inhabitants,early,medieval,england,named,angles,ancient,germanic,peoples,migrated,island,great,britain,existing,dialect,continuum,scots,closely,related,low,german,frisian,languages,english,genealogically,germanic,vocabulary,shows,major,influences,french,latin,plus,grammar,small,core,vocabulary,influenced,old,norse,speakers,english,called,anglophones",0.00,english
"the earliest forms of english collectively known as old english evolved from a group of north sea germanic dialects brought to great britain by anglo saxon settlers in the th century and further mutated by norse speaking viking settlers starting in the th and th centuries middle english began in the late th century after the norman conquest of england when considerable old french  and latin derived vocabulary was incorporated into english over some three hundred years early modern english began in the late th century with the start of the great vowel shift and the renaissance trend of borrowing further latin and greek words and roots into english concurrent with the introduction of the printing press to london this era notably culminated in the king james bible and the works of william shakespeare
",earliest forms english collectively known old english evolved group north sea germanic dialects brought great britain anglo saxon settlers th century mutated norse speaking viking settlers starting th th centuries middle english began late th century norman conquest england considerable old french latin derived vocabulary incorporated english years early modern english began late th century start great vowel shift renaissance trend borrowing latin greek words roots english concurrent introduction printing press london era notably culminated king james bible works william shakespeare,6.55,"earliest,forms,english,collectively,known,old,english,evolved,group,north,sea,germanic,dialects,brought,great,britain,anglo,saxon,settlers,th,century,mutated,norse,speaking,viking,settlers,starting,th,th,centuries,middle,english,began,late,th,century,norman,conquest,england,considerable,old,french,latin,derived,vocabulary,incorporated,english,years,early,modern,english,began,late,th,century,start,great,vowel,shift,renaissance,trend,borrowing,latin,greek,words,roots,english,concurrent,introduction,printing,press,london,era,notably,culminated,king,james,bible,works,william,shakespeare",0.00,english
"modern english grammar is the result of a gradual change from a typical indo european dependent marking pattern with a rich inflectional morphology and relatively free word order to a mostly analytic pattern with little inflection and a fairly fixed subjectverbobject word order modern english relies more on auxiliary verbs and word order for the expression of complex tenses aspects and moods as well as passive constructions interrogatives and some negation
",modern english grammar result gradual change typical indo european dependent marking pattern rich inflectional morphology relatively free word order analytic pattern little inflection fairly fixed subjectverbobject word order modern english relies auxiliary verbs word order expression complex tenses aspects moods passive constructions interrogatives negation,5.86,"modern,english,grammar,result,gradual,change,typical,indo,european,dependent,marking,pattern,rich,inflectional,morphology,relatively,free,word,order,analytic,pattern,little,inflection,fairly,fixed,subjectverbobject,word,order,modern,english,relies,auxiliary,verbs,word,order,expression,complex,tenses,aspects,moods,passive,constructions,interrogatives,negation",0.00,english
"modern english has spread around the world since the th century as a consequence of the worldwide influence of the british empire and the united states of america through all types of printed and electronic media in these countries english has become the leading language of international discourse and the lingua franca in many regions and professional contexts such as science navigation and law english is the most spoken language in the world and the third most spoken native language in the world after standard chinese and spanish it is the most widely learned second language and is either the official language or one of the official languages in  sovereign states there are more people who have learned english as a second language than there are native speakers as of update it was estimated that there were over  billion speakers of english english is the majority native language in the united kingdom the united states canada australia new zealand and the republic of ireland  and is widely spoken in some areas of the caribbean africa south asia southeast asia and oceania it is the co official language of the united nations the european union and many other international and regional organisations english accounts for at least  of speakers of the germanic language branch of indo european
",modern english spread world th century consequence worldwide influence british empire united states america types printed electronic media countries english leading language international discourse lingua franca regions professional contexts science navigation law english spoken language world spoken native language world standard chinese spanish widely learned second language official language official languages sovereign states people learned english second language native speakers update estimated billion speakers english english majority native language united kingdom united states canada australia new zealand republic ireland widely spoken areas caribbean africa south asia southeast asia oceania co official language united nations european union international regional organisations english accounts speakers germanic language branch indo european,8.34,"modern,english,spread,world,th,century,consequence,worldwide,influence,british,empire,united,states,america,types,printed,electronic,media,countries,english,leading,language,international,discourse,lingua,franca,regions,professional,contexts,science,navigation,law,english,spoken,language,world,spoken,native,language,world,standard,chinese,spanish,widely,learned,second,language,official,language,official,languages,sovereign,states,people,learned,english,second,language,native,speakers,update,estimated,billion,speakers,english,english,majority,native,language,united,kingdom,united,states,canada,australia,new,zealand,republic,ireland,widely,spoken,areas,caribbean,africa,south,asia,southeast,asia,oceania,co,official,language,united,nations,european,union,international,regional,organisations,english,accounts,speakers,germanic,language,branch,indo,european",0.00,english
"english is an indo european language and belongs to the west germanic group of the germanic languages old english originated from a germanic tribal and linguistic continuum along the frisian north sea coast whose languages gradually evolved into the anglic languages in the british isles and into the frisian languages and low germanlow saxon on the continent the frisian languages which together with the anglic languages form the anglo frisian languages are the closest living relatives of english low germanlow saxon is also closely related and sometimes english the frisian languages and low german are grouped together as the ingvaeonic  languages though this grouping remains debated old english evolved into middle english which in turn evolved into modern english particular dialects of old and middle english also developed into a number of other anglic languages including scots and the extinct fingallian and forth and bargy  dialects of ireland
",english indo european language belongs west germanic group germanic languages old english originated germanic tribal linguistic continuum frisian north sea coast languages gradually evolved anglic languages british isles frisian languages low germanlow saxon continent frisian languages anglic languages form anglo frisian languages closest living relatives english low germanlow saxon closely related english frisian languages low german grouped ingvaeonic languages grouping remains debated old english evolved middle english turn evolved modern english particular dialects old middle english developed number anglic languages including scots extinct fingallian forth bargy dialects ireland,6.27,"english,indo,european,language,belongs,west,germanic,group,germanic,languages,old,english,originated,germanic,tribal,linguistic,continuum,frisian,north,sea,coast,languages,gradually,evolved,anglic,languages,british,isles,frisian,languages,low,germanlow,saxon,continent,frisian,languages,anglic,languages,form,anglo,frisian,languages,closest,living,relatives,english,low,germanlow,saxon,closely,related,english,frisian,languages,low,german,grouped,ingvaeonic,languages,grouping,remains,debated,old,english,evolved,middle,english,turn,evolved,modern,english,particular,dialects,old,middle,english,developed,number,anglic,languages,including,scots,extinct,fingallian,forth,bargy,dialects,ireland",0.00,english
"like icelandic and faroese the development of english in the british isles isolated it from the continental germanic languages and influences and it has since diverged considerably english is not mutually intelligible with any continental germanic language differing in vocabulary syntax and phonology although some of these such as dutch or frisian do show strong affinities with english especially with its earlier stages
",like icelandic faroese development english british isles isolated continental germanic languages influences diverged considerably english mutually intelligible continental germanic language differing vocabulary syntax phonology dutch frisian strong affinities english especially earlier stages,7.31,"like,icelandic,faroese,development,english,british,isles,isolated,continental,germanic,languages,influences,diverged,considerably,english,mutually,intelligible,continental,germanic,language,differing,vocabulary,syntax,phonology,dutch,frisian,strong,affinities,english,especially,earlier,stages",0.00,english
"unlike icelandic and faroese which were isolated the development of english was influenced by a long series of invasions of the british isles by other peoples and languages particularly old norse and norman french these left a profound mark of their own on the language so that english shows some similarities in vocabulary and grammar with many languages outside its linguistic cladesbut it is not mutually intelligible with any of those languages either some scholars have argued that english can be considered a mixed language or a creolea theory called the middle english creole hypothesis although the great influence of these languages on the vocabulary and grammar of modern english is widely acknowledged most specialists in language contact do not consider english to be a true mixed language
",unlike icelandic faroese isolated development english influenced long series invasions british isles peoples languages particularly old norse norman french left profound mark language english shows similarities vocabulary grammar languages outside linguistic cladesbut mutually intelligible languages scholars argued english considered mixed language creolea theory called middle english creole hypothesis great influence languages vocabulary grammar modern english widely acknowledged specialists language contact consider english true mixed language,7.86,"unlike,icelandic,faroese,isolated,development,english,influenced,long,series,invasions,british,isles,peoples,languages,particularly,old,norse,norman,french,left,profound,mark,language,english,shows,similarities,vocabulary,grammar,languages,outside,linguistic,cladesbut,mutually,intelligible,languages,scholars,argued,english,considered,mixed,language,creolea,theory,called,middle,english,creole,hypothesis,great,influence,languages,vocabulary,grammar,modern,english,widely,acknowledged,specialists,language,contact,consider,english,true,mixed,language",0.00,english
"english is classified as a germanic language because it shares innovations with other germanic languages such as dutch german and swedish these shared innovations show that the languages have descended from a single common ancestor called proto germanic some shared features of germanic languages include the division of verbs into strong and weak classes the use of modal verbs and the sound changes affecting proto indo european consonants known as grimms and verners laws english is classified as an anglo frisian language because frisian and english share other features such as the palatalisation of consonants that were velar consonants in proto germanic 
",english classified germanic language shares innovations germanic languages dutch german swedish shared innovations languages descended single common ancestor called proto germanic shared features germanic languages include division verbs strong weak classes use modal verbs sound changes affecting proto indo european consonants known grimms verners laws english classified anglo frisian language frisian english share features palatalisation consonants velar consonants proto germanic,6.34,"english,classified,germanic,language,shares,innovations,germanic,languages,dutch,german,swedish,shared,innovations,languages,descended,single,common,ancestor,called,proto,germanic,shared,features,germanic,languages,include,division,verbs,strong,weak,classes,use,modal,verbs,sound,changes,affecting,proto,indo,european,consonants,known,grimms,verners,laws,english,classified,anglo,frisian,language,frisian,english,share,features,palatalisation,consonants,velar,consonants,proto,germanic",0.00,english
"the earliest form of english is called old english or anglo saxon  old english developed from a set of west germanic dialects often grouped as anglo frisian or north sea germanic and originally spoken along the coasts of frisia lower saxony and southern jutland by germanic peoples known to the historical record as the angles saxons and jutes from the th century the anglo saxons settled britain as the roman economy and administration collapsed by the th century the germanic language of the anglo saxons became dominant in britain replacing the languages of roman britain  common brittonic a celtic language and latin brought to britain by the roman occupation england and english  are named after the angles
",earliest form english called old english anglo saxon old english developed set west germanic dialects grouped anglo frisian north sea germanic originally spoken coasts frisia lower saxony southern jutland germanic peoples known historical record angles saxons jutes th century anglo saxons settled britain roman economy administration collapsed th century germanic language anglo saxons dominant britain replacing languages roman britain common brittonic celtic language latin brought britain roman occupation england english named angles,6.32,"earliest,form,english,called,old,english,anglo,saxon,old,english,developed,set,west,germanic,dialects,grouped,anglo,frisian,north,sea,germanic,originally,spoken,coasts,frisia,lower,saxony,southern,jutland,germanic,peoples,known,historical,record,angles,saxons,jutes,th,century,anglo,saxons,settled,britain,roman,economy,administration,collapsed,th,century,germanic,language,anglo,saxons,dominant,britain,replacing,languages,roman,britain,common,brittonic,celtic,language,latin,brought,britain,roman,occupation,england,english,named,angles",0.00,english
"old english was divided into four dialects the anglian dialects  and the saxon dialects kentish and west saxon through the educational reforms of king alfred in the th century and the influence of the kingdom of wessex the west saxon dialect became the standard written variety the epic poem beowulf is written in west saxon and the earliest english poem cdmons hymn is written in northumbrian modern english developed mainly from mercian but the scots language developed from northumbrian a few short inscriptions from the early period of old english were written using a runic script by the th century a latin alphabet was adopted written with half uncial letterforms it included the runic letters wynn  and thorn  and the modified latin letters eth  and ash 
",old english divided dialects anglian dialects saxon dialects kentish west saxon educational reforms king alfred th century influence kingdom wessex west saxon dialect standard written variety epic poem beowulf written west saxon earliest english poem cdmons hymn written northumbrian modern english developed mainly mercian scots language developed northumbrian short inscriptions early period old english written runic script th century latin alphabet adopted written half uncial letterforms included runic letters wynn thorn modified latin letters eth ash,6.56,"old,english,divided,dialects,anglian,dialects,saxon,dialects,kentish,west,saxon,educational,reforms,king,alfred,th,century,influence,kingdom,wessex,west,saxon,dialect,standard,written,variety,epic,poem,beowulf,written,west,saxon,earliest,english,poem,cdmons,hymn,written,northumbrian,modern,english,developed,mainly,mercian,scots,language,developed,northumbrian,short,inscriptions,early,period,old,english,written,runic,script,th,century,latin,alphabet,adopted,written,half,uncial,letterforms,included,runic,letters,wynn,thorn,modified,latin,letters,eth,ash",0.00,english
