Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the euro  is the official currency of  of the  member states of the european union  this group of states is known as the eurozone or officially the euro area and includes about  million citizens as of update the euro is divided into  cents
",euro official currency member states european union group states known eurozone officially euro area includes million citizens update euro divided cents,9.17,"euro,official,currency,member,states,european,union,group,states,known,eurozone,officially,euro,area,includes,million,citizens,update,euro,divided,cents",0.00,euro
"the currency is also used officially by the institutions of the european union by four european microstates that are not eu members the british overseas territory of akrotiri and dhekelia as well as unilaterally by montenegro and kosovo outside europe a number of special territories of eu members also use the euro as their currency additionally over  million people worldwide use currencies pegged to the euro
",currency officially institutions european union european microstates eu members british overseas territory akrotiri dhekelia unilaterally montenegro kosovo outside europe number special territories eu members use euro currency additionally million people worldwide use currencies pegged euro,7.52,"currency,officially,institutions,european,union,european,microstates,eu,members,british,overseas,territory,akrotiri,dhekelia,unilaterally,montenegro,kosovo,outside,europe,number,special,territories,eu,members,use,euro,currency,additionally,million,people,worldwide,use,currencies,pegged,euro",0.00,euro
"the euro is the second largest reserve currency as well as the second most traded currency in the world after the united states dollar as of december update with more than  trillion in circulation the euro has one of the highest combined values of banknotes and coins in circulation in the world
",euro second largest reserve currency second traded currency world united states dollar decemberupdate trillion circulation euro highest combined values banknotes coins circulation world,9.46,"euro,second,largest,reserve,currency,second,traded,currency,world,united,states,dollar,decemberupdate,trillion,circulation,euro,highest,combined,values,banknotes,coins,circulation,world",0.00,euro
"the name euro was officially adopted on  december  in madrid the euro was introduced to world financial markets as an accounting currency on  january  replacing the former european currency unit  at a ratio of   physical euro coins and banknotes entered into circulation on  january  making it the day to day operating currency of its original members and by march  it had completely replaced the former currencies
",euro officially adopted december madrid euro introduced world financial markets accounting currency january replacing european currency unit ratio physical euro coins banknotes entered circulation january making day day operating currency original members march completely replaced currencies,7.23,"euro,officially,adopted,december,madrid,euro,introduced,world,financial,markets,accounting,currency,january,replacing,european,currency,unit,ratio,physical,euro,coins,banknotes,entered,circulation,january,making,day,day,operating,currency,original,members,march,completely,replaced,currencies",0.00,euro
"between december  and december  the euro traded below the us dollar but has since traded near parity with or above the us dollar peaking at us on  july  and since then returning near to its original issue rate on  july  the two currencies hit parity for the first time in nearly two decades due in part to the  russian invasion of ukraine
",december december euro traded dollar traded near parity dollar peaking july returning near original issue rate july currencies hit parity time nearly decades russian invasion ukraine,10.62,"december,december,euro,traded,dollar,traded,near,parity,dollar,peaking,july,returning,near,original,issue,rate,july,currencies,hit,parity,time,nearly,decades,russian,invasion,ukraine",0.00,euro
"the euro is managed and administered by the european central bank  and the eurosystem  as an independent central bank the ecb has sole authority to set monetary policy the eurosystem participates in the printing minting and distribution of notes and coins in all member states and the operation of the eurozone payment systems
",euro managed administered european central bank eurosystem independent central bank ecb sole authority set monetary policy eurosystem participates printing minting distribution notes coins member states operation eurozone payment systems,7.34,"euro,managed,administered,european,central,bank,eurosystem,independent,central,bank,ecb,sole,authority,set,monetary,policy,eurosystem,participates,printing,minting,distribution,notes,coins,member,states,operation,eurozone,payment,systems",0.00,euro
"the  maastricht treaty obliges most eu member states to adopt the euro upon meeting certain monetary and budgetary convergence criteria although not all participating states have done so denmark has negotiated exemptions while sweden  turned down the euro in a non binding referendum in  and has circumvented the obligation to adopt the euro by not meeting the monetary and budgetary requirements all nations that have joined the eu since  have pledged to adopt the euro in due course the maastricht treaty was later amended by the treaty of nice which closed the gaps and loopholes in the maastricht and rome treaties
",maastricht treaty obliges eu member states adopt euro meeting certain monetary budgetary convergence criteria participating states denmark negotiated exemptions sweden turned euro non binding referendum circumvented obligation adopt euro meeting monetary budgetary requirements nations joined eu pledged adopt euro course maastricht treaty later amended treaty nice closed gaps loopholes maastricht rome treaties,7.92,"maastricht,treaty,obliges,eu,member,states,adopt,euro,meeting,certain,monetary,budgetary,convergence,criteria,participating,states,denmark,negotiated,exemptions,sweden,turned,euro,non,binding,referendum,circumvented,obligation,adopt,euro,meeting,monetary,budgetary,requirements,nations,joined,eu,pledged,adopt,euro,course,maastricht,treaty,later,amended,treaty,nice,closed,gaps,loopholes,maastricht,rome,treaties",0.00,euro
"the bulgarian lev is targeted to be replaced by the euro on  january 
",bulgarian lev targeted replaced euro january,10.00,"bulgarian,lev,targeted,replaced,euro,january",0.00,euro
"the romanian leu is targeted to be replaced by the euro sometime in 
",romanian leu targeted replaced euro,11.59,"romanian,leu,targeted,replaced,euro",0.00,euro
"eu members czech republic hungary poland and sweden are legally obligated to adopt the euro eventually though they have no required date for adoption and their governments do not currently have any plans for switching denmark has negotiated for the right to not be required to switch
",eu members czech republic hungary poland sweden legally obligated adopt euro eventually required date adoption governments currently plans switching denmark negotiated right required switch,8.10,"eu,members,czech,republic,hungary,poland,sweden,legally,obligated,adopt,euro,eventually,required,date,adoption,governments,currently,plans,switching,denmark,negotiated,right,required,switch",0.00,euro
