Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"europe is a continenta that is part of eurasia and is located entirely in the northern hemisphere and mostly in the eastern hemisphere comprising the westernmost peninsulas of eurasia it shares the continental landmass of afro eurasia with both africa and asia it is bordered by the arctic ocean to the north the atlantic ocean to the west the mediterranean sea to the south and asia to the east europe is commonly considered to be separated from asia by the watershed of the ural mountains the ural river the caspian sea the greater caucasus the black sea and the waterways of the turkish straits
",europe continenta eurasia located entirely northern hemisphere eastern hemisphere comprising westernmost peninsulas eurasia shares continental landmass afro eurasia africa asia bordered arctic ocean north atlantic ocean west mediterranean sea south asia east europe commonly considered separated asia watershed ural mountains ural river caspian sea greater caucasus black sea waterways turkish straits,8.86,"europe,continenta,eurasia,located,entirely,northern,hemisphere,eastern,hemisphere,comprising,westernmost,peninsulas,eurasia,shares,continental,landmass,afro,eurasia,africa,asia,bordered,arctic,ocean,north,atlantic,ocean,west,mediterranean,sea,south,asia,east,europe,commonly,considered,separated,asia,watershed,ural,mountains,ural,river,caspian,sea,greater,caucasus,black,sea,waterways,turkish,straits",0.00,europe
"europe covers about  million km  or  of earths surface  making it the second smallest continent  politically europe is divided into about fifty sovereign states of which russia is the largest and most populous spanning  of the continent and comprising  of its population europe had a total population of about  million  in  the european climate is largely affected by warm atlantic currents that temper winters and summers on much of the continent even at latitudes along which the climate in asia and north america is severe further from the sea seasonal differences are more noticeable than close to the coast
",europe covers millionkm earths surface making second smallest continent politically europe divided sovereign states russia largest populous spanning continent comprising population europe total population million european climate largely affected warm atlantic currents temper winters summers continent latitudes climate asia north america severe sea seasonal differences noticeable close coast,8.17,"europe,covers,millionkm,earths,surface,making,second,smallest,continent,politically,europe,divided,sovereign,states,russia,largest,populous,spanning,continent,comprising,population,europe,total,population,million,european,climate,largely,affected,warm,atlantic,currents,temper,winters,summers,continent,latitudes,climate,asia,north,america,severe,sea,seasonal,differences,noticeable,close,coast",0.00,europe
"european culture is the root of western civilisation which traces its lineage back to ancient greece and ancient rome the fall of the western roman empire in  ce and the related migration period marked the end of europes ancient history and the beginning of the middle ages renaissance humanism exploration art and science led to the modern era since the age of discovery started by spain and portugal europe played a predominant role in global affairs between the th and th centuries european powers colonised at various times the americas almost all of africa and oceania and the majority of asia
",european culture root western civilisation traces lineage ancient greece ancient rome fall western roman empire ce related migration period marked end europes ancient history beginning middle ages renaissance humanism exploration art science led modern era age discovery started spain portugal europe played predominant role global affairs th th centuries european powers colonised times americas africa oceania majority asia,7.18,"european,culture,root,western,civilisation,traces,lineage,ancient,greece,ancient,rome,fall,western,roman,empire,ce,related,migration,period,marked,end,europes,ancient,history,beginning,middle,ages,renaissance,humanism,exploration,art,science,led,modern,era,age,discovery,started,spain,portugal,europe,played,predominant,role,global,affairs,th,th,centuries,european,powers,colonised,times,americas,africa,oceania,majority,asia",0.00,europe
"the age of enlightenment the subsequent french revolution and the napoleonic wars shaped the continent culturally politically and economically from the end of the th century until the first half of the th century the industrial revolution which began in great britain at the end of the th century gave rise to radical economic cultural and social change in western europe and eventually the wider world both world wars took place for the most part in europe contributing to a decline in western european dominance in world affairs by the mid th century as the soviet union and the united states took prominence during the cold war europe was divided along the iron curtain between nato in the west and the warsaw pact in the east until the revolutions of  fall of the berlin wall and the dissolution of the soviet union
",age enlightenment subsequent french revolution napoleonic wars shaped continent culturally politically economically end th century half th century industrial revolution began great britain end th century gave rise radical economic cultural social change western europe eventually wider world world wars took place europe contributing decline western european dominance world affairs mid th century soviet union united states took prominence cold war europe divided iron curtain nato west warsaw pact east revolutions fall berlin wall dissolution soviet union,7.93,"age,enlightenment,subsequent,french,revolution,napoleonic,wars,shaped,continent,culturally,politically,economically,end,th,century,half,th,century,industrial,revolution,began,great,britain,end,th,century,gave,rise,radical,economic,cultural,social,change,western,europe,eventually,wider,world,world,wars,took,place,europe,contributing,decline,western,european,dominance,world,affairs,mid,th,century,soviet,union,united,states,took,prominence,cold,war,europe,divided,iron,curtain,nato,west,warsaw,pact,east,revolutions,fall,berlin,wall,dissolution,soviet,union",0.00,europe
"in  the council of europe was founded with the idea of unifying europe to achieve common goals and prevent future wars further european integration by some states led to the formation of the european union  a separate political entity that lies between a confederation and a federation the eu originated in western europe but has been expanding eastward since the fall of the soviet union in  the currency of most countries of the european union the euro is the most commonly used among europeans and the eus schengen area abolishes border and immigration controls between most of its member states and some non member states there exists a political movement favouring the evolution of the european union into a single federation encompassing much of the continent
",council europe founded idea unifying europe achieve common goals prevent future wars european integration states led formation european union separate political entity lies confederation federation eu originated western europe expanding eastward fall soviet union currency countries european union euro commonly europeans eus schengen area abolishes border immigration controls member states non member states exists political movement favouring evolution european union single federation encompassing continent,8.09,"council,europe,founded,idea,unifying,europe,achieve,common,goals,prevent,future,wars,european,integration,states,led,formation,european,union,separate,political,entity,lies,confederation,federation,eu,originated,western,europe,expanding,eastward,fall,soviet,union,currency,countries,european,union,euro,commonly,europeans,eus,schengen,area,abolishes,border,immigration,controls,member,states,non,member,states,exists,political,movement,favouring,evolution,european,union,single,federation,encompassing,continent",0.00,europe
"most major world languages use words derived from eurp or europa to refer to the continent chinese for example uses the word uzhyou  which is an abbreviation of the transliterated name ulub zhyou   a similar chinese derived term sh  is also sometimes used in japanese such as in the japanese name of the european union sh reng  despite the katakana yroppa  being more commonly used in some turkic languages the originally persian name frangistan  is used casually in referring to much of europe besides official names such as avrupa or evropa
",major world languages use words derived eurp europa refer continent chinese example uses word uzhyou abbreviation transliterated ulub zhyou similar chinese derived term sh japanese japanese european union sh reng despite katakana yroppa commonly turkic languages originally persian frangistan casually referring europe official names avrupa evropa,8.29,"major,world,languages,use,words,derived,eurp,europa,refer,continent,chinese,example,uses,word,uzhyou,abbreviation,transliterated,ulub,zhyou,similar,chinese,derived,term,sh,japanese,japanese,european,union,sh,reng,despite,katakana,yroppa,commonly,turkic,languages,originally,persian,frangistan,casually,referring,europe,official,names,avrupa,evropa",0.00,europe
"clickable map of europe showing one of the most commonly used continental boundariesb key blue states which straddle the border between europe and asia
green countries not geographically in europe but closely associated with the continent

",clickable map europe showing commonly continental boundariesb key blue states straddle border europe asiagreen countries geographically europe closely associated continent,6.25,"clickable,map,europe,showing,commonly,continental,boundariesb,key,blue,states,straddle,border,europe,asiagreen,countries,geographically,europe,closely,associated,continent",0.00,europe
"the prevalent definition of europe as a geographical term has been in use since the mid th century
europe is taken to be bounded by large bodies of water to the north west and south europes limits to the east and north east are usually taken to be the ural mountains the ural river and the caspian sea to the south east the caucasus mountains the black sea and the waterways connecting the black sea to the mediterranean sea
",prevalent definition europe geographical term use mid th centuryeurope taken bounded large bodies water north west south europes limits east north east usually taken ural mountains ural river caspian sea south east caucasus mountains black sea waterways connecting black sea mediterranean sea,8.47,"prevalent,definition,europe,geographical,term,use,mid,th,centuryeurope,taken,bounded,large,bodies,water,north,west,south,europes,limits,east,north,east,usually,taken,ural,mountains,ural,river,caspian,sea,south,east,caucasus,mountains,black,sea,waterways,connecting,black,sea,mediterranean,sea",0.00,europe
"islands are generally grouped with the nearest continental landmass hence iceland is considered to be part of europe while the nearby island of greenland is usually assigned to north america although politically belonging to denmark nevertheless there are some exceptions based on sociopolitical and cultural differences cyprus is closest to anatolia  but is considered part of europe politically and it is a member state of the eu malta was considered an island of north western africa for centuries but now it is considered to be part of europe as well
europe as used specifically in british english may also refer to continental europe exclusively
",islands generally grouped nearest continental landmass iceland considered europe nearby island greenland usually assigned north america politically belonging denmark exceptions based sociopolitical cultural differences cyprus closest anatolia considered europe politically member state eu malta considered island north western africa centuries considered europe welleurope specifically british english refer continental europe exclusively,8.29,"islands,generally,grouped,nearest,continental,landmass,iceland,considered,europe,nearby,island,greenland,usually,assigned,north,america,politically,belonging,denmark,exceptions,based,sociopolitical,cultural,differences,cyprus,closest,anatolia,considered,europe,politically,member,state,eu,malta,considered,island,north,western,africa,centuries,considered,europe,welleurope,specifically,british,english,refer,continental,europe,exclusively",0.00,europe
"the term continent usually implies the physical geography of a large land mass completely or almost completely surrounded by water at its borders prior to the adoption of the current convention that includes mountain divides the border between europe and asia had been redefined several times since its first conception in classical antiquity but always as a series of rivers seas and straits that were believed to extend an unknown distance east and north from the mediterranean sea without the inclusion of any mountain ranges cartographer herman moll suggested in  europe was bounded by a series of partly joined waterways directed towards the turkish straits and the irtysh river draining into the upper part of the ob river and the arctic ocean in contrast the present eastern boundary of europe partially adheres to the ural and caucasus mountains which is somewhat arbitrary and inconsistent compared to any clear cut definition of the term continent
",term continent usually implies physical geography large land mass completely completely surrounded water borders prior adoption current convention includes mountain divides border europe asia redefined times conception classical antiquity series rivers seas straits believed extend unknown distance east north mediterranean sea inclusion mountain ranges cartographer herman moll suggested europe bounded series partly joined waterways directed turkish straits irtysh river draining upper ob river arctic ocean contrast present eastern boundary europe partially adheres ural caucasus mountains somewhat arbitrary inconsistent compared clear cut definition term continent,7.31,"term,continent,usually,implies,physical,geography,large,land,mass,completely,completely,surrounded,water,borders,prior,adoption,current,convention,includes,mountain,divides,border,europe,asia,redefined,times,conception,classical,antiquity,series,rivers,seas,straits,believed,extend,unknown,distance,east,north,mediterranean,sea,inclusion,mountain,ranges,cartographer,herman,moll,suggested,europe,bounded,series,partly,joined,waterways,directed,turkish,straits,irtysh,river,draining,upper,ob,river,arctic,ocean,contrast,present,eastern,boundary,europe,partially,adheres,ural,caucasus,mountains,somewhat,arbitrary,inconsistent,compared,clear,cut,definition,term,continent",0.00,europe
