Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"on  august  afghanistans capital city of kabul was captured by the taliban after a major insurgent offensive that began in may  this led to the overthrowing of the islamic republic of afghanistan under president ashraf ghani and the reinstatement of the islamic emirate of afghanistan under the control of the taliban
",august afghanistans capital city kabul captured taliban major insurgent offensive began led overthrowing islamic republic afghanistan president ashraf ghani reinstatement islamic emirate afghanistan control taliban,8.18,"august,afghanistans,capital,city,kabul,captured,taliban,major,insurgent,offensive,began,led,overthrowing,islamic,republic,afghanistan,president,ashraf,ghani,reinstatement,islamic,emirate,afghanistan,control,taliban",0.00,kabul
"months before the fall many in the united states intelligence community estimated that kabul would be taken at least six months after the withdrawal of us troops from afghanistan was completed however beginning in may  even while the withdrawal was occurring the taliban was able to take most of afghanistans provinces in rapid succession during a major offensive during this period estimates for the longevity of the afghan state declined significantly ultimately us president joe biden conceded on  august that the collapse unfolded more quickly than they had anticipated
",months fall united states intelligence community estimated kabul taken months withdrawal troops afghanistan completed beginning withdrawal occurring taliban able afghanistans provinces rapid succession major offensive period estimates longevity afghan state declined significantly ultimately president joe biden conceded august collapse unfolded quickly anticipated,8.19,"months,fall,united,states,intelligence,community,estimated,kabul,taken,months,withdrawal,troops,afghanistan,completed,beginning,withdrawal,occurring,taliban,able,afghanistans,provinces,rapid,succession,major,offensive,period,estimates,longevity,afghan,state,declined,significantly,ultimately,president,joe,biden,conceded,august,collapse,unfolded,quickly,anticipated",0.00,kabul
"after the united states withdrawal on  august a group of about  people including us citizens and afghans holding american visas were still stranded in kabul two weeks later secretary of state antony blinken said it was several thousand us residents and one hundred us citizens
",united states withdrawal august group people including citizens afghans holding american visas stranded kabul weeks later secretary state antony blinken said thousand residents citizens,7.58,"united,states,withdrawal,august,group,people,including,citizens,afghans,holding,american,visas,stranded,kabul,weeks,later,secretary,state,antony,blinken,said,thousand,residents,citizens",0.00,kabul
"following its rapid defeat across the country the afghan national army was left in chaos with only two units remaining operational by mid august the st corps and th division both based in kabul the capital city was left encircled after taliban forces had captured several significant cities including mihtarlam sharana gardez asadabad as well as other districts in the east
",following rapid defeat country afghan national army left chaos units remaining operational mid august st corps th division based kabul capital city left encircled taliban forces captured significant cities including mihtarlam sharana gardez asadabad districts east,6.68,"following,rapid,defeat,country,afghan,national,army,left,chaos,units,remaining,operational,mid,august,st,corps,th,division,based,kabul,capital,city,left,encircled,taliban,forces,captured,significant,cities,including,mihtarlam,sharana,gardez,asadabad,districts,east",0.00,kabul
"projections for the longevity of the afghan state declined significantly during the offensive in july  the us intelligence community concluded that the government of afghanistan would collapse between six and  months after the departure of american troops an early august assessment estimated that kabul could hold out for several monthscitation needed just five days before the taliban reached kabul another estimate suggested the capital would last  to  days finally two days before the collapse an estimate suggested the city would fall within the week
",projections longevity afghan state declined significantly offensive july intelligence community concluded government afghanistan collapse months departure american troops early august assessment estimated kabul hold monthscitation needed days taliban reached kabul estimate suggested capital days finally days collapse estimate suggested city fall week,7.55,"projections,longevity,afghan,state,declined,significantly,offensive,july,intelligence,community,concluded,government,afghanistan,collapse,months,departure,american,troops,early,august,assessment,estimated,kabul,hold,monthscitation,needed,days,taliban,reached,kabul,estimate,suggested,capital,days,finally,days,collapse,estimate,suggested,city,fall,week",0.00,kabul
"on  august  the taliban command instructed its forces to halt their advance at the gates of kabul declaring that they would not seize the city by force muhammad nasir haqqani a taliban commander said that when he arrived at the citys gates he did not find a single soldier or policemen in sight
locals reported that taliban fighters were advancing into the urban areas regardless of their official orders
",august taliban command instructed forces halt advance gates kabul declaring seize city force muhammad nasir haqqani taliban commander said arrived citys gates find single soldier policemen sightlocals reported taliban fighters advancing urban areas regardless official orders,7.90,"august,taliban,command,instructed,forces,halt,advance,gates,kabul,declaring,seize,city,force,muhammad,nasir,haqqani,taliban,commander,said,arrived,citys,gates,find,single,soldier,policemen,sightlocals,reported,taliban,fighters,advancing,urban,areas,regardless,official,orders",0.00,kabul
"when they finally entered kabul taliban fighters faced little to no resistance from the afghan national security forces the fighters began raising their flag throughout the city and pressuring police to hand over their weaponry
",finally entered kabul taliban fighters faced little resistance afghan national security forces fighters began raising flag city pressuring police hand weaponry,6.14,"finally,entered,kabul,taliban,fighters,faced,little,resistance,afghan,national,security,forces,fighters,began,raising,flag,city,pressuring,police,hand,weaponry",0.00,kabul
"the afghan interior ministry announced that president ashraf ghani would relinquish power and an interim government led by the taliban would be formed afterward fighting died down although many civilians remained fearful and holed up in their homes by late morning on  august taliban negotiators arrived at the presidential palace to begin a transfer of power although negotiations were tense the government declared its willingness to peacefully surrender kabul to the rebels and urged civilians to remain calm al arabiya reported that a transitional government would be formed under the leadership of former minister ali jalali but this was later denied by the taliban
",afghan interior ministry announced president ashraf ghani relinquish power interim government led taliban formed afterward fighting died civilians remained fearful holed homes late morning august taliban negotiators arrived presidential palace begin transfer power negotiations tense government declared willingness peacefully surrender kabul rebels urged civilians remain calm al arabiya reported transitional government formed leadership minister ali jalali later denied taliban,6.71,"afghan,interior,ministry,announced,president,ashraf,ghani,relinquish,power,interim,government,led,taliban,formed,afterward,fighting,died,civilians,remained,fearful,holed,homes,late,morning,august,taliban,negotiators,arrived,presidential,palace,begin,transfer,power,negotiations,tense,government,declared,willingness,peacefully,surrender,kabul,rebels,urged,civilians,remain,calm,al,arabiya,reported,transitional,government,formed,leadership,minister,ali,jalali,later,denied,taliban",0.00,kabul
"ghani alleged that he did not initially plan to leave the country or even the city he claims he first planned to take a car to the ministry of defense headquarters within kabul but the car never arrived instead his national security advisor and chief of presidential security pressured him to escape the city by plane and fly to khost still within the country however once they were in the air it was clear that khost had fallen and so had jalalabad only then ghani alleges did he realize he was going to leave afghanistan
",ghani alleged initially plan leave country city claims planned car ministry defense headquarters kabul car arrived instead national security advisor chief presidential security pressured escape city plane fly khost country air clear khost fallen jalalabad ghani alleges realize going leave afghanistan,10.33,"ghani,alleged,initially,plan,leave,country,city,claims,planned,car,ministry,defense,headquarters,kabul,car,arrived,instead,national,security,advisor,chief,presidential,security,pressured,escape,city,plane,fly,khost,country,air,clear,khost,fallen,jalalabad,ghani,alleges,realize,going,leave,afghanistan",0.00,kabul
"kabuls presidential palace the arg was evacuated by helicopters meanwhile taliban co founder abdul ghani baradar arrived at kabul airport to prepare the takeover of government at  pm local time the taliban claimed to have taken over the arg which was left vacated by president ghani earlier that day allegedly all other palace employees were ordered to leave after ghani had left reporters from al jazeera were later allowed into the arg to interview taliban militiamen at approximately  pm local time it was reported that the taliban would soon declare the islamic emirate of afghanistan from the arg returning to the official symbolism of the taliban government of  to 
",kabuls presidential palace arg evacuated helicopters taliban co founder abdul ghani baradar arrived kabul airport prepare takeover government pm local time taliban claimed taken arg left vacated president ghani earlier day allegedly palace employees ordered leave ghani left reporters al jazeera later allowed arg interview taliban militiamen approximately pm local time reported taliban soon declare islamic emirate afghanistan arg returning official symbolism taliban government,6.70,"kabuls,presidential,palace,arg,evacuated,helicopters,taliban,co,founder,abdul,ghani,baradar,arrived,kabul,airport,prepare,takeover,government,pm,local,time,taliban,claimed,taken,arg,left,vacated,president,ghani,earlier,day,allegedly,palace,employees,ordered,leave,ghani,left,reporters,al,jazeera,later,allowed,arg,interview,taliban,militiamen,approximately,pm,local,time,reported,taliban,soon,declare,islamic,emirate,afghanistan,arg,returning,official,symbolism,taliban,government",0.00,kabul
"the talibans advances alarmed many kabul residents some locals especially women were fearful for the restoration of taliban rule and reported feeling betrayed and abandoned by the ghani government and nato allies a minority of residents celebrated the taliban advance zarifa ghafari the former mayor of maidan shar who was working with the defence ministry in kabul told media that there is no one to help me or my family i am just sitting with them and my husband and they will come for people like me and kill me i cannot leave my family and anyway where would i go
",talibans advances alarmed kabul residents locals especially women fearful restoration taliban rule reported feeling betrayed abandoned ghani government nato allies minority residents celebrated taliban advance zarifa ghafari mayor maidan shar working defence ministry kabul told media help family sitting husband come people like kill leave family,9.68,"talibans,advances,alarmed,kabul,residents,locals,especially,women,fearful,restoration,taliban,rule,reported,feeling,betrayed,abandoned,ghani,government,nato,allies,minority,residents,celebrated,taliban,advance,zarifa,ghafari,mayor,maidan,shar,working,defence,ministry,kabul,told,media,help,family,sitting,husband,come,people,like,kill,leave,family",0.00,kabul
