Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the federal government of nigeria is composed of three distinct branches namely the legislative executive and judicial whose powers are vested and bestowed upon them by the constitution of the federal republic of nigeria the national assembly the president and lastly the federal courts which includes the supreme court which is regarded as the highest court in nigeria respectively one of the major functions of the constitution is that it provides for separation and balance of powers among the three branches and aims to prevent the repetition of past mistakes made by the government some other functions of the constitution includes that it divides power between the federal government and the states and it also protects various individual liberties of the citizens of the nation
",federal government nigeria composed distinct branches legislative executive judicial powers vested bestowed constitution federal republic nigeria national assembly president lastly federal courts includes supreme court regarded highest court nigeria respectively major functions constitution provides separation balance powers branches aims prevent repetition past mistakes government functions constitution includes divides power federal government states protects individual liberties citizens nation,8.66,"federal,government,nigeria,composed,distinct,branches,legislative,executive,judicial,powers,vested,bestowed,constitution,federal,republic,nigeria,national,assembly,president,lastly,federal,courts,includes,supreme,court,regarded,highest,court,nigeria,respectively,major,functions,constitution,provides,separation,balance,powers,branches,aims,prevent,repetition,past,mistakes,government,functions,constitution,includes,divides,power,federal,government,states,protects,individual,liberties,citizens,nation",0.00,nigeria
"nigeria is a federal republic in the sense that there is both a national government and governments of its  states and it utilizes the form of government in which the people hold power but elect representatives to exercise and utilize that power with the executive power exercised by the president the president is the head of state the head of government and also the head of a multi party system nigerian politics takes place within a framework of a federal presidential representative democratic republic in which executive power is exercised by the government legislative power is held by the federal government and the two chambers of the legislature the house of representatives and the senate the legislative branch of nigeria is responsible for and possesses powers for the formulation and making of laws together the two chambers make up the law making body in nigeria called the national assembly which serves as a check on the executive arm of government the national assembly of nigeria  is the democratically elected body that represents the interests of the federal republic of nigeria and its people makes laws for nigeria and holds the government of nigeria to account the national assembly  is the nations highest legislature whose power to make laws is summarized in chapter one section four of the  nigerian constitution sections   of the  constitution state inter alia that there shall be a national assembly  for the federation which shall consist of two chambers the senate and the house of representatives the economist intelligence unit rated nigeria a hybrid regime in  the federal government state and local governments of nigeria aim to work cooperatively to govern the nation and its people nigeria became a member of the british commonwealth upon its independence from british colonial rule on  october 
",nigeria federal republic sense national government governments states utilizes form government people hold power elect representatives exercise utilize power executive power exercised president president head state head government head multi party system nigerian politics takes place framework federal presidential representative democratic republic executive power exercised government legislative power held federal government chambers legislature house representatives senate legislative branch nigeria responsible possesses powers formulation making laws chambers law making body nigeria called national assembly serves check executive arm government national assembly nigeria democratically elected body represents interests federal republic nigeria people makes laws nigeria holds government nigeria account national assembly nations highest legislature power laws summarized chapter section nigerian constitution sections constitution state inter alia shall national assembly federation shall consist chambers senate house representatives economist intelligence unit rated nigeria hybrid regime federal government state local governments nigeria aim work cooperatively govern nation people nigeria member british commonwealth independence british colonial rule october,7.86,"nigeria,federal,republic,sense,national,government,governments,states,utilizes,form,government,people,hold,power,elect,representatives,exercise,utilize,power,executive,power,exercised,president,president,head,state,head,government,head,multi,party,system,nigerian,politics,takes,place,framework,federal,presidential,representative,democratic,republic,executive,power,exercised,government,legislative,power,held,federal,government,chambers,legislature,house,representatives,senate,legislative,branch,nigeria,responsible,possesses,powers,formulation,making,laws,chambers,law,making,body,nigeria,called,national,assembly,serves,check,executive,arm,government,national,assembly,nigeria,democratically,elected,body,represents,interests,federal,republic,nigeria,people,makes,laws,nigeria,holds,government,nigeria,account,national,assembly,nations,highest,legislature,power,laws,summarized,chapter,section,nigerian,constitution,sections,constitution,state,inter,alia,shall,national,assembly,federation,shall,consist,chambers,senate,house,representatives,economist,intelligence,unit,rated,nigeria,hybrid,regime,federal,government,state,local,governments,nigeria,aim,work,cooperatively,govern,nation,people,nigeria,member,british,commonwealth,independence,british,colonial,rule,october",0.00,nigeria
"the law of nigeria is based on the rule of law the independence of the judiciary and british common law  the common law in the legal system is similar to common law systems used in england and wales and other commonwealth countries the constitutional framework for the legal system is provided by the constitution of nigeria
",law nigeria based rule law independence judiciary british common law common law legal system similar common law systems england wales commonwealth countries constitutional framework legal system provided constitution nigeria,8.31,"law,nigeria,based,rule,law,independence,judiciary,british,common,law,common,law,legal,system,similar,common,law,systems,england,wales,commonwealth,countries,constitutional,framework,legal,system,provided,constitution,nigeria",0.00,nigeria
"  local legislation  there were other sources which though subsumed in nigerian legislations were distinctly imported into the nigerian legal systems they are called the criminal and penal codes of nigeria
",local legislation sources subsumed nigerian legislations distinctly imported nigerian legal systems called criminal penal codes nigeria,6.80,"local,legislation,sources,subsumed,nigerian,legislations,distinctly,imported,nigerian,legal,systems,called,criminal,penal,codes,nigeria",0.00,nigeria
"the grant of independence to nigeria was a milestone in the political history of the country this period witnessed the consolidation of political gains made during the colonial era politicians genuinely focused their lapses in the polity it achieved for herself a republican status by shaking off the last vestiges of colonial authority however despite the violent violation of its provisions the constitution remained the subsequent administrations 
",grant independence nigeria milestone political history country period witnessed consolidation political gains colonial era politicians genuinely focused lapses polity achieved republican status shaking vestiges colonial authority despite violent violation provisions constitution remained subsequent administrations,7.32,"grant,independence,nigeria,milestone,political,history,country,period,witnessed,consolidation,political,gains,colonial,era,politicians,genuinely,focused,lapses,polity,achieved,republican,status,shaking,vestiges,colonial,authority,despite,violent,violation,provisions,constitution,remained,subsequent,administrations",0.00,nigeria
"the armed forces of nigeria assumed the rulership of nigeria in    and    except in august  september  the breakdown of law and order which occurred in the period under review would not be attributed to any defect in the nigerian legal system  corrupt practices both in the body politics and all aspects of nigerian life eroded efficiency and progress there were  coups generally  five were successful and  were unsuccessful
",armed forces nigeria assumed rulership nigeria august september breakdown law order occurred period review attributed defect nigerian legal system corrupt practices body politics aspects nigerian life eroded efficiency progress coups generally successful unsuccessful,8.24,"armed,forces,nigeria,assumed,rulership,nigeria,august,september,breakdown,law,order,occurred,period,review,attributed,defect,nigerian,legal,system,corrupt,practices,body,politics,aspects,nigerian,life,eroded,efficiency,progress,coups,generally,successful,unsuccessful",0.00,nigeria
"the president is elected through universal suffrage which is regarded as more than a privilege extended by the state to its citizenry and it is rather thought of as an inalienable right that inheres to every adult citizen by virtue of citizenship in democracies it is the primary means of ensuring that governments are responsible to the governed the president is both the chief of state and head of government heading the federal executive council or cabinet the constitution makes the president the chief executive and commander in chief of the armed forces in section  the constitution of  vests all the executive powers of the federation in the person of the president which can be exercised directly by him or his vice president or members of his cabinet section  provides that the executive powers of the president extends to the maintenance of the provisions of the constitution acts of the national assembly and on items on which the national assembly has power for the time being to make law the president is elected to see that the nigerian constitution is enacted and that the legislation is applied to the people the elected president is also in charge of the nations armed forces and can serve no more than two four year elected terms the current president of nigeria is muhammadu buhari who was elected in  and the current vice president is yemi oshinbajo
",president elected universal suffrage regarded privilege extended state citizenry thought inalienable right inheres adult citizen virtue citizenship democracies primary means ensuring governments responsible governed president chief state head government heading federal executive council cabinet constitution makes president chief executive commander chief armed forces section constitution vests executive powers federation person president exercised directly vice president members cabinet section provides executive powers president extends maintenance provisions constitution acts national assembly items national assembly power time law president elected nigerian constitution enacted legislation applied people elected president charge nations armed forces serve year elected terms current president nigeria muhammadu buhari elected current vice president yemi oshinbajo,9.42,"president,elected,universal,suffrage,regarded,privilege,extended,state,citizenry,thought,inalienable,right,inheres,adult,citizen,virtue,citizenship,democracies,primary,means,ensuring,governments,responsible,governed,president,chief,state,head,government,heading,federal,executive,council,cabinet,constitution,makes,president,chief,executive,commander,chief,armed,forces,section,constitution,vests,executive,powers,federation,person,president,exercised,directly,vice,president,members,cabinet,section,provides,executive,powers,president,extends,maintenance,provisions,constitution,acts,national,assembly,items,national,assembly,power,time,law,president,elected,nigerian,constitution,enacted,legislation,applied,people,elected,president,charge,nations,armed,forces,serve,year,elected,terms,current,president,nigeria,muhammadu,buhari,elected,current,vice,president,yemi,oshinbajo",0.00,nigeria
"the executive branch is divided into federal ministries each headed by a minister appointed by the president federal ministries are those civil service departments which were made responsible for delivering various types of government service and each ministry is headed by a permanent secretary who reports to a minister in the federal cabinet nigeria has  federal ministries as of recent the president must include at least one member from each of the  states in his cabinet the presidents appointments are confirmed by the senate of nigeria in some cases a federal minister is responsible for more than one ministry  or a minister may be assisted by one or more ministers of state each ministry also has a permanent secretary who is a senior civil servant
",executive branch divided federal ministries headed minister appointed president federal ministries civil service departments responsible delivering types government service ministry headed permanent secretary reports minister federal cabinet nigeria federal ministries recent president include member states cabinet presidents appointments confirmed senate nigeria cases federal minister responsible ministry minister assisted ministers state ministry permanent secretary senior civil servant,9.09,"executive,branch,divided,federal,ministries,headed,minister,appointed,president,federal,ministries,civil,service,departments,responsible,delivering,types,government,service,ministry,headed,permanent,secretary,reports,minister,federal,cabinet,nigeria,federal,ministries,recent,president,include,member,states,cabinet,presidents,appointments,confirmed,senate,nigeria,cases,federal,minister,responsible,ministry,minister,assisted,ministers,state,ministry,permanent,secretary,senior,civil,servant",0.00,nigeria
"it is also vested with investigatory powers financial powers confirmation and impeachment powers it would not be out of place for me to use this occasion to remind us that the legislature is the symbol of democracy all over the world under section   of the  constitution of the federal republic of nigeria   the national assembly of nigeria often called nass is vested with the legislative powers of the federal republic of nigeria that is the power to make laws for the peace order and good government of the federation with respect to any matter included in the exclusive legislative list and the concurrent list   a list of  items that both nass and states house of assembly can legislate on this legislative power is typically exercised through bills passed by the nass which are assented to by the president bills generally come in two forms   either a private bill which affects private citizens corporate entities andor a particular class of people or public bills which affect the general public a bill can be introduced into either chamber of the nass by members of the respective chambers or the executive arm of government the national assembly of nigeria has two chambers the house of representatives and the senate the house of representatives is the lower chamber of nigerias bicameral national assembly and is presided over by the speaker of the house of representatives it has  members each of the  federal constituencies of the country who are elected for four year terms in single seat constituencies the senate which has  members is presided over by the president of the senate  members are elected for four year terms in  three seat constituencies which correspond to the countrys  states one member is selected in the single seat constituency of the federal capital
",vested investigatory powers financial powers confirmation impeachment powers place use occasion remind legislature symbol democracy world section constitution federal republic nigeria national assembly nigeria called nass vested legislative powers federal republic nigeria power laws peace order good government federation respect matter included exclusive legislative list concurrent list list items nass states house assembly legislate legislative power typically exercised bills passed nass assented president bills generally come forms private bill affects private citizens corporate entities andor particular class people public bills affect general public bill introduced chamber nass members respective chambers executive arm government national assembly nigeria chambers house representatives senate house representatives lower chamber nigerias bicameral national assembly presided speaker house representatives members federal constituencies country elected year terms single seat constituencies senate members presided president senate members elected year terms seat constituencies correspond countrys states member selected single seat constituency federal capital,8.62,"vested,investigatory,powers,financial,powers,confirmation,impeachment,powers,place,use,occasion,remind,legislature,symbol,democracy,world,section,constitution,federal,republic,nigeria,national,assembly,nigeria,called,nass,vested,legislative,powers,federal,republic,nigeria,power,laws,peace,order,good,government,federation,respect,matter,included,exclusive,legislative,list,concurrent,list,list,items,nass,states,house,assembly,legislate,legislative,power,typically,exercised,bills,passed,nass,assented,president,bills,generally,come,forms,private,bill,affects,private,citizens,corporate,entities,andor,particular,class,people,public,bills,affect,general,public,bill,introduced,chamber,nass,members,respective,chambers,executive,arm,government,national,assembly,nigeria,chambers,house,representatives,senate,house,representatives,lower,chamber,nigerias,bicameral,national,assembly,presided,speaker,house,representatives,members,federal,constituencies,country,elected,year,terms,single,seat,constituencies,senate,members,presided,president,senate,members,elected,year,terms,seat,constituencies,correspond,countrys,states,member,selected,single,seat,constituency,federal,capital",0.00,nigeria
"the legislators are elected to either the house of representatives or the senate to be representatives of their constituencies and to pass legislation to benefit the public the legislative process consists of bills being drafted and presented in either of the two chambers these bills can only become national law once they are approved by the president of nigeria who can veto bills
",legislators elected house representatives senate representatives constituencies pass legislation benefit public legislative process consists bills drafted presented chambers bills national law approved president nigeria veto bills,9.64,"legislators,elected,house,representatives,senate,representatives,constituencies,pass,legislation,benefit,public,legislative,process,consists,bills,drafted,presented,chambers,bills,national,law,approved,president,nigeria,veto,bills",0.00,nigeria
"the president of the senate is currently ahmed ibrahim lawan who was elected to the senate in  and the speaker of the house is femi gbajabiamila who has been nigerias th speaker of the house of representatives since  each member of the national assembly of nigeria can be elected to more than two four year terms recently the legislative branch has been misusing its position as a check on the power of the president and his cabinet legislators have been known to utilize their power for not only law making but as a means of political intimidation and a tool to promote individual monetary success
",president senate currently ahmed ibrahim lawan elected senate speaker house femi gbajabiamila nigerias th speaker house representatives member national assembly nigeria elected year terms recently legislative branch misusing position check power president cabinet legislators known utilize power law making means political intimidation tool promote individual monetary success,9.68,"president,senate,currently,ahmed,ibrahim,lawan,elected,senate,speaker,house,femi,gbajabiamila,nigerias,th,speaker,house,representatives,member,national,assembly,nigeria,elected,year,terms,recently,legislative,branch,misusing,position,check,power,president,cabinet,legislators,known,utilize,power,law,making,means,political,intimidation,tool,promote,individual,monetary,success",0.00,nigeria
"the national judicial council serves as an independent executive body separating the judiciary arm of government from the executive arm of governmentthe judicial branch is made up of the supreme court of nigeria the court of appeals the high courts and other trial courts such as the magistrates customary sharia and other specialized courts the national judicial council serves as an independent executive body insulating the judiciary from the executive arm of government according to the  constitution the supreme court has both original and appellate jurisdictions  appellate jurisdiction exists for both the civil law and criminal law the supreme court has the sole authority and jurisdiction to entertain appeals from court of appeal having appellate jurisdiction over all lower federal courts and highest state courts decisions and rulings by the court are binding and absolute on all courts in nigeria except the supreme court itselfthe supreme court is presided over by the chief justice of nigeria and thirteen associate justices who are appointed by the president of nigeria on the recommendation of the national judicial council these justices are subject to confirmation by the senate
",national judicial council serves independent executive body separating judiciary arm government executive arm governmentthe judicial branch supreme court nigeria court appeals high courts trial courts magistrates customary sharia specialized courts national judicial council serves independent executive body insulating judiciary executive arm government according constitution supreme court original appellate jurisdictions appellate jurisdiction exists civil law criminal law supreme court sole authority jurisdiction entertain appeals court appeal appellate jurisdiction lower federal courts highest state courts decisions rulings court binding absolute courts nigeria supreme court itselfthe supreme court presided chief justice nigeria thirteen associate justices appointed president nigeria recommendation national judicial council justices subject confirmation senate,6.84,"national,judicial,council,serves,independent,executive,body,separating,judiciary,arm,government,executive,arm,governmentthe,judicial,branch,supreme,court,nigeria,court,appeals,high,courts,trial,courts,magistrates,customary,sharia,specialized,courts,national,judicial,council,serves,independent,executive,body,insulating,judiciary,executive,arm,government,according,constitution,supreme,court,original,appellate,jurisdictions,appellate,jurisdiction,exists,civil,law,criminal,law,supreme,court,sole,authority,jurisdiction,entertain,appeals,court,appeal,appellate,jurisdiction,lower,federal,courts,highest,state,courts,decisions,rulings,court,binding,absolute,courts,nigeria,supreme,court,itselfthe,supreme,court,presided,chief,justice,nigeria,thirteen,associate,justices,appointed,president,nigeria,recommendation,national,judicial,council,justices,subject,confirmation,senate",0.00,nigeria
"after achieving her independence and republican status in the year   and  respectively nigeria experienced its first military coup in the year  and thereafter civil war broke in  and lasted till  it was made possible to bring back the democratic ideal for a few of years in the year  though this certain period of democratic ideal did not last very long and was soon over in  as a result of some military rulers who came into power via coup detat promised to return the country to democracy
",achieving independence republican status year respectively nigeria experienced military coup year civil war broke lasted till possible bring democratic ideal years year certain period democratic ideal long soon result military rulers came power coup detat promised return country democracy,9.57,"achieving,independence,republican,status,year,respectively,nigeria,experienced,military,coup,year,civil,war,broke,lasted,till,possible,bring,democratic,ideal,years,year,certain,period,democratic,ideal,long,soon,result,military,rulers,came,power,coup,detat,promised,return,country,democracy",0.00,nigeria
