Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the france national football team  represents france in mens international football matches it is governed by the french football federation  the governing body for football in france it is a member of uefa in europe and fifa in global competitions the teams colors and imagery reference two national symbols the french red white blue tricolour and gallic rooster  the team is colloquially known as les bleus  they play home matches at the stade de france in saint denis and train at inf clairefontaine in clairefontaine en yvelines
",france national football team represents france mens international football matches governed french football federation governing body football france member uefa europe fifa global competitions teams colors imagery reference national symbols french red white blue tricolour gallic rooster team colloquially known les bleus play home matches stade de france saint denis train inf clairefontaine clairefontaine en yvelines,5.82,"france,national,football,team,represents,france,mens,international,football,matches,governed,french,football,federation,governing,body,football,france,member,uefa,europe,fifa,global,competitions,teams,colors,imagery,reference,national,symbols,french,red,white,blue,tricolour,gallic,rooster,team,colloquially,known,les,bleus,play,home,matches,stade,de,france,saint,denis,train,inf,clairefontaine,clairefontaine,en,yvelines",0.00,france
"founded in  the team has won two fifa world cups two uefa european championships two fifa confederations cups one olympic games one conmeboluefa cup of champions and one uefa nations league title france was one of the four european teams that participated in the first world cup in  twenty eight years later the team led by raymond kopa and just fontaine finished in third place at the  world cup france experienced much of its success in three different eras in the s from the s to early s and during the late s in  under the leadership of the three time ballon dor winner michel platini france won euro   a conmeboluefa cup  and reached two world cup semi finals   
",founded team fifa world cups uefa european championships fifa confederations cups olympic games conmeboluefa cup champions uefa nations league title france european teams participated world cup years later team led raymond kopa fontaine finished place world cup france experienced success different eras early late leadership time ballon dor winner michel platini france euro conmeboluefa cup reached world cup semi finals,8.83,"founded,team,fifa,world,cups,uefa,european,championships,fifa,confederations,cups,olympic,games,conmeboluefa,cup,champions,uefa,nations,league,title,france,european,teams,participated,world,cup,years,later,team,led,raymond,kopa,fontaine,finished,place,world,cup,france,experienced,success,different,eras,early,late,leadership,time,ballon,dor,winner,michel,platini,france,euro,conmeboluefa,cup,reached,world,cup,semi,finals",0.00,france
"during the captaincy of didier deschamps with zinedine zidane on the pitch les bleus won the  world cup and euro  they also won the confederations cup in  and  three years later france made it to the final of the  world cup losing  on penalties to italy 
",captaincy didier deschamps zinedine zidane pitch les bleus world cup euro confederations cup years later france final world cup losing penalties italy,9.41,"captaincy,didier,deschamps,zinedine,zidane,pitch,les,bleus,world,cup,euro,confederations,cup,years,later,france,final,world,cup,losing,penalties,italy",0.00,france
"a decade later the team reached the final of euro  where they lost  to portugal in extra time two years after that france won the  world cup its second title in that competition after winning the  nations league they became the first european national team to have won every senior fifa and uefa competition
",decade later team reached final euro lost portugal extra time years france world cup second title competition winning nations league european national team senior fifa uefa competition,8.77,"decade,later,team,reached,final,euro,lost,portugal,extra,time,years,france,world,cup,second,title,competition,winning,nations,league,european,national,team,senior,fifa,uefa,competition",0.00,france
"france has footballing rivalries with belgium brazil croatia england germany italy portugal and spain
",france footballing rivalries belgium brazil croatia england germany italy portugal spain,2.94,"france,footballing,rivalries,belgium,brazil,croatia,england,germany,italy,portugal,spain",0.00,france
"the france national football team was created in  around the time of fifas foundation the team competed in its first official international match on  may  against belgium in brussels ending in a  draw the following year on  february  france contested their first ever home match against switzerland the match was played at the parc des princes in front of  supporters france won the match  with the only goal coming from gaston cyprs due to disagreements between fifa and the union des socits franaises de sports athltiques  the countrys sports union france struggled to establish an identity on  may  the french interfederal committee  a rival organization to the usfsa ruled that fifa would now be responsible for the clubs appearances in forthcoming olympic games and not the usfsa in  the cfi transformed themselves into the french football federation  in  the usfsa finally merged with the fff
",france national football team created time fifas foundation team competed official international match belgium brussels ending draw following year february france contested home match switzerland match played parc des princes supporters france match goal coming gaston cyprs disagreements fifa union des socits franaises de sports athltiques countrys sports union france struggled establish identity french interfederal committee rival organization usfsa ruled fifa responsible clubs appearances forthcoming olympic games usfsa cfi transformed french football federation usfsa finally merged fff,7.56,"france,national,football,team,created,time,fifas,foundation,team,competed,official,international,match,belgium,brussels,ending,draw,following,year,february,france,contested,home,match,switzerland,match,played,parc,des,princes,supporters,france,match,goal,coming,gaston,cyprs,disagreements,fifa,union,des,socits,franaises,de,sports,athltiques,countrys,sports,union,france,struggled,establish,identity,french,interfederal,committee,rival,organization,usfsa,ruled,fifa,responsible,clubs,appearances,forthcoming,olympic,games,usfsa,cfi,transformed,french,football,federation,usfsa,finally,merged,fff",0.00,france
"in july  france appeared in the inaugural fifa world cup held in uruguay in their first ever world cup match france defeated mexico  at the estadio pocitos in montevideo lucien laurent became notable in the match as he scored not only frances first world cup goal but the first goal in world cup history conversely france also became the first team to not score in a world cup match after losing  to group stage opponents argentina another loss to chile resulted in the team bowing out in the group stage the following year saw the first selection of a black player to the national team raoul diagne who was of senegalese descent earned his first cap on  february in a  defeat to czechoslovakia diagne later played with the team at the  world cup alongside larbi benbarek who was one of the first players of north african origin to play for the national team at the  world cup france suffered elimination in the opening round losing  to austria on the teams return to paris they were greeted as heroes by a crowd of over  supporters france hosted the  world cup and reached the quarterfinals losing  to defending champions  italy
",july france appeared inaugural fifa world cup held uruguay world cup match france defeated mexico estadio pocitos montevideo lucien laurent notable match scored frances world cup goal goal world cup history conversely france team score world cup match losing group stage opponents argentina loss chile resulted team bowing group stage following year saw selection black player national team raoul diagne senegalese descent earned cap february defeat czechoslovakia diagne later played team world cup alongside larbi benbarek players north african origin play national team world cup france suffered elimination opening round losing austria teams return paris greeted heroes crowd supporters france hosted world cup reached quarterfinals losing defending champions italy,7.88,"july,france,appeared,inaugural,fifa,world,cup,held,uruguay,world,cup,match,france,defeated,mexico,estadio,pocitos,montevideo,lucien,laurent,notable,match,scored,frances,world,cup,goal,goal,world,cup,history,conversely,france,team,score,world,cup,match,losing,group,stage,opponents,argentina,loss,chile,resulted,team,bowing,group,stage,following,year,saw,selection,black,player,national,team,raoul,diagne,senegalese,descent,earned,cap,february,defeat,czechoslovakia,diagne,later,played,team,world,cup,alongside,larbi,benbarek,players,north,african,origin,play,national,team,world,cup,france,suffered,elimination,opening,round,losing,austria,teams,return,paris,greeted,heroes,crowd,supporters,france,hosted,world,cup,reached,quarterfinals,losing,defending,champions,italy",0.00,france
"frances first golden generation in the late s comprised players such as just fontaine raymond kopa jean vincent robert jonquet maryan wisnieski thade cisowski and armand penverne at the  world cup france reached the semi finals losing to brazil in the third place match france defeated west germany  with fontaine recording four goals which brought his goal tally in the competition to  a world cup record the record still stands today france hosted the inaugural uefa european football championship in  for the second straight international tournament the team reached the semi finals but were defeated  by yugoslavia despite being up  heading into the th minute in the third place match france was defeated  by czechoslovakia
",frances golden generation late comprised players fontaine raymond kopa jean vincent robert jonquet maryan wisnieski thade cisowski armand penverne world cup france reached semi finals losing brazil place match france defeated west germany fontaine recording goals brought goal tally competition world cup record record stands today france hosted inaugural uefa european football championship second straight international tournament team reached semi finals defeated yugoslavia despite heading th minute place match france defeated czechoslovakia,5.91,"frances,golden,generation,late,comprised,players,fontaine,raymond,kopa,jean,vincent,robert,jonquet,maryan,wisnieski,thade,cisowski,armand,penverne,world,cup,france,reached,semi,finals,losing,brazil,place,match,france,defeated,west,germany,fontaine,recording,goals,brought,goal,tally,competition,world,cup,record,record,stands,today,france,hosted,inaugural,uefa,european,football,championship,second,straight,international,tournament,team,reached,semi,finals,defeated,yugoslavia,despite,heading,th,minute,place,match,france,defeated,czechoslovakia",0.00,france
"the s and s saw france decline significantly playing under several managers and failing to qualify for numerous international tournaments on  april  henri gurin was officially installed as the teams first manager under gurin france failed to qualify for the  world cup and the  european nations cup the team returned to major international play with qualification for the  world cup but did not make it past the group stage phase of the tournament gurin was fired following the world cup he was replaced by jos arribas and jean snella who worked as caretaker managers in dual roles the two only lasted four matches and were replaced by former international just fontaine who in turn was only in charge for two matches louis dugauguez succeeded fontaine and following his early struggles in qualification for the  world cup was fired and replaced by georges boulogne who could not get the team to the competition boulogne was later fired following his failure to qualify for the  world cup and was replaced by the romanian tefan kovcs who became the only international manager to ever manage the national team under the management of kovcs france failed to qualify for uefa euro  after two years in charge he was sacked and replaced with michel hidalgo
",saw france decline significantly playing managers failing qualify numerous international tournaments april henri gurin officially installed teams manager gurin france failed qualify world cup european nations cup team returned major international play qualification world cup past group stage phase tournament gurin fired following world cup replaced jos arribas jean snella worked caretaker managers dual roles lasted matches replaced international fontaine turn charge matches louis dugauguez succeeded fontaine following early struggles qualification world cup fired replaced georges boulogne team competition boulogne later fired following failure qualify world cup replaced romanian tefan kovcs international manager manage national team management kovcs france failed qualify uefa euro years charge sacked replaced michel hidalgo,8.07,"saw,france,decline,significantly,playing,managers,failing,qualify,numerous,international,tournaments,april,henri,gurin,officially,installed,teams,manager,gurin,france,failed,qualify,world,cup,european,nations,cup,team,returned,major,international,play,qualification,world,cup,past,group,stage,phase,tournament,gurin,fired,following,world,cup,replaced,jos,arribas,jean,snella,worked,caretaker,managers,dual,roles,lasted,matches,replaced,international,fontaine,turn,charge,matches,louis,dugauguez,succeeded,fontaine,following,early,struggles,qualification,world,cup,fired,replaced,georges,boulogne,team,competition,boulogne,later,fired,following,failure,qualify,world,cup,replaced,romanian,tefan,kovcs,international,manager,manage,national,team,management,kovcs,france,failed,qualify,uefa,euro,years,charge,sacked,replaced,michel,hidalgo",0.00,france
"under hidalgo france flourished mainly due to the accolades of great players like defenders marius trsor and maxime bossis striker dominique rocheteau and midfielder michel platini who alongside jean tigana alain giresse and luis fernndez formed the carr magique  which would haunt opposing defenses beginning at the  world cup where france reached the semi finals losing on penalties to rivals west germany the semi final match up is considered one of the greatest matches in world cup history and was marked by controversy france finished fourth overall losing the third place playoff  to poland france earned their first major international honor two years later winning euro  which they hosted under the leadership of platini who scored a tournament high nine goals france defeated spain  in the final platini and bruno bellone scored the goals following the euro triumph hidalgo departed the team and was replaced by former international henri michel france subsequently won gold at the  summer olympics football tournament and a year later defeated uruguay  to win the artemio franchi trophy an early precursor to the fifa confederations cup dominique rocheteau and jos tour scored the goals in a span of a year france were holders of three of the four major international trophies at the  world cup france were among the favorites to win the competition for the second consecutive world cup they reached the semi finals and faced west germany again they were defeated by germany but achieved third place with a  victory over belgium
",hidalgo france flourished mainly accolades great players like defenders marius trsor maxime bossis striker dominique rocheteau midfielder michel platini alongside jean tigana alain giresse luis fernndez formed carr magique haunt opposing defenses beginning world cup france reached semi finals losing penalties rivals west germany semi final match considered greatest matches world cup history marked controversy france finished fourth overall losing place playoff poland france earned major international honor years later winning euro hosted leadership platini scored tournament high goals france defeated spain final platini bruno bellone scored goals following euro triumph hidalgo departed team replaced international henri michel france subsequently gold summer olympics football tournament year later defeated uruguay win artemio franchi trophy early precursor fifa confederations cup dominique rocheteau jos tour scored goals span year france holders major international trophies world cup france favorites win competition second consecutive world cup reached semi finals faced west germany defeated germany achieved place victory belgium,6.17,"hidalgo,france,flourished,mainly,accolades,great,players,like,defenders,marius,trsor,maxime,bossis,striker,dominique,rocheteau,midfielder,michel,platini,alongside,jean,tigana,alain,giresse,luis,fernndez,formed,carr,magique,haunt,opposing,defenses,beginning,world,cup,france,reached,semi,finals,losing,penalties,rivals,west,germany,semi,final,match,considered,greatest,matches,world,cup,history,marked,controversy,france,finished,fourth,overall,losing,place,playoff,poland,france,earned,major,international,honor,years,later,winning,euro,hosted,leadership,platini,scored,tournament,high,goals,france,defeated,spain,final,platini,bruno,bellone,scored,goals,following,euro,triumph,hidalgo,departed,team,replaced,international,henri,michel,france,subsequently,gold,summer,olympics,football,tournament,year,later,defeated,uruguay,win,artemio,franchi,trophy,early,precursor,fifa,confederations,cup,dominique,rocheteau,jos,tour,scored,goals,span,year,france,holders,major,international,trophies,world,cup,france,favorites,win,competition,second,consecutive,world,cup,reached,semi,finals,faced,west,germany,defeated,germany,achieved,place,victory,belgium",0.00,france
