Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"france  officially the french republic  is a country located primarily in western europe it also includes overseas regions and territories in the americas and the atlantic pacific and indian oceansxii giving it one of the largest discontiguous exclusive economic zones in the world its metropolitan area extends from the rhine to the atlantic ocean and from the mediterranean sea to the english channel and the north sea overseas territories include french guiana in south america saint pierre and miquelon in the north atlantic the french west indies and many islands in oceania and the indian ocean its eighteen integral regions  span a combined area of  km  and had a total population of over  million as of january update france is a unitary semi presidential republic with its capital in paris the countrys largest city and main cultural and commercial centre other major urban areas include marseille lyon toulouse lille bordeaux and nice
",france officially french republic country located primarily western europe includes overseas regions territories americas atlantic pacific indian oceansxii giving largest discontiguous exclusive economic zones world metropolitan area extends rhine atlantic ocean mediterranean sea english channel north sea overseas territories include french guiana south america saint pierre miquelon north atlantic french west indies islands oceania indian ocean eighteen integral regions span combined area km total population million januaryupdate france unitary semi presidential republic capital paris countrys largest city main cultural commercial centre major urban areas include marseille lyon toulouse lille bordeaux nice,6.35,"france,officially,french,republic,country,located,primarily,western,europe,includes,overseas,regions,territories,americas,atlantic,pacific,indian,oceansxii,giving,largest,discontiguous,exclusive,economic,zones,world,metropolitan,area,extends,rhine,atlantic,ocean,mediterranean,sea,english,channel,north,sea,overseas,territories,include,french,guiana,south,america,saint,pierre,miquelon,north,atlantic,french,west,indies,islands,oceania,indian,ocean,eighteen,integral,regions,span,combined,area,km,total,population,million,januaryupdate,france,unitary,semi,presidential,republic,capital,paris,countrys,largest,city,main,cultural,commercial,centre,major,urban,areas,include,marseille,lyon,toulouse,lille,bordeaux,nice",0.00,french
"inhabited since the palaeolithic era the territory of metropolitan france was settled by celtic tribes known as gauls during the iron age rome annexed the area in  because leading to a distinct gallo roman culture that laid the foundation of the french language the germanic franks formed the kingdom of francia which became the heartland of the carolingian empire the treaty of verdun of  partitioned the empire with west francia becoming the kingdom of france in  in the high middle ages france was a powerful but highly decentralised feudal kingdom philip ii successfully strengthened royal power and defeated his rivals to double the size of the crown lands by the end of his reign france had emerged as the most powerful state in europe from the mid th to the mid th century france was plunged into a series of dynastic conflicts involving england collectively known as the hundred years war and a distinct french identity emerged as a result the french renaissance saw art and culture flourish conflict with the house of habsburg and the establishment of a global colonial empire which by the th century would become the second largest in the world the second half of the th century was dominated by religious civil wars between catholics and huguenots that severely weakened the country france again emerged as europes dominant power in the th century under louis xiv following the thirty years war inadequate economic policies inequitable taxes and frequent wars  left the kingdom in a precarious economic situation by the end of the th century this precipitated the french revolution of  which overthrew the ancien rgime and produced the declaration of the rights of man which expresses the nations ideals to this day
",inhabited palaeolithic era territory metropolitan france settled celtic tribes known gauls iron age rome annexed area leading distinct gallo roman culture laid foundation french language germanic franks formed kingdom francia heartland carolingian empire treaty verdun partitioned empire west francia kingdom france high middle ages france powerful highly decentralised feudal kingdom philip ii successfully strengthened royal power defeated rivals double size crown lands end reign france emerged powerful state europe mid th mid th century france plunged series dynastic conflicts involving england collectively known years war distinct french identity emerged result french renaissance saw art culture flourish conflict house habsburg establishment global colonial empire th century second largest world second half th century dominated religious civil wars catholics huguenots severely weakened country france emerged europes dominant power th century louis xiv following thirty years war inadequate economic policies inequitable taxes frequent wars left kingdom precarious economic situation end th century precipitated french revolution overthrew ancien rgime produced declaration rights man expresses nations ideals day,7.18,"inhabited,palaeolithic,era,territory,metropolitan,france,settled,celtic,tribes,known,gauls,iron,age,rome,annexed,area,leading,distinct,gallo,roman,culture,laid,foundation,french,language,germanic,franks,formed,kingdom,francia,heartland,carolingian,empire,treaty,verdun,partitioned,empire,west,francia,kingdom,france,high,middle,ages,france,powerful,highly,decentralised,feudal,kingdom,philip,ii,successfully,strengthened,royal,power,defeated,rivals,double,size,crown,lands,end,reign,france,emerged,powerful,state,europe,mid,th,mid,th,century,france,plunged,series,dynastic,conflicts,involving,england,collectively,known,years,war,distinct,french,identity,emerged,result,french,renaissance,saw,art,culture,flourish,conflict,house,habsburg,establishment,global,colonial,empire,th,century,second,largest,world,second,half,th,century,dominated,religious,civil,wars,catholics,huguenots,severely,weakened,country,france,emerged,europes,dominant,power,th,century,louis,xiv,following,thirty,years,war,inadequate,economic,policies,inequitable,taxes,frequent,wars,left,kingdom,precarious,economic,situation,end,th,century,precipitated,french,revolution,overthrew,ancien,rgime,produced,declaration,rights,man,expresses,nations,ideals,day",0.00,french
"france reached its political and military zenith in the early th century under napoleon bonaparte subjugating much of continental europe and establishing the first french empire the french revolutionary and napoleonic wars shaped the course of european and world history the collapse of the empire initiated a period of relative decline in which france endured a tumultuous succession of governments until the founding of the french third republic during the franco prussian war in  subsequent decades saw a period of optimism cultural and scientific flourishing as well as economic prosperity known as the belle poque france was one of the major participants of world war i from which it emerged victorious at a great human and economic cost it was among the allied powers of world war ii but was soon occupied by the axis in  following liberation in  the short lived fourth republic was established and later dissolved in the course of the algerian war the current fifth republic was formed in  by charles de gaulle algeria and most french colonies became independent in the s with the majority retaining close economic and military ties with france
",france reached political military zenith early th century napoleon bonaparte subjugating continental europe establishing french empire french revolutionary napoleonic wars shaped course european world history collapse empire initiated period relative decline france endured tumultuous succession governments founding french republic franco prussian war subsequent decades saw period optimism cultural scientific flourishing economic prosperity known belle poque france major participants world war emerged victorious great human economic cost allied powers world war ii soon occupied axis following liberation short lived fourth republic established later dissolved course algerian war current fifth republic formed charles de gaulle algeria french colonies independent majority retaining close economic military ties france,7.29,"france,reached,political,military,zenith,early,th,century,napoleon,bonaparte,subjugating,continental,europe,establishing,french,empire,french,revolutionary,napoleonic,wars,shaped,course,european,world,history,collapse,empire,initiated,period,relative,decline,france,endured,tumultuous,succession,governments,founding,french,republic,franco,prussian,war,subsequent,decades,saw,period,optimism,cultural,scientific,flourishing,economic,prosperity,known,belle,poque,france,major,participants,world,war,emerged,victorious,great,human,economic,cost,allied,powers,world,war,ii,soon,occupied,axis,following,liberation,short,lived,fourth,republic,established,later,dissolved,course,algerian,war,current,fifth,republic,formed,charles,de,gaulle,algeria,french,colonies,independent,majority,retaining,close,economic,military,ties,france",0.00,french
"the name of the franks is related to the english word frank  the latter stems from the old french franc   ultimately from medieval latin francus  a generalisation of the tribal name that emerged as a late latin borrowing of the reconstructed frankish endonym frank it has been suggested that the meaning free was adopted because after the conquest of gaul only franks were free of taxation or more generally because they had the status of freemen in contrast to servants or slaves
",franks related english word frank stems old french franc ultimately medieval latin francus generalisation tribal emerged late latin borrowing reconstructed frankish endonym frank suggested meaning free adopted conquest gaul franks free taxation generally status freemen contrast servants slaves,9.15,"franks,related,english,word,frank,stems,old,french,franc,ultimately,medieval,latin,francus,generalisation,tribal,emerged,late,latin,borrowing,reconstructed,frankish,endonym,frank,suggested,meaning,free,adopted,conquest,gaul,franks,free,taxation,generally,status,freemen,contrast,servants,slaves",0.00,french
"around  because the south of gaul was conquered by the romans who called this region provincia nostra  which over time evolved into the name provence in french julius caesar conquered the remainder of gaul and overcame a revolt carried out by the gallic chieftain vercingetorix in  because
",south gaul conquered romans called region provincia nostra time evolved provence french julius caesar conquered remainder gaul overcame revolt carried gallic chieftain vercingetorix,8.28,"south,gaul,conquered,romans,called,region,provincia,nostra,time,evolved,provence,french,julius,caesar,conquered,remainder,gaul,overcame,revolt,carried,gallic,chieftain,vercingetorix",0.00,french
"clovis i was the first germanic conqueror after the fall of the roman empire to convert to catholic christianity rather than arianism thus france was given the title eldest daughter of the church  by the papacy and french kings would be called the most christian kings of france 
",clovis germanic conqueror fall roman empire convert catholic christianity arianism france given title eldest daughter church papacy french kings called christian kings france,8.93,"clovis,germanic,conqueror,fall,roman,empire,convert,catholic,christianity,arianism,france,given,title,eldest,daughter,church,papacy,french,kings,called,christian,kings,france",0.00,french
"proclaimed holy roman emperor by pope leo iii and thus establishing in earnest the french governments longtime historical association with the catholic church charlemagne tried to revive the western roman empire and its cultural grandeur charlemagnes son louis i  kept the empire united however this carolingian empire would not survive his death in  under the treaty of verdun the empire was divided between louis three sons with east francia going to louis the german middle francia to lothair i and west francia to charles the bald west francia approximated the area occupied by and was the precursor to modern france
",proclaimed holy roman emperor pope leo iii establishing earnest french governments longtime historical association catholic church charlemagne tried revive western roman empire cultural grandeur charlemagnes son louis kept empire united carolingian empire survive death treaty verdun empire divided louis sons east francia going louis german middle francia lothair west francia charles bald west francia approximated area occupied precursor modern france,6.44,"proclaimed,holy,roman,emperor,pope,leo,iii,establishing,earnest,french,governments,longtime,historical,association,catholic,church,charlemagne,tried,revive,western,roman,empire,cultural,grandeur,charlemagnes,son,louis,kept,empire,united,carolingian,empire,survive,death,treaty,verdun,empire,divided,louis,sons,east,francia,going,louis,german,middle,francia,lothair,west,francia,charles,bald,west,francia,approximated,area,occupied,precursor,modern,france",0.00,french
"the french nobility played a prominent role in most crusades to restore christian access to the holy land french knights made up the bulk of the steady flow of reinforcements throughout the two hundred year span of the crusades in such a fashion that the arabs uniformly referred to the crusaders as franj caring little whether they came from france the french crusaders also imported the french language into the levant making french the base of the lingua franca  of the crusader states french knights also made up the majority in both the hospital and the temple orders the latter in particular held numerous properties throughout france and by the th century were the principal bankers for the french crown until philip iv annihilated the order in  the albigensian crusade was launched in  to eliminate the heretical cathars in the southwestern area of modern day france in the end the cathars were exterminated and the autonomous county of toulouse was annexed into the crown lands of france
",french nobility played prominent role crusades restore christian access holy land french knights bulk steady flow reinforcements year span crusades fashion arabs uniformly referred crusaders franj caring little came france french crusaders imported french language levant making french base lingua franca crusader states french knights majority hospital temple orders particular held numerous properties france th century principal bankers french crown philip iv annihilated order albigensian crusade launched eliminate heretical cathars southwestern area modern day france end cathars exterminated autonomous county toulouse annexed crown lands france,8.22,"french,nobility,played,prominent,role,crusades,restore,christian,access,holy,land,french,knights,bulk,steady,flow,reinforcements,year,span,crusades,fashion,arabs,uniformly,referred,crusaders,franj,caring,little,came,france,french,crusaders,imported,french,language,levant,making,french,base,lingua,franca,crusader,states,french,knights,majority,hospital,temple,orders,particular,held,numerous,properties,france,th,century,principal,bankers,french,crown,philip,iv,annihilated,order,albigensian,crusade,launched,eliminate,heretical,cathars,southwestern,area,modern,day,france,end,cathars,exterminated,autonomous,county,toulouse,annexed,crown,lands,france",0.00,french
"charles iv the fair died without an heir in  under salic law the crown of france could not pass to a woman nor could the line of kingship pass through the female line accordingly the crown passed to philip of valois rather than through the female line to edward of plantagenet who would soon become edward iii of england during the reign of philip of valois the french monarchy reached the height of its medieval power however philips seat on the throne was contested by edward iii of england in  and england and france entered the off and on hundred years war the exact boundaries changed greatly with time but landholdings inside france by the english kings remained extensive for decades with charismatic leaders such as joan of arc and la hire strong french counterattacks won back most english continental territories like the rest of europe france was struck by the black death due to which half of the  million population of france died
",charles iv fair died heir salic law crown france pass woman line kingship pass female line accordingly crown passed philip valois female line edward plantagenet soon edward iii england reign philip valois french monarchy reached height medieval power philips seat throne contested edward iii england england france entered years war exact boundaries changed greatly time landholdings inside france english kings remained extensive decades charismatic leaders joan arc la hire strong french counterattacks english continental territories like rest europe france struck black death half million population france died,8.16,"charles,iv,fair,died,heir,salic,law,crown,france,pass,woman,line,kingship,pass,female,line,accordingly,crown,passed,philip,valois,female,line,edward,plantagenet,soon,edward,iii,england,reign,philip,valois,french,monarchy,reached,height,medieval,power,philips,seat,throne,contested,edward,iii,england,england,france,entered,years,war,exact,boundaries,changed,greatly,time,landholdings,inside,france,english,kings,remained,extensive,decades,charismatic,leaders,joan,arc,la,hire,strong,french,counterattacks,english,continental,territories,like,rest,europe,france,struck,black,death,half,million,population,france,died",0.00,french
"the french renaissance saw spectacular cultural development and the first standardisation of the french language which would become the official language of france and the language of europes aristocracy it also saw a long set of wars known as the italian wars between france and the house of habsburg french explorers such as jacques cartier or samuel de champlain claimed lands in the americas for france paving the way for the expansion of the french colonial empire the rise of protestantism in europe led france to a civil war known as the french wars of religion where in the most notorious incident thousands of huguenots were murdered in the st bartholomews day massacre of  the wars of religion were ended by henry ivs edict of nantes which granted some freedom of religion to the huguenots spanish troops the terror of western europe assisted the catholic side during the wars of religion in  and invaded northern france in  after some skirmishing in the s and s spain and france returned to all out war between  and  the war cost france  casualties
",french renaissance saw spectacular cultural development standardisation french language official language france language europes aristocracy saw long set wars known italian wars france house habsburg french explorers jacques cartier samuel de champlain claimed lands americas france paving way expansion french colonial empire rise protestantism europe led france civil war known french wars religion notorious incident thousands huguenots murdered st bartholomews day massacre wars religion ended henry ivs edict nantes granted freedom religion huguenots spanish troops terror western europe assisted catholic wars religion invaded northern france skirmishing spain france returned war war cost france casualties,8.11,"french,renaissance,saw,spectacular,cultural,development,standardisation,french,language,official,language,france,language,europes,aristocracy,saw,long,set,wars,known,italian,wars,france,house,habsburg,french,explorers,jacques,cartier,samuel,de,champlain,claimed,lands,americas,france,paving,way,expansion,french,colonial,empire,rise,protestantism,europe,led,france,civil,war,known,french,wars,religion,notorious,incident,thousands,huguenots,murdered,st,bartholomews,day,massacre,wars,religion,ended,henry,ivs,edict,nantes,granted,freedom,religion,huguenots,spanish,troops,terror,western,europe,assisted,catholic,wars,religion,invaded,northern,france,skirmishing,spain,france,returned,war,war,cost,france,casualties",0.00,french
