Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"french algeria  also known as colonial algeria was the period of algerian history when the region was a colony of france french rule in the region began with the invasion of algiers in  and lasted until the end of the algerian war in  while the administration of algeria changed significantly over the  years of french rule the mediterranean coastal region of algeria housing the vast majority of its population was an integral part of france from  until its independence
",french algeria known colonial algeria period algerian history region colony france french rule region began invasion algiers lasted end algerian war administration algeria changed significantly years french rule mediterranean coastal region algeria housing vast majority population integral france independence,8.47,"french,algeria,known,colonial,algeria,period,algerian,history,region,colony,france,french,rule,region,began,invasion,algiers,lasted,end,algerian,war,administration,algeria,changed,significantly,years,french,rule,mediterranean,coastal,region,algeria,housing,vast,majority,population,integral,france,independence",0.00,algeria
"as one of frances longest held overseas territories algeria became a destination for hundreds of thousands of european immigrants known as colons and later as pieds noirs however the indigenous muslim population remained the majority of the territorys population throughout its history it is estimated that the native algerian population fell by up to one third between  and  due to warfare disease and starvation gradually dissatisfaction among the muslim population due to their lack of political and economic freedom fueled calls for greater political autonomy and eventually independence from france tensions between the two groups came to a head in  when the first violent events began of what was later called the algerian war characterised by guerrilla warfare and crimes against humanity used by the french in order to stop the revolt the war ended in  when algeria gained independence following the evian agreements in march  and the self determination referendum in july 
",frances longest held overseas territories algeria destination hundreds thousands european immigrants known colons later pieds noirs indigenous muslim population remained majority territorys population history estimated native algerian population fell warfare disease starvation gradually dissatisfaction muslim population lack political economic freedom fueled calls greater political autonomy eventually independence france tensions groups came head violent events began later called algerian war characterised guerrilla warfare crimes humanity french order stop revolt war ended algeria gained independence following evian agreements march self determination referendum july,7.33,"frances,longest,held,overseas,territories,algeria,destination,hundreds,thousands,european,immigrants,known,colons,later,pieds,noirs,indigenous,muslim,population,remained,majority,territorys,population,history,estimated,native,algerian,population,fell,warfare,disease,starvation,gradually,dissatisfaction,muslim,population,lack,political,economic,freedom,fueled,calls,greater,political,autonomy,eventually,independence,france,tensions,groups,came,head,violent,events,began,later,called,algerian,war,characterised,guerrilla,warfare,crimes,humanity,french,order,stop,revolt,war,ended,algeria,gained,independence,following,evian,agreements,march,self,determination,referendum,july",0.00,algeria
"during its last years of being part of france algeria was a founding member of the european coal and steel community and the european economic community
",years france algeria founding member european coal steel community european economic community,9.15,"years,france,algeria,founding,member,european,coal,steel,community,european,economic,community",0.00,algeria
"since the  capture of algiers by the ottoman admirals the brothers ours and hayreddin barbarossa algeria had been a base for conflict and piracy in the mediterranean in  louis xiv asked admiral abraham duquesne to fight the berber pirates and also ordered a large scale attack on algiers between  and  on the pretext of assisting and rescuing christian slaves again jean ii destres bombarded tripoli and algiers from  to  an ambassador from algiers visited the court in versailles and a treaty was signed in  that provided peace throughout the th century
",capture algiers ottoman admirals brothers hayreddin barbarossa algeria base conflict piracy mediterranean louis xiv asked admiral abraham duquesne fight berber pirates ordered large scale attack algiers pretext assisting rescuing christian slaves jean ii destres bombarded tripoli algiers ambassador algiers visited court versailles treaty signed provided peace th century,7.75,"capture,algiers,ottoman,admirals,brothers,hayreddin,barbarossa,algeria,base,conflict,piracy,mediterranean,louis,xiv,asked,admiral,abraham,duquesne,fight,berber,pirates,ordered,large,scale,attack,algiers,pretext,assisting,rescuing,christian,slaves,jean,ii,destres,bombarded,tripoli,algiers,ambassador,algiers,visited,court,versailles,treaty,signed,provided,peace,th,century",0.00,algeria
"french algeria 
",french algeria,0.00,"french,algeria",0.00,algeria
"the dey of algiers himself was weak politically economically and militarily algeria was then part of the barbary states along with todays tunisia  which depended on the ottoman empire then led by mahmud ii  but enjoyed relative independence the barbary coast was the stronghold of berber pirates who carried out raids against european and american ships conflicts between the barbary states and the newly independent united states of america culminated in the first  and second  barbary wars an anglo dutch force led by admiral lord exmouth carried out a punitive expedition the august  bombardment of algiers the dey was forced to sign the barbary treaties while the technological advantage of yous british and french forces overwhelmed the algerians expertise at naval warfarecitation needed
",dey algiers weak politically economically militarily algeria barbary states todays tunisia depended ottoman empire led mahmud ii enjoyed relative independence barbary coast stronghold berber pirates carried raids european american ships conflicts barbary states newly independent united states america culminated second barbary wars anglo dutch force led admiral lord exmouth carried punitive expedition august bombardment algiers dey forced sign barbary treaties technological advantage yous british french forces overwhelmed algerians expertise naval warfarecitation needed,6.42,"dey,algiers,weak,politically,economically,militarily,algeria,barbary,states,todays,tunisia,depended,ottoman,empire,led,mahmud,ii,enjoyed,relative,independence,barbary,coast,stronghold,berber,pirates,carried,raids,european,american,ships,conflicts,barbary,states,newly,independent,united,states,america,culminated,second,barbary,wars,anglo,dutch,force,led,admiral,lord,exmouth,carried,punitive,expedition,august,bombardment,algiers,dey,forced,sign,barbary,treaties,technological,advantage,yous,british,french,forces,overwhelmed,algerians,expertise,naval,warfarecitation,needed",0.00,algeria
"following the conquest under the july monarchy the algerian territories disputed with the ottoman empire were first named french possessions in north africa before being called algeria by marshal general jean de dieu soult duke of dalmatia in 
",following conquest july monarchy algerian territories disputed ottoman empire named french possessions north africa called algeria marshal general jean de dieu soult duke dalmatia,5.74,"following,conquest,july,monarchy,algerian,territories,disputed,ottoman,empire,named,french,possessions,north,africa,called,algeria,marshal,general,jean,de,dieu,soult,duke,dalmatia",0.00,algeria
"the conquest of algeria was initiated in the last days of the bourbon restoration by charles x as an attempt to increase his popularity amongst the french people particularly in paris where many veterans of the napoleonic wars lived his intention was to bolster patriotic sentiment and distract attention from ineptly handled domestic policies by skirmishing against the dey
",conquest algeria initiated days bourbon restoration charles x attempt increase popularity french people particularly paris veterans napoleonic wars lived intention bolster patriotic sentiment distract attention ineptly handled domestic policies skirmishing dey,7.47,"conquest,algeria,initiated,days,bourbon,restoration,charles,x,attempt,increase,popularity,french,people,particularly,paris,veterans,napoleonic,wars,lived,intention,bolster,patriotic,sentiment,distract,attention,ineptly,handled,domestic,policies,skirmishing,dey",0.00,algeria
"admiral duperr commanded an armada of  ships that originated from toulon leading it to algiers using napoleons  contingency plan for the invasion of algeria general de bourmont then landed  kilometres  west of algiers at sidi ferruch on  june  with  soldiers in response to the french the algerian dey ordered an opposition consisting of  janissaries  troops from the beys of constantine and oran and about  kabyles the french established a strong beachhead and pushed toward algiers thanks in part to superior artillery and better organization the french troops took the advantage on  june during the battle of staouli and entered algiers on  july after a three week campaign the dey agreed to surrender in exchange for his freedom and the offer to retain possession of his personal wealth five days later he exiled himself with his family departing on a french ship for the italian peninsula  janissaries also quit the algerian territories heading for asiaclarification needed on  july 
the french army then recruited the first zouaves  in october followed by the spahis regiments while france expropriated all the land properties belonging to the turkish settlers known as beliks in the western region of oran sultan abderrahmane of morocco the commander of the faithful could not remain indifferent to the massacres committed by the french christian troops and to belligerent calls for jihad from the marabouts despite the diplomatic rupture between morocco and the two sicilies in  and the naval warfare engaged against the austrian empire as well as with spain then headed by ferdinand vii sultan abderrahmane lent his support to the algerian insurgency of abd el kader the latter fought for years against the french directing an army of  men abd el kader first organized the blockade of oran
",admiral duperr commanded armada ships originated toulon leading algiers napoleons contingency plan invasion algeria general de bourmont landed kilometres west algiers sidi ferruch june soldiers response french algerian dey ordered opposition consisting janissaries troops beys constantine oran kabyles french established strong beachhead pushed algiers thanks superior artillery better organization french troops took advantage june battle staouli entered algiers july week campaign dey agreed surrender exchange freedom offer retain possession personal wealth days later exiled family departing french ship italian peninsula janissaries quit algerian territories heading asiaclarification needed july french army recruited zouaves october followed spahis regiments france expropriated land properties belonging turkish settlers known beliks western region oran sultan abderrahmane morocco commander faithful remain indifferent massacres committed french christian troops belligerent calls jihad marabouts despite diplomatic rupture morocco sicilies naval warfare engaged austrian empire spain headed ferdinand vii sultan abderrahmane lent support algerian insurgency abd el kader fought years french directing army men abd el kader organized blockade oran,7.23,"admiral,duperr,commanded,armada,ships,originated,toulon,leading,algiers,napoleons,contingency,plan,invasion,algeria,general,de,bourmont,landed,kilometres,west,algiers,sidi,ferruch,june,soldiers,response,french,algerian,dey,ordered,opposition,consisting,janissaries,troops,beys,constantine,oran,kabyles,french,established,strong,beachhead,pushed,algiers,thanks,superior,artillery,better,organization,french,troops,took,advantage,june,battle,staouli,entered,algiers,july,week,campaign,dey,agreed,surrender,exchange,freedom,offer,retain,possession,personal,wealth,days,later,exiled,family,departing,french,ship,italian,peninsula,janissaries,quit,algerian,territories,heading,asiaclarification,needed,july,french,army,recruited,zouaves,october,followed,spahis,regiments,france,expropriated,land,properties,belonging,turkish,settlers,known,beliks,western,region,oran,sultan,abderrahmane,morocco,commander,faithful,remain,indifferent,massacres,committed,french,christian,troops,belligerent,calls,jihad,marabouts,despite,diplomatic,rupture,morocco,sicilies,naval,warfare,engaged,austrian,empire,spain,headed,ferdinand,vii,sultan,abderrahmane,lent,support,algerian,insurgency,abd,el,kader,fought,years,french,directing,army,men,abd,el,kader,organized,blockade,oran",0.00,algeria
"hardly had the news of the capture of algiers reached paris than charles x was deposed during the three glorious days of july  and his cousin louis philippe the citizen king was named to preside over a constitutional monarchy the new government composed of liberal opponents of the algiers expedition was reluctant to pursue the conquest begun by the old regime but withdrawing from algeria proved more difficult than conquering itcitation needed
",hardly news capture algiers reached paris charles x deposed glorious days july cousin louis philippe citizen king named preside constitutional monarchy new government composed liberal opponents algiers expedition reluctant pursue conquest begun old regime withdrawing algeria proved difficult conquering itcitation needed,6.94,"hardly,news,capture,algiers,reached,paris,charles,x,deposed,glorious,days,july,cousin,louis,philippe,citizen,king,named,preside,constitutional,monarchy,new,government,composed,liberal,opponents,algiers,expedition,reluctant,pursue,conquest,begun,old,regime,withdrawing,algeria,proved,difficult,conquering,itcitation,needed",0.00,algeria
"some governments and scholars have called frances conquest of algeria a genocide
",governments scholars called frances conquest algeria genocide,6.17,"governments,scholars,called,frances,conquest,algeria,genocide",0.00,algeria
"for example ben kiernan an australian expert on cambodian genocide wrote in blood and soil a world history of genocide and extermination from sparta to darfur on the french conquest of algeria
",example ben kiernan australian expert cambodian genocide wrote blood soil world history genocide extermination sparta darfur french conquest algeria,6.74,"example,ben,kiernan,australian,expert,cambodian,genocide,wrote,blood,soil,world,history,genocide,extermination,sparta,darfur,french,conquest,algeria",0.00,algeria
"by  the french conquest was complete the war had killed approximately  indigenous algerians since  a long shadow of genocidal hatred persisted provoking a french author to protest in  that in algeria we hear it repeated every day that we must expel the native and if necessary destroy him as a french statistical journal urged five years late the system of extermination must give way to a policy of penetration

ben kiernan blood and soil
",french conquest complete war killed approximately indigenous algerians long shadow genocidal hatred persisted provoking french author protest algeria hear repeated day expel native necessary destroy french statistical journal urged years late system extermination way policy penetrationben kiernan blood soil,7.73,"french,conquest,complete,war,killed,approximately,indigenous,algerians,long,shadow,genocidal,hatred,persisted,provoking,french,author,protest,algeria,hear,repeated,day,expel,native,necessary,destroy,french,statistical,journal,urged,years,late,system,extermination,way,policy,penetrationben,kiernan,blood,soil",0.00,algeria
"on  december  king louis philippe named the duc de rovigo as head of military staff in algeria de rovigo took control of bne and initiated colonisation of the land he was recalled in  due to the overtly violent nature of the repression wishing to avoid a conflict with morocco louis philippe sent an extraordinary mission to the sultan mixed with displays of military might sending war ships to the bay of tangier an ambassador was sent to sultan moulay abderrahmane in february  headed by the count charles edgar de mornay and including the painter eugne delacroix however the sultan refused french demands that he evacuate tlemcen
",december king louis philippe named duc de rovigo head military staff algeria de rovigo took control bne initiated colonisation land recalled overtly violent nature repression wishing avoid conflict morocco louis philippe sent extraordinary mission sultan mixed displays military sending war ships bay tangier ambassador sent sultan moulay abderrahmane february headed count charles edgar de mornay including painter eugne delacroix sultan refused french demands evacuate tlemcen,6.48,"december,king,louis,philippe,named,duc,de,rovigo,head,military,staff,algeria,de,rovigo,took,control,bne,initiated,colonisation,land,recalled,overtly,violent,nature,repression,wishing,avoid,conflict,morocco,louis,philippe,sent,extraordinary,mission,sultan,mixed,displays,military,sending,war,ships,bay,tangier,ambassador,sent,sultan,moulay,abderrahmane,february,headed,count,charles,edgar,de,mornay,including,painter,eugne,delacroix,sultan,refused,french,demands,evacuate,tlemcen",0.00,algeria
"in  france annexed as a colony the occupied areas of algeria which had an estimated muslim population of about two million colonial administration in the occupied areas  the so called rgime du sabre   was placed under a governor general a high ranking army officer invested with civil and military jurisdiction who was responsible to the minister of war marshal bugeaud who became the first governor general headed the conquest
",france annexed colony occupied areas algeria estimated muslim population million colonial administration occupied areas called rgime du sabre placed governor general high ranking army officer invested civil military jurisdiction responsible minister war marshal bugeaud governor general headed conquest,7.24,"france,annexed,colony,occupied,areas,algeria,estimated,muslim,population,million,colonial,administration,occupied,areas,called,rgime,du,sabre,placed,governor,general,high,ranking,army,officer,invested,civil,military,jurisdiction,responsible,minister,war,marshal,bugeaud,governor,general,headed,conquest",0.00,algeria
"soon after the conquest of algiers the soldier politician bertrand clauzel and others formed a company to acquire agricultural land and despite official discouragement to subsidize its settlement by european farmers triggering a land rush clauzel recognized the farming potential of the mitidja plain and envisioned the large scale production there of cotton as governor general  he used his office to make private investments in land and encouraged army officers and bureaucrats in his administration to do the same this development created a vested interest among government officials in greater french involvement in algeria commercial interests with influence in the government also began to recognize the prospects for profitable land speculation in expanding the french zone of occupation they created large agricultural tracts built factories and businesses and hired local labor
",soon conquest algiers soldier politician bertrand clauzel formed company acquire agricultural land despite official discouragement subsidize settlement european farmers triggering land rush clauzel recognized farming potential mitidja plain envisioned large scale production cotton governor general office private investments land encouraged army officers bureaucrats administration development created vested interest government officials greater french involvement algeria commercial interests influence government began recognize prospects profitable land speculation expanding french zone occupation created large agricultural tracts built factories businesses hired local labor,5.98,"soon,conquest,algiers,soldier,politician,bertrand,clauzel,formed,company,acquire,agricultural,land,despite,official,discouragement,subsidize,settlement,european,farmers,triggering,land,rush,clauzel,recognized,farming,potential,mitidja,plain,envisioned,large,scale,production,cotton,governor,general,office,private,investments,land,encouraged,army,officers,bureaucrats,administration,development,created,vested,interest,government,officials,greater,french,involvement,algeria,commercial,interests,influence,government,began,recognize,prospects,profitable,land,speculation,expanding,french,zone,occupation,created,large,agricultural,tracts,built,factories,businesses,hired,local,labor",0.00,algeria
"whatever initial misgivings louis philippes government may have had about occupying algeria the geopolitical realities of the situation created by the  intervention argued strongly for reinforcing french presence there france had reason for concern that britain which was pledged to maintain the territorial integrity of the ottoman empire would move to fill the vacuum left by a french withdrawal the french devised elaborate plans for settling the hinterland left by ottoman provincial authorities in  but their efforts at state building were unsuccessful on account of lengthy armed resistance
",initial misgivings louis philippes government occupying algeria geopolitical realities situation created intervention argued strongly reinforcing french presence france reason concern britain pledged maintain territorial integrity ottoman empire fill vacuum left french withdrawal french devised elaborate plans settling hinterland left ottoman provincial authorities efforts state building unsuccessful account lengthy armed resistance,6.37,"initial,misgivings,louis,philippes,government,occupying,algeria,geopolitical,realities,situation,created,intervention,argued,strongly,reinforcing,french,presence,france,reason,concern,britain,pledged,maintain,territorial,integrity,ottoman,empire,fill,vacuum,left,french,withdrawal,french,devised,elaborate,plans,settling,hinterland,left,ottoman,provincial,authorities,efforts,state,building,unsuccessful,account,lengthy,armed,resistance",0.00,algeria
"historians generally set the indigenous population of algeria at  million in  although the algerian population decreased at some point under french rule most certainly between  and  the french military was not fully responsible for the extent of this decrease as some of these deaths could be explained by the locust plagues of  and  as well as by a rigorous winter in  which caused a famine followed by an epidemic of cholera
",historians generally set indigenous population algeria million algerian population decreased point french rule certainly french military fully responsible extent decrease deaths explained locust plagues rigorous winter caused famine followed epidemic cholera,9.37,"historians,generally,set,indigenous,population,algeria,million,algerian,population,decreased,point,french,rule,certainly,french,military,fully,responsible,extent,decrease,deaths,explained,locust,plagues,rigorous,winter,caused,famine,followed,epidemic,cholera",0.00,algeria
