Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the french revolution  was a period of radical political and societal change in france that began with the estates general of  and ended with the formation of the french consulate in november  many of its ideas are considered fundamental principles of liberal democracy while the values and institutions it created remain central to french political discourse
",french revolution period radical political societal change france began estates general ended formation french consulate november ideas considered fundamental principles liberal democracy values institutions created remain central french political discourse,7.22,"french,revolution,period,radical,political,societal,change,france,began,estates,general,ended,formation,french,consulate,november,ideas,considered,fundamental,principles,liberal,democracy,values,institutions,created,remain,central,french,political,discourse",0.00,french
"the next three years were dominated by the struggle for political control exacerbated by economic depression and civil disorder austria britain prussia and other external powers sought to restore the ancien rgime by force while many french politicians saw war as the best way to unite the nation and preserve the revolution by exporting it to other countries these factors resulted in the outbreak of the french revolutionary wars in april  abolition of the french monarchy and proclamation of the french first republic in september  followed by the execution of louis xvi in january 
",years dominated struggle political control exacerbated economic depression civil disorder austria britain prussia external powers sought restore ancien rgime force french politicians saw war best way unite nation preserve revolution exporting countries factors resulted outbreak french revolutionary wars april abolition french monarchy proclamation french republic september followed execution louis xvi january,7.35,"years,dominated,struggle,political,control,exacerbated,economic,depression,civil,disorder,austria,britain,prussia,external,powers,sought,restore,ancien,rgime,force,french,politicians,saw,war,best,way,unite,nation,preserve,revolution,exporting,countries,factors,resulted,outbreak,french,revolutionary,wars,april,abolition,french,monarchy,proclamation,french,republic,september,followed,execution,louis,xvi,january",0.00,french
"the paris based insurrection of  may   june  replaced the girondins who dominated the national assembly with the committee of public safety headed by maximilien robespierre attempts to eliminate his opponents sparked the reign of terror with an estimated  killed by the time it ended in july  as well as external enemies the republic faced internal opposition from both royalists and jacobins and in order to deal with these threats the french directory took power in november  despite a series of military victories many won by napoleon bonaparte political divisions and economic stagnation resulted in the directory being replaced by the consulate in november  this is generally seen as marking the end of the revolutionary period
",paris based insurrection june replaced girondins dominated national assembly committee public safety headed maximilien robespierre attempts eliminate opponents sparked reign terror estimated killed time ended july external enemies republic faced internal opposition royalists jacobins order deal threats french directory took power november despite series military victories napoleon bonaparte political divisions economic stagnation resulted directory replaced consulate november generally seen marking end revolutionary period,7.09,"paris,based,insurrection,june,replaced,girondins,dominated,national,assembly,committee,public,safety,headed,maximilien,robespierre,attempts,eliminate,opponents,sparked,reign,terror,estimated,killed,time,ended,july,external,enemies,republic,faced,internal,opposition,royalists,jacobins,order,deal,threats,french,directory,took,power,november,despite,series,military,victories,napoleon,bonaparte,political,divisions,economic,stagnation,resulted,directory,replaced,consulate,november,generally,seen,marking,end,revolutionary,period",0.00,french
"the underlying causes of the french revolution are usually attributed to the ancien rgimes failure to manage social and economic inequality rapid population growth and the inability to adequately finance government debt resulted in economic depression unemployment and high food prices combined with a regressive tax system and resistance to reform by the ruling elite it resulted in a crisis louis xvi proved unable to manage
",underlying causes french revolution usually attributed ancien rgimes failure manage social economic inequality rapid population growth inability adequately finance government debt resulted economic depression unemployment high food prices combined regressive tax system resistance reform ruling elite resulted crisis louis xvi proved unable manage,5.39,"underlying,causes,french,revolution,usually,attributed,ancien,rgimes,failure,manage,social,economic,inequality,rapid,population,growth,inability,adequately,finance,government,debt,resulted,economic,depression,unemployment,high,food,prices,combined,regressive,tax,system,resistance,reform,ruling,elite,resulted,crisis,louis,xvi,proved,unable,manage",0.00,french
"in addition to these social changes the french population grew from  million in  to  million in  making it the most populous state in europe paris had over  inhabitants of whom roughly one third were either unemployed or had no regular work inefficient agricultural methods meant domestic farmers struggled to grow enough food to support these numbers and primitive transportation networks made it hard to distribute what they did produce as a consequence of this imbalance food prices rose by  between  and  but wages increased by only  such shortages were damaging for the regime since many blamed price increases on government failure to prevent profiteering poor harvests throughout the s culminating in the most severe winter for decades in  created a rural peasantry with nothing to sell and an urban proletariat whose purchasing power had collapsed
",addition social changes french population grew million million making populous state europe paris inhabitants roughly unemployed regular work inefficient agricultural methods meant domestic farmers struggled grow food support numbers primitive transportation networks hard distribute produce consequence imbalance food prices rose wages increased shortages damaging regime blamed price increases government failure prevent profiteering poor harvests culminating severe winter decades created rural peasantry sell urban proletariat purchasing power collapsed,7.94,"addition,social,changes,french,population,grew,million,million,making,populous,state,europe,paris,inhabitants,roughly,unemployed,regular,work,inefficient,agricultural,methods,meant,domestic,farmers,struggled,grow,food,support,numbers,primitive,transportation,networks,hard,distribute,produce,consequence,imbalance,food,prices,rose,wages,increased,shortages,damaging,regime,blamed,price,increases,government,failure,prevent,profiteering,poor,harvests,culminating,severe,winter,decades,created,rural,peasantry,sell,urban,proletariat,purchasing,power,collapsed",0.00,french
"the other major drag on the economy was state debt traditional views of the french revolution often attribute the financial crisis to the costs of the  anglo french war but modern economic studies show this is only a partial explanation in  the ratio of debt to gross national income in france was  compared to  in britain and although french borrowing costs were higher the percentage of revenue devoted to interest payments was roughly the same in both countries one historian concludes neither the level of french state debt in  or its previous history can be considered an explanation for the outbreak of revolution in 
",major drag economy state debt traditional views french revolution attribute financial crisis costs anglo french war modern economic studies partial explanation ratio debt gross national income france compared britain french borrowing costs higher percentage revenue devoted interest payments roughly countries historian concludes level french state debt previous history considered explanation outbreak revolution,8.33,"major,drag,economy,state,debt,traditional,views,french,revolution,attribute,financial,crisis,costs,anglo,french,war,modern,economic,studies,partial,explanation,ratio,debt,gross,national,income,france,compared,britain,french,borrowing,costs,higher,percentage,revenue,devoted,interest,payments,roughly,countries,historian,concludes,level,french,state,debt,previous,history,considered,explanation,outbreak,revolution",0.00,french
"the french state faced a series of budgetary crises during the th century caused primarily by structural deficiencies rather than lack of resources unlike britain where parliament determined both expenditures and taxes in france the crown controlled spending but not revenue national taxes could only be approved by the estates general which had not sat since  its revenue functions had been assumed by regional parlements the most powerful being the parlement de paris 
",french state faced series budgetary crises th century caused primarily structural deficiencies lack resources unlike britain parliament determined expenditures taxes france crown controlled spending revenue national taxes approved estates general sat revenue functions assumed regional parlements powerful parlement de paris,7.01,"french,state,faced,series,budgetary,crises,th,century,caused,primarily,structural,deficiencies,lack,resources,unlike,britain,parliament,determined,expenditures,taxes,france,crown,controlled,spending,revenue,national,taxes,approved,estates,general,sat,revenue,functions,assumed,regional,parlements,powerful,parlement,de,paris",0.00,french
"two ministers followed in quick succession before the swiss banker necker took over in july  he was able to fund the war through loans rather than taxes but his dire warnings about the impact on national finances led to his replacement in  by charles alexandre de calonne continued french intervention in america and the associated  to  anglo french war could only be funded by issuing substantial quantities of new state debt this created a large rentier class who lived on the interest primarily members of the french nobility or commercial classes by  the government was struggling to cover these payments since defaulting on the debt would negatively impact much of french society the only other option was to increase taxes when the parlements refused to collect them calonne persuaded louis to summon the assembly of notables an advisory council dominated by the upper nobility led by de brienne a former archbishop of toulousea the council also refused to approve new taxes arguing this could only be done by the estates
",ministers followed quick succession swiss banker necker took july able fund war loans taxes dire warnings impact national finances led replacement charles alexandre de calonne continued french intervention america associated anglo french war funded issuing substantial quantities new state debt created large rentier class lived interest primarily members french nobility commercial classes government struggling cover payments defaulting debt negatively impact french society option increase taxes parlements refused collect calonne persuaded louis summon assembly notables advisory council dominated upper nobility led de brienne archbishop toulousea council refused approve new taxes arguing estates,7.68,"ministers,followed,quick,succession,swiss,banker,necker,took,july,able,fund,war,loans,taxes,dire,warnings,impact,national,finances,led,replacement,charles,alexandre,de,calonne,continued,french,intervention,america,associated,anglo,french,war,funded,issuing,substantial,quantities,new,state,debt,created,large,rentier,class,lived,interest,primarily,members,french,nobility,commercial,classes,government,struggling,cover,payments,defaulting,debt,negatively,impact,french,society,option,increase,taxes,parlements,refused,collect,calonne,persuaded,louis,summon,assembly,notables,advisory,council,dominated,upper,nobility,led,de,brienne,archbishop,toulousea,council,refused,approve,new,taxes,arguing,estates",0.00,french
"in the  elections the first estate returned  deputies representing  catholic clergy nearly  of french lands were owned directly by individual bishops and monasteries in addition to tithes paid by peasants more than two thirds of the clergy lived on less than  livres per year and were often closer to the urban and rural poor than those elected for the third estate where voting was restricted to male french taxpayers aged  or over as a result half of the  deputies elected to the third estate in  were lawyers or local officials nearly a third businessmen while fifty one were wealthy land owners
",elections estate returned deputies representing catholic clergy nearly french lands owned directly individual bishops monasteries addition tithes paid peasants thirds clergy lived livres year closer urban rural poor elected estate voting restricted male french taxpayers aged result half deputies elected estate lawyers local officials nearly businessmen wealthy land owners,8.68,"elections,estate,returned,deputies,representing,catholic,clergy,nearly,french,lands,owned,directly,individual,bishops,monasteries,addition,tithes,paid,peasants,thirds,clergy,lived,livres,year,closer,urban,rural,poor,elected,estate,voting,restricted,male,french,taxpayers,aged,result,half,deputies,elected,estate,lawyers,local,officials,nearly,businessmen,wealthy,land,owners",0.00,french
"on the th many of these soldiers joined the mob in attacking the bastille a royal fortress with large stores of arms and ammunition its governor bernard ren de launay surrendered after several hours of fighting that cost the lives of  attackers taken to the htel de ville he was executed his head placed on a pike and paraded around the city the fortress was then torn down in a remarkably short time although rumoured to hold many prisoners the bastille held only seven four forgers two noblemen held for immoral behaviour and a murder suspect nevertheless as a potent symbol of the ancien rgime its destruction was viewed as a triumph and bastille day is still celebrated every year in french culture some see its fall as the start of the revolution
",th soldiers joined mob attacking bastille royal fortress large stores arms ammunition governor bernard ren de launay surrendered hours fighting cost lives attackers taken htel de ville executed head placed pike paraded city fortress torn remarkably short time rumoured hold prisoners bastille held seven forgers noblemen held immoral behaviour murder suspect potent symbol ancien rgime destruction viewed triumph bastille day celebrated year french culture fall start revolution,8.78,"th,soldiers,joined,mob,attacking,bastille,royal,fortress,large,stores,arms,ammunition,governor,bernard,ren,de,launay,surrendered,hours,fighting,cost,lives,attackers,taken,htel,de,ville,executed,head,placed,pike,paraded,city,fortress,torn,remarkably,short,time,rumoured,hold,prisoners,bastille,held,seven,forgers,noblemen,held,immoral,behaviour,murder,suspect,potent,symbol,ancien,rgime,destruction,viewed,triumph,bastille,day,celebrated,year,french,culture,fall,start,revolution",0.00,french
