Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"gandhinagar  is the capital of the state of gujarat in india gandhinagar is located approximately  km north of ahmedabad on the west central point of the industrial corridor between delhi the political capital of india and mumbai the financial capital of india
",gandhinagar capital state gujarat india gandhinagar located approximately km north ahmedabad west central point industrial corridor delhi political capital india mumbai financial capital india,6.90,"gandhinagar,capital,state,gujarat,india,gandhinagar,located,approximately,km,north,ahmedabad,west,central,point,industrial,corridor,delhi,political,capital,india,mumbai,financial,capital,india",0.00,gandhinagar
"gandhinagar lies on the west bank of the sabarmati river about  km  north of mumbai and  km  southwest of delhi 
the akshardham temple is located in gandhinagar there was a determination to make gandhinagar a purely indian enterprise partly because the state of gujarat was the birthplace of mahatma gandhi for this reason the planning was done by two indian town planners prakash m apte and h k mewada who had apprenticed with le corbusier in chandigarh
",gandhinagar lies west bank sabarmati river km north mumbai km southwest delhi akshardham temple located gandhinagar determination gandhinagar purely indian enterprise partly state gujarat birthplace mahatma gandhi reason planning indian town planners prakash apte h k mewada apprenticed le corbusier chandigarh,7.91,"gandhinagar,lies,west,bank,sabarmati,river,km,north,mumbai,km,southwest,delhi,akshardham,temple,located,gandhinagar,determination,gandhinagar,purely,indian,enterprise,partly,state,gujarat,birthplace,mahatma,gandhi,reason,planning,indian,town,planners,prakash,apte,h,k,mewada,apprenticed,le,corbusier,chandigarh",0.00,gandhinagar
"according to the update census of india gandhinagar had a population of  males constitute  of the population and females  gandhinagar has an average literacy rate of  male literacy is  and female literacy is  in gandhinagar  of the population is under  years of age over  of the population of gandhinagar are hindus
",according update census india gandhinagar population males constitute population females gandhinagar average literacy rate male literacy female literacy gandhinagar population years age population gandhinagar hindus,8.23,"according,update,census,india,gandhinagar,population,males,constitute,population,females,gandhinagar,average,literacy,rate,male,literacy,female,literacy,gandhinagar,population,years,age,population,gandhinagar,hindus",0.00,gandhinagar
"gandhinagar has an average elevation of  metres  the city sits on the banks of the sabarmati river in north central east gujarat the  km area around gandhinagar is defined by gujarat capital territory gandhinagar spans an area of  km  the river frequently dries up in the summer leaving only a small stream of water gandhinagar is indias tree capital with  green cover on its land area
",gandhinagar average elevation metres city sits banks sabarmati river north central east gujarat km area gandhinagar defined gujarat capital territory gandhinagar spans area km river frequently dries summer leaving small stream water gandhinagar indias tree capital green cover land area,6.74,"gandhinagar,average,elevation,metres,city,sits,banks,sabarmati,river,north,central,east,gujarat,km,area,gandhinagar,defined,gujarat,capital,territory,gandhinagar,spans,area,km,river,frequently,dries,summer,leaving,small,stream,water,gandhinagar,indias,tree,capital,green,cover,land,area",0.00,gandhinagar
"gandhinagar has a tropical wet and dry climate with three main seasons summer monsoon and winter the climate is generally dry and hot outside of the monsoon season the weather is hot to severely hot from march to june when the maximum temperature stays in the range of  to  c  and the minimum in the range of  to  c  it is pleasant in the winter days and quite chilling in the night during december to february the average maximum temperature is around  c  the average minimum is  c  and the climate is extremely dry the southwest monsoon brings a humid climate from mid june to mid september the average annual rainfall is around  mm 
",gandhinagar tropical wet dry climate main seasons summer monsoon winter climate generally dry hot outside monsoon season weather hot severely hot march june maximum temperature stays range c minimum range c pleasant winter days chilling night december february average maximum temperature c average minimum c climate extremely dry southwest monsoon brings humid climate mid june mid september average annual rainfall mm,8.33,"gandhinagar,tropical,wet,dry,climate,main,seasons,summer,monsoon,winter,climate,generally,dry,hot,outside,monsoon,season,weather,hot,severely,hot,march,june,maximum,temperature,stays,range,c,minimum,range,c,pleasant,winter,days,chilling,night,december,february,average,maximum,temperature,c,average,minimum,c,climate,extremely,dry,southwest,monsoon,brings,humid,climate,mid,june,mid,september,average,annual,rainfall,mm",0.00,gandhinagar
"on  may  gujarat was created out of the  northern districts of the former state of bombay these districts were further subdivided later on there are  administrative districts in the state gandhinagar is a political hub for the state of gujarat
",gujarat created northern districts state bombay districts subdivided later administrative districts state gandhinagar political hub state gujarat,9.43,"gujarat,created,northern,districts,state,bombay,districts,subdivided,later,administrative,districts,state,gandhinagar,political,hub,state,gujarat",0.00,gandhinagar
"congress won the first municipal election in  mahendrasinh rana became the first mayor of the city the current member of the lok sabha for gandhinagar is amit shah from the bharatiya janata party 
",congress municipal election mahendrasinh rana mayor city current member lok sabha gandhinagar amit shah bharatiya janata party,8.12,"congress,municipal,election,mahendrasinh,rana,mayor,city,current,member,lok,sabha,gandhinagar,amit,shah,bharatiya,janata,party",0.00,gandhinagar
"gandhinagar is also situated near the west command post of the indian army and indian air force and also has a command centre in the city
",gandhinagar situated near west command post indian army indian air force command centre city,8.70,"gandhinagar,situated,near,west,command,post,indian,army,indian,air,force,command,centre,city",0.00,gandhinagar
"gandhinagar has recently developed the gujarat state emergency disaster management centre
",gandhinagar recently developed gujarat state emergency disaster management centre,2.22,"gandhinagar,recently,developed,gujarat,state,emergency,disaster,management,centre",0.00,gandhinagar
"sardar vallabhbhai patel international airport located in ahmedabad is  km away from gandhinagar providing both domestic and international flights
",sardar vallabhbhai patel international airport located ahmedabad km away gandhinagar providing domestic international flights,3.40,"sardar,vallabhbhai,patel,international,airport,located,ahmedabad,km,away,gandhinagar,providing,domestic,international,flights",0.00,gandhinagar
