Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"german  is a west germanic language mainly spoken in central europe it is the most widely spoken and official or co official language in germany austria switzerland liechtenstein and the italian province of south tyrol it is also a co official language of luxembourg and belgium as well as a recognized national language in namibia 
outside germany it is also spoken by german communities in france  czech republic  poland  slovakia  and hungary 
",german west germanic language mainly spoken central europe widely spoken official co official language germany austria switzerland liechtenstein italian province south tyrol co official language luxembourg belgium recognized national language namibia outside germany spoken german communities france czech republic poland slovakia hungary,6.71,"german,west,germanic,language,mainly,spoken,central,europe,widely,spoken,official,co,official,language,germany,austria,switzerland,liechtenstein,italian,province,south,tyrol,co,official,language,luxembourg,belgium,recognized,national,language,namibia,outside,germany,spoken,german,communities,france,czech,republic,poland,slovakia,hungary",0.00,german
"german is most similar to other languages within the west germanic language branch including afrikaans dutch english the frisian languages low german luxembourgish scots and yiddish it also contains close similarities in vocabulary to some languages in the north germanic group such as danish norwegian and swedish german is the second most widely spoken germanic language after english which is also a west germanic language
",german similar languages west germanic language branch including afrikaans dutch english frisian languages low german luxembourgish scots yiddish contains close similarities vocabulary languages north germanic group danish norwegian swedish german second widely spoken germanic language english west germanic language,6.10,"german,similar,languages,west,germanic,language,branch,including,afrikaans,dutch,english,frisian,languages,low,german,luxembourgish,scots,yiddish,contains,close,similarities,vocabulary,languages,north,germanic,group,danish,norwegian,swedish,german,second,widely,spoken,germanic,language,english,west,germanic,language",0.00,german
"german is one of the major languages of the world it is the most spoken native language within the european union german is also widely taught as a foreign language especially in continental europe where it is the third most taught foreign language  and the united states the language has been influential in the fields of philosophy theology science and technology it is the second most commonly used scientific language and among the most widely used languages on websites the german speaking countries are ranked fifth in terms of annual publication of new books with one tenth of all books  in the world being published in german
",german major languages world spoken native language european union german widely taught foreign language especially continental europe taught foreign language united states language influential fields philosophy theology science technology second commonly scientific language widely languages websites german speaking countries ranked fifth terms annual publication new books tenth books world published german,8.83,"german,major,languages,world,spoken,native,language,european,union,german,widely,taught,foreign,language,especially,continental,europe,taught,foreign,language,united,states,language,influential,fields,philosophy,theology,science,technology,second,commonly,scientific,language,widely,languages,websites,german,speaking,countries,ranked,fifth,terms,annual,publication,new,books,tenth,books,world,published,german",0.00,german
"german is an inflected language with four cases for nouns pronouns and adjectives  three genders  and two numbers  it has strong and weak verbs the majority of its vocabulary derives from the ancient germanic branch of the indo european language family while a smaller share is partly derived from latin and greek along with fewer words borrowed from french and modern english
",german inflected language cases nouns pronouns adjectives genders numbers strong weak verbs majority vocabulary derives ancient germanic branch indo european language family smaller share partly derived latin greek fewer words borrowed french modern english,7.43,"german,inflected,language,cases,nouns,pronouns,adjectives,genders,numbers,strong,weak,verbs,majority,vocabulary,derives,ancient,germanic,branch,indo,european,language,family,smaller,share,partly,derived,latin,greek,fewer,words,borrowed,french,modern,english",0.00,german
"german is a pluricentric language the three standardized variants are german austrian and swiss standard high german it is also notable for its broad spectrum of dialects with many varieties existing in europe and other parts of the world some of these non standard varieties have become recognized and protected by regional or national governments
",german pluricentric language standardized variants german austrian swiss standard high german notable broad spectrum dialects varieties existing europe parts world non standard varieties recognized protected regional national governments,7.74,"german,pluricentric,language,standardized,variants,german,austrian,swiss,standard,high,german,notable,broad,spectrum,dialects,varieties,existing,europe,parts,world,non,standard,varieties,recognized,protected,regional,national,governments",0.00,german
"since  meetings of german speaking countries have been held annually with six participants germany austria belgium liechtenstein luxembourg and switzerland
",meetings german speaking countries held annually participants germany austria belgium liechtenstein luxembourg switzerland,4.49,"meetings,german,speaking,countries,held,annually,participants,germany,austria,belgium,liechtenstein,luxembourg,switzerland",0.00,german
"german is an indo european language and belongs to the west germanic group of the germanic languages the germanic languages are traditionally subdivided into three branches north germanic east germanic and west germanic the first of these branches survives in modern danish swedish norwegian faroese and icelandic all of which are descended from old norse the east germanic languages are now extinct and gothic is the only language in this branch which survives in written texts the west germanic languages however have undergone extensive dialectal subdivision and are now represented in modern languages such as english german dutch yiddish afrikaans and others
",german indo european language belongs west germanic group germanic languages germanic languages traditionally subdivided branches north germanic east germanic west germanic branches survives modern danish swedish norwegian faroese icelandic descended old norse east germanic languages extinct gothic language branch survives written texts west germanic languages undergone extensive dialectal subdivision represented modern languages english german dutch yiddish afrikaans,6.78,"german,indo,european,language,belongs,west,germanic,group,germanic,languages,germanic,languages,traditionally,subdivided,branches,north,germanic,east,germanic,west,germanic,branches,survives,modern,danish,swedish,norwegian,faroese,icelandic,descended,old,norse,east,germanic,languages,extinct,gothic,language,branch,survives,written,texts,west,germanic,languages,undergone,extensive,dialectal,subdivision,represented,modern,languages,english,german,dutch,yiddish,afrikaans",0.00,german
"within the west germanic language dialect continuum the benrath and uerdingen lines  serve to distinguish the germanic dialects that were affected by the high german consonant shift  from those that were not  the various regional dialects spoken south of these lines are grouped as high german dialects while those spoken to the north comprise the low germanlow saxon and low franconian dialects as members of the west germanic language family high german low german and low franconian have been proposed to be further distinguished historically as irminonic ingvaeonic and istvaeonic respectively this classification indicates their historical descent from dialects spoken by the irminones  ingvaeones  and istvaeones 
",west germanic language dialect continuum benrath uerdingen lines serve distinguish germanic dialects affected high german consonant shift regional dialects spoken south lines grouped high german dialects spoken north comprise low germanlow saxon low franconian dialects members west germanic language family high german low german low franconian proposed distinguished historically irminonic ingvaeonic istvaeonic respectively classification indicates historical descent dialects spoken irminones ingvaeones istvaeones,6.11,"west,germanic,language,dialect,continuum,benrath,uerdingen,lines,serve,distinguish,germanic,dialects,affected,high,german,consonant,shift,regional,dialects,spoken,south,lines,grouped,high,german,dialects,spoken,north,comprise,low,germanlow,saxon,low,franconian,dialects,members,west,germanic,language,family,high,german,low,german,low,franconian,proposed,distinguished,historically,irminonic,ingvaeonic,istvaeonic,respectively,classification,indicates,historical,descent,dialects,spoken,irminones,ingvaeones,istvaeones",0.00,german
"standard german is based on a combination of thuringian upper saxon and upper franconian dialects which are central german and upper german dialects belonging to the high german dialect group german is therefore closely related to the other languages based on high german dialects such as luxembourgish  and yiddish also closely related to standard german are the upper german dialects spoken in the southern german speaking countries such as swiss german  and the various germanic dialects spoken in the french region of grand est such as alsatian  and lorraine franconian 
",standard german based combination thuringian upper saxon upper franconian dialects central german upper german dialects belonging high german dialect group german closely related languages based high german dialects luxembourgish yiddish closely related standard german upper german dialects spoken southern german speaking countries swiss german germanic dialects spoken french region grand est alsatian lorraine franconian,6.26,"standard,german,based,combination,thuringian,upper,saxon,upper,franconian,dialects,central,german,upper,german,dialects,belonging,high,german,dialect,group,german,closely,related,languages,based,high,german,dialects,luxembourgish,yiddish,closely,related,standard,german,upper,german,dialects,spoken,southern,german,speaking,countries,swiss,german,germanic,dialects,spoken,french,region,grand,est,alsatian,lorraine,franconian",0.00,german
"after these high german dialects standard german is less closely related to languages based on low franconian dialects  low german or low saxon dialects  neither of which underwent the high german consonant shift as has been noted the former of these dialect types is istvaeonic and the latter ingvaeonic whereas the high german dialects are all irminonic the differences between these languages and standard german are therefore considerable also related to german are the frisian languagesnorth frisian  saterland frisian  and west frisian as well as the anglic languages of english and scots these anglo frisian dialects did not take part in the high german consonant shift
",high german dialects standard german closely related languages based low franconian dialects low german low saxon dialects underwent high german consonant shift noted dialect types istvaeonic ingvaeonic high german dialects irminonic differences languages standard german considerable related german frisian languagesnorth frisian saterland frisian west frisian anglic languages english scots anglo frisian dialects high german consonant shift,7.39,"high,german,dialects,standard,german,closely,related,languages,based,low,franconian,dialects,low,german,low,saxon,dialects,underwent,high,german,consonant,shift,noted,dialect,types,istvaeonic,ingvaeonic,high,german,dialects,irminonic,differences,languages,standard,german,considerable,related,german,frisian,languagesnorth,frisian,saterland,frisian,west,frisian,anglic,languages,english,scots,anglo,frisian,dialects,high,german,consonant,shift",0.00,german
