Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"germanye officially the federal republic of germanyf is a country in central europe it is the second most populous country in europe after russia and the most populous member state of the european union germany is situated between the baltic and north seas to the north and the alps to the south it covers an area of  square kilometres  with a population of around  million within its  constituent states germany borders denmark to the north poland and the czech republic to the east austria and switzerland to the south and france luxembourg belgium and the netherlands to the west the nations capital and most populous city is berlin and its main financial centre is frankfurt the largest urban area is the ruhr
",germanye officially federal republic germanyf country central europe second populous country europe russia populous member state european union germany situated baltic north seas north alps south covers area square kilometres population million constituent states germany borders denmark north poland czech republic east austria switzerland south france luxembourg belgium netherlands west nations capital populous city berlin main financial centre frankfurt largest urban area ruhr,8.26,"germanye,officially,federal,republic,germanyf,country,central,europe,second,populous,country,europe,russia,populous,member,state,european,union,germany,situated,baltic,north,seas,north,alps,south,covers,area,square,kilometres,population,million,constituent,states,germany,borders,denmark,north,poland,czech,republic,east,austria,switzerland,south,france,luxembourg,belgium,netherlands,west,nations,capital,populous,city,berlin,main,financial,centre,frankfurt,largest,urban,area,ruhr",0.00,germany
"various germanic tribes have inhabited the northern parts of modern germany since classical antiquity a region named germania was documented before ad  in  the kingdom of germany formed the bulk of the holy roman empire during the th century northern german regions became the centre of the protestant reformation following the napoleonic wars and the dissolution of the holy roman empire in  the german confederation was formed in 
",germanic tribes inhabited northern parts modern germany classical antiquity region named germania documented ad kingdom germany formed bulk holy roman empire th century northern german regions centre protestant reformation following napoleonic wars dissolution holy roman empire german confederation formed,6.70,"germanic,tribes,inhabited,northern,parts,modern,germany,classical,antiquity,region,named,germania,documented,ad,kingdom,germany,formed,bulk,holy,roman,empire,th,century,northern,german,regions,centre,protestant,reformation,following,napoleonic,wars,dissolution,holy,roman,empire,german,confederation,formed",0.00,germany
"formal unification of germany into the modern nation state was commenced on  august  with the north german confederation treaty establishing the prussia led north german confederation later transformed in  into the german empire after world war i and the german revolution of  the empire was in turn transformed into the semi presidential weimar republic the nazi seizure of power in  led to the establishment of a totalitarian dictatorship world war ii and the holocaust after the end of world war ii in europe and a period of allied occupation in  germany as a whole was organized into two separate polities with limited sovereignity the federal republic of germany generally known as west germany and the german democratic republic east germany while berlin de jure continued its four power status the federal republic of germany was a founding member of the european economic community and the european union while the german democratic republic was a communist eastern bloc state and member of the warsaw pact after the fall of communist led government in east germany german reunification saw the former east german states join the federal republic of germany on  october becoming a federal parliamentary republic
",formal unification germany modern nation state commenced august north german confederation treaty establishing prussia led north german confederation later transformed german empire world war german revolution empire turn transformed semi presidential weimar republic nazi seizure power led establishment totalitarian dictatorship world war ii holocaust end world war ii europe period allied occupation germany organized separate polities limited sovereignity federal republic germany generally known west germany german democratic republic east germany berlin de jure continued power status federal republic germany founding member european economic community european union german democratic republic communist eastern bloc state member warsaw pact fall communist led government east germany german reunification saw east german states join federal republic germany october federal parliamentary republic,6.48,"formal,unification,germany,modern,nation,state,commenced,august,north,german,confederation,treaty,establishing,prussia,led,north,german,confederation,later,transformed,german,empire,world,war,german,revolution,empire,turn,transformed,semi,presidential,weimar,republic,nazi,seizure,power,led,establishment,totalitarian,dictatorship,world,war,ii,holocaust,end,world,war,ii,europe,period,allied,occupation,germany,organized,separate,polities,limited,sovereignity,federal,republic,germany,generally,known,west,germany,german,democratic,republic,east,germany,berlin,de,jure,continued,power,status,federal,republic,germany,founding,member,european,economic,community,european,union,german,democratic,republic,communist,eastern,bloc,state,member,warsaw,pact,fall,communist,led,government,east,germany,german,reunification,saw,east,german,states,join,federal,republic,germany,october,federal,parliamentary,republic",0.00,germany
"germany is a great power with a strong economy it has the largest economy in europe the worlds fourth largest economy by nominal gdp and the fifth largest by ppp as a global power in industrial scientific and technological sectors it is both the worlds third largest exporter and importer as a highly developed country which ranks ninth on the human development index it offers social security and a universal health care system environmental protections a tuition free university education and it is ranked as sixteenth most peaceful country in the world germany is a member of the united nations the european union nato the council of europe the g the g and the oecd it has the third greatest number of unesco world heritage sites
",germany great power strong economy largest economy europe worlds fourth largest economy nominal gdp fifth largest ppp global power industrial scientific technological sectors worlds largest exporter importer highly developed country ranks ninth human development index offers social security universal health care system environmental protections tuition free university education ranked sixteenth peaceful country world germany member united nations european union nato council europe g g oecd greatest number unesco world heritage sites,7.50,"germany,great,power,strong,economy,largest,economy,europe,worlds,fourth,largest,economy,nominal,gdp,fifth,largest,ppp,global,power,industrial,scientific,technological,sectors,worlds,largest,exporter,importer,highly,developed,country,ranks,ninth,human,development,index,offers,social,security,universal,health,care,system,environmental,protections,tuition,free,university,education,ranked,sixteenth,peaceful,country,world,germany,member,united,nations,european,union,nato,council,europe,g,g,oecd,greatest,number,unesco,world,heritage,sites",0.00,germany
"the english word germany derives from the latin germania which came into use after julius caesar adopted it for the peoples east of the rhine the german term deutschland originally diutisciu land  is derived from deutsch  descended from old high german diutisc of the people  originally used to distinguish the language of the common people from latin and its romance descendants this in turn descends from proto germanic iudiskaz of the people  derived from eud descended from proto indo european tewth  people from which the word teutons also originates
",english word germany derives latin germania came use julius caesar adopted peoples east rhine german term deutschland originally diutisciu land derived deutsch descended old high german diutisc people originally distinguish language common people latin romance descendants turn descends proto germanic iudiskaz people derived eud descended proto indo european tewth people word teutons originates,6.47,"english,word,germany,derives,latin,germania,came,use,julius,caesar,adopted,peoples,east,rhine,german,term,deutschland,originally,diutisciu,land,derived,deutsch,descended,old,high,german,diutisc,people,originally,distinguish,language,common,people,latin,romance,descendants,turn,descends,proto,germanic,iudiskaz,people,derived,eud,descended,proto,indo,european,tewth,people,word,teutons,originates",0.00,germany
"pre human ancestors the danuvius guggenmosi who were present in germany over  million years ago are theorized to be among the earliest ones to walk on two legs ancient humans were present in germany at least  years ago the first non modern human fossil  was discovered in the neander valley similarly dated evidence of modern humans has been found in the swabian jura including  year old flutes which are the oldest musical instruments ever found the  year old lion man and the  year old venus of hohle fels the nebra sky disk created during the european bronze age has been attributed to a german site
",pre human ancestors danuvius guggenmosi present germany million years ago theorized earliest ones walk legs ancient humans present germany years ago non modern human fossil discovered neander valley similarly dated evidence modern humans found swabian jura including year old flutes oldest musical instruments found year old lion man year old venus hohle fels nebra sky disk created european bronze age attributed german site,6.97,"pre,human,ancestors,danuvius,guggenmosi,present,germany,million,years,ago,theorized,earliest,ones,walk,legs,ancient,humans,present,germany,years,ago,non,modern,human,fossil,discovered,neander,valley,similarly,dated,evidence,modern,humans,found,swabian,jura,including,year,old,flutes,oldest,musical,instruments,found,year,old,lion,man,year,old,venus,hohle,fels,nebra,sky,disk,created,european,bronze,age,attributed,german,site",0.00,germany
"the germanic peoples are thought to date from the nordic bronze age early iron age or the jastorf culture from southern scandinavia and northern germany they expanded south east and west coming into contact with the celtic iranian baltic and slavic tribes
",germanic peoples thought date nordic bronze age early iron age jastorf culture southern scandinavia northern germany expanded south east west coming contact celtic iranian baltic slavic tribes,5.86,"germanic,peoples,thought,date,nordic,bronze,age,early,iron,age,jastorf,culture,southern,scandinavia,northern,germany,expanded,south,east,west,coming,contact,celtic,iranian,baltic,slavic,tribes",0.00,germany
"under augustus the roman empire began to invade lands inhabited by the germanic tribes creating a short lived roman province of germania between the rhine and elbe rivers in  ad three roman legions were defeated by arminius by  ad when tacitus wrote germania germanic tribes had settled along the rhine and the danube  occupying most of modern germany however baden wrttemberg southern bavaria southern hesse and the western rhineland had been incorporated into roman provinces around  germanic peoples broke into roman controlled lands after the invasion of the huns in  and with the decline of rome from  germanic tribes moved farther southwest the franks established the frankish kingdom and pushed east to subjugate saxony and bavaria and areas of what is today eastern germany were inhabited by western slavic tribes
",augustus roman empire began invade lands inhabited germanic tribes creating short lived roman province germania rhine elbe rivers ad roman legions defeated arminius ad tacitus wrote germania germanic tribes settled rhine danube occupying modern germany baden wrttemberg southern bavaria southern hesse western rhineland incorporated roman provinces germanic peoples broke roman controlled lands invasion huns decline rome germanic tribes moved farther southwest franks established frankish kingdom pushed east subjugate saxony bavaria areas today eastern germany inhabited western slavic tribes,6.33,"augustus,roman,empire,began,invade,lands,inhabited,germanic,tribes,creating,short,lived,roman,province,germania,rhine,elbe,rivers,ad,roman,legions,defeated,arminius,ad,tacitus,wrote,germania,germanic,tribes,settled,rhine,danube,occupying,modern,germany,baden,wrttemberg,southern,bavaria,southern,hesse,western,rhineland,incorporated,roman,provinces,germanic,peoples,broke,roman,controlled,lands,invasion,huns,decline,rome,germanic,tribes,moved,farther,southwest,franks,established,frankish,kingdom,pushed,east,subjugate,saxony,bavaria,areas,today,eastern,germany,inhabited,western,slavic,tribes",0.00,germany
"in the grnderzeit period following the unification of germany bismarcks foreign policy as chancellor of germany secured germanys position as a great nation by forging alliances and avoiding war however under wilhelm ii germany took an imperialistic course leading to friction with neighbouring countries a dual alliance was created with the multinational realm of austria hungary the triple alliance of  included italy britain france and russia also concluded alliances to protect against habsburg interference with russian interests in the balkans or german interference against france at the berlin conference in  germany claimed several colonies including german east africa german south west africa togoland and kamerun later germany further expanded its colonial empire to include holdings in the pacific and china the colonial government in south west africa  from  to  carried out the annihilation of the local herero and namaqua peoples as punishment for an uprising this was the th centurys first genocide
",grnderzeit period following unification germany bismarcks foreign policy chancellor germany secured germanys position great nation forging alliances avoiding war wilhelm ii germany took imperialistic course leading friction neighbouring countries dual alliance created multinational realm austria hungary triple alliance included italy britain france russia concluded alliances protect habsburg interference russian interests balkans german interference france berlin conference germany claimed colonies including german east africa german south west africa togoland kamerun later germany expanded colonial empire include holdings pacific china colonial government south west africa carried annihilation local herero namaqua peoples punishment uprising th centurys genocide,5.71,"grnderzeit,period,following,unification,germany,bismarcks,foreign,policy,chancellor,germany,secured,germanys,position,great,nation,forging,alliances,avoiding,war,wilhelm,ii,germany,took,imperialistic,course,leading,friction,neighbouring,countries,dual,alliance,created,multinational,realm,austria,hungary,triple,alliance,included,italy,britain,france,russia,concluded,alliances,protect,habsburg,interference,russian,interests,balkans,german,interference,france,berlin,conference,germany,claimed,colonies,including,german,east,africa,german,south,west,africa,togoland,kamerun,later,germany,expanded,colonial,empire,include,holdings,pacific,china,colonial,government,south,west,africa,carried,annihilation,local,herero,namaqua,peoples,punishment,uprising,th,centurys,genocide",0.00,germany
"the assassination of austrias crown prince on  june  provided the pretext for austria hungary to attack serbia and trigger world war i after four years of warfare in which approximately two million german soldiers were killed a general armistice ended the fighting in the german revolution  emperor wilhelm ii and the ruling princes abdicated their positions and germany was declared a federal republic germanys new leadership signed the treaty of versailles in  accepting defeat by the allies germans perceived the treaty as humiliating which was seen by historians as influential in the rise of adolf hitler germany lost around  of its european territory and ceded all of its colonial possessions in africa and the pacific
",assassination austrias crown prince june provided pretext austria hungary attack serbia trigger world war years warfare approximately million german soldiers killed general armistice ended fighting german revolution emperor wilhelm ii ruling princes abdicated positions germany declared federal republic germanys new leadership signed treaty versailles accepting defeat allies germans perceived treaty humiliating seen historians influential rise adolf hitler germany lost european territory ceded colonial possessions africa pacific,6.76,"assassination,austrias,crown,prince,june,provided,pretext,austria,hungary,attack,serbia,trigger,world,war,years,warfare,approximately,million,german,soldiers,killed,general,armistice,ended,fighting,german,revolution,emperor,wilhelm,ii,ruling,princes,abdicated,positions,germany,declared,federal,republic,germanys,new,leadership,signed,treaty,versailles,accepting,defeat,allies,germans,perceived,treaty,humiliating,seen,historians,influential,rise,adolf,hitler,germany,lost,european,territory,ceded,colonial,possessions,africa,pacific",0.00,germany
