Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"greater london is an administrative area in england governed by the greater london authority it is organised into  local government districts the  london boroughs and the city of london greater london is one of the regions of england also known as the london region the greater london authority based in newham as of the start of  is responsible for strategic local government across the area and consists of the mayor of london and the london assembly
",greater london administrative area england governed greater london authority organised local government districts london boroughs city london greater london regions england known london region greater london authority based newham start responsible strategic local government area consists mayor london london assembly,7.95,"greater,london,administrative,area,england,governed,greater,london,authority,organised,local,government,districts,london,boroughs,city,london,greater,london,regions,england,known,london,region,greater,london,authority,based,newham,start,responsible,strategic,local,government,area,consists,mayor,london,london,assembly",0.00,london
"greater london can also refer to a ceremonial county formed by the  london boroughs it excludes the city of london  which forms a separate ceremonial county
",greater london refer ceremonial county formed london boroughs excludes city london forms separate ceremonial county,7.01,"greater,london,refer,ceremonial,county,formed,london,boroughs,excludes,city,london,forms,separate,ceremonial,county",0.00,london
"greater london was first established in  as a sui generis council area and ceremonial county under the greater london council on  april  through the london government act  the glc was abolished in  in  the area was established as a government office region called london the greater london authority was formed in 
",greater london established sui generis council area ceremonial county greater london council april london government act glc abolished area established government office region called london greater london authority formed,6.98,"greater,london,established,sui,generis,council,area,ceremonial,county,greater,london,council,april,london,government,act,glc,abolished,area,established,government,office,region,called,london,greater,london,authority,formed",0.00,london
"the region covers  km  and has a population of over  million other areas such as the london metropolitan area and greater london urban area are used in some national statistics for london including areas outside this administrative region
",region covers km population million areas london metropolitan area greater london urban area national statistics london including areas outside administrative region,7.11,"region,covers,km,population,million,areas,london,metropolitan,area,greater,london,urban,area,national,statistics,london,including,areas,outside,administrative,region",0.00,london
"greater london lacks any formal recognised city status in the uk though the local authorities of the city of westminster and the city of london have official city status
",greater london lacks formal recognised city status uk local authorities city westminster city london official city status,7.06,"greater,london,lacks,formal,recognised,city,status,uk,local,authorities,city,westminster,city,london,official,city,status",0.00,london
"as a ceremonial county greater london has a lord lieutenant and a high sheriff both appointed by the british monarch but greater london is not one of englands historic counties greater london is split between parts of the historic counties of middlesex essex surrey kent and hertfordshire
",ceremonial county greater london lord lieutenant high sheriff appointed british monarch greater london englands historic counties greater london split parts historic counties middlesex essex surrey kent hertfordshire,6.92,"ceremonial,county,greater,london,lord,lieutenant,high,sheriff,appointed,british,monarch,greater,london,englands,historic,counties,greater,london,split,parts,historic,counties,middlesex,essex,surrey,kent,hertfordshire",0.00,london
"before the uk withdrew from the european union in  after brexit greater london was a regional constituency of the european parliament known generally as london
",uk withdrew european union brexit greater london regional constituency european parliament known generally london,6.88,"uk,withdrew,european,union,brexit,greater,london,regional,constituency,european,parliament,known,generally,london",0.00,london
"the term greater london has been and still is used to describe different areas in governance statistics history and common parlance
",term greater london describe different areas governance statistics history common parlance,7.58,"term,greater,london,describe,different,areas,governance,statistics,history,common,parlance",0.00,london
"in terms of ceremonial counties london is divided into the small city of london and the much wider greater london this arrangement has come about because as the area of london grew and absorbed neighbouring settlements a series of administrative reforms did not amalgamate the city of london with the surrounding metropolitan area and its unique political structure was retained outside the limited boundaries of the city a variety of arrangements has governed the wider area since  culminating in the creation of the greater london administrative area in 
",terms ceremonial counties london divided small city london wider greater london arrangement come area london grew absorbed neighbouring settlements series administrative reforms amalgamate city london surrounding metropolitan area unique political structure retained outside limited boundaries city variety arrangements governed wider area culminating creation greater london administrative area,7.36,"terms,ceremonial,counties,london,divided,small,city,london,wider,greater,london,arrangement,come,area,london,grew,absorbed,neighbouring,settlements,series,administrative,reforms,amalgamate,city,london,surrounding,metropolitan,area,unique,political,structure,retained,outside,limited,boundaries,city,variety,arrangements,governed,wider,area,culminating,creation,greater,london,administrative,area",0.00,london
"the term greater london was used well before  particularly to refer to the metropolitan police district  the area of the metropolitan water board  the london passenger transport area and the area defined by the registrar general as the greater london conurbation the greater london arterial road programme was devised between  and  one of the larger early forms was the greater london planning region devised in  which occupied  square miles  and included  million people
",term greater london particularly refer metropolitan police district area metropolitan water board london passenger transport area area defined registrar general greater london conurbation greater london arterial road programme devised larger early forms greater london planning region devised occupied square miles included million people,6.36,"term,greater,london,particularly,refer,metropolitan,police,district,area,metropolitan,water,board,london,passenger,transport,area,area,defined,registrar,general,greater,london,conurbation,greater,london,arterial,road,programme,devised,larger,early,forms,greater,london,planning,region,devised,occupied,square,miles,included,million,people",0.00,london
"although the london county council  and county of london were created in  the area did not cover all of london londons built up area postal district transport network and metropolitan police district extended vastly beyond the boundaries of the new administrative county many of the lcc housing projects including the vast becontree estates were also outside its boundaries the lcc pressed for an alteration in its boundaries soon after the end of the first world war noting that within the metropolitan and city police districts there were  housing authorities a royal commission on london government was set up to consider the issue the lcc proposed a vast new area for greater london with a boundary somewhere between the metropolitan police district and the home counties  protests were made at the possibility of including windsor slough and eton in the authority the commission made its report in  rejecting the lccs scheme two minority reports favoured change beyond the amalgamation of smaller urban districts including both smaller borough councils and a central authority for strategic functions the london traffic act  was a result of the commission reform of local government in the county of london and its environs was next considered by the royal commission on local government in greater london chaired by sir edwin herbert which issued the herbert report after three years of work in  the commission applied three tests to decide if a community should form part of greater london how strong is the area as an independent centre in its own right how strong are its ties to london and how strongly is it drawn outwards towards the country rather than inwards towards london
",london county council county london created area cover london londons built area postal district transport network metropolitan police district extended vastly boundaries new administrative county lcc housing projects including vast becontree estates outside boundaries lcc pressed alteration boundaries soon end world war noting metropolitan city police districts housing authorities royal commission london government set consider issue lcc proposed vast new area greater london boundary metropolitan police district home counties protests possibility including windsor slough eton authority commission report rejecting lccs scheme minority reports favoured change amalgamation smaller urban districts including smaller borough councils central authority strategic functions london traffic act result commission reform local government county london environs considered royal commission local government greater london chaired sir edwin herbert issued herbert report years work commission applied tests decide community form greater london strong area independent centre right strong ties london strongly drawn outwards country inwards london,7.70,"london,county,council,county,london,created,area,cover,london,londons,built,area,postal,district,transport,network,metropolitan,police,district,extended,vastly,boundaries,new,administrative,county,lcc,housing,projects,including,vast,becontree,estates,outside,boundaries,lcc,pressed,alteration,boundaries,soon,end,world,war,noting,metropolitan,city,police,districts,housing,authorities,royal,commission,london,government,set,consider,issue,lcc,proposed,vast,new,area,greater,london,boundary,metropolitan,police,district,home,counties,protests,possibility,including,windsor,slough,eton,authority,commission,report,rejecting,lccs,scheme,minority,reports,favoured,change,amalgamation,smaller,urban,districts,including,smaller,borough,councils,central,authority,strategic,functions,london,traffic,act,result,commission,reform,local,government,county,london,environs,considered,royal,commission,local,government,greater,london,chaired,sir,edwin,herbert,issued,herbert,report,years,work,commission,applied,tests,decide,community,form,greater,london,strong,area,independent,centre,right,strong,ties,london,strongly,drawn,outwards,country,inwards,london",0.00,london
"greater london was created by the london government act  which came into force on  april  replacing the administrative counties of middlesex and london including the city of london where the london county council had limited powers and absorbing parts of essex hertfordshire kent and surrey greater london originally had a two tier system of local government with the greater london council  sharing power with the city of london corporation  and the  london borough councils the glc was abolished in  by the local government act  its functions were devolved to the city corporation and the london boroughs with some functions transferred to central government and joint boards greater london formed the london region in 
",greater london created london government act came force april replacing administrative counties middlesex london including city london london county council limited powers absorbing parts essex hertfordshire kent surrey greater london originally tier system local government greater london council sharing power city london corporation london borough councils glc abolished local government act functions devolved city corporation london boroughs functions transferred central government joint boards greater london formed london region,6.23,"greater,london,created,london,government,act,came,force,april,replacing,administrative,counties,middlesex,london,including,city,london,london,county,council,limited,powers,absorbing,parts,essex,hertfordshire,kent,surrey,greater,london,originally,tier,system,local,government,greater,london,council,sharing,power,city,london,corporation,london,borough,councils,glc,abolished,local,government,act,functions,devolved,city,corporation,london,boroughs,functions,transferred,central,government,joint,boards,greater,london,formed,london,region",0.00,london
"the  london referendum established a public will to recreate an upper tier of government to cover the region the greater london authority london assembly and the directly elected mayor of london were created in  by the greater london authority act  in  the outer boundary of the metropolitan police district was re aligned to the greater london boundary the  and  mayoral elections were won by ken livingstone  who had been the final leader of the glc the  and  elections were won by boris johnson  the  and  elections were won by sadiq khan  london was covered by a single parliamentary constituency in the european parliament prior to the departure of the united kingdom from the european union
",london referendum established public recreate upper tier government cover region greater london authority london assembly directly elected mayor london created greater london authority act outer boundary metropolitan police district aligned greater london boundary mayoral elections ken livingstone final leader glc elections boris johnson elections sadiq khan london covered single parliamentary constituency european parliament prior departure united kingdom european union,8.03,"london,referendum,established,public,recreate,upper,tier,government,cover,region,greater,london,authority,london,assembly,directly,elected,mayor,london,created,greater,london,authority,act,outer,boundary,metropolitan,police,district,aligned,greater,london,boundary,mayoral,elections,ken,livingstone,final,leader,glc,elections,boris,johnson,elections,sadiq,khan,london,covered,single,parliamentary,constituency,european,parliament,prior,departure,united,kingdom,european,union",0.00,london
"greater london includes the most closely associated parts of the greater london urban area and their historic buffers and includes in five boroughs significant parts of the metropolitan green belt which protects designated greenfield land in a similar way to the citys parks the closest and furthest boundariesclarification needed are with essex to the northeast between sewardstonebury next to epping forest and chingford and with the mar dyke between bulphan and north ockendon greater london is also bounded by hertfordshire to the north berkshire and buckinghamshire to the west kent to the southeast and surrey to the south and southwest the highest point is westerham heights in the north downs and on the boundary with kent at  m 
central government has implemented small boundary changes the greatest were the  transfers of farleigh to surrey and knockholt to kent others have included exchange of two thames islands with surrey and adjustments during the s to parts of the boundaries of three boroughs near the m the only part of greater london outside the motorway is north ockendon the furthest land unit from its centre the majority of greater london forms the london low emission zone
",greater london includes closely associated parts greater london urban area historic buffers includes boroughs significant parts metropolitan green belt protects designated greenfield land similar way citys parks closest furthest boundariesclarification needed essex northeast sewardstonebury epping forest chingford mar dyke bulphan north ockendon greater london bounded hertfordshire north berkshire buckinghamshire west kent southeast surrey south southwest highest point westerham heights north downs boundary kent central government implemented small boundary changes greatest transfers farleigh surrey knockholt kent included exchange thames islands surrey adjustments parts boundaries boroughs near greater london outside motorway north ockendon furthest land unit centre majority greater london forms london low emission zone,7.60,"greater,london,includes,closely,associated,parts,greater,london,urban,area,historic,buffers,includes,boroughs,significant,parts,metropolitan,green,belt,protects,designated,greenfield,land,similar,way,citys,parks,closest,furthest,boundariesclarification,needed,essex,northeast,sewardstonebury,epping,forest,chingford,mar,dyke,bulphan,north,ockendon,greater,london,bounded,hertfordshire,north,berkshire,buckinghamshire,west,kent,southeast,surrey,south,southwest,highest,point,westerham,heights,north,downs,boundary,kent,central,government,implemented,small,boundary,changes,greatest,transfers,farleigh,surrey,knockholt,kent,included,exchange,thames,islands,surrey,adjustments,parts,boundaries,boroughs,near,greater,london,outside,motorway,north,ockendon,furthest,land,unit,centre,majority,greater,london,forms,london,low,emission,zone",0.00,london
"the london postal district does not cover all of greater london
",london postal district cover greater london,7.81,"london,postal,district,cover,greater,london",0.00,london
"greater london is under the strategic local governance of the greater london authority  it consists of an elected assembly the london assembly and an executive head the mayor of london
",greater london strategic local governance greater london authority consists elected assembly london assembly executive head mayor london,7.03,"greater,london,strategic,local,governance,greater,london,authority,consists,elected,assembly,london,assembly,executive,head,mayor,london",0.00,london
"the current mayor  is sadiq khan he is scrutinised by the elected london assembly which may amend his annual budget  but otherwise lacks the power to block his directives the headquarters of the gla previously at city hall in southwark moved to the crystal in newham in january  the mayor is responsible for greater londons strategic planning and is required to produce or amend the london plan each electoral cycle
",current mayor sadiq khan scrutinised elected london assembly amend annual budget lacks power block directives headquarters gla previously city hall southwark moved crystal newham january mayor responsible greater londons strategic planning required produce amend london plan electoral cycle,7.69,"current,mayor,sadiq,khan,scrutinised,elected,london,assembly,amend,annual,budget,lacks,power,block,directives,headquarters,gla,previously,city,hall,southwark,moved,crystal,newham,january,mayor,responsible,greater,londons,strategic,planning,required,produce,amend,london,plan,electoral,cycle",0.00,london
"the mayor of london is a directly elected politician who along with the london assembly is responsible for the strategic government of greater london
",mayor london directly elected politician london assembly responsible strategic government greater london,8.00,"mayor,london,directly,elected,politician,london,assembly,responsible,strategic,government,greater,london",0.00,london
"for elections to the london assembly london is divided into  constituencies each formed from two or three boroughs the city of london forms part of the city and east constituency
",elections london assembly london divided constituencies formed boroughs city london forms city east constituency,8.94,"elections,london,assembly,london,divided,constituencies,formed,boroughs,city,london,forms,city,east,constituency",0.00,london
"london is divided into  parliamentary borough constituencies formed from the combined area of several wards from one or more boroughs typically a borough is covered by two or three constituencies
",london divided parliamentary borough constituencies formed combined area wards boroughs typically borough covered constituencies,8.16,"london,divided,parliamentary,borough,constituencies,formed,combined,area,wards,boroughs,typically,borough,covered,constituencies",0.00,london
"the london region does not have city status granted by the crown the cities of london and westminster within it have received formal city statusnote  despite this greater london is commonly regarded as a city in the general senses of a conurbation and a municipality a lord lieutenant of greater london is appointed for its area excluding the city of london for the purposes of the lieutenancies act  this area is defined as a county
",london region city status granted crown cities london westminster received formal city statusnote despite greater london commonly regarded city general senses conurbation municipality lord lieutenant greater london appointed area excluding city london purposes lieutenancies act area defined county,8.53,"london,region,city,status,granted,crown,cities,london,westminster,received,formal,city,statusnote,despite,greater,london,commonly,regarded,city,general,senses,conurbation,municipality,lord,lieutenant,greater,london,appointed,area,excluding,city,london,purposes,lieutenancies,act,area,defined,county",0.00,london
"the term london usually refers to region or to the conurbation but not often to the ancient tiny city of london that small area is often referred to as the city or the square mile and it forms the main financial district archaically the urbanised area of london was known as the metropolis in common usage the terms london and greater london are usually used interchangeably greater london is officially divided for some purposes with varying definitions into inner london and outer london for some strategic planning purposes it is divided into five sub regions
",term london usually refers region conurbation ancient tiny city london small area referred city square mile forms main financial district archaically urbanised area london known metropolis common usage terms london greater london usually interchangeably greater london officially divided purposes varying definitions inner london outer london strategic planning purposes divided sub regions,7.82,"term,london,usually,refers,region,conurbation,ancient,tiny,city,london,small,area,referred,city,square,mile,forms,main,financial,district,archaically,urbanised,area,london,known,metropolis,common,usage,terms,london,greater,london,usually,interchangeably,greater,london,officially,divided,purposes,varying,definitions,inner,london,outer,london,strategic,planning,purposes,divided,sub,regions",0.00,london
"greater london is divided into  london boroughs each governed by a london borough council the city of london has a unique government dating back to the th century and is separate from the county of greater london although is still part of the region served by the greater london authority
",greater london divided london boroughs governed london borough council city london unique government dating th century separate county greater london region served greater london authority,8.65,"greater,london,divided,london,boroughs,governed,london,borough,council,city,london,unique,government,dating,th,century,separate,county,greater,london,region,served,greater,london,authority",0.00,london
"all london borough councils belong to the london councils association three london boroughs carry the honorific title of royal borough kensington and chelsea kingston and greenwich within the city of london are the liberties of middle temple and inner temple
",london borough councils belong london councils association london boroughs carry honorific title royal borough kensington chelsea kingston greenwich city london liberties middle temple inner temple,5.79,"london,borough,councils,belong,london,councils,association,london,boroughs,carry,honorific,title,royal,borough,kensington,chelsea,kingston,greenwich,city,london,liberties,middle,temple,inner,temple",0.00,london
"londons wider metropolitan area has a population of between  and  million depending on the definition of that area according to eurostat london has been the most populous city and metropolitan area of the european union
",londons wider metropolitan area population million depending definition area according eurostat london populous city metropolitan area european union,7.73,"londons,wider,metropolitan,area,population,million,depending,definition,area,according,eurostat,london,populous,city,metropolitan,area,european,union",0.00,london
"the region covers an area of  square kilometres the population density is  people per square kilometre more than ten times that of any other british region in terms of population london is the th largest city and the th largest metropolitan region in the worldwhen it is ranked th in the world in the number of us dollar billionaires residing in the city it ranks as one of the most expensive cities in the world alongside tokyo and moscow
",region covers area square kilometres population density people square kilometre times british region terms population london th largest city th largest metropolitan region worldwhen ranked th world number dollar billionaires residing city ranks expensive cities world alongside tokyo moscow,9.09,"region,covers,area,square,kilometres,population,density,people,square,kilometre,times,british,region,terms,population,london,th,largest,city,th,largest,metropolitan,region,worldwhen,ranked,th,world,number,dollar,billionaires,residing,city,ranks,expensive,cities,world,alongside,tokyo,moscow",0.00,london
"the table shows the top  countries of birth of residents in  the date of the last uk census these figures do not give a fair indication of the total population of the specific ethnic groups associated with each country for example londoners of greek origin  number  since an organised greek community has been established for nearly two centuries the same can be said for italian and french londoners whose communities have been here for centuries  though a polish community has existed in london since the late middle ages it was not significant in the  census but has grown significantly since  when poland joined the european union and by june  london had  polish residents the german born population figure may be misleading however because it includes british nationals born to parents serving in the british armed forces in germany
",table shows countries birth residents date uk census figures fair indication total population specific ethnic groups associated country example londoners greek origin number organised greek community established nearly centuries said italian french londoners communities centuries polish community existed london late middle ages significant census grown significantly poland joined european union june london polish residents german born population figure misleading includes british nationals born parents serving british armed forces germany,8.23,"table,shows,countries,birth,residents,date,uk,census,figures,fair,indication,total,population,specific,ethnic,groups,associated,country,example,londoners,greek,origin,number,organised,greek,community,established,nearly,centuries,said,italian,french,londoners,communities,centuries,polish,community,existed,london,late,middle,ages,significant,census,grown,significantly,poland,joined,european,union,june,london,polish,residents,german,born,population,figure,misleading,includes,british,nationals,born,parents,serving,british,armed,forces,germany",0.00,london
"london has been a focus for immigration for centuries whether as a place of safety or for economic reasons huguenots eastern european jews cypriots and east african asians are examples of the former irish bangladeshis and west indians came for new lives the east end district around spitalfields has been first home for several ethnic groups which have subsequently moved elsewhere in london as they gained prosperity
",london focus immigration centuries place safety economic reasons huguenots eastern european jews cypriots east african asians examples irish bangladeshis west indians came new lives east end district spitalfields home ethnic groups subsequently moved london gained prosperity,7.42,"london,focus,immigration,centuries,place,safety,economic,reasons,huguenots,eastern,european,jews,cypriots,east,african,asians,examples,irish,bangladeshis,west,indians,came,new,lives,east,end,district,spitalfields,home,ethnic,groups,subsequently,moved,london,gained,prosperity",0.00,london
"the population of the current area of greater london rose from about  million in   to an estimated  million in  but declined to  million in  before starting to rebound in the s
",population current area greater london rose million estimated million declined million starting rebound,10.17,"population,current,area,greater,london,rose,million,estimated,million,declined,million,starting,rebound",0.00,london
"figures here are for greater london in its  boundaries figures before  have been reconstructed by the office for national statistics based on past censuses to fit the  boundaries figures from  onward are mid year estimates  which are more accurate than the censuses known to underestimate the population of london
",figures greater london boundaries figures reconstructed office national statistics based past censuses fit boundaries figures onward mid year estimates accurate censuses known underestimate population london,7.64,"figures,greater,london,boundaries,figures,reconstructed,office,national,statistics,based,past,censuses,fit,boundaries,figures,onward,mid,year,estimates,accurate,censuses,known,underestimate,population,london",0.00,london
"this is a chart of trend of regional gross value added  of inner london at current basic prices published  by office for national statistics with figures in millions of british pounds sterling
",chart trend regional gross value added inner london current basic prices published office national statistics figures millions british pounds sterling,6.22,"chart,trend,regional,gross,value,added,inner,london,current,basic,prices,published,office,national,statistics,figures,millions,british,pounds,sterling",0.00,london
"eurostat data shows the gdp of inner london to be  billion euros in  and per capita gdp of  euros
",eurostat data shows gdp inner london billion euros capita gdp euros,8.16,"eurostat,data,shows,gdp,inner,london,billion,euros,capita,gdp,euros",0.00,london
