Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"greecea officially the hellenic republicb is an archipelagic country in southeast europe it is situated on the southern tip of the balkan peninsula and is located at the crossroads of europe asia and africa greece shares land borders with albania to the northwest north macedonia and bulgaria to the north and turkey to the northeast the aegean sea lies to the east of the mainland the ionian sea to the west and the sea of crete and the mediterranean sea to the south greece has the longest coastline on the mediterranean basin featuring thousands of islands the country consists of nine traditional geographic regions and has a population of approximately  million athens is the nations capital and largest city followed by thessaloniki and patras
",greecea officially hellenic republicb archipelagic country southeast europe situated southern tip balkan peninsula located crossroads europe asia africa greece shares land borders albania northwest north macedonia bulgaria north turkey northeast aegean sea lies east mainland ionian sea west sea crete mediterranean sea south greece longest coastline mediterranean basin featuring thousands islands country consists traditional geographic regions population approximately million athens nations capital largest city followed thessaloniki patras,7.60,"greecea,officially,hellenic,republicb,archipelagic,country,southeast,europe,situated,southern,tip,balkan,peninsula,located,crossroads,europe,asia,africa,greece,shares,land,borders,albania,northwest,north,macedonia,bulgaria,north,turkey,northeast,aegean,sea,lies,east,mainland,ionian,sea,west,sea,crete,mediterranean,sea,south,greece,longest,coastline,mediterranean,basin,featuring,thousands,islands,country,consists,traditional,geographic,regions,population,approximately,million,athens,nations,capital,largest,city,followed,thessaloniki,patras",0.00,greece
"greece is considered the cradle of western civilization being the birthplace of democracy western philosophy western literature historiography political science major scientific and mathematical principles theatre and the olympic games from the eighth century because the greeks were organised into various independent city states known as poleis  which spanned the mediterranean and the black sea philip ii of macedon united most of present day greece in the fourth century because with his son alexander the great rapidly conquering much of the ancient world from the eastern mediterranean to the north western parts of india the subsequent hellenistic period saw the height of greek culture and influence in antiquity greece was annexed by rome in the second century because becoming an integral part of the roman empire and its continuation the byzantine empire which was culturally and linguistically predominantly greek the greek orthodox church which emerged in the first century ad helped shape modern greek identity and transmitted greek traditions to the wider orthodox world after falling under ottoman rule in the mid th century greece emerged as a modern nation state in  following a war of independence over the first hundred years the kingdom of greece sought its territorial expansion which was mainly achieved in the early th century during the balkan wars and up until the catastrophe of greeces asia minor campaign in  the short lived republic that followed beset by the ramifications of civil strife came to an end in  when the imposition of a royalist dictatorship inaugurated a long period of authoritarian rule marked by military occupation during world war ii civil war and military dictatorship greece achieved record economic growth from  through the s allowing it to join the ranks of developed nations democracy was restored in   and greece has been a parliamentary republic ever since the countrys rich historical legacy is reflected in part by its  unesco world heritage sites
",greece considered cradle western civilization birthplace democracy western philosophy western literature historiography political science major scientific mathematical principles theatre olympic games eighth century greeks organised independent city states known poleis spanned mediterranean black sea philip ii macedon united present day greece fourth century son alexander great rapidly conquering ancient world eastern mediterranean north western parts india subsequent hellenistic period saw height greek culture influence antiquity greece annexed rome second century integral roman empire continuation byzantine empire culturally linguistically predominantly greek greek orthodox church emerged century ad helped shape modern greek identity transmitted greek traditions wider orthodox world falling ottoman rule mid th century greece emerged modern nation state following war independence years kingdom greece sought territorial expansion mainly achieved early th century balkan wars catastrophe greeces asia minor campaign short lived republic followed beset ramifications civil strife came end imposition royalist dictatorship inaugurated long period authoritarian rule marked military occupation world war ii civil war military dictatorship greece achieved record economic growth allowing join ranks developed nations democracy restored greece parliamentary republic countrys rich historical legacy reflected unesco world heritage sites,6.68,"greece,considered,cradle,western,civilization,birthplace,democracy,western,philosophy,western,literature,historiography,political,science,major,scientific,mathematical,principles,theatre,olympic,games,eighth,century,greeks,organised,independent,city,states,known,poleis,spanned,mediterranean,black,sea,philip,ii,macedon,united,present,day,greece,fourth,century,son,alexander,great,rapidly,conquering,ancient,world,eastern,mediterranean,north,western,parts,india,subsequent,hellenistic,period,saw,height,greek,culture,influence,antiquity,greece,annexed,rome,second,century,integral,roman,empire,continuation,byzantine,empire,culturally,linguistically,predominantly,greek,greek,orthodox,church,emerged,century,ad,helped,shape,modern,greek,identity,transmitted,greek,traditions,wider,orthodox,world,falling,ottoman,rule,mid,th,century,greece,emerged,modern,nation,state,following,war,independence,years,kingdom,greece,sought,territorial,expansion,mainly,achieved,early,th,century,balkan,wars,catastrophe,greeces,asia,minor,campaign,short,lived,republic,followed,beset,ramifications,civil,strife,came,end,imposition,royalist,dictatorship,inaugurated,long,period,authoritarian,rule,marked,military,occupation,world,war,ii,civil,war,military,dictatorship,greece,achieved,record,economic,growth,allowing,join,ranks,developed,nations,democracy,restored,greece,parliamentary,republic,countrys,rich,historical,legacy,reflected,unesco,world,heritage,sites",0.00,greece
"greece is a unitary parliamentary republic and a developed country with an advanced high income economy and a high quality of life ranking nd in the human development index its economy is among the largest in the balkans where it is an important regional investor a founding member of the united nations greece was the tenth member to join the european communities  and has been part of the eurozone since  it is also a member of numerous other international institutions including the council of europe nato the oecd the wto and the osce greece has a unique cultural heritage large tourism industry and prominent shipping sector
",greece unitary parliamentary republic developed country advanced high income economy high quality life ranking nd human development index economy largest balkans important regional investor founding member united nations greece tenth member join european communities eurozone member numerous international institutions including council europe nato oecd wto osce greece unique cultural heritage large tourism industry prominent shipping sector,7.94,"greece,unitary,parliamentary,republic,developed,country,advanced,high,income,economy,high,quality,life,ranking,nd,human,development,index,economy,largest,balkans,important,regional,investor,founding,member,united,nations,greece,tenth,member,join,european,communities,eurozone,member,numerous,international,institutions,including,council,europe,nato,oecd,wto,osce,greece,unique,cultural,heritage,large,tourism,industry,prominent,shipping,sector",0.00,greece
"the english names greece and greek are derived via the latin graecia and graecus from the name of the graeci  who were among the first ancient greek tribes to settle magna graecia in southern italy the term is possibly derived from the proto indo european root erh  to grow old more specifically from graea  said by aristotle to be the oldest in greece and the source of colonists for the naples area
",english names greece greek derived latin graecia graecus graeci ancient greek tribes settle magna graecia southern italy term possibly derived proto indo european root erh grow old specifically graea said aristotle oldest greece source colonists naples area,8.73,"english,names,greece,greek,derived,latin,graecia,graecus,graeci,ancient,greek,tribes,settle,magna,graecia,southern,italy,term,possibly,derived,proto,indo,european,root,erh,grow,old,specifically,graea,said,aristotle,oldest,greece,source,colonists,naples,area",0.00,greece
"the apidima cave in mani in southern greece contains the oldest remains of anatomically modern humans outside of africa dated to  years ago all three stages of the stone age  are represented in greece for example in the franchthi cave neolithic settlements in greece dating from the th millennium because are the oldest in europe by several centuries as greece lies on the route via which farming spread from the near east to europe
",apidima cave mani southern greece contains oldest remains anatomically modern humans outside africa dated years ago stages stone age represented greece example franchthi cave neolithic settlements greece dating th millennium oldest europe centuries greece lies route farming spread near east europe,7.62,"apidima,cave,mani,southern,greece,contains,oldest,remains,anatomically,modern,humans,outside,africa,dated,years,ago,stages,stone,age,represented,greece,example,franchthi,cave,neolithic,settlements,greece,dating,th,millennium,oldest,europe,centuries,greece,lies,route,farming,spread,near,east,europe",0.00,greece
"greece is home to the first advanced civilizations in europe and is considered the birthplace of western civilisation beginning with the cycladic civilization on the islands of the aegean sea at around  because the minoan civilization in crete  and then the mycenaean civilization on the mainland  these civilizations possessed writing the minoans using an undeciphered script known as linear a and the mycenaeans writing the earliest attested form of greek in linear b the mycenaeans gradually absorbed the minoans but collapsed violently around  because along with other civilizations during the regional event known as the late bronze age collapse this ushered in a period known as the greek dark ages from which written records are absent though the unearthed linear b texts are too fragmentary for the reconstruction of the political landscape and cannot support the existence of a larger state contemporary hittite and egyptian records suggest the presence of a single state under a great king based in mainland greece
",greece home advanced civilizations europe considered birthplace western civilisation beginning cycladic civilization islands aegean sea minoan civilization crete mycenaean civilization mainland civilizations possessed writing minoans undeciphered script known linear mycenaeans writing earliest attested form greek linear b mycenaeans gradually absorbed minoans collapsed violently civilizations regional event known late bronze age collapse ushered period known greek dark ages written records absent unearthed linear b texts fragmentary reconstruction political landscape support existence larger state contemporary hittite egyptian records suggest presence single state great king based mainland greece,7.41,"greece,home,advanced,civilizations,europe,considered,birthplace,western,civilisation,beginning,cycladic,civilization,islands,aegean,sea,minoan,civilization,crete,mycenaean,civilization,mainland,civilizations,possessed,writing,minoans,undeciphered,script,known,linear,mycenaeans,writing,earliest,attested,form,greek,linear,b,mycenaeans,gradually,absorbed,minoans,collapsed,violently,civilizations,regional,event,known,late,bronze,age,collapse,ushered,period,known,greek,dark,ages,written,records,absent,unearthed,linear,b,texts,fragmentary,reconstruction,political,landscape,support,existence,larger,state,contemporary,hittite,egyptian,records,suggest,presence,single,state,great,king,based,mainland,greece",0.00,greece
"the end of the dark ages is traditionally dated to  because the year of the first olympic games the iliad and the odyssey the foundational texts of western literature are believed to have been composed by homer in the th or th centuries because with the end of the dark ages there emerged various kingdoms and city states across the greek peninsula which spread to the shores of the black sea southern italy  and asia minor these states and their colonies reached great levels of prosperity that resulted in an unprecedented cultural boom that of classical greece expressed in architecture drama science mathematics and philosophy in  because cleisthenes instituted the worlds first democratic system of government in athens
",end dark ages traditionally dated year olympic games iliad odyssey foundational texts western literature believed composed homer th th centuries end dark ages emerged kingdoms city states greek peninsula spread shores black sea southern italy asia minor states colonies reached great levels prosperity resulted unprecedented cultural boom classical greece expressed architecture drama science mathematics philosophy cleisthenes instituted worlds democratic system government athens,7.72,"end,dark,ages,traditionally,dated,year,olympic,games,iliad,odyssey,foundational,texts,western,literature,believed,composed,homer,th,th,centuries,end,dark,ages,emerged,kingdoms,city,states,greek,peninsula,spread,shores,black,sea,southern,italy,asia,minor,states,colonies,reached,great,levels,prosperity,resulted,unprecedented,cultural,boom,classical,greece,expressed,architecture,drama,science,mathematics,philosophy,cleisthenes,instituted,worlds,democratic,system,government,athens",0.00,greece
"by  because the persian empire controlled the greek city states in asia minor and macedonia attempts by some of the greek city states of asia minor to overthrow persian rule failed and persia invaded the states of mainland greece in  because but was forced to withdraw after a defeat at the battle of marathon in  because in response the greek city states formed the hellenic league in  because led by sparta which was the first historically recorded union of greek states since the mythical union of the trojan war a second invasion by the persians followed in  because following decisive greek victories in  and  because at salamis plataea and mycale the persians were forced to withdraw for a second time marking their eventual withdrawal from all of their european territories led by athens and sparta the greek victories in the greco persian wars are considered a pivotal moment in world history as the  years of peace that followed are known as the golden age of athens the seminal period of ancient greek development that laid many of the foundations of western civilization
",persian empire controlled greek city states asia minor macedonia attempts greek city states asia minor overthrow persian rule failed persia invaded states mainland greece forced withdraw defeat battle marathon response greek city states formed hellenic league led sparta historically recorded union greek states mythical union trojan war second invasion persians followed following decisive greek victories salamis plataea mycale persians forced withdraw second time marking eventual withdrawal european territories led athens sparta greek victories greco persian wars considered pivotal moment world history years peace followed known golden age athens seminal period ancient greek development laid foundations western civilization,7.86,"persian,empire,controlled,greek,city,states,asia,minor,macedonia,attempts,greek,city,states,asia,minor,overthrow,persian,rule,failed,persia,invaded,states,mainland,greece,forced,withdraw,defeat,battle,marathon,response,greek,city,states,formed,hellenic,league,led,sparta,historically,recorded,union,greek,states,mythical,union,trojan,war,second,invasion,persians,followed,following,decisive,greek,victories,salamis,plataea,mycale,persians,forced,withdraw,second,time,marking,eventual,withdrawal,european,territories,led,athens,sparta,greek,victories,greco,persian,wars,considered,pivotal,moment,world,history,years,peace,followed,known,golden,age,athens,seminal,period,ancient,greek,development,laid,foundations,western,civilization",0.00,greece
"lack of political unity within greece resulted in frequent conflict between greek states the most devastating intra greek war was the peloponnesian war  won by sparta and marking the demise of the athenian empire as the leading power in ancient greece both athens and sparta were later overshadowed by thebes and eventually macedon with the latter uniting most of the city states of the greek hinterland in the league of corinth  under the control of philip ii despite this development the greek world remained largely fragmented and would not be united under a single power until the roman years
",lack political unity greece resulted frequent conflict greek states devastating intra greek war peloponnesian war sparta marking demise athenian empire leading power ancient greece athens sparta later overshadowed thebes eventually macedon uniting city states greek hinterland league corinth control philip ii despite development greek world remained largely fragmented united single power roman years,7.71,"lack,political,unity,greece,resulted,frequent,conflict,greek,states,devastating,intra,greek,war,peloponnesian,war,sparta,marking,demise,athenian,empire,leading,power,ancient,greece,athens,sparta,later,overshadowed,thebes,eventually,macedon,uniting,city,states,greek,hinterland,league,corinth,control,philip,ii,despite,development,greek,world,remained,largely,fragmented,united,single,power,roman,years",0.00,greece
"following the assassination of phillip ii his son alexander iii  assumed the leadership of the league of corinth and launched an invasion of the persian empire with the combined forces of the league in  because undefeated in battle alexander had conquered the persian empire in its entirety by  because by the time of his death in  because he had created one of the largest empires in history stretching from greece to india upon his death his empire split into several kingdoms the most famous of which were the seleucid empire ptolemaic egypt the greco bactrian kingdom and the indo greek kingdom many greeks migrated to alexandria antioch seleucia and the many other new hellenistic cities in asia and africa although the political unity of alexanders empire could not be maintained it resulted in the hellenistic civilization and spread the greek language and greek culture in the territories conquered by alexander greek science technology and mathematics are generally considered to have reached their peak during the hellenistic period
",following assassination phillip ii son alexander iii assumed leadership league corinth launched invasion persian empire combined forces league undefeated battle alexander conquered persian empire entirety time death created largest empires history stretching greece india death empire split kingdoms famous seleucid empire ptolemaic egypt greco bactrian kingdom indo greek kingdom greeks migrated alexandria antioch seleucia new hellenistic cities asia africa political unity alexanders empire maintained resulted hellenistic civilization spread greek language greek culture territories conquered alexander greek science technology mathematics generally considered reached peak hellenistic period,7.86,"following,assassination,phillip,ii,son,alexander,iii,assumed,leadership,league,corinth,launched,invasion,persian,empire,combined,forces,league,undefeated,battle,alexander,conquered,persian,empire,entirety,time,death,created,largest,empires,history,stretching,greece,india,death,empire,split,kingdoms,famous,seleucid,empire,ptolemaic,egypt,greco,bactrian,kingdom,indo,greek,kingdom,greeks,migrated,alexandria,antioch,seleucia,new,hellenistic,cities,asia,africa,political,unity,alexanders,empire,maintained,resulted,hellenistic,civilization,spread,greek,language,greek,culture,territories,conquered,alexander,greek,science,technology,mathematics,generally,considered,reached,peak,hellenistic,period",0.00,greece
