Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the greeks or hellenes  are an ethnic group and nation indigenous to greece cyprus southern albania anatolia parts of italy and egypt and to a lesser extent other countries surrounding the eastern mediterranean and black sea they also form a significant diaspora  with many greek communities established around the world
",greeks hellenes ethnic group nation indigenous greece cyprus southern albania anatolia parts italy egypt lesser extent countries surrounding eastern mediterranean black sea form significant diaspora greek communities established world,6.54,"greeks,hellenes,ethnic,group,nation,indigenous,greece,cyprus,southern,albania,anatolia,parts,italy,egypt,lesser,extent,countries,surrounding,eastern,mediterranean,black,sea,form,significant,diaspora,greek,communities,established,world",0.00,greece
"in recent times most ethnic greeks live within the borders of the modern greek state or in cyprus the greek genocide and population exchange between greece and turkey nearly ended the three millennia old greek presence in asia minor other longstanding greek populations can be found from southern italy to the caucasus and southern russia and ukraine and in the greek diaspora communities in a number of other countries today most greeks are officially registered as members of the greek orthodox church
",recent times ethnic greeks live borders modern greek state cyprus greek genocide population exchange greece turkey nearly ended millennia old greek presence asia minor longstanding greek populations found southern italy caucasus southern russia ukraine greek diaspora communities number countries today greeks officially registered members greek orthodox church,6.94,"recent,times,ethnic,greeks,live,borders,modern,greek,state,cyprus,greek,genocide,population,exchange,greece,turkey,nearly,ended,millennia,old,greek,presence,asia,minor,longstanding,greek,populations,found,southern,italy,caucasus,southern,russia,ukraine,greek,diaspora,communities,number,countries,today,greeks,officially,registered,members,greek,orthodox,church",0.00,greece
"the proto greeks probably arrived at the area now called greece in the southern tip of the balkan peninsula at the end of the rd millennium because between  and  becausea the sequence of migrations into the greek mainland during the nd millennium because has to be reconstructed on the basis of the ancient greek dialects as they presented themselves centuries later and are therefore subject to some uncertainties there were at least two migrations the first being the ionians and achaeans which resulted in mycenaean greece by the th century because and the second the dorian invasion around the th century because displacing the arcadocypriot dialects which descended from the mycenaean period both migrations occur at incisive periods the mycenaean at the transition to the late bronze age and the doric at the bronze age collapse
",proto greeks probably arrived area called greece southern tip balkan peninsula end rd millennium becausea sequence migrations greek mainland nd millennium reconstructed basis ancient greek dialects presented centuries later subject uncertainties migrations ionians achaeans resulted mycenaean greece th century second dorian invasion th century displacing arcadocypriot dialects descended mycenaean period migrations occur incisive periods mycenaean transition late bronze age doric bronze age collapse,8.74,"proto,greeks,probably,arrived,area,called,greece,southern,tip,balkan,peninsula,end,rd,millennium,becausea,sequence,migrations,greek,mainland,nd,millennium,reconstructed,basis,ancient,greek,dialects,presented,centuries,later,subject,uncertainties,migrations,ionians,achaeans,resulted,mycenaean,greece,th,century,second,dorian,invasion,th,century,displacing,arcadocypriot,dialects,descended,mycenaean,period,migrations,occur,incisive,periods,mycenaean,transition,late,bronze,age,doric,bronze,age,collapse",0.00,greece
"around  because the dorians another greek speaking people followed from epirus older historical research often proposed dorian invasion caused the collapse of the mycenaean civilization but this narrative has been abandoned in all contemporary research it is likely that one of the factors which contributed to the mycenaean palatial collapse was linked to raids by groups known in historiography as the sea peoples who sailed into the eastern mediterranean around  because the dorian invasion was followed by a poorly attested period of migrations appropriately called the greek dark ages but by  because the landscape of archaic and classical greece was discernible
",dorians greek speaking people followed epirus older historical research proposed dorian invasion caused collapse mycenaean civilization narrative abandoned contemporary research likely factors contributed mycenaean palatial collapse linked raids groups known historiography sea peoples sailed eastern mediterranean dorian invasion followed poorly attested period migrations appropriately called greek dark ages landscape archaic classical greece discernible,7.19,"dorians,greek,speaking,people,followed,epirus,older,historical,research,proposed,dorian,invasion,caused,collapse,mycenaean,civilization,narrative,abandoned,contemporary,research,likely,factors,contributed,mycenaean,palatial,collapse,linked,raids,groups,known,historiography,sea,peoples,sailed,eastern,mediterranean,dorian,invasion,followed,poorly,attested,period,migrations,appropriately,called,greek,dark,ages,landscape,archaic,classical,greece,discernible",0.00,greece
"the greeks of classical antiquity idealized their mycenaean ancestors and the mycenaean period as a glorious era of heroes closeness of the gods and material wealth the homeric epics  were especially and generally accepted as part of the greek past and it was not until the time of euhemerism that scholars began to question homers historicity as part of the mycenaean heritage that survived the names of the gods and goddesses of mycenaean greece  became major figures of the olympian pantheon of later antiquity
",greeks classical antiquity idealized mycenaean ancestors mycenaean period glorious era heroes closeness gods material wealth homeric epics especially generally accepted greek past time euhemerism scholars began question homers historicity mycenaean heritage survived names gods goddesses mycenaean greece major figures olympian pantheon later antiquity,7.98,"greeks,classical,antiquity,idealized,mycenaean,ancestors,mycenaean,period,glorious,era,heroes,closeness,gods,material,wealth,homeric,epics,especially,generally,accepted,greek,past,time,euhemerism,scholars,began,question,homers,historicity,mycenaean,heritage,survived,names,gods,goddesses,mycenaean,greece,major,figures,olympian,pantheon,later,antiquity",0.00,greece
"in the religious sphere this was a period of profound change the spiritual revolution that took place saw a waning of the old greek religion whose decline beginning in the rd century because continued with the introduction of new religious movements from the east the cults of deities like isis and mithra were introduced into the greek world greek speaking communities of the hellenized east were instrumental in the spread of early christianity in the nd and rd centuries and christianitys early leaders and writers  were generally greek speaking though none were from greece proper however greece itself had a tendency to cling to paganism and was not one of the influential centers of early christianity in fact some ancient greek religious practices remained in vogue until the end of the th century with some areas such as the southeastern peloponnese remaining pagan until well into the mid byzantine th century ad the region of tsakonia remained pagan until the ninth century and as such its inhabitants were referred to as hellenes in the sense of being pagan by their christianized greek brethren in mainstream byzantine society
",religious sphere period profound change spiritual revolution took place saw waning old greek religion decline beginning rd century continued introduction new religious movements east cults deities like isis mithra introduced greek world greek speaking communities hellenized east instrumental spread early christianity nd rd centuries christianitys early leaders writers generally greek speaking greece proper greece tendency cling paganism influential centers early christianity fact ancient greek religious practices remained vogue end th century areas southeastern peloponnese remaining pagan mid byzantine th century ad region tsakonia remained pagan ninth century inhabitants referred hellenes sense pagan christianized greek brethren mainstream byzantine society,7.81,"religious,sphere,period,profound,change,spiritual,revolution,took,place,saw,waning,old,greek,religion,decline,beginning,rd,century,continued,introduction,new,religious,movements,east,cults,deities,like,isis,mithra,introduced,greek,world,greek,speaking,communities,hellenized,east,instrumental,spread,early,christianity,nd,rd,centuries,christianitys,early,leaders,writers,generally,greek,speaking,greece,proper,greece,tendency,cling,paganism,influential,centers,early,christianity,fact,ancient,greek,religious,practices,remained,vogue,end,th,century,areas,southeastern,peloponnese,remaining,pagan,mid,byzantine,th,century,ad,region,tsakonia,remained,pagan,ninth,century,inhabitants,referred,hellenes,sense,pagan,christianized,greek,brethren,mainstream,byzantine,society",0.00,greece
"there are three schools of thought regarding this byzantine roman identity in contemporary byzantine scholarship the first considers romanity the mode of self identification of the subjects of a multi ethnic empire at least up to the th century where the average subject identified as roman a perennialist approach which views romanity as the medieval expression of a continuously existing greek nation while a third view considers the eastern roman identity as a pre modern national identity the byzantine greeks essential values were drawn from both christianity and the homeric tradition of ancient greece
",schools thought byzantine roman identity contemporary byzantine scholarship considers romanity mode self identification subjects multi ethnic empire th century average subject identified roman perennialist approach views romanity medieval expression continuously existing greek nation view considers eastern roman identity pre modern national identity byzantine greeks essential values drawn christianity homeric tradition ancient greece,6.90,"schools,thought,byzantine,roman,identity,contemporary,byzantine,scholarship,considers,romanity,mode,self,identification,subjects,multi,ethnic,empire,th,century,average,subject,identified,roman,perennialist,approach,views,romanity,medieval,expression,continuously,existing,greek,nation,view,considers,eastern,roman,identity,pre,modern,national,identity,byzantine,greeks,essential,values,drawn,christianity,homeric,tradition,ancient,greece",0.00,greece
"following the fall of constantinople on  may  many greeks sought better employment and education opportunities by leaving for the west particularly italy central europe germany and russia greeks are greatly credited for the european cultural revolution later called the renaissance in greek inhabited territory itself greeks came to play a leading role in the ottoman empire due in part to the fact that the central hub of the empire politically culturally and socially was based on western thrace and greek macedonia both in northern greece and of course was centred on the mainly greek populated former byzantine capital constantinople as a direct consequence of this situation greek speakers came to play a hugely important role in the ottoman trading and diplomatic establishment as well as in the church added to this in the first half of the ottoman period men of greek origin made up a significant proportion of the ottoman army navy and state bureaucracy having been levied as adolescents  into ottoman service through the devshirme many ottomans of greek  origin were therefore to be found within the ottoman forces which governed the provinces from ottoman egypt to ottomans occupied yemen and algeria frequently as provincial governors
",following fall constantinople greeks sought better employment education opportunities leaving west particularly italy central europe germany russia greeks greatly credited european cultural revolution later called renaissance greek inhabited territory greeks came play leading role ottoman empire fact central hub empire politically culturally socially based western thrace greek macedonia northern greece course centred mainly greek populated byzantine capital constantinople direct consequence situation greek speakers came play hugely important role ottoman trading diplomatic establishment church added half ottoman period men greek origin significant proportion ottoman army navy state bureaucracy levied adolescents ottoman service devshirme ottomans greek origin found ottoman forces governed provinces ottoman egypt ottomans occupied yemen algeria frequently provincial governors,7.14,"following,fall,constantinople,greeks,sought,better,employment,education,opportunities,leaving,west,particularly,italy,central,europe,germany,russia,greeks,greatly,credited,european,cultural,revolution,later,called,renaissance,greek,inhabited,territory,greeks,came,play,leading,role,ottoman,empire,fact,central,hub,empire,politically,culturally,socially,based,western,thrace,greek,macedonia,northern,greece,course,centred,mainly,greek,populated,byzantine,capital,constantinople,direct,consequence,situation,greek,speakers,came,play,hugely,important,role,ottoman,trading,diplomatic,establishment,church,added,half,ottoman,period,men,greek,origin,significant,proportion,ottoman,army,navy,state,bureaucracy,levied,adolescents,ottoman,service,devshirme,ottomans,greek,origin,found,ottoman,forces,governed,provinces,ottoman,egypt,ottomans,occupied,yemen,algeria,frequently,provincial,governors",0.00,greece
"the relationship between ethnic greek identity and greek orthodox religion continued after the creation of the modern greek nation state in  according to the second article of the first greek constitution of  a greek was defined as any native christian resident of the kingdom of greece a clause removed by  a century later when the treaty of lausanne was signed between greece and turkey in  the two countries agreed to use religion as the determinant for ethnic identity for the purposes of population exchange although most of the greeks displaced  had already been driven out by the time the agreement was signedb the greek genocide in particular the harsh removal of pontian greeks from the southern shore area of the black sea contemporaneous with and following the failed greek asia minor campaign was part of this process of turkification of the ottoman empire and the placement of its economy and trade then largely in greek hands under ethnic turkish control
",relationship ethnic greek identity greek orthodox religion continued creation modern greek nation state according second article greek constitution greek defined native christian resident kingdom greece clause removed century later treaty lausanne signed greece turkey countries agreed use religion determinant ethnic identity purposes population exchange greeks displaced driven time agreement signedb greek genocide particular harsh removal pontian greeks southern shore area black sea contemporaneous following failed greek asia minor campaign process turkification ottoman empire placement economy trade largely greek hands ethnic turkish control,8.05,"relationship,ethnic,greek,identity,greek,orthodox,religion,continued,creation,modern,greek,nation,state,according,second,article,greek,constitution,greek,defined,native,christian,resident,kingdom,greece,clause,removed,century,later,treaty,lausanne,signed,greece,turkey,countries,agreed,use,religion,determinant,ethnic,identity,purposes,population,exchange,greeks,displaced,driven,time,agreement,signedb,greek,genocide,particular,harsh,removal,pontian,greeks,southern,shore,area,black,sea,contemporaneous,following,failed,greek,asia,minor,campaign,process,turkification,ottoman,empire,placement,economy,trade,largely,greek,hands,ethnic,turkish,control",0.00,greece
"the most obvious link between modern and ancient greeks is their language which has a documented tradition from at least the th century because to the present day albeit with a break during the greek dark ages from which written records are absent  scholars compare its continuity of tradition to chinese alone since its inception hellenism was primarily a matter of common culture and the national continuity of the greek world is a lot more certain than its demographic yet hellenism also embodied an ancestral dimension through aspects of athenian literature that developed and influenced ideas of descent based on autochthony during the later years of the eastern roman empire areas such as ionia and constantinople experienced a hellenic revival in language philosophy and literature and on classical models of thought and scholarship this revival provided a powerful impetus to the sense of cultural affinity with ancient greece and its classical heritage throughout their history the greeks have retained their language and alphabet certain values and cultural traditions customs a sense of religious and cultural difference and exclusion  a sense of greek identity and common sense of ethnicity despite the undeniable socio political changes of the past two millennia in recent anthropological studies both ancient and modern greek osteological samples were analyzed demonstrating a bio genetic affinity and continuity shared between both groups there is also a direct genetic link between ancient greeks and modern greeks
",obvious link modern ancient greeks language documented tradition th century present day albeit break greek dark ages written records absent scholars compare continuity tradition chinese inception hellenism primarily matter common culture national continuity greek world lot certain demographic hellenism embodied ancestral dimension aspects athenian literature developed influenced ideas descent based autochthony later years eastern roman empire areas ionia constantinople experienced hellenic revival language philosophy literature classical models thought scholarship revival provided powerful impetus sense cultural affinity ancient greece classical heritage history greeks retained language alphabet certain values cultural traditions customs sense religious cultural difference exclusion sense greek identity common sense ethnicity despite undeniable socio political changes past millennia recent anthropological studies ancient modern greek osteological samples analyzed demonstrating bio genetic affinity continuity shared groups direct genetic link ancient greeks modern greeks,6.86,"obvious,link,modern,ancient,greeks,language,documented,tradition,th,century,present,day,albeit,break,greek,dark,ages,written,records,absent,scholars,compare,continuity,tradition,chinese,inception,hellenism,primarily,matter,common,culture,national,continuity,greek,world,lot,certain,demographic,hellenism,embodied,ancestral,dimension,aspects,athenian,literature,developed,influenced,ideas,descent,based,autochthony,later,years,eastern,roman,empire,areas,ionia,constantinople,experienced,hellenic,revival,language,philosophy,literature,classical,models,thought,scholarship,revival,provided,powerful,impetus,sense,cultural,affinity,ancient,greece,classical,heritage,history,greeks,retained,language,alphabet,certain,values,cultural,traditions,customs,sense,religious,cultural,difference,exclusion,sense,greek,identity,common,sense,ethnicity,despite,undeniable,socio,political,changes,past,millennia,recent,anthropological,studies,ancient,modern,greek,osteological,samples,analyzed,demonstrating,bio,genetic,affinity,continuity,shared,groups,direct,genetic,link,ancient,greeks,modern,greeks",0.00,greece
