Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"greenland  is an island country in north america that is part of the kingdom of denmark it is located between the arctic and atlantic oceans east of the canadian arctic archipelago greenland is the worlds largest islandd it is one of three constituent countries that form the kingdom of denmark along with denmark and the faroe islands the citizens of these countries are all citizens of denmark and the european union greenlands capital is nuuk
",greenland island country north america kingdom denmark located arctic atlantic oceans east canadian arctic archipelago greenland worlds largest islandd constituent countries form kingdom denmark denmark faroe islands citizens countries citizens denmark european union greenlands capital nuuk,8.74,"greenland,island,country,north,america,kingdom,denmark,located,arctic,atlantic,oceans,east,canadian,arctic,archipelago,greenland,worlds,largest,islandd,constituent,countries,form,kingdom,denmark,denmark,faroe,islands,citizens,countries,citizens,denmark,european,union,greenlands,capital,nuuk",0.00,denmark
"in the early th century danish explorers reached greenland again greenland became danish in  and was fully integrated in the danish state in  under the constitution of denmark with the constitution of  the people in greenland became citizens of denmark in  denmark granted home rule to greenland in  greenlanders voted in favour of the self government act which transferred more power from the danish government to the local greenlandic government under the new structure greenland has gradually assumed responsibility for a number of governmental services and areas of competence the danish government still retains control of citizenship monetary policy and foreign affairs including defence the majority of its residents are inuit today the population is concentrated mainly on the southwest coast while the rest of the island is sparsely populated three quarters of greenland is covered by the only permanent ice sheet outside of antarctica with a population of   it is the least densely populated region in the world greenland has one of the highest shares of renewable energy in the world at  mostly coming from hydropower
",early th century danish explorers reached greenland greenland danish fully integrated danish state constitution denmark constitution people greenland citizens denmark denmark granted home rule greenland greenlanders voted favour self government act transferred power danish government local greenlandic government new structure greenland gradually assumed responsibility number governmental services areas competence danish government retains control citizenship monetary policy foreign affairs including defence majority residents inuit today population concentrated mainly southwest coast rest island sparsely populated quarters greenland covered permanent ice sheet outside antarctica population densely populated region world greenland highest shares renewable energy world coming hydropower,7.35,"early,th,century,danish,explorers,reached,greenland,greenland,danish,fully,integrated,danish,state,constitution,denmark,constitution,people,greenland,citizens,denmark,denmark,granted,home,rule,greenland,greenlanders,voted,favour,self,government,act,transferred,power,danish,government,local,greenlandic,government,new,structure,greenland,gradually,assumed,responsibility,number,governmental,services,areas,competence,danish,government,retains,control,citizenship,monetary,policy,foreign,affairs,including,defence,majority,residents,inuit,today,population,concentrated,mainly,southwest,coast,rest,island,sparsely,populated,quarters,greenland,covered,permanent,ice,sheet,outside,antarctica,population,densely,populated,region,world,greenland,highest,shares,renewable,energy,world,coming,hydropower",0.00,denmark
"from  greenlands west coast was settled by icelanders and norwegians through a contingent of  boats led by erik the red they formed three settlements  known as the eastern settlement the western settlement and the middle settlement  on fjords near the southwesternmost tip of the island they shared the island with the late dorset culture inhabitants who occupied the northern and western parts and later with the thule culture that entered from the north norse greenlanders submitted to norwegian rule in  under the kingdom of norway later the kingdom of norway entered into a personal union with denmark in  and from  was a part of the kalmar union
",greenlands west coast settled icelanders norwegians contingent boats led erik red formed settlements known eastern settlement western settlement middle settlement fjords near southwesternmost tip island shared island late dorset culture inhabitants occupied northern western parts later thule culture entered north norse greenlanders submitted norwegian rule kingdom norway later kingdom norway entered personal union denmark kalmar union,7.83,"greenlands,west,coast,settled,icelanders,norwegians,contingent,boats,led,erik,red,formed,settlements,known,eastern,settlement,western,settlement,middle,settlement,fjords,near,southwesternmost,tip,island,shared,island,late,dorset,culture,inhabitants,occupied,northern,western,parts,later,thule,culture,entered,north,norse,greenlanders,submitted,norwegian,rule,kingdom,norway,later,kingdom,norway,entered,personal,union,denmark,kalmar,union",0.00,denmark
"in  king christian iv of denmark and norway sent a series of expeditions to greenland and arctic waterways to locate the lost eastern norse settlement and assert danish norwegian sovereignty over greenland the expeditions were mostly unsuccessful partly due to leaders who lacked experience with the difficult arctic ice and weather conditions and partly because the expedition leaders were given instructions to search for the eastern settlement on the east coast of greenland just north of cape farewell which is almost inaccessible due to southward drifting ice the pilot on all three trips was english explorer james hall
",king christian iv denmark norway sent series expeditions greenland arctic waterways locate lost eastern norse settlement assert danish norwegian sovereignty greenland expeditions unsuccessful partly leaders lacked experience difficult arctic ice weather conditions partly expedition leaders given instructions search eastern settlement east coast greenland north cape farewell inaccessible southward drifting ice pilot trips english explorer james hall,6.71,"king,christian,iv,denmark,norway,sent,series,expeditions,greenland,arctic,waterways,locate,lost,eastern,norse,settlement,assert,danish,norwegian,sovereignty,greenland,expeditions,unsuccessful,partly,leaders,lacked,experience,difficult,arctic,ice,weather,conditions,partly,expedition,leaders,given,instructions,search,eastern,settlement,east,coast,greenland,north,cape,farewell,inaccessible,southward,drifting,ice,pilot,trips,english,explorer,james,hall",0.00,denmark
"after the norse settlements died off greenland came under the de facto control of various inuit groups but the danish government never forgot or relinquished the claims to greenland that it had inherited from the norse when it re established contact with greenland in the early th century denmark asserted its sovereignty over the island in  a joint mercantile and clerical expedition led by danish norwegian missionary hans egede was sent to greenland not knowing whether a norse civilization remained there this expedition is part of the dano norwegian colonization of the americas after  years in greenland hans egede left his son paul egede in charge of the mission there and returned to denmark where he established a greenland seminary this new colony was centred at godthb  on the southwest coast gradually greenland was opened up to danish merchants but closed to those from other countries
",norse settlements died greenland came defacto control inuit groups danish government forgot relinquished claims greenland inherited norse established contact greenland early thcentury denmark asserted sovereignty island joint mercantile clerical expedition led danish norwegian missionary hans egede sent greenland knowing norse civilization remained expedition dano norwegian colonization americas years greenland hans egede left son paul egede charge mission returned denmark established greenland seminary new colony centred godthb southwest coast gradually greenland opened danish merchants closed countries,7.68,"norse,settlements,died,greenland,came,defacto,control,inuit,groups,danish,government,forgot,relinquished,claims,greenland,inherited,norse,established,contact,greenland,early,thcentury,denmark,asserted,sovereignty,island,joint,mercantile,clerical,expedition,led,danish,norwegian,missionary,hans,egede,sent,greenland,knowing,norse,civilization,remained,expedition,dano,norwegian,colonization,americas,years,greenland,hans,egede,left,son,paul,egede,charge,mission,returned,denmark,established,greenland,seminary,new,colony,centred,godthb,southwest,coast,gradually,greenland,opened,danish,merchants,closed,countries",0.00,denmark
"when the union between the crowns of denmark and norway was dissolved in  the treaty of kiel severed norways former colonies and left them under the control of the danish monarch norway occupied then uninhabited eastern greenland as erik the reds land in july  claiming that it constituted terra nullius norway and denmark agreed to submit the matter in  to the permanent court of international justice which decided against norway
",union crowns denmark norway dissolved treaty kiel severed norways colonies left control danish monarch norway occupied uninhabited eastern greenland erik reds land july claiming constituted terra nullius norway denmark agreed submit matter permanent court international justice decided norway,7.41,"union,crowns,denmark,norway,dissolved,treaty,kiel,severed,norways,colonies,left,control,danish,monarch,norway,occupied,uninhabited,eastern,greenland,erik,reds,land,july,claiming,constituted,terra,nullius,norway,denmark,agreed,submit,matter,permanent,court,international,justice,decided,norway",0.00,denmark
"greenlands connection to denmark was severed on  april  early in world war ii after denmark was occupied by nazi germany on  april  the united states occupied greenland to defend it against a possible invasion by germany the united states occupation of greenland continued until  greenland was able to buy goods from the united states and canada by selling cryolite from the mine at ivittuut the major air bases were bluie west  at narsarsuaq and bluie west  at sndre strmfjord  both of which are still used as greenlands major international airports bluie was the military code name for greenland
",greenlands connection denmark severed april early world warii denmark occupied nazi germany april united states occupied greenland defend possible invasion germany united states occupation greenland continued greenland able buy goods united states canada selling cryolite ivittuut major air bases bluie west narsarsuaq bluie west sndre strmfjord greenlands major international airports bluie military code greenland,7.19,"greenlands,connection,denmark,severed,april,early,world,warii,denmark,occupied,nazi,germany,april,united,states,occupied,greenland,defend,possible,invasion,germany,united,states,occupation,greenland,continued,greenland,able,buy,goods,united,states,canada,selling,cryolite,ivittuut,major,air,bases,bluie,west,narsarsuaq,bluie,west,sndre,strmfjord,greenlands,major,international,airports,bluie,military,code,greenland",0.00,denmark
"in  united states secretary of state william h seward worked with former senator robert j walker to explore the possibility of buying greenland and perhaps iceland opposition in congress ended this project following world war ii the united states developed a geopolitical interest in greenland and in  the united states offered to buy the island from denmark for  denmark refused to sell it in the st century the united states remains interested in investing in the resource base of greenland and in tapping hydrocarbons off the greenlandic coast in august  the us again proposed to buy the country prompting premier kim kielsen to issue the statement greenland is not for sale and cannot be sold but greenland is open for trade and cooperation with other countries  including the united states
",united states secretary state william h seward worked senator robert j walker explore possibility buying greenland iceland opposition congress ended project following world war ii united states developed geopolitical interest greenland united states offered buy island denmark denmark refused sell st century united states remains interested investing resource base greenland tapping hydrocarbons greenlandic coast august proposed buy country prompting premier kim kielsen issue statement greenland sale sold greenland open trade cooperation countries including united states,6.92,"united,states,secretary,state,william,h,seward,worked,senator,robert,j,walker,explore,possibility,buying,greenland,iceland,opposition,congress,ended,project,following,world,war,ii,united,states,developed,geopolitical,interest,greenland,united,states,offered,buy,island,denmark,denmark,refused,sell,st,century,united,states,remains,interested,investing,resource,base,greenland,tapping,hydrocarbons,greenlandic,coast,august,proposed,buy,country,prompting,premier,kim,kielsen,issue,statement,greenland,sale,sold,greenland,open,trade,cooperation,countries,including,united,states",0.00,denmark
"in  denmark agreed to allow the us to regain the use of thule air base it was greatly expanded between  and  as part of a unified nato cold war defence strategy the local population of three nearby villages was moved more than  km  away in the winter the united states tried to construct a subterranean network of secret nuclear missile launch sites in the greenlandic ice cap named project iceworm according to documents declassified in  this project was managed from camp century from  to  before abandonment as unworkable the missiles were never fielded and necessary consent from the danish government to do so was never sought the danish government did not become aware of the programmes mission until  when they discovered it while looking in the declassified documents for records related to the crash of a nuclear equipped b  bomber at thule in 
",denmark agreed allow regain use thule air base greatly expanded unified nato cold war defence strategy local population nearby villages moved km away winter united states tried construct subterranean network secret nuclear missile launch sites greenlandic ice cap named project iceworm according documents declassified project managed camp century abandonment unworkable missiles fielded necessary consent danish government sought danish government aware programmes mission discovered looking declassified documents records related crash nuclear equipped b bomber thule,8.08,"denmark,agreed,allow,regain,use,thule,air,base,greatly,expanded,unified,nato,cold,war,defence,strategy,local,population,nearby,villages,moved,km,away,winter,united,states,tried,construct,subterranean,network,secret,nuclear,missile,launch,sites,greenlandic,ice,cap,named,project,iceworm,according,documents,declassified,project,managed,camp,century,abandonment,unworkable,missiles,fielded,necessary,consent,danish,government,sought,danish,government,aware,programmes,mission,discovered,looking,declassified,documents,records,related,crash,nuclear,equipped,b,bomber,thule",0.00,denmark
"with the  danish constitution greenlands colonial status ended as the island was incorporated into the danish realm as an amt  danish citizenship was extended to greenlanders danish policies toward greenland consisted of a strategy of cultural assimilation  or de greenlandification during this period the danish government promoted the exclusive use of the danish language in official matters and required greenlanders to go to denmark for their post secondary education many greenlandic children grew up in boarding schools in southern denmark and a number lost their cultural ties to greenland while the policies succeeded in the sense of shifting greenlanders from being primarily subsistence hunters into being urbanized wage earners the greenlandic elite began to reassert a greenlandic cultural identity a movement developed in favour of independence reaching its peak in the s as a consequence of political complications in relation to denmarks entry into the european common market in  denmark began to seek a different status for greenland resulting in the home rule act of 
",danish constitution greenlands colonial status ended island incorporated danish realm amt danish citizenship extended greenlanders danish policies greenland consisted strategy cultural assimilation de greenlandification period danish government promoted exclusive use danish language official matters required greenlanders denmark post secondary education greenlandic children grew boarding schools southern denmark number lost cultural ties greenland policies succeeded sense shifting greenlanders primarily subsistence hunters urbanized wage earners greenlandic elite began reassert greenlandic cultural identity movement developed favour independence reaching peak consequence political complications relation denmarks entry european common market denmark began seek different status greenland resulting home rule act,6.45,"danish,constitution,greenlands,colonial,status,ended,island,incorporated,danish,realm,amt,danish,citizenship,extended,greenlanders,danish,policies,greenland,consisted,strategy,cultural,assimilation,de,greenlandification,period,danish,government,promoted,exclusive,use,danish,language,official,matters,required,greenlanders,denmark,post,secondary,education,greenlandic,children,grew,boarding,schools,southern,denmark,number,lost,cultural,ties,greenland,policies,succeeded,sense,shifting,greenlanders,primarily,subsistence,hunters,urbanized,wage,earners,greenlandic,elite,began,reassert,greenlandic,cultural,identity,movement,developed,favour,independence,reaching,peak,consequence,political,complications,relation,denmarks,entry,european,common,market,denmark,began,seek,different,status,greenland,resulting,home,rule,act",0.00,denmark
