Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Emma Woodhouse  handsome  clever  and rich  with a comfortable home and happy disposition  seemed to unite some of the best blessings of existence  and had lived nearly twenty   one years in the world with very little to distress or vex her ,Emma Woodhouse handsome clever rich comfortable home happy disposition unite best blessings existence lived nearly years world little distress vex,8.71,"Emma,Woodhouse,handsome,clever,rich,comfortable,home,happy,disposition,unite,best,blessings,existence,lived,nearly,years,world,little,distress,vex",0.00,
She was the youngest of the two daughters of a most affectionate  indulgent father  and had  in consequence of her sister  s marriage  been mistress of his house from a very early period ,youngest daughters affectionate indulgent father consequence sister marriage mistress house early period,11.23,"youngest,daughters,affectionate,indulgent,father,consequence,sister,marriage,mistress,house,early,period",0.00,
Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses  and her place had been supplied by an excellent woman as governess  who had fallen little short of a mother in affection ,mother died long ago indistinct remembrance caresses place supplied excellent woman governess fallen little short mother affection,10.76,"mother,died,long,ago,indistinct,remembrance,caresses,place,supplied,excellent,woman,governess,fallen,little,short,mother,affection",0.00,
Sixteen years had Miss Taylor been in Mr  Woodhouse  s family  less as a governess than a friend  very fond of both daughters  but particularly of Emma ,Sixteen years Miss Taylor Mr Woodhouse family governess friend fond daughters particularly Emma,9.21,"Sixteen,years,Miss,Taylor,Mr,Woodhouse,family,governess,friend,fond,daughters,particularly,Emma",0.00,
Even before Miss Taylor had ceased to hold the nominal office of governess  the mildness of her temper had hardly allowed her to impose any restraint  and the shadow of authority being now long passed away  they had been living together as friend and friend very mutually attached  and Emma doing just what she liked  highly esteeming Miss Taylor  s judgment  but directed chiefly by her own ,Miss Taylor ceased hold nominal office governess mildness temper hardly allowed impose restraint shadow authority long passed away living friend friend mutually attached Emma liked highly esteeming Miss Taylor judgment directed chiefly,8.93,"Miss,Taylor,ceased,hold,nominal,office,governess,mildness,temper,hardly,allowed,impose,restraint,shadow,authority,long,passed,away,living,friend,friend,mutually,attached,Emma,liked,highly,esteeming,Miss,Taylor,judgment,directed,chiefly",0.00,
The real evils  indeed  of Emma  s situation were the power of having rather too much her own way  and a disposition to think a little too well of herself  these were the disadvantages which threatened alloy to her many enjoyments ,real evils Emma situation power way disposition think little disadvantages threatened alloy enjoyments,12.12,"real,evils,Emma,situation,power,way,disposition,think,little,disadvantages,threatened,alloy,enjoyments",0.00,
The danger  however  was at present so unperceived  that they did not by any means rank as misfortunes with her ,danger present unperceived means rank misfortunes,12.50,"danger,present,unperceived,means,rank,misfortunes",0.00,
Sorrow came    a gentle sorrow    but not at all in the shape of any disagreeable consciousness    Miss Taylor married ,Sorrow came gentle sorrow shape disagreeable consciousness Miss Taylor married,7.56,"Sorrow,came,gentle,sorrow,shape,disagreeable,consciousness,Miss,Taylor,married",0.00,
It was Miss Taylor  s loss which first brought grief ,Miss Taylor loss brought grief,9.43,"Miss,Taylor,loss,brought,grief",0.00,
It was on the wedding   day of this beloved friend that Emma first sat in mournful thought of any continuance ,wedding day beloved friend Emma sat mournful thought continuance,10.00,"wedding,day,beloved,friend,Emma,sat,mournful,thought,continuance",0.00,
The wedding over  and the bride   people gone  her father and herself were left to dine together  with no prospect of a third to cheer a long evening ,wedding bride people gone father left dine prospect cheer long evening,11.33,"wedding,bride,people,gone,father,left,dine,prospect,cheer,long,evening",0.00,
Her father composed himself to sleep after dinner  as usual  and she had then only to sit and think of what she had lost ,father composed sleep dinner usual sit think lost,13.22,"father,composed,sleep,dinner,usual,sit,think,lost",0.00,
The event had every promise of happiness for her friend ,event promise happiness friend,10.71,"event,promise,happiness,friend",0.00,
Mr  Weston was a man of unexceptionable character  easy fortune  suitable age  and pleasant manners  and there was some satisfaction in considering with what self   denying  generous friendship she had always wished and promoted the match  but it was a black morning  s work for her ,Mr Weston man unexceptionable character easy fortune suitable age pleasant manners satisfaction considering self denying generous friendship wished promoted match black morning work,8.13,"Mr,Weston,man,unexceptionable,character,easy,fortune,suitable,age,pleasant,manners,satisfaction,considering,self,denying,generous,friendship,wished,promoted,match,black,morning,work",0.00,
The want of Miss Taylor would be felt every hour of every day ,want Miss Taylor felt hour day,11.29,"want,Miss,Taylor,felt,hour,day",0.00,
She recalled her past kindness    the kindness  the affection of sixteen years    how she had taught and how she had played with her from five years old    how she had devoted all her powers to attach and amuse her in health    and how nursed her through the various illnesses of childhood ,recalled past kindness kindness affection sixteen years taught played years old devoted powers attach amuse health nursed illnesses childhood,11.03,"recalled,past,kindness,kindness,affection,sixteen,years,taught,played,years,old,devoted,powers,attach,amuse,health,nursed,illnesses,childhood",0.00,
A large debt of gratitude was owing here  but the intercourse of the last seven years  the equal footing and perfect unreserve which had soon followed Isabella  s marriage  on their being left to each other  was yet a dearer  tenderer recollection ,large debt gratitude owing intercourse seven years equal footing perfect unreserve soon followed Isabella marriage left dearer tenderer recollection,9.27,"large,debt,gratitude,owing,intercourse,seven,years,equal,footing,perfect,unreserve,soon,followed,Isabella,marriage,left,dearer,tenderer,recollection",0.00,
She had been a friend and companion such as few possessed  intelligent  well   informed  useful  gentle  knowing all the ways of the family  interested in all its concerns  and peculiarly interested in herself  in every pleasure  every scheme of hers    one to whom she could speak every thought as it arose  and who had such an affection for her as could never find fault ,friend companion possessed intelligent informed useful gentle knowing ways family interested concerns peculiarly interested pleasure scheme speak thought arose affection find fault,11.26,"friend,companion,possessed,intelligent,informed,useful,gentle,knowing,ways,family,interested,concerns,peculiarly,interested,pleasure,scheme,speak,thought,arose,affection,find,fault",0.00,
How was she to bear the change    It was true that her friend was going only half a mile from them  but Emma was aware that great must be the difference between a Mrs  Weston  only half a mile from them  and a Miss Taylor in the house  and with all her advantages  natural and domestic  she was now in great danger of suffering from intellectual solitude ,bear change true friend going half mile Emma aware great difference Mrs Weston half mile Miss Taylor house advantages natural domestic great danger suffering intellectual solitude,11.55,"bear,change,true,friend,going,half,mile,Emma,aware,great,difference,Mrs,Weston,half,mile,Miss,Taylor,house,advantages,natural,domestic,great,danger,suffering,intellectual,solitude",0.00,
She dearly loved her father  but he was no companion for her ,dearly loved father companion,13.11,"dearly,loved,father,companion",0.00,
He could not meet her in conversation  rational or playful ,meet conversation rational playful,10.17,"meet,conversation,rational,playful",0.00,
The evil of the actual disparity in their ages  was much increased by his constitution and habits  for having been a valetudinarian all his life  without activity of mind or body  he was a much older man in ways than in years  and though everywhere beloved for the friendliness of his heart and his amiable temper  his talents could not have recommended him at any time ,evil actual disparity ages increased constitution habits valetudinarian life activity mind body older man ways years beloved friendliness heart amiable temper talents recommended time,11.35,"evil,actual,disparity,ages,increased,constitution,habits,valetudinarian,life,activity,mind,body,older,man,ways,years,beloved,friendliness,heart,amiable,temper,talents,recommended,time",0.00,
Her sister  though comparatively but little removed by matrimony  being settled in London  only sixteen miles off  was much beyond her daily reach  and many a long October and November evening must be struggled through at Hartfield  before Christmas brought the next visit from Isabella and her husband  and their little children  to fill the house  and give her pleasant society again ,sister comparatively little removed matrimony settled London sixteen miles daily reach long October November evening struggled Hartfield Christmas brought visit Isabella husband little children fill house pleasant society,8.81,"sister,comparatively,little,removed,matrimony,settled,London,sixteen,miles,daily,reach,long,October,November,evening,struggled,Hartfield,Christmas,brought,visit,Isabella,husband,little,children,fill,house,pleasant,society",0.00,
Highbury  the large and populous village  almost amounting to a town  to which Hartfield  in spite of its separate lawn  and shrubberies  and name  did really belong  afforded her no equals ,Highbury large populous village amounting town Hartfield spite separate lawn shrubberies belong afforded equals,8.95,"Highbury,large,populous,village,amounting,town,Hartfield,spite,separate,lawn,shrubberies,belong,afforded,equals",0.00,
She had many acquaintance in the place  for her father was universally civil  but not one among them who could be accepted in lieu of Miss Taylor for even half a day ,acquaintance place father universally civil accepted lieu Miss Taylor half day,12.65,"acquaintance,place,father,universally,civil,accepted,lieu,Miss,Taylor,half,day",0.00,
It was a melancholy change  and Emma could not but sigh over it  and wish for impossible things  till her father awoke  and made it necessary to be cheerful ,melancholy change Emma sigh wish impossible things till father awoke necessary cheerful,10.83,"melancholy,change,Emma,sigh,wish,impossible,things,till,father,awoke,necessary,cheerful",0.00,
His spirits required support ,spirits required support,3.45,"spirits,required,support",0.00,
He was a nervous man  easily depressed  fond of every body that he was used to  and hating to part with them  hating change of every kind ,nervous man easily depressed fond body hating hating change kind,12.32,"nervous,man,easily,depressed,fond,body,hating,hating,change,kind",0.00,
