Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Piping down the valleys wild  Piping songs of pleasant glee  On a cloud I saw a child  And he laughing said to me ,Piping valleys wild Piping songs pleasant glee cloud saw child laughing said,9.65,"Piping,valleys,wild,Piping,songs,pleasant,glee,cloud,saw,child,laughing,said",0.00,
 Pipe a song about a Lamb ,Pipe song Lamb,11.54,"Pipe,song,Lamb",0.00,
So I piped with merry cheer ,piped merry cheer,10.71,"piped,merry,cheer",0.00,
 Piper  pipe that song again  So I piped  he wept to hear ,Piper pipe song piped wept hear,10.34,"Piper,pipe,song,piped,wept,hear",0.00,
 Drop thy pipe  thy happy pipe  Sing thy songs of happy cheer ,Drop thy pipe thy happy pipe Sing thy songs happy cheer,1.61,"Drop,thy,pipe,thy,happy,pipe,Sing,thy,songs,happy,cheer",0.00,
So I sang the same again  While he wept with joy to hear ,sang wept joy hear,15.79,"sang,wept,joy,hear",0.00,
 Piper  sit thee down and write In a book  that all may read ,Piper sit thee write book read,11.48,"Piper,sit,thee,write,book,read",0.00,
So he vanish  d from my sight  And I pluck  d a hollow reed ,vanish sight pluck hollow reed,15.00,"vanish,sight,pluck,hollow,reed",0.00,
And I made a rural pen  And I stain  d the water clear  And I wrote my happy songs Every child may joy to hear ,rural pen stain water clear wrote happy songs child joy hear,12.61,"rural,pen,stain,water,clear,wrote,happy,songs,child,joy,hear",0.00,
How sweet is the Shepherd  s sweet lot ,sweet Shepherd sweet lot,10.26,"sweet,Shepherd,sweet,lot",0.00,
From the morn to the evening he stays  He shall follow his sheep all the day  And his tongue shall be filled with praise ,morn evening stays shall follow sheep day tongue shall filled praise,10.74,"morn,evening,stays,shall,follow,sheep,day,tongue,shall,filled,praise",0.00,
For he hears the lambs  innocent call  And he hears the ewes  tender reply  He is watching while they are in peace  For they know when their Shepherd is nigh ,hears lambs innocent hears ewes tender reply watching peace know Shepherd nigh,11.39,"hears,lambs,innocent,hears,ewes,tender,reply,watching,peace,know,Shepherd,nigh",0.00,
