Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
From house to house he goes  A messenger small and slight  And whether it rains or snows  He sleeps outside in the night ,house house goes messenger small slight rains snows sleeps outside night,9.92,"house,house,goes,messenger,small,slight,rains,snows,sleeps,outside,night",0.00,
THE LITTLE YELLOW TULIP,LITTLE YELLOW TULIP,4.35,"LITTLE,YELLOW,TULIP",0.00,
Once there was a little yellow Tulip  and she lived down in a little dark house under the ground ,little yellow Tulip lived little dark house ground,11.34,"little,yellow,Tulip,lived,little,dark,house,ground",0.00,
Suddenly  she heard a little tap  tap  tap  at the door ,Suddenly heard little tap tap tap door,7.14,"Suddenly,heard,little,tap,tap,tap,door",0.00,
 It  s the Rain  and I want to come in  said a soft  sad  little voice ,Rain want come said soft sad little voice,11.27,"Rain,want,come,said,soft,sad,little,voice",0.00,
 No  you can  t come in  the little Tulip said ,come little Tulip said,12.77,"come,little,Tulip,said",0.00,
By and by she heard another little tap  tap  tap on the window   pane ,heard little tap tap tap window pane,10.00,"heard,little,tap,tap,tap,window,pane",0.00,
The same soft little voice answered   It  s the Rain  and I want to come in ,soft little voice answered Rain want come,11.84,"soft,little,voice,answered,Rain,want,come",0.00,
 No  you can  t come in  said the little Tulip ,come said little Tulip,12.77,"come,said,little,Tulip",0.00,
At last  there came a little rustling  whispering sound  all round the window  rustle  whisper  whisper ,came little rustling whispering sound round window rustle whisper whisper,5.77,"came,little,rustling,whispering,sound,round,window,rustle,whisper,whisper",0.00,
said the little Tulip ,said little Tulip,4.55,"said,little,Tulip",0.00,
 It  s the Sunshine  said a little  soft  cheery voice   and I want to come in ,Sunshine said little soft cheery voice want come,10.13,"Sunshine,said,little,soft,cheery,voice,want,come",0.00,
 N    no  said the little Tulip   you can  t come in ,N said little Tulip come,11.32,"N,said,little,Tulip,come",0.00,
Pretty soon she heard the sweet little rustling noise at the keyhole ,Pretty soon heard sweet little rustling noise keyhole,5.80,"Pretty,soon,heard,sweet,little,rustling,noise,keyhole",0.00,
 It  s the Sunshine  said the cheery little voice   and I want to come in  I want to come in ,Sunshine said cheery little voice want come want come,11.83,"Sunshine,said,cheery,little,voice,want,come,want,come",0.00,
 No  no  said the little Tulip   you cannot come in ,said little Tulip come,11.54,"said,little,Tulip,come",0.00,
By and by  as she sat so still  she heard tap  tap  tap  and rustle  whisper  rustle  up and down the window   pane  and on the door and at the keyhole ,sat heard tap tap tap rustle whisper rustle window pane door keyhole,12.50,"sat,heard,tap,tap,tap,rustle,whisper,rustle,window,pane,door,keyhole",0.00,
 It  s the Rain and the Sun  the Rain and the Sun  said two little voices  together   and we want to come in ,Rain Sun Rain Sun said little voices want come,12.84,"Rain,Sun,Rain,Sun,said,little,voices,want,come",0.00,
said the little Tulip   if there are two of you  I s  pose I shall have to let you in ,said little Tulip pose shall let,16.28,"said,little,Tulip,pose,shall,let",0.00,
So she opened the door a little wee crack  and in they came ,opened door little wee crack came,11.67,"opened,door,little,wee,crack,came",0.00,
And one took one of her little hands  and the other took her other little hand  and they ran  ran  ran with her right up to the top of the ground ,took little hands took little hand ran ran ran right ground,13.70,"took,little,hands,took,little,hand,ran,ran,ran,right,ground",0.00,
So she poked her head through  and she was in the midst of a beautiful garden ,poked head midst beautiful garden,14.10,"poked,head,midst,beautiful,garden",0.00,
It was early springtime  and few other flowers were to be seen  but she had the birds to sing to her and the sun to shine upon her pretty yellow head ,early springtime flowers seen birds sing sun shine pretty yellow head,13.33,"early,springtime,flowers,seen,birds,sing,sun,shine,pretty,yellow,head",0.00,
She was so pleased  too  when the children exclaimed with pleasure that now they knew that the beautiful spring had come ,pleased children exclaimed pleasure knew beautiful spring come,10.74,"pleased,children,exclaimed,pleasure,knew,beautiful,spring,come",0.00,
THE COCK   A   DOO   DLE   DOO,COCK DOO DLE DOO,6.67,"COCK,DOO,DLE,DOO",0.00,
A very little boy made this story up  out of his head  and told it to his papa ,little boy story head told papa,15.19,"little,boy,story,head,told,papa",0.00,
I think you littlest ones will like it  I do ,think littlest ones like,13.33,"think,littlest,ones,like",0.00,
Once upon a time there was a little boy  and he wanted to be a cock   a   doo   dle   doo ,time little boy wanted cock doo dle doo,13.33,"time,little,boy,wanted,cock,doo,dle,doo",0.00,
So he was a cock   a   doo   dle   doo ,cock doo dle doo,12.82,"cock,doo,dle,doo",0.00,
And he wanted to fly up into the sky ,wanted fly sky,16.22,"wanted,fly,sky",0.00,
And he wanted to get wings and a tail So he did get some wings and a tail ,wanted wings tail wings tail,17.57,"wanted,wings,tail,wings,tail",0.00,
One hot summer morning a little Cloud rose out of the sea and floated lightly and happily across the blue sky ,hot summer morning little Cloud rose sea floated lightly happily blue sky,8.18,"hot,summer,morning,little,Cloud,rose,sea,floated,lightly,happily,blue,sky",0.00,
Far below lay the earth  brown  dry  and desolate  from drought ,Far lay earth brown dry desolate drought,6.25,"Far,lay,earth,brown,dry,desolate,drought",0.00,
The little Cloud could see the poor people of the earth working and suffering in the hot fields  while she herself floated on the morning breeze  hither and thither  without a care ,little Cloud poor people earth working suffering hot fields floated morning breeze hither thither care,9.39,"little,Cloud,poor,people,earth,working,suffering,hot,fields,floated,morning,breeze,hither,thither,care",0.00,
 Oh  if I could only help the poor people down there ,Oh help poor people,13.21,"Oh,help,poor,people",0.00,
 If I could but make their work easier  or give the hungry ones food  or the thirsty a drink ,work easier hungry ones food thirsty drink,12.90,"work,easier,hungry,ones,food,thirsty,drink",0.00,
And as the day passed  and the Cloud became larger  this wish to do something for the people of earth was ever greater in her heart ,day passed Cloud larger wish people earth greater heart,12.88,"day,passed,Cloud,larger,wish,people,earth,greater,heart",0.00,
On earth it grew hotter and hotter  the sun burned down so fiercely that the people were fainting in its rays  it seemed as if they must die of heat  and yet they were obliged to go on with their work  for they were very poor ,earth grew hotter hotter sun burned fiercely people fainting rays die heat obliged work poor,13.72,"earth,grew,hotter,hotter,sun,burned,fiercely,people,fainting,rays,die,heat,obliged,work,poor",0.00,
Sometimes they stood and looked up at the Cloud  as if they were praying  and saying   Ah  if you could help us ,stood looked Cloud praying saying Ah help,13.39,"stood,looked,Cloud,praying,saying,Ah,help",0.00,
And she began to sink softly down toward the earth ,began sink softly earth,11.76,"began,sink,softly,earth",0.00,
But suddenly  as she floated down  she remembered something which had been told her when she was a tiny Cloud   child  in the lap of Mother Ocean  it had been whispered that if the Clouds go too near the earth they die ,suddenly floated remembered told tiny Cloud child lap Mother Ocean whispered Clouds near earth die,12.33,"suddenly,floated,remembered,told,tiny,Cloud,child,lap,Mother,Ocean,whispered,Clouds,near,earth,die",0.00,
When she remembered this she held herself from sinking  and swayed here and there on the breeze  thinking    thinking ,remembered held sinking swayed breeze thinking thinking,10.17,"remembered,held,sinking,swayed,breeze,thinking,thinking",0.00,
