Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Alice was beginning to get very tired of sitting by her sister on the bank  and of having nothing to do  once or twice she had peeped into the book her sister was reading  but it had no pictures or conversations in it   and what is the use of a book  thought Alice  without pictures or conversation ,Alice beginning tired sitting sister bank twice peeped book sister reading pictures conversations use book thought Alice pictures conversation,12.71,"Alice,beginning,tired,sitting,sister,bank,twice,peeped,book,sister,reading,pictures,conversations,use,book,thought,Alice,pictures,conversation",0.00,
So she was considering in her own mind  whether the pleasure of making a daisy   chain would be worth the trouble of getting up and picking the daisies  when suddenly a White Rabbit with pink eyes ran close by her ,considering mind pleasure making daisy chain worth trouble getting picking daisies suddenly White Rabbit pink eyes ran close,10.28,"considering,mind,pleasure,making,daisy,chain,worth,trouble,getting,picking,daisies,suddenly,White,Rabbit,pink,eyes,ran,close",0.00,
There was nothing so VERY remarkable in that  nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself   Oh dear ,remarkable Alice think way hear Rabbit Oh dear,15.00,"remarkable,Alice,think,way,hear,Rabbit,Oh,dear",0.00,
 but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT   POCKET  and looked at it  and then hurried on  Alice started to her feet  for it flashed across her mind that she had never before seen a rabbit with either a waistcoat   pocket  or a watch to take out of it  and burning with curiosity  she ran across the field after it  and fortunately was just in time to see it pop down a large rabbit   hole under the hedge ,Rabbit actually TOOK WATCH WAISTCOAT POCKET looked hurried Alice started feet flashed mind seen rabbit waistcoat pocket watch burning curiosity ran field fortunately time pop large rabbit hole hedge,12.38,"Rabbit,actually,TOOK,WATCH,WAISTCOAT,POCKET,looked,hurried,Alice,started,feet,flashed,mind,seen,rabbit,waistcoat,pocket,watch,burning,curiosity,ran,field,fortunately,time,pop,large,rabbit,hole,hedge",0.00,
In another moment down went Alice after it  never once considering how in the world she was to get out again ,moment went Alice considering world,14.68,"moment,went,Alice,considering,world",0.00,
The rabbit   hole went straight on like a tunnel for some way  and then dipped suddenly down  so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well ,rabbit hole went straight like tunnel way dipped suddenly suddenly Alice moment think stopping found falling deep,10.41,"rabbit,hole,went,straight,like,tunnel,way,dipped,suddenly,suddenly,Alice,moment,think,stopping,found,falling,deep",0.00,
Either the well was very deep  or she fell very slowly  for she had plenty of time as she went down to look about her and to wonder what was going to happen next ,deep fell slowly plenty time went look wonder going happen,14.81,"deep,fell,slowly,plenty,time,went,look,wonder,going,happen",0.00,
First  she tried to look down and make out what she was coming to  but it was too dark to see anything  then she looked at the sides of the well  and noticed that they were filled with cupboards and book   shelves  here and there she saw maps and pictures hung upon pegs ,tried look coming dark looked sides noticed filled cupboards book shelves saw maps pictures hung pegs,13.65,"tried,look,coming,dark,looked,sides,noticed,filled,cupboards,book,shelves,saw,maps,pictures,hung,pegs",0.00,
She took down a jar from one of the shelves as she passed  it was labelled  ORANGE MARMALADE  but to her great disappointment it was empty  she did not like to drop the jar for fear of killing somebody  so managed to put it into one of the cupboards as she fell past it ,took jar shelves passed labelled ORANGE MARMALADE great disappointment like drop jar fear killing somebody managed cupboards fell past,12.96,"took,jar,shelves,passed,labelled,ORANGE,MARMALADE,great,disappointment,like,drop,jar,fear,killing,somebody,managed,cupboards,fell,past",0.00,
thought Alice to herself   after such a fall as this  I shall think nothing of tumbling down stairs ,thought Alice fall shall think tumbling stairs,11.00,"thought,Alice,fall,shall,think,tumbling,stairs",0.00,
