Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
As long as she was able to work  she was very industrious  and was accounted the best spinner in the parish  but she overworked herself at last  and fell ill  so that she could not sit to her wheel as she used to do  and was obliged to give it up to her eldest daughter  Mary ,long able work industrious accounted best spinner parish overworked fell ill sit wheel obliged eldest daughter Mary,14.13,"long,able,work,industrious,accounted,best,spinner,parish,overworked,fell,ill,sit,wheel,obliged,eldest,daughter,Mary",0.00,
Mary was at this time about twelve years old ,Mary time years old,11.11,"Mary,time,years,old",0.00,
One evening she was sitting at the foot of her mother  s bed spinning  and her little brothers and sisters were gathered round the fire eating their potatoes and milk for supper ,evening sitting foot mother bed spinning little brothers sisters gathered round fire eating potatoes milk supper,8.99,"evening,sitting,foot,mother,bed,spinning,little,brothers,sisters,gathered,round,fire,eating,potatoes,milk,supper",0.00,
 Bless them  the poor young creatures ,Bless poor young creatures,5.26,"Bless,poor,young,creatures",0.00,
said the widow  who  as she lay on her bed  which she knew must be her deathbed  was thinking of what would become of her children after she was gone ,said widow lay bed knew deathbed thinking children gone,14.00,"said,widow,lay,bed,knew,deathbed,thinking,children,gone",0.00,
Mary stopped her wheel  for she was afraid that the noise of it had wakened her mother  and would hinder her from going to sleep again ,Mary stopped wheel afraid noise wakened mother hinder going sleep,11.85,"Mary,stopped,wheel,afraid,noise,wakened,mother,hinder,going,sleep",0.00,
 No need to stop the wheel  Mary  dear  for me  said her mother   I was not asleep  nor is it THAT which keeps me from sleep ,need stop wheel Mary dear said mother asleep keeps sleep,12.80,"need,stop,wheel,Mary,dear,said,mother,asleep,keeps,sleep",0.00,
 Oh  no fear of that  replied Mary   I  m strong and hearty ,Oh fear replied Mary strong hearty,10.00,"Oh,fear,replied,Mary,strong,hearty",0.00,
 And so you will be again  I hope  said Mary   when the fine weather comes again ,hope said Mary fine weather comes,12.35,"hope,said,Mary,fine,weather,comes",0.00,
 The fine weather will never come again to me  said her mother ,fine weather come said mother,11.11,"fine,weather,come,said,mother",0.00,
