Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
The pale Usher    threadbare in coat  heart  body  and brain  I see him now ,pale Usher threadbare coat heart body brain,9.21,"pale,Usher,threadbare,coat,heart,body,brain",0.00,
He was ever dusting his old lexicons and grammars  with a queer handkerchief  mockingly embellished with all the gay flags of all the known nations of the world ,dusting old lexicons grammars queer handkerchief mockingly embellished gay flags known nations world,9.32,"dusting,old,lexicons,grammars,queer,handkerchief,mockingly,embellished,gay,flags,known,nations,world",0.00,
He loved to dust his old grammars  it somehow mildly reminded him of his mortality ,loved dust old grammars mildly reminded mortality,9.64,"loved,dust,old,grammars,mildly,reminded,mortality",0.00,
 While you take in hand to school others  and to teach them by what name a whale   fish is to be called in our tongue leaving out  through ignorance  the letter H  which almost alone maketh the signification of the word  you deliver that which is not true ,hand school teach whale fish called tongue leaving ignorance letter H maketh signification word deliver true,12.50,"hand,school,teach,whale,fish,called,tongue,leaving,ignorance,letter,H,maketh,signification,word,deliver,true",0.00,
This animal is named from roundness or rolling  for in Dan ,animal named roundness rolling Dan,10.17,"animal,named,roundness,rolling,Dan",0.00,
HVALT is arched or vaulted ,HVALT arched vaulted,7.41,"HVALT,arched,vaulted",0.00,
WALLEN  A  S  WALW   IAN  to roll  to wallow ,WALLEN WALW IAN roll wallow,8.89,"WALLEN,WALW,IAN,roll,wallow",0.00,
WHOEL  ANGLO   SAXON ,WHOEL ANGLO SAXON,0.00,"WHOEL,ANGLO,SAXON",0.00,
PEKEE   NUEE   NUEE  FEGEE ,PEKEE NUEE NUEE FEGEE,0.00,"PEKEE,NUEE,NUEE,FEGEE",0.00,
PEKEE   NUEE   NUEE  ERROMANGOAN ,PEKEE NUEE NUEE ERROMANGOAN,0.00,"PEKEE,NUEE,NUEE,ERROMANGOAN",0.00,
It will be seen that this mere painstaking burrower and grub   worm of a poor devil of a Sub   Sub appears to have gone through the long Vaticans and street   stalls of the earth  picking up whatever random allusions to whales he could anyways find in any book whatsoever  sacred or profane ,seen mere painstaking burrower grub worm poor devil Sub Sub appears gone long Vaticans street stalls earth picking random allusions whales anyways find book whatsoever sacred profane,8.59,"seen,mere,painstaking,burrower,grub,worm,poor,devil,Sub,Sub,appears,gone,long,Vaticans,street,stalls,earth,picking,random,allusions,whales,anyways,find,book,whatsoever,sacred,profane",0.00,
Therefore you must not  in every case at least  take the higgledy   piggledy whale statements  however authentic  in these extracts  for veritable gospel cetology ,case higgledy piggledy whale statements authentic extracts veritable gospel cetology,8.59,"case,higgledy,piggledy,whale,statements,authentic,extracts,veritable,gospel,cetology",0.00,
As touching the ancient authors generally  as well as the poets here appearing  these extracts are solely valuable or entertaining  as affording a glancing bird  s eye view of what has been promiscuously said  thought  fancied  and sung of Leviathan  by many nations and generations  including our own ,touching ancient authors generally poets appearing extracts solely valuable entertaining affording glancing bird eye view promiscuously said thought fancied sung Leviathan nations generations including,7.95,"touching,ancient,authors,generally,poets,appearing,extracts,solely,valuable,entertaining,affording,glancing,bird,eye,view,promiscuously,said,thought,fancied,sung,Leviathan,nations,generations,including",0.00,
So fare thee well  poor devil of a Sub   Sub  whose commentator I am ,fare thee poor devil Sub Sub commentator,10.14,"fare,thee,poor,devil,Sub,Sub,commentator",0.00,
Thou belongest to that hopeless  sallow tribe which no wine of this world will ever warm  and for whom even Pale Sherry would be too rosy   strong  but with whom one sometimes loves to sit  and feel poor   devilish  too  and grow convivial upon tears  and say to them bluntly  with full eyes and empty glasses  and in not altogether unpleasant sadness    Give it up  Sub   Subs ,Thou belongest hopeless sallow tribe wine world warm Pale Sherry rosy strong loves sit feel poor devilish grow convivial tears bluntly eyes glasses altogether unpleasant sadness Sub Subs,10.32,"Thou,belongest,hopeless,sallow,tribe,wine,world,warm,Pale,Sherry,rosy,strong,loves,sit,feel,poor,devilish,grow,convivial,tears,bluntly,eyes,glasses,altogether,unpleasant,sadness,Sub,Subs",0.00,
For by how much the more pains ye take to please the world  by so much the more shall ye for ever go thankless ,pains ye world shall ye thankless,16.22,"pains,ye,world,shall,ye,thankless",0.00,
Would that I could clear out Hampton Court and the Tuileries for ye ,clear Hampton Court Tuileries ye,11.76,"clear,Hampton,Court,Tuileries,ye",0.00,
But gulp down your tears and hie aloft to the royal   mast with your hearts  for your friends who have gone before are clearing out the seven   storied heavens  and making refugees of long   pampered Gabriel  Michael  and Raphael  against your coming ,gulp tears hie aloft royal mast hearts friends gone clearing seven storied heavens making refugees long pampered Gabriel Michael Raphael coming,8.37,"gulp,tears,hie,aloft,royal,mast,hearts,friends,gone,clearing,seven,storied,heavens,making,refugees,long,pampered,Gabriel,Michael,Raphael,coming",0.00,
Here ye strike but splintered hearts together    there  ye shall strike unsplinterable glasses ,ye strike splintered hearts ye shall strike unsplinterable glasses,4.21,"ye,strike,splintered,hearts,ye,shall,strike,unsplinterable,glasses",0.00,
 And God created great whales ,God created great whales,3.33,"God,created,great,whales",0.00,
 Leviathan maketh a path to shine after him  One would think the deep to be hoary ,Leviathan maketh path shine think deep hoary,10.98,"Leviathan,maketh,path,shine,think,deep,hoary",0.00,
 Now the Lord had prepared a great fish to swallow up Jonah ,Lord prepared great fish swallow Jonah,10.00,"Lord,prepared,great,fish,swallow,Jonah",0.00,
 There go the ships  there is that Leviathan whom thou hast made to play therein ,ships Leviathan thou hast play,12.35,"ships,Leviathan,thou,hast,play",0.00,
 In that day  the Lord with his sore  and great  and strong sword  shall punish Leviathan the piercing serpent  even Leviathan that crooked serpent  and he shall slay the dragon that is in the sea ,day Lord sore great strong sword shall punish Leviathan piercing serpent Leviathan crooked serpent shall slay dragon sea,8.63,"day,Lord,sore,great,strong,sword,shall,punish,Leviathan,piercing,serpent,Leviathan,crooked,serpent,shall,slay,dragon,sea",0.00,
 And what thing soever besides cometh within the chaos of this monster  s mouth  be it beast  boat  or stone  down it goes all incontinently that foul great swallow of his  and perisheth in the bottomless gulf of his paunch ,thing soever cometh chaos monster mouth beast boat stone goes incontinently foul great swallow perisheth bottomless gulf paunch,9.82,"thing,soever,cometh,chaos,monster,mouth,beast,boat,stone,goes,incontinently,foul,great,swallow,perisheth,bottomless,gulf,paunch",0.00,
   HOLLAND  S PLUTARCH  S MORALS ,HOLLAND PLUTARCH MORALS,6.06,"HOLLAND,PLUTARCH,MORALS",0.00,
 The Indian Sea breedeth the most and the biggest fishes that are  among which the Whales and Whirlpooles called Balaene  take up as much in length as four acres or arpens of land ,Indian Sea breedeth biggest fishes Whales Whirlpooles called Balaene length acres arpens land,11.11,"Indian,Sea,breedeth,biggest,fishes,Whales,Whirlpooles,called,Balaene,length,acres,arpens,land",0.00,
 Scarcely had we proceeded two days on the sea  when about sunrise a great many Whales and other monsters of the sea  appeared ,Scarcely proceeded days sea sunrise great Whales monsters sea appeared,10.24,"Scarcely,proceeded,days,sea,sunrise,great,Whales,monsters,sea,appeared",0.00,
This came towards us  open   mouthed  raising the waves on all sides  and beating the sea before him into a foam ,came open mouthed raising waves sides beating sea foam,10.62,"came,open,mouthed,raising,waves,sides,beating,sea,foam",0.00,
 He visited this country also with a view of catching horse   whales  which had bones of very great value for their teeth  of which he brought some to the king ,visited country view catching horse whales bones great value teeth brought king,11.25,"visited,country,view,catching,horse,whales,bones,great,value,teeth,brought,king",0.00,
The best whales were catched in his own country  of which some were forty   eight  some fifty yards long ,best whales catched country yards long,12.38,"best,whales,catched,country,yards,long",0.00,
He said that he was one of six who had killed sixty in two days ,said killed days,18.75,"said,killed,days",0.00,
   OTHER OR OCTHER  S VERBAL NARRATIVE TAKEN DOWN FROM HIS MOUTH BY KING ALFRED  A  D   ,OCTHER VERBAL NARRATIVE TAKEN MOUTH KING ALFRED,10.23,"OCTHER,VERBAL,NARRATIVE,TAKEN,MOUTH,KING,ALFRED",0.00,
 And whereas all the other things  whether beast or vessel  that enter into the dreadful gulf of this monster  s  mouth  are immediately lost and swallowed up  the sea   gudgeon retires into it in great security  and there sleeps ,things beast vessel enter dreadful gulf monster mouth immediately lost swallowed sea gudgeon retires great security sleeps,9.57,"things,beast,vessel,enter,dreadful,gulf,monster,mouth,immediately,lost,swallowed,sea,gudgeon,retires,great,security,sleeps",0.00,
   APOLOGY FOR RAIMOND SEBOND ,APOLOGY RAIMOND SEBOND,3.33,"APOLOGY,RAIMOND,SEBOND",0.00,
 Let us fly  let us fly ,Let fly let fly,8.33,"Let,fly,let,fly",0.00,
Old Nick take me if is not Leviathan described by the noble prophet Moses in the life of patient Job ,Old Nick Leviathan described noble prophet Moses life patient Job,9.90,"Old,Nick,Leviathan,described,noble,prophet,Moses,life,patient,Job",0.00,
 This whale  s liver was two cartloads ,whale liver cartloads,10.26,"whale,liver,cartloads",0.00,
 The great Leviathan that maketh the seas to seethe like boiling pan ,great Leviathan maketh seas seethe like boiling pan,5.80,"great,Leviathan,maketh,seas,seethe,like,boiling,pan",0.00,
   LORD BACON  S VERSION OF THE PSALMS ,LORD BACON VERSION PSALMS,7.69,"LORD,BACON,VERSION,PSALMS",0.00,
 Touching that monstrous bulk of the whale or ork we have received nothing certain ,Touching monstrous bulk whale ork received certain,8.43,"Touching,monstrous,bulk,whale,ork,received,certain",0.00,
They grow exceeding fat  insomuch that an incredible quantity of oil will be extracted out of one whale ,grow exceeding fat insomuch incredible quantity oil extracted whale,8.65,"grow,exceeding,fat,insomuch,incredible,quantity,oil,extracted,whale",0.00,
 HISTORY OF LIFE AND DEATH ,HISTORY LIFE DEATH,7.41,"HISTORY,LIFE,DEATH",0.00,
 The sovereignest thing on earth is parmacetti for an inward bruise ,sovereignest thing earth parmacetti inward bruise,7.35,"sovereignest,thing,earth,parmacetti,inward,bruise",0.00,
 Which to secure  no skill of leach  s art Mote him availle  but to returne againe To his wound  s worker  that with lowly dart  Dinting his breast  had bred his restless paine  Like as the wounded whale to shore flies thro  the maine ,secure skill leach art Mote availle returne againe wound worker lowly dart Dinting breast bred restless paine Like wounded whale shore flies thro maine,8.51,"secure,skill,leach,art,Mote,availle,returne,againe,wound,worker,lowly,dart,Dinting,breast,bred,restless,paine,Like,wounded,whale,shore,flies,thro,maine",0.00,
 Immense as whales  the motion of whose vast bodies can in a peaceful calm trouble the ocean til it boil ,Immense whales motion vast bodies peaceful calm trouble ocean til boil,8.57,"Immense,whales,motion,vast,bodies,peaceful,calm,trouble,ocean,til,boil",0.00,
   SIR WILLIAM DAVENANT ,SIR WILLIAM DAVENANT,0.00,"SIR,WILLIAM,DAVENANT",0.00,
 What spermacetti is  men might justly doubt  since the learned Hosmannus in his work of thirty years  saith plainly  Nescio quid sit ,spermacetti men justly doubt learned Hosmannus work thirty years saith plainly Nescio quid sit,5.97,"spermacetti,men,justly,doubt,learned,Hosmannus,work,thirty,years,saith,plainly,Nescio,quid,sit",0.00,
OF SPERMA CETI AND THE SPERMA CETI WHALE ,SPERMA CETI SPERMA CETI WHALE,7.32,"SPERMA,CETI,SPERMA,CETI,WHALE",0.00,
VIDE HIS V  E ,VIDE V E,7.14,"VIDE,V,E",0.00,
 Like Spencer  s Talus with his modern flail He threatens ruin with his ponderous tail ,Like Spencer Talus modern flail threatens ruin ponderous tail,6.90,"Like,Spencer,Talus,modern,flail,threatens,ruin,ponderous,tail",0.00,
 Their fixed jav  lins in his side he wears  And on his back a grove of pikes appears ,fixed jav lins wears grove pikes appears,12.79,"fixed,jav,lins,wears,grove,pikes,appears",0.00,
   WALLER  S BATTLE OF THE SUMMER ISLANDS ,WALLER BATTLE SUMMER ISLANDS,7.14,"WALLER,BATTLE,SUMMER,ISLANDS",0.00,
 By art is created that great Leviathan  called a Commonwealth or State    which is but an artificial man ,art created great Leviathan called Commonwealth State artificial man,8.49,"art,created,great,Leviathan,called,Commonwealth,State,artificial,man",0.00,
   OPENING SENTENCE OF HOBBES  S LEVIATHAN ,OPENING SENTENCE HOBBES LEVIATHAN,4.65,"OPENING,SENTENCE,HOBBES,LEVIATHAN",0.00,
 Silly Mansoul swallowed it without chewing  as if it had been a sprat in the mouth of a whale ,Silly Mansoul swallowed chewing sprat mouth whale,12.63,"Silly,Mansoul,swallowed,chewing,sprat,mouth,whale",0.00,
 That sea beast Leviathan  which God of all his works Created hugest that swim the ocean stream ,sea beast Leviathan God works Created hugest swim ocean stream,7.29,"sea,beast,Leviathan,God,works,Created,hugest,swim,ocean,stream",0.00,
    There Leviathan  Hugest of living creatures  in the deep Stretched like a promontory sleeps or swims  And seems a moving land  and at his gills Draws in  and at his breath spouts out a sea ,Leviathan Hugest living creatures deep Stretched like promontory sleeps swims moving land gills Draws breath spouts sea,9.33,"Leviathan,Hugest,living,creatures,deep,Stretched,like,promontory,sleeps,swims,moving,land,gills,Draws,breath,spouts,sea",0.00,
 The mighty whales which swim in a sea of water  and have a sea of oil swimming in them ,mighty whales swim sea water sea oil swimming,12.50,"mighty,whales,swim,sea,water,sea,oil,swimming",0.00,
   FULLLER  S PROFANE AND HOLY STATE ,FULLLER PROFANE HOLY STATE,5.41,"FULLLER,PROFANE,HOLY,STATE",0.00,
 So close behind some promontory lie The huge Leviathan to attend their prey  And give no chance  but swallow in the fry  Which through their gaping jaws mistake the way ,close promontory lie huge Leviathan attend prey chance swallow fry gaping jaws mistake way,9.41,"close,promontory,lie,huge,Leviathan,attend,prey,chance,swallow,fry,gaping,jaws,mistake,way",0.00,
   DRYDEN  S ANNUS MIRABILIS ,DRYDEN ANNUS MIRABILIS,3.45,"DRYDEN,ANNUS,MIRABILIS",0.00,
 While the whale is floating at the stern of the ship  they cut off his head  and tow it with a boat as near the shore as it will come  but it will be aground in twelve or thirteen feet water ,whale floating stern ship cut head tow boat near shore come aground thirteen feet water,13.54,"whale,floating,stern,ship,cut,head,tow,boat,near,shore,come,aground,thirteen,feet,water",0.00,
   THOMAS EDGE  S TEN VOYAGES TO SPITZBERGEN  IN PURCHAS ,THOMAS EDGE VOYAGES SPITZBERGEN PURCHAS,7.02,"THOMAS,EDGE,VOYAGES,SPITZBERGEN,PURCHAS",0.00,
 In their way they saw many whales sporting in the ocean  and in wantonness fuzzing up the water through their pipes and vents  which nature has placed on their shoulders ,way saw whales sporting ocean wantonness fuzzing water pipes vents nature placed shoulders,9.94,"way,saw,whales,sporting,ocean,wantonness,fuzzing,water,pipes,vents,nature,placed,shoulders",0.00,
   SIR T  HERBERT  S VOYAGES INTO ASIA AND AFRICA ,SIR HERBERT VOYAGES ASIA AFRICA,8.00,"SIR,HERBERT,VOYAGES,ASIA,AFRICA",0.00,
 Here they saw such huge troops of whales  that they were forced to proceed with a great deal of caution for fear they should run their ship upon them ,saw huge troops whales forced proceed great deal caution fear run ship,11.26,"saw,huge,troops,whales,forced,proceed,great,deal,caution,fear,run,ship",0.00,
   SCHOUTEN  S SIXTH CIRCUMNAVIGATION ,SCHOUTEN SIXTH CIRCUMNAVIGATION,2.63,"SCHOUTEN,SIXTH,CIRCUMNAVIGATION",0.00,
 We set sail from the Elbe  wind N  E ,set sail Elbe wind N E,7.89,"set,sail,Elbe,wind,N,E",0.00,
in the ship called The Jonas   in   the   Whale ,ship called Jonas Whale,10.42,"ship,called,Jonas,Whale",0.00,
Some say the whale can  t open his mouth  but that is a fable ,whale open mouth fable,16.13,"whale,open,mouth,fable",0.00,
They frequently climb up the masts to see whether they can see a whale  for the first discoverer has a ducat for his pains ,frequently climb masts whale discoverer ducat pains,13.82,"frequently,climb,masts,whale,discoverer,ducat,pains",0.00,
I was told of a whale taken near Shetland  that had above a barrel of herrings in his belly ,told whale taken near Shetland barrel herrings belly,11.96,"told,whale,taken,near,Shetland,barrel,herrings,belly",0.00,
 One of our harpooneers told me that he caught once a whale in Spitzbergen that was white all over ,harpooneers told caught whale Spitzbergen white,13.13,"harpooneers,told,caught,whale,Spitzbergen,white",0.00,
   A VOYAGE TO GREENLAND  A  D   HARRIS COLL ,VOYAGE GREENLAND HARRIS COLL,8.89,"VOYAGE,GREENLAND,HARRIS,COLL",0.00,
 Several whales have come in upon this coast  Anno   one eighty feet in length of the whale   bone kind came in  which  besides a vast quantity of oil  did afford  weight of baleen ,whales come coast Anno eighty feet length whale bone kind came vast quantity oil afford weight baleen,8.84,"whales,come,coast,Anno,eighty,feet,length,whale,bone,kind,came,vast,quantity,oil,afford,weight,baleen",0.00,
The jaws of it stand for a gate in the garden of Pitferren ,jaws stand gate garden Pitferren,13.56,"jaws,stand,gate,garden,Pitferren",0.00,
   SIBBALD  S FIFE AND KINROSS ,SIBBALD FIFE KINROSS,6.45,"SIBBALD,FIFE,KINROSS",0.00,
