Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
And chiefly thou  O Spirit  that dost prefer Before all temples th  upright heart and pure  Instruct me  for thou know  st  thou from the first Wast present  and  with mighty wings outspread  Dove   like sat  st brooding on the vast Abyss  And mad  st it pregnant  what in me is dark Illumine  what is low raise and support  That  to the height of this great argument  I may assert Eternal Providence  And justify the ways of God to men ,chiefly thou Spirit dost prefer temples th upright heart pure Instruct thou know st thou Wast present mighty wings outspread Dove like sat st brooding vast Abyss mad st pregnant dark Illumine low raise support height great argument assert Eternal Providence justify ways God men,8.01,"chiefly,thou,Spirit,dost,prefer,temples,th,upright,heart,pure,Instruct,thou,know,st,thou,Wast,present,mighty,wings,outspread,Dove,like,sat,st,brooding,vast,Abyss,mad,st,pregnant,dark,Illumine,low,raise,support,height,great,argument,assert,Eternal,Providence,justify,ways,God,men",0.00,
Say first    for Heaven hides nothing from thy view  Nor the deep tract of Hell    say first what because Moved our grand parents  in that happy state  Favoured of Heaven so highly  to fall off From their Creator  and transgress his will For one restraint  lords of the World besides ,Heaven hides thy view deep tract Hell Moved grand parents happy state Favoured Heaven highly fall Creator transgress restraint lords World,10.21,"Heaven,hides,thy,view,deep,tract,Hell,Moved,grand,parents,happy,state,Favoured,Heaven,highly,fall,Creator,transgress,restraint,lords,World",0.00,
Who first seduced them to that foul revolt ,seduced foul revolt,11.63,"seduced,foul,revolt",0.00,
Th  infernal Serpent  he it was whose guile  Stirred up with envy and revenge  deceived The mother of mankind  what time his pride Had cast him out from Heaven  with all his host Of rebel Angels  by whose aid  aspiring To set himself in glory above his peers  He trusted to have equalled the Most High  If he opposed  and with ambitious aim Against the throne and monarchy of God  Raised impious war in Heaven and battle proud  With vain attempt ,Th infernal Serpent guile Stirred envy revenge deceived mother mankind time pride cast Heaven host rebel Angels aid aspiring set glory peers trusted equalled High opposed ambitious aim throne monarchy God Raised impious war Heaven battle proud vain attempt,9.42,"Th,infernal,Serpent,guile,Stirred,envy,revenge,deceived,mother,mankind,time,pride,cast,Heaven,host,rebel,Angels,aid,aspiring,set,glory,peers,trusted,equalled,High,opposed,ambitious,aim,throne,monarchy,God,Raised,impious,war,Heaven,battle,proud,vain,attempt",0.00,
Him the Almighty Power Hurled headlong flaming from th  ethereal sky  With hideous ruin and combustion  down To bottomless perdition  there to dwell In adamantine chains and penal fire  Who durst defy th  Omnipotent to arms ,Almighty Power Hurled headlong flaming th ethereal sky hideous ruin combustion bottomless perdition dwell adamantine chains penal fire durst defy th Omnipotent arms,5.80,"Almighty,Power,Hurled,headlong,flaming,th,ethereal,sky,hideous,ruin,combustion,bottomless,perdition,dwell,adamantine,chains,penal,fire,durst,defy,th,Omnipotent,arms",0.00,
Nine times the space that measures day and night To mortal men  he  with his horrid crew  Lay vanquished  rolling in the fiery gulf  Confounded  though immortal ,times space measures day night mortal men horrid crew Lay vanquished rolling fiery gulf Confounded immortal,6.83,"times,space,measures,day,night,mortal,men,horrid,crew,Lay,vanquished,rolling,fiery,gulf,Confounded,immortal",0.00,
But his doom Reserved him to more wrath  for now the thought Both of lost happiness and lasting pain Torments him  round he throws his baleful eyes  That witnessed huge affliction and dismay  Mixed with obdurate pride and steadfast hate ,doom Reserved wrath thought lost happiness lasting pain Torments round throws baleful eyes witnessed huge affliction dismay Mixed obdurate pride steadfast hate,7.59,"doom,Reserved,wrath,thought,lost,happiness,lasting,pain,Torments,round,throws,baleful,eyes,witnessed,huge,affliction,dismay,Mixed,obdurate,pride,steadfast,hate",0.00,
At once  as far as Angels ken  he views The dismal situation waste and wild ,far Angels ken views dismal situation waste wild,9.21,"far,Angels,ken,views,dismal,situation,waste,wild",0.00,
A dungeon horrible  on all sides round  As one great furnace flamed  yet from those flames No light  but rather darkness visible Served only to discover sights of woe  Regions of sorrow  doleful shades  where peace And rest can never dwell  hope never comes That comes to all  but torture without end Still urges  and a fiery deluge  fed With ever   burning sulphur unconsumed ,dungeon horrible sides round great furnace flamed flames light darkness visible Served discover sights woe Regions sorrow doleful shades peace rest dwell hope comes comes torture end urges fiery deluge fed burning sulphur unconsumed,7.96,"dungeon,horrible,sides,round,great,furnace,flamed,flames,light,darkness,visible,Served,discover,sights,woe,Regions,sorrow,doleful,shades,peace,rest,dwell,hope,comes,comes,torture,end,urges,fiery,deluge,fed,burning,sulphur,unconsumed",0.00,
Such place Eternal Justice has prepared For those rebellious  here their prison ordained In utter darkness  and their portion set  As far removed from God and light of Heaven As from the centre thrice to th  utmost pole ,place Eternal Justice prepared rebellious prison ordained utter darkness portion set far removed God light Heaven centre thrice th utmost pole,7.73,"place,Eternal,Justice,prepared,rebellious,prison,ordained,utter,darkness,portion,set,far,removed,God,light,Heaven,centre,thrice,th,utmost,pole",0.00,
