Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Enter Flauius  Murellus  and certaine Commoners ouer the Stage ,Enter Flauius Murellus certaine Commoners ouer Stage,3.17,"Enter,Flauius,Murellus,certaine,Commoners,ouer,Stage",0.00,
Hence  home you idle Creatures  get you home  Is this a Holiday ,home idle Creatures home Holiday,10.94,"home,idle,Creatures,home,Holiday",0.00,
What  know you not  you ought not walke Vpon a labouring day  without the signe Of your Profession ,know ought walke Vpon labouring day signe Profession,10.10,"know,ought,walke,Vpon,labouring,day,signe,Profession",0.00,
Speake  what Trade art thou ,Speake Trade art thou,3.57,"Speake,Trade,art,thou",0.00,
Where is thy Leather Apron  and thy Rule ,thy Leather Apron thy Rule,7.32,"thy,Leather,Apron,thy,Rule",0.00,
What dost thou with thy best Apparrell on ,dost thou thy best Apparrell,7.14,"dost,thou,thy,best,Apparrell",0.00,
Truely Sir  in respect of a fine Workman  I am but as you would say  a Cobler,Truely Sir respect fine Workman Cobler,14.29,"Truely,Sir,respect,fine,Workman,Cobler",0.00,
But what Trade art thou ,Trade art thou,8.33,"Trade,art,thou",0.00,
A Trade Sir  that I hope I may vse  with a safe Conscience  which is indeed Sir  a Mender of bad soules,Trade Sir hope vse safe Conscience Sir Mender bad soules,11.65,"Trade,Sir,hope,vse,safe,Conscience,Sir,Mender,bad,soules",0.00,
Fla  What Trade thou knaue ,Fla Trade thou knaue,3.70,"Fla,Trade,thou,knaue",0.00,
Thou naughty knaue  what Trade ,Thou naughty knaue Trade,3.23,"Thou,naughty,knaue,Trade",0.00,
Nay I beseech you Sir  be not out with me  yet if you be out Sir  I can mend you,Nay beseech Sir Sir mend,18.75,"Nay,beseech,Sir,Sir,mend",0.00,
What mean  st thou by that ,mean st thou,11.11,"mean,st,thou",0.00,
Mend mee  thou sawcy Fellow ,Mend mee thou sawcy Fellow,0.00,"Mend,mee,thou,sawcy,Fellow",0.00,
Fla  Thou art a Cobler  art thou ,Fla Thou art Cobler art thou,3.03,"Fla,Thou,art,Cobler,art,thou",0.00,
Truly sir  all that I liue by  is with the Aule  I meddle with no Tradesmans matters  nor womens matters  but withal I am indeed Sir  a Surgeon to old shooes  when they are in great danger  I recouer them ,Truly sir liue Aule meddle Tradesmans matters womens matters withal Sir Surgeon old shooes great danger recouer,11.22,"Truly,sir,liue,Aule,meddle,Tradesmans,matters,womens,matters,withal,Sir,Surgeon,old,shooes,great,danger,recouer",0.00,
As proper men as euer trod vpon Neats Leather  haue gone vpon my handy   worke,proper men euer trod vpon Neats Leather haue gone vpon handy worke,3.85,"proper,men,euer,trod,vpon,Neats,Leather,haue,gone,vpon,handy,worke",0.00,
But wherefore art not in thy Shop to day ,wherefore art thy Shop day,9.76,"wherefore,art,thy,Shop,day",0.00,
Why do  st thou leade these men about the streets ,st thou leade men streets,10.00,"st,thou,leade,men,streets",0.00,
Truly sir  to weare out their shooes  to get my selfe into more worke ,Truly sir weare shooes selfe worke,11.43,"Truly,sir,weare,shooes,selfe,worke",0.00,
But indeede sir  we make Holyday to see Caesar  and to reioyce in his Triumph,indeede sir Holyday Caesar reioyce Triumph,11.69,"indeede,sir,Holyday,Caesar,reioyce,Triumph",0.00,
What Conquest brings he home ,Conquest brings home,6.90,"Conquest,brings,home",0.00,
What Tributaries follow him to Rome  To grace in Captiue bonds his Chariot Wheeles ,Tributaries follow Rome grace Captiue bonds Chariot Wheeles,7.23,"Tributaries,follow,Rome,grace,Captiue,bonds,Chariot,Wheeles",0.00,
You Blockes  you stones  you worse then senslesse things  O you hard hearts  you cruell men of Rome  Knew you not Pompey many a time and oft ,Blockes stones worse senslesse things hard hearts cruell men Rome Knew Pompey time oft,9.22,"Blockes,stones,worse,senslesse,things,hard,hearts,cruell,men,Rome,Knew,Pompey,time,oft",0.00,
Haue you climb  d vp to Walles and Battlements  To Towres and Windowes ,Haue climb vp Walles Battlements Towres Windowes,8.45,"Haue,climb,vp,Walles,Battlements,Towres,Windowes",0.00,
Yea  to Chimney tops  Your Infants in your Armes  and there haue sate The liue   long day  with patient expectation  To see great Pompey passe the streets of Rome  And when you saw his Chariot but appeare  Haue you not made an Vniuersall shout  That Tyber trembled vnderneath her bankes To heare the replication of your sounds  Made in her Concaue Shores ,Yea Chimney tops Infants Armes haue sate liue long day patient expectation great Pompey passe streets Rome saw Chariot appeare Haue Vniuersall shout Tyber trembled vnderneath bankes heare replication sounds Concaue Shores,8.45,"Yea,Chimney,tops,Infants,Armes,haue,sate,liue,long,day,patient,expectation,great,Pompey,passe,streets,Rome,saw,Chariot,appeare,Haue,Vniuersall,shout,Tyber,trembled,vnderneath,bankes,heare,replication,sounds,Concaue,Shores",0.00,
And do you now strew Flowers in his way  That comes in Triumph ouer Pompeyes blood ,strew Flowers way comes Triumph ouer Pompeyes blood,9.64,"strew,Flowers,way,comes,Triumph,ouer,Pompeyes,blood",0.00,
Be gone  Runne to your houses  fall vpon your knees  Pray to the Gods to intermit the plague That needs must light on this Ingratitude,gone Runne houses fall vpon knees Pray Gods intermit plague needs light Ingratitude,8.96,"gone,Runne,houses,fall,vpon,knees,Pray,Gods,intermit,plague,needs,light,Ingratitude",0.00,
Fla  Go  go  good Countrymen  and for this fault Assemble all the poore men of your sort  Draw them to Tyber bankes  and weepe your teares Into the Channell  till the lowest streame Do kisse the most exalted Shores of all ,Fla good Countrymen fault Assemble poore men sort Draw Tyber bankes weepe teares Channell till lowest streame kisse exalted Shores,9.46,"Fla,good,Countrymen,fault,Assemble,poore,men,sort,Draw,Tyber,bankes,weepe,teares,Channell,till,lowest,streame,kisse,exalted,Shores",0.00,
See where their basest mettle be not mou  d  They vanish tongue   tyed in their guiltinesse  Go you downe that way towards the Capitoll  This way will I  Disrobe the Images  If you do finde them deckt with Ceremonies,basest mettle mou vanish tongue tyed guiltinesse downe way Capitoll way Disrobe Images finde deckt Ceremonies,10.65,"basest,mettle,mou,vanish,tongue,tyed,guiltinesse,downe,way,Capitoll,way,Disrobe,Images,finde,deckt,Ceremonies",0.00,
You know it is the Feast of Lupercall,know Feast Lupercall,13.51,"know,Feast,Lupercall",0.00,
