Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
When shall we three meet againe ,shall meet againe,9.38,"shall,meet,againe",0.00,
In Thunder  Lightning  or in Raine ,Thunder Lightning Raine,8.57,"Thunder,Lightning,Raine",0.00,
When the Hurley   burley  s done  When the Battaile  s lost  and wonne,Hurley burley Battaile lost wonne,11.43,"Hurley,burley,Battaile,lost,wonne",0.00,
That will be ere the set of Sunne,ere set Sunne,15.15,"ere,set,Sunne",0.00,
I come  Gray   Malkin,come Gray Malkin,4.76,"come,Gray,Malkin",0.00,
Padock calls anon  faire is foule  and foule is faire  Houer through the fogge and filthie ayre ,Padock calls anon faire foule foule faire Houer fogge filthie ayre,6.25,"Padock,calls,anon,faire,foule,foule,faire,Houer,fogge,filthie,ayre",0.00,
Enter King Malcome  Donalbaine  Lenox  with attendants  meeting a bleeding Captaine ,Enter King Malcome Donalbaine Lenox attendants meeting bleeding Captaine,2.38,"Enter,King,Malcome,Donalbaine,Lenox,attendants,meeting,bleeding,Captaine",0.00,
he can report  As seemeth by his plight  of the Reuolt The newest state,report seemeth plight Reuolt newest state,11.27,"report,seemeth,plight,Reuolt,newest,state",0.00,
This is the Serieant  Who like a good and hardie Souldier fought  Gainst my Captiuitie  Haile braue friend  Say to the King  the knowledge of the Broyle  As thou didst leaue it,Serieant like good hardie Souldier fought Gainst Captiuitie Haile braue friend King knowledge Broyle thou didst leaue,8.52,"Serieant,like,good,hardie,Souldier,fought,Gainst,Captiuitie,Haile,braue,friend,King,knowledge,Broyle,thou,didst,leaue",0.00,
Doubtfull it stood  As two spent Swimmers  that doe cling together  And choake their Art  The mercilesse Macdonwald  from the Westerne Isles Of Kernes and Gallowgrosses is supply  d  And Fortune on his damned Quarry smiling  Shew  d like a Rebells Whore  but all  s too weake  For braue Macbeth  Disdayning Fortune  with his brandisht Steele  Which smoak  d with bloody execution  caru  d out his passage  Till hee fac  d the Slaue  Which neu  r shooke hands  nor bad farwell to him  Till he vnseam  d him from the Naue toth  Chops  And fix  d his Head vpon our Battlements,Doubtfull stood spent Swimmers doe cling choake Art mercilesse Macdonwald Westerne Isles Kernes Gallowgrosses supply Fortune damned Quarry smiling Shew like Rebells Whore weake braue Macbeth Disdayning Fortune brandisht Steele smoak bloody execution caru passage Till hee fac Slaue neu r shooke hands bad farwell Till vnseam Naue toth Chops fix Head vpon Battlements,8.20,"Doubtfull,stood,spent,Swimmers,doe,cling,choake,Art,mercilesse,Macdonwald,Westerne,Isles,Kernes,Gallowgrosses,supply,Fortune,damned,Quarry,smiling,Shew,like,Rebells,Whore,weake,braue,Macbeth,Disdayning,Fortune,brandisht,Steele,smoak,bloody,execution,caru,passage,Till,hee,fac,Slaue,neu,r,shooke,hands,bad,farwell,Till,vnseam,Naue,toth,Chops,fix,Head,vpon,Battlements",0.00,
O valiant Cousin  worthy Gentleman,valiant Cousin worthy Gentleman,2.94,"valiant,Cousin,worthy,Gentleman",0.00,
As whence the Sunne  gins his reflection  Shipwracking Stormes  and direfull Thunders  So from that Spring  whence comfort seem  d to come  Discomfort swells  Marke King of Scotland  marke  No sooner Iustice had  with Valour arm  d  Compell  d these skipping Kernes to trust their heeles  But the Norweyan Lord  surueying vantage  With furbusht Armes  and new supplyes of men  Began a fresh assault,Sunne gins reflection Shipwracking Stormes direfull Thunders Spring comfort come Discomfort swells Marke King Scotland marke sooner Iustice Valour arm Compell skipping Kernes trust heeles Norweyan Lord surueying vantage furbusht Armes new supplyes men Began fresh assault,6.78,"Sunne,gins,reflection,Shipwracking,Stormes,direfull,Thunders,Spring,comfort,come,Discomfort,swells,Marke,King,Scotland,marke,sooner,Iustice,Valour,arm,Compell,skipping,Kernes,trust,heeles,Norweyan,Lord,surueying,vantage,furbusht,Armes,new,supplyes,men,Began,fresh,assault",0.00,
Dismay  d not this our Captaines  Macbeth and Banquoh ,Dismay Captaines Macbeth Banquoh,9.26,"Dismay,Captaines,Macbeth,Banquoh",0.00,
Yes  as Sparrowes  Eagles  Or the Hare  the Lyon  If I say sooth  I must report they were As Cannons ouer   charg  d with double Cracks  So they doubly redoubled stroakes vpon the Foe  Except they meant to bathe in reeking Wounds  Or memorize another Golgotha  I cannot tell  but I am faint  My Gashes cry for helpe,Yes Sparrowes Eagles Hare Lyon sooth report Cannons ouer charg double Cracks doubly redoubled stroakes vpon Foe meant bathe reeking Wounds memorize Golgotha tell faint Gashes cry helpe,9.52,"Yes,Sparrowes,Eagles,Hare,Lyon,sooth,report,Cannons,ouer,charg,double,Cracks,doubly,redoubled,stroakes,vpon,Foe,meant,bathe,reeking,Wounds,memorize,Golgotha,tell,faint,Gashes,cry,helpe",0.00,
So well thy words become thee  as thy wounds  They smack of Honor both  Goe get him Surgeons ,thy words thee thy wounds smack Honor Goe Surgeons,9.68,"thy,words,thee,thy,wounds,smack,Honor,Goe,Surgeons",0.00,
Enter Rosse and Angus ,Enter Rosse Angus,4.55,"Enter,Rosse,Angus",0.00,
The worthy Thane of Rosse,worthy Thane Rosse,8.00,"worthy,Thane,Rosse",0.00,
What a haste lookes through his eyes ,haste lookes eyes,10.81,"haste,lookes,eyes",0.00,
So should he looke  that seemes to speake things strange,looke seemes speake things strange,8.93,"looke,seemes,speake,things,strange",0.00,
God saue the King,God saue King,5.88,"God,saue,King",0.00,
Whence cam  st thou  worthy Thane ,cam st thou worthy Thane,2.94,"cam,st,thou,worthy,Thane",0.00,
From Fiffe  great King  Where the Norweyan Banners flowt the Skie  And fanne our people cold ,Fiffe great King Norweyan Banners flowt Skie fanne people cold,6.45,"Fiffe,great,King,Norweyan,Banners,flowt,Skie,fanne,people,cold",0.00,
Norway himselfe  with terrible numbers  Assisted by that most disloyall Traytor  The Thane of Cawdor  began a dismall Conflict  Till that Bellona  s Bridegroome  lapt in proofe  Confronted him with selfe   comparisons  Point against Point  rebellious Arme  gainst Arme  Curbing his lauish spirit  and to conclude  The Victorie fell on vs,Norway himselfe terrible numbers Assisted disloyall Traytor Thane Cawdor began dismall Conflict Till Bellona Bridegroome lapt proofe Confronted selfe comparisons Point Point rebellious Arme gainst Arme Curbing lauish spirit conclude Victorie fell vs,5.34,"Norway,himselfe,terrible,numbers,Assisted,disloyall,Traytor,Thane,Cawdor,began,dismall,Conflict,Till,Bellona,Bridegroome,lapt,proofe,Confronted,selfe,comparisons,Point,Point,rebellious,Arme,gainst,Arme,Curbing,lauish,spirit,conclude,Victorie,fell,vs",0.00,
That now Sweno  the Norwayes King  Craues composition  Nor would we deigne him buriall of his men  Till he disbursed  at Saint Colmes ynch  Ten thousand Dollars  to our generall vse,Sweno Norwayes King Craues composition deigne buriall men Till disbursed Saint Colmes ynch thousand Dollars generall vse,7.73,"Sweno,Norwayes,King,Craues,composition,deigne,buriall,men,Till,disbursed,Saint,Colmes,ynch,thousand,Dollars,generall,vse",0.00,
No more that Thane of Cawdor shall deceiue Our Bosome interest  Goe pronounce his present death  And with his former Title greet Macbeth,Thane Cawdor shall deceiue Bosome interest Goe pronounce present death Title greet Macbeth,7.35,"Thane,Cawdor,shall,deceiue,Bosome,interest,Goe,pronounce,present,death,Title,greet,Macbeth",0.00,
What he hath lost  Noble Macbeth hath wonne ,hath lost Noble Macbeth hath wonne,4.55,"hath,lost,Noble,Macbeth,hath,wonne",0.00,
Where hast thou beene  Sister ,hast thou beene Sister,3.33,"hast,thou,beene,Sister",0.00,
A Saylors Wife had Chestnuts in her Lappe  And mouncht   mouncht  and mouncht  Giue me  quoth I  Aroynt thee  Witch  the rumpe   fed Ronyon cryes ,Saylors Wife Chestnuts Lappe mouncht mouncht mouncht Giue quoth Aroynt thee Witch rumpe fed Ronyon cryes,6.16,"Saylors,Wife,Chestnuts,Lappe,mouncht,mouncht,mouncht,Giue,quoth,Aroynt,thee,Witch,rumpe,fed,Ronyon,cryes",0.00,
Her Husband  s to Aleppo gone  Master o  th  Tiger  But in a Syue Ile thither sayle  And like a Rat without a tayle  Ile doe  Ile doe  and Ile doe,Husband Aleppo gone Master th Tiger Syue Ile thither sayle like Rat tayle Ile doe Ile doe Ile doe,8.22,"Husband,Aleppo,gone,Master,th,Tiger,Syue,Ile,thither,sayle,like,Rat,tayle,Ile,doe,Ile,doe,Ile,doe",0.00,
Ile giue thee a Winde,Ile giue thee Winde,4.76,"Ile,giue,thee,Winde",0.00,
Th  art kinde,Th art kinde,0.00,"Th,art,kinde",0.00,
I my selfe haue all the other  And the very Ports they blow  All the Quarters that they know  I  th  Ship   mans Card ,selfe haue Ports blow Quarters know th Ship mans Card,11.86,"selfe,haue,Ports,blow,Quarters,know,th,Ship,mans,Card",0.00,
Ile dreyne him drie as Hay  Sleepe shall neyther Night nor Day Hang vpon his Pent   house Lid  He shall liue a man forbid  Wearie Seu  nights  nine times nine  Shall he dwindle  peake  and pine  Though his Barke cannot be lost  Yet it shall be Tempest   tost ,Ile dreyne drie Hay Sleepe shall neyther Night Day Hang vpon Pent house Lid shall liue man forbid Wearie Seu nights times Shall dwindle peake pine Barke lost shall Tempest tost,6.56,"Ile,dreyne,drie,Hay,Sleepe,shall,neyther,Night,Day,Hang,vpon,Pent,house,Lid,shall,liue,man,forbid,Wearie,Seu,nights,times,Shall,dwindle,peake,pine,Barke,lost,shall,Tempest,tost",0.00,
Here I haue a Pilots Thumbe  Wrackt  as homeward he did come ,haue Pilots Thumbe Wrackt homeward come,9.84,"haue,Pilots,Thumbe,Wrackt,homeward,come",0.00,
