Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
One  s   self I sing  a simple separate person  Yet utter the word Democratic  the word En   Masse ,self sing simple separate person utter word Democratic word En Masse,7.07,"self,sing,simple,separate,person,utter,word,Democratic,word,En,Masse",0.00,
Of physiology from top to toe I sing  Not physiognomy alone nor brain alone is worthy for the Muse  I say the Form complete is worthier far  The Female equally with the Male I sing ,physiology toe sing physiognomy brain worthy Muse Form complete worthier far Female equally Male sing,11.05,"physiology,toe,sing,physiognomy,brain,worthy,Muse,Form,complete,worthier,far,Female,equally,Male,sing",0.00,
Of Life immense in passion  pulse  and power  Cheerful  for freest action form  d under the laws divine  The Modern Man I sing ,Life immense passion pulse power Cheerful freest action form laws divine Modern Man sing,7.09,"Life,immense,passion,pulse,power,Cheerful,freest,action,form,laws,divine,Modern,Man,sing",0.00,
As I ponder  d in silence  Returning upon my poems  considering  lingering long  A Phantom arose before me with distrustful aspect  Terrible in beauty  age  and power  The genius of poets of old lands  As to me directing like flame its eyes  With finger pointing to many immortal songs  And menacing voice  What singest thou ,ponder silence Returning poems considering lingering long Phantom arose distrustful aspect Terrible beauty age power genius poets old lands directing like flame eyes finger pointing immortal songs menacing voice singest thou,7.38,"ponder,silence,Returning,poems,considering,lingering,long,Phantom,arose,distrustful,aspect,Terrible,beauty,age,power,genius,poets,old,lands,directing,like,flame,eyes,finger,pointing,immortal,songs,menacing,voice,singest,thou",0.00,
it said  Know  st thou not there is hut one theme for ever   enduring bards ,said Know st thou hut theme enduring bards,9.21,"said,Know,st,thou,hut,theme,enduring,bards",0.00,
And that is the theme of War  the fortune of battles  The making of perfect soldiers ,theme War fortune battles making perfect soldiers,10.59,"theme,War,fortune,battles,making,perfect,soldiers",0.00,
Be it so  then I answer  d  I too haughty Shade also sing war  and a longer and greater one than any  Waged in my book with varying fortune  with flight  advance and retreat  victory deferr  d and wavering   the field the world  For life and death  for the Body and for the eternal Soul  Lo  I too am come  chanting the chant of battles  I above all promote brave soldiers ,answer haughty Shade sing war longer greater Waged book varying fortune flight advance retreat victory deferr wavering field world life death Body eternal Soul Lo come chanting chant battles promote brave soldiers,10.46,"answer,haughty,Shade,sing,war,longer,greater,Waged,book,varying,fortune,flight,advance,retreat,victory,deferr,wavering,field,world,life,death,Body,eternal,Soul,Lo,come,chanting,chant,battles,promote,brave,soldiers",0.00,
 In Cabin  d Ships at Sea,Cabin Ships Sea,12.00,"Cabin,Ships,Sea",0.00,
In cabin  d ships at sea  The boundless blue on every side expanding  With whistling winds and music of the waves  the large imperious waves  Or some lone bark buoy  d on the dense marine  Where joyous full of faith  spreading white sails  She cleaves the ether mid the sparkle and the foam of day  or under many a star at night  By sailors young and old haply will I  a reminiscence of the land  be read  In full rapport at last ,cabin ships sea boundless blue expanding whistling winds music waves large imperious waves lone bark buoy dense marine joyous faith spreading white sails cleaves ether mid sparkle foam day star night sailors young old haply reminiscence land read rapport,10.00,"cabin,ships,sea,boundless,blue,expanding,whistling,winds,music,waves,large,imperious,waves,lone,bark,buoy,dense,marine,joyous,faith,spreading,white,sails,cleaves,ether,mid,sparkle,foam,day,star,night,sailors,young,old,haply,reminiscence,land,read,rapport",0.00,
Here are our thoughts  voyagers  thoughts  Here not the land  firm land  alone appears  may then by them be said  The sky o  erarches here  we feel the undulating deck beneath our feet  We feel the long pulsation  ebb and flow of endless motion  The tones of unseen mystery  the vague and vast suggestions of the briny world  the liquid   flowing syllables  The perfume  the faint creaking of the cordage  the melancholy rhythm  The boundless vista and the horizon far and dim are all here  And this is ocean  s poem ,thoughts voyagers thoughts land firm land appears said sky erarches feel undulating deck beneath feet feel long pulsation ebb flow endless motion tones unseen mystery vague vast suggestions briny world liquid flowing syllables perfume faint creaking cordage melancholy rhythm boundless vista horizon far dim ocean poem,8.70,"thoughts,voyagers,thoughts,land,firm,land,appears,said,sky,erarches,feel,undulating,deck,beneath,feet,feel,long,pulsation,ebb,flow,endless,motion,tones,unseen,mystery,vague,vast,suggestions,briny,world,liquid,flowing,syllables,perfume,faint,creaking,cordage,melancholy,rhythm,boundless,vista,horizon,far,dim,ocean,poem",0.00,
