Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hanoi rocks was a finnish rock band formed in  they were the first finnish band to chart in the uk and they were also popular in japan the band broke up in june  after drummer nicholas razzle dingley died in a drunk driving accident with vince neil behind the wheel during their first us tour in december  after their initial break up michael monroe was the first finnish artist to chart on the american billboard  in  original vocalist michael monroe and guitarist andy mccoy reunited in  with a new lineup that lasted until  although musically closer to traditional rock n roll and punk the band have been cited as a major influence in the glam metal genre for bands such as guns n roses skid row and poison
",hanoi rocks finnish rock band formed finnish band chart uk popular japan band broke june drummer nicholas razzle dingley died drunk driving accident vince neil wheel tour december initial break michael monroe finnish artist chart american billboard original vocalist michael monroe guitarist andy mccoy reunited new lineup lasted musically closer traditional rock n roll punk band cited major influence glam metal genre bands guns n roses skid row poison,8.31,"hanoi,rocks,finnish,rock,band,formed,finnish,band,chart,uk,popular,japan,band,broke,june,drummer,nicholas,razzle,dingley,died,drunk,driving,accident,vince,neil,wheel,tour,december,initial,break,michael,monroe,finnish,artist,chart,american,billboard,original,vocalist,michael,monroe,guitarist,andy,mccoy,reunited,new,lineup,lasted,musically,closer,traditional,rock,n,roll,punk,band,cited,major,influence,glam,metal,genre,bands,guns,n,roses,skid,row,poison",0.00,hanoi
"according to finnish radio and tv personality jone nikula who was the bands tour manager in the s hanoi rockss albums have sold between  and  copies around the world mostly in scandinavia and japan
",according finnish radio tv personality jone nikula bands tour manager hanoi rockss albums sold copies world scandinavia japan,8.08,"according,finnish,radio,tv,personality,jone,nikula,bands,tour,manager,hanoi,rockss,albums,sold,copies,world,scandinavia,japan",0.00,hanoi
"hanoi rocks were formed in helsinki in  by michael monroe  and his friend guitarist andy mccoy  mccoy did not join the band immediately because he was the guitarist for the finnish punk band pelle miljoona oy mccoy allowed monroe to form the band with an agreement that mccoy would join later
",hanoi rocks formed helsinki michael monroe friend guitarist andy mccoy mccoy join band immediately guitarist finnish punk band pelle miljoona oy mccoy allowed monroe form band agreement mccoy join later,7.17,"hanoi,rocks,formed,helsinki,michael,monroe,friend,guitarist,andy,mccoy,mccoy,join,band,immediately,guitarist,finnish,punk,band,pelle,miljoona,oy,mccoy,allowed,monroe,form,band,agreement,mccoy,join,later",0.00,hanoi
"the original line up of hanoi rocks was michael monroe on vocals former pelle miljoona oy guitarist stefan piesnack monroes guitarist nasty suicide bassist nedo soininen and drummer peki sirola
",original line hanoi rocks michael monroe vocals pelle miljoona oy guitarist stefan piesnack monroes guitarist nasty suicide bassist nedo soininen drummer peki sirola,3.61,"original,line,hanoi,rocks,michael,monroe,vocals,pelle,miljoona,oy,guitarist,stefan,piesnack,monroes,guitarist,nasty,suicide,bassist,nedo,soininen,drummer,peki,sirola",0.00,hanoi
"the band toured finnish clubs playing mccoy and monroes own songs and covers like cheap tricks he is a whore the polices born in the s and mcs looking at you at one of the bands first shows was seppo vesterinen who had brought big name artists like iggy pop and frank zappa to finland vesterinen soon became the bands manager after speaking with mccoy and monroe in late  andy mccoy left pelle miljoona oy to join hanoi rocks and was later joined by another former pelle miljoona oy member bassist sami yaffa mccoy replaced stefan piesnack who had been arrested for drug possession and yaffa replaced nedo by then peki had left the band and when they relocated to stockholm they hired an old friend of monroe and mccoys drummer gyp casino
",band toured finnish clubs playing mccoy monroes songs covers like cheap tricks whore polices born mcs looking bands shows seppo vesterinen brought big artists like iggy pop frank zappa finland vesterinen soon bands manager speaking mccoy monroe late andy mccoy left pelle miljoona oy join hanoi rocks later joined pelle miljoona oy member bassist sami yaffa mccoy replaced stefan piesnack arrested drug possession yaffa replaced nedo peki left band relocated stockholm hired old friend monroe mccoys drummer gyp casino,7.31,"band,toured,finnish,clubs,playing,mccoy,monroes,songs,covers,like,cheap,tricks,whore,polices,born,mcs,looking,bands,shows,seppo,vesterinen,brought,big,artists,like,iggy,pop,frank,zappa,finland,vesterinen,soon,bands,manager,speaking,mccoy,monroe,late,andy,mccoy,left,pelle,miljoona,oy,join,hanoi,rocks,later,joined,pelle,miljoona,oy,member,bassist,sami,yaffa,mccoy,replaced,stefan,piesnack,arrested,drug,possession,yaffa,replaced,nedo,peki,left,band,relocated,stockholm,hired,old,friend,monroe,mccoys,drummer,gyp,casino",0.00,hanoi
"the second single tragedy  caf avenue written by mccoy when he was fifteen or sixteen years old was released in february  that same month the band released its debut album bangkok shocks saigon shakes hanoi rocks produced by michael monroe and andy mccoy calling themselves the muddy twins the album was well received reaching number five on the finnish album charts
",second single tragedy caf avenue written mccoy sixteen years old released february month band released debut album bangkok shocks saigon shakes hanoi rocks produced michael monroe andy mccoy calling muddy twins album received reaching number finnish album charts,6.27,"second,single,tragedy,caf,avenue,written,mccoy,sixteen,years,old,released,february,month,band,released,debut,album,bangkok,shocks,saigon,shakes,hanoi,rocks,produced,michael,monroe,andy,mccoy,calling,muddy,twins,album,received,reaching,number,finnish,album,charts",0.00,hanoi
"in january  hanoi rocks recorded their first music videos at the lepakko a concert venue and centre of independent youth culture for the songs tragedy oriental beat and motorvatin that same month the band released their second album oriental beat the album was mostly well received by critics and magazines including sounds and kerrang whose dave dickson continued to extensively cover hanoi rockss career in the s the band spent the spring of  touring in sweden and had their first japanese breakthrough with tragedy in may the single loves an injection  taxi driver was released
",january hanoi rocks recorded music videos lepakko concert venue centre independent youth culture songs tragedy oriental beat motorvatin month band released second album oriental beat album received critics magazines including sounds kerrang dave dickson continued extensively cover hanoi rockss career band spent spring touring sweden japanese breakthrough tragedy single loves injection taxi driver released,7.06,"january,hanoi,rocks,recorded,music,videos,lepakko,concert,venue,centre,independent,youth,culture,songs,tragedy,oriental,beat,motorvatin,month,band,released,second,album,oriental,beat,album,received,critics,magazines,including,sounds,kerrang,dave,dickson,continued,extensively,cover,hanoi,rockss,career,band,spent,spring,touring,sweden,japanese,breakthrough,tragedy,single,loves,injection,taxi,driver,released",0.00,hanoi
"by june  the band had permanently moved to london monroe met a hanoi rocks fan called razzle at a johnny thunders show  when razzle who was the drummer for london punk band the dark found out that monroe was the singer for hanoi rocks he attended some shows showed up backstage and asked to be the bands drummer mccoy and monroe fired gyp casino for his drug use depression and suicidal thoughts and razzle was hired as the new drummer
",june band permanently moved london monroe met hanoi rocks fan called razzle johnny thunders razzle drummer london punk band dark found monroe singer hanoi rocks attended shows showed backstage asked bands drummer mccoy monroe fired gyp casino drug use depression suicidal thoughts razzle hired new drummer,7.80,"june,band,permanently,moved,london,monroe,met,hanoi,rocks,fan,called,razzle,johnny,thunders,razzle,drummer,london,punk,band,dark,found,monroe,singer,hanoi,rocks,attended,shows,showed,backstage,asked,bands,drummer,mccoy,monroe,fired,gyp,casino,drug,use,depression,suicidal,thoughts,razzle,hired,new,drummer",0.00,hanoi
"in august  hanoi rocks released their third studio album self destruction blues the album featured old singles like loves an injection razzle had yet to join the band when the songs were recorded but he is credited on the album the album was released in october in finland with loves an injection spending a week at number one on the finnish singles charts the band also signed a contract with the japanese record company nippon phonogram
",august hanoi rocks released studio album self destruction blues album featured old singles like loves injection razzle join band songs recorded credited album album released october finland loves injection spending week number finnish singles charts band signed contract japanese record company nippon phonogram,7.52,"august,hanoi,rocks,released,studio,album,self,destruction,blues,album,featured,old,singles,like,loves,injection,razzle,join,band,songs,recorded,credited,album,album,released,october,finland,loves,injection,spending,week,number,finnish,singles,charts,band,signed,contract,japanese,record,company,nippon,phonogram",0.00,hanoi
"by january  the band was touring outside of the uk finland and sweden the asian tour was largely covered by british magazines and the band was featured on the cover of sounds the tour started in bombay continuing in hong kong and japan in japan the band was very popular with fans breaking into hotels to see the musicians the ticket prices for the show were as high as for stadium fillers and some phone booths in tokyo played hanoi rocks songs the tour continued from tokyo to vietnam
",january band touring outside uk finland sweden asian tour largely covered british magazines band featured cover sounds tour started bombay continuing hong kong japan japan band popular fans breaking hotels musicians ticket prices high stadium fillers phone booths tokyo played hanoi rocks songs tour continued tokyo vietnam,8.62,"january,band,touring,outside,uk,finland,sweden,asian,tour,largely,covered,british,magazines,band,featured,cover,sounds,tour,started,bombay,continuing,hong,kong,japan,japan,band,popular,fans,breaking,hotels,musicians,ticket,prices,high,stadium,fillers,phone,booths,tokyo,played,hanoi,rocks,songs,tour,continued,tokyo,vietnam",0.00,hanoi
