Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hanoia h  hn ha  h noy or us h  hah noy vietnamese h ni ha noj  is the capital and second largest city of vietnam it covers an area of  km  it consists of  urban districts one district leveled town and  rural districts located within the red river delta of northern vietnam hanoi is after saigon  the second cultural and political centre of vietnamcitation needed
",hanoia h hn ha h noy h hah noy vietnamese h ni ha noj capital second largest city vietnam covers area km consists urban districts district leveled town rural districts located red river delta northern vietnam hanoi saigon second cultural political centre vietnamcitation needed,5.77,"hanoia,h,hn,ha,h,noy,h,hah,noy,vietnamese,h,ni,ha,noj,capital,second,largest,city,vietnam,covers,area,km,consists,urban,districts,district,leveled,town,rural,districts,located,red,river,delta,northern,vietnam,hanoi,saigon,second,cultural,political,centre,vietnamcitation,needed",0.00,hanoi
"hanoi can trace its history back to the third century bce when a portion of the modern day city served as the capital of the historic vietnamese nation of you lc following the collapse of you lc the city was part of han china in  vietnamese emperor l thi t established the capital of the imperial vietnamese nation i vit in modern day central hanoi naming the city thng long  thng long remained i vits political centre until  when the nguyn dynasty the last imperial vietnamese dynasty moved the capital to hu the city was renamed hanoi in  and served as the capital of french indochina from  to  on  january  the national assembly of the democratic republic of vietnam designated hanoi as the capital of the newly independent country which would last during the first indochina war  and the vietnam war  hanoi has been the capital of the socialist republic of vietnam since 
",hanoi trace history century bce portion modern day city served capital historic vietnamese nation lc following collapse lc city han china vietnamese emperor l thi established capital imperial vietnamese nation vit modern day central hanoi naming city thng long thng long remained vits political centre nguyn dynasty imperial vietnamese dynasty moved capital hu city renamed hanoi served capital french indochina january national assembly democratic republic vietnam designated hanoi capital newly independent country indochina war vietnam war hanoi capital socialist republic vietnam,8.22,"hanoi,trace,history,century,bce,portion,modern,day,city,served,capital,historic,vietnamese,nation,lc,following,collapse,lc,city,han,china,vietnamese,emperor,l,thi,established,capital,imperial,vietnamese,nation,vit,modern,day,central,hanoi,naming,city,thng,long,thng,long,remained,vits,political,centre,nguyn,dynasty,imperial,vietnamese,dynasty,moved,capital,hu,city,renamed,hanoi,served,capital,french,indochina,january,national,assembly,democratic,republic,vietnam,designated,hanoi,capital,newly,independent,country,indochina,war,vietnam,war,hanoi,capital,socialist,republic,vietnam",0.00,hanoi
"a major tourist destination in vietnam hanoi offers well preserved french colonial architecture religious sites dedicated to buddhism catholicism confucianism and taoism several historical landmarks of vietnamese imperial periods and a large number of museums the central sector of the imperial citadel of thng long in ba dinh district was recognized as a unesco world heritage site in 
",major tourist destination vietnam hanoi offers preserved french colonial architecture religious sites dedicated buddhism catholicism confucianism taoism historical landmarks vietnamese imperial periods large number museums central sector imperial citadel thng long ba dinh district recognized unesco world heritage site,4.91,"major,tourist,destination,vietnam,hanoi,offers,preserved,french,colonial,architecture,religious,sites,dedicated,buddhism,catholicism,confucianism,taoism,historical,landmarks,vietnamese,imperial,periods,large,number,museums,central,sector,imperial,citadel,thng,long,ba,dinh,district,recognized,unesco,world,heritage,site",0.00,hanoi
"hanoi has a high human development index of  top amongst all the municipalities and provinces of vietnam the city hosts various venerable educational institutions and cultural venues of significance including the vietnam national university the m nh national stadium and the vietnam national museum of fine arts hanoi was the only asia pacific locality to be granted the city for peace title by the unesco on  july  recognizing its contributions to the struggle for peace its efforts to promote equality in the community protect the environment promote culture and education and care for younger generations hanoi joined unescos network of creative cities as a design city on  october  on the occasion of world cities day the city has also hosted numerous political and international events including apec vietnam  nd assembly of the inter parliamentary union   north koreaunited states hanoi summit as well as  asian indoor games and the southeast asian games in  and 
",hanoi high human development index municipalities provinces vietnam city hosts venerable educational institutions cultural venues significance including vietnam national university nh national stadium vietnam national museum fine arts hanoi asia pacific locality granted city peace title unesco july recognizing contributions struggle peace efforts promote equality community protect environment promote culture education care younger generations hanoi joined unescos network creative cities design city october occasion world cities day city hosted numerous political international events including apec vietnam nd assembly inter parliamentary union north koreaunited states hanoi summit asian indoor games southeast asian games,6.29,"hanoi,high,human,development,index,municipalities,provinces,vietnam,city,hosts,venerable,educational,institutions,cultural,venues,significance,including,vietnam,national,university,nh,national,stadium,vietnam,national,museum,fine,arts,hanoi,asia,pacific,locality,granted,city,peace,title,unesco,july,recognizing,contributions,struggle,peace,efforts,promote,equality,community,protect,environment,promote,culture,education,care,younger,generations,hanoi,joined,unescos,network,creative,cities,design,city,october,occasion,world,cities,day,city,hosted,numerous,political,international,events,including,apec,vietnam,nd,assembly,inter,parliamentary,union,north,koreaunited,states,hanoi,summit,asian,indoor,games,southeast,asian,games",0.00,hanoi
"hanoi had various names throughout history
",hanoi names history,6.98,"hanoi,names,history",0.00,hanoi
"many vestiges of human habitation from the late palaeolithic and early mesolithic ages can be found in hanoi between  and  archaeologists in ba v and ng anh discovered pebbles with traces of carving and processing by human hands that are relics of sn vi culture dating from  to  years ago in  the museum of vietnamese history  carried out the archaeological studies in the north of dong mo lake  finding various relics and objects belonging to sn vi culture  in the paleolithic age  years ago during the mid holocene transgression the sea level rose and immersed low lying areas geological data clearly show the coastline was inundated and was located near present day hanoi as is apparent from the absence of neolithic sites across most of the bac bo region consequently from about  to approximately  years ago hanoi in general was completely absent it is believed that the region has been continuously inhabited for the last  years
",vestiges human habitation late palaeolithic early mesolithic ages found hanoi archaeologists ba v ng anh discovered pebbles traces carving processing human hands relics sn vi culture dating years ago museum vietnamese history carried archaeological studies north dong mo lake finding relics objects belonging sn vi culture paleolithic age years ago mid holocene transgression sea level rose immersed low lying areas geological data clearly coastline inundated located near present day hanoi apparent absence neolithic sites bac bo region consequently approximately years ago hanoi general completely absent believed region continuously inhabited years,7.07,"vestiges,human,habitation,late,palaeolithic,early,mesolithic,ages,found,hanoi,archaeologists,ba,v,ng,anh,discovered,pebbles,traces,carving,processing,human,hands,relics,sn,vi,culture,dating,years,ago,museum,vietnamese,history,carried,archaeological,studies,north,dong,mo,lake,finding,relics,objects,belonging,sn,vi,culture,paleolithic,age,years,ago,mid,holocene,transgression,sea,level,rose,immersed,low,lying,areas,geological,data,clearly,coastline,inundated,located,near,present,day,hanoi,apparent,absence,neolithic,sites,bac,bo,region,consequently,approximately,years,ago,hanoi,general,completely,absent,believed,region,continuously,inhabited,years",0.00,hanoi
"in around third century bce an dng vng established the capital of you lc north of present day hanoi where a fortified citadel is constructed known to history as c loa the first political center of the vietnamese civilization pre sinitic era with an outer embankment covering  hectares in  because the you lc kingdom was annexed by nanyue which ushered in more than a thousand years of chinese domination zhao tuo subsequently incorporated the regions into his nanyue domain but left the indigenous chiefs in control of the population for the first time the region formed part of a polity headed by a chinese ruler
",century bce dng vng established capital lc north present day hanoi fortified citadel constructed known history c loa political center vietnamese civilization pre sinitic era outer embankment covering hectares lc kingdom annexed nanyue ushered thousand years chinese domination zhao tuo subsequently incorporated regions nanyue domain left indigenous chiefs control population time region formed polity headed chinese ruler,7.82,"century,bce,dng,vng,established,capital,lc,north,present,day,hanoi,fortified,citadel,constructed,known,history,c,loa,political,center,vietnamese,civilization,pre,sinitic,era,outer,embankment,covering,hectares,lc,kingdom,annexed,nanyue,ushered,thousand,years,chinese,domination,zhao,tuo,subsequently,incorporated,regions,nanyue,domain,left,indigenous,chiefs,control,population,time,region,formed,polity,headed,chinese,ruler",0.00,hanoi
"by the middle of the fifth century in the center of ancient hanoi a fortified settlement was founded by the chinese liu song dynasty as the seat of a new district called tng bnh  within giao ch commandery the name refers to its pacification by the dynasty it was elevated to its own commandery at some point between ad  and   the commandery included the districts of yihuai  and suining  in the south of the red river  with a metropolis  in the present inner hanoi
",middle fifth century center ancient hanoi fortified settlement founded chinese liu song dynasty seat new district called tng bnh giao ch commandery refers pacification dynasty elevated commandery point ad commandery included districts yihuai suining south red river metropolis present inner hanoi,9.25,"middle,fifth,century,center,ancient,hanoi,fortified,settlement,founded,chinese,liu,song,dynasty,seat,new,district,called,tng,bnh,giao,ch,commandery,refers,pacification,dynasty,elevated,commandery,point,ad,commandery,included,districts,yihuai,suining,south,red,river,metropolis,present,inner,hanoi",0.00,hanoi
"to defeat the peoples uprisings in the later half of the eighth century zhang boyi  a tang dynasty viceroy built luocheng  in the earlier half of the ninth century it was further built up and called jincheng  in  nanzhao army and local people laid siege of jincheng and defeated the chinese armies of  in  chinese jiedushi gao pian recaptured the city and drove out the nanzhao and rebels he renamed the city to daluocheng  he built the wall  meters around the city which some part were more than eight meters high i la at the time with approximate  residents included small foreign communities and residents of persians arabs indian cham javanese and nestorian christians became an important trading center of the tang dynasty due to the ransacking of canton by huang chao rebellion by early tenth century ad modern day hanoi was known to the muslim traders as luqin
",defeat peoples uprisings later half eighth century zhang boyi tang dynasty viceroy built luocheng earlier half ninth century built called jincheng nanzhao army local people laid siege jincheng defeated chinese armies chinese jiedushi gao pian recaptured city drove nanzhao rebels renamed city daluocheng built wall meters city meters high la time approximate residents included small foreign communities residents persians arabs indian cham javanese nestorian christians important trading center tang dynasty ransacking canton huang chao rebellion early tenth century ad modern day hanoi known muslim traders luqin,7.26,"defeat,peoples,uprisings,later,half,eighth,century,zhang,boyi,tang,dynasty,viceroy,built,luocheng,earlier,half,ninth,century,built,called,jincheng,nanzhao,army,local,people,laid,siege,jincheng,defeated,chinese,armies,chinese,jiedushi,gao,pian,recaptured,city,drove,nanzhao,rebels,renamed,city,daluocheng,built,wall,meters,city,meters,high,la,time,approximate,residents,included,small,foreign,communities,residents,persians,arabs,indian,cham,javanese,nestorian,christians,important,trading,center,tang,dynasty,ransacking,canton,huang,chao,rebellion,early,tenth,century,ad,modern,day,hanoi,known,muslim,traders,luqin",0.00,hanoi
"a view of hanoi from the red river in  manuscript from royal societys archive
",view hanoi red river manuscript royal societys archive,7.69,"view,hanoi,red,river,manuscript,royal,societys,archive",0.00,hanoi
