Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the earliest known written records of the history of china date from as early as  because from the shang dynasty  during the reign of king wu ding ancient historical texts such as the book of documents  the bamboo annals  and the records of the grand historian  describe a xia dynasty before the shang but no writing is known from the period and shang writings do not indicate the existence of the xia the shang ruled in the yellow river valley which is commonly held to be the cradle of chinese civilization however neolithic civilizations originated at various cultural centers along both the yellow river and yangtze river these yellow river and yangtze civilizations arose millennia before the shang with thousands of years of continuous history china is among the worlds oldest civilizations and is regarded as one of the cradles of civilization
",earliest known written records history china date early shang dynasty reign king wu ding ancient historical texts book documents bamboo annals records grand historian describe xia dynasty shang writing known period shang writings indicate existence xia shang ruled yellow river valley commonly held cradle chinese civilization neolithic civilizations originated cultural centers yellow river yangtze river yellow river yangtze civilizations arose millennia shang thousands years continuous history china worlds oldest civilizations regarded cradles civilization,8.11,"earliest,known,written,records,history,china,date,early,shang,dynasty,reign,king,wu,ding,ancient,historical,texts,book,documents,bamboo,annals,records,grand,historian,describe,xia,dynasty,shang,writing,known,period,shang,writings,indicate,existence,xia,shang,ruled,yellow,river,valley,commonly,held,cradle,chinese,civilization,neolithic,civilizations,originated,cultural,centers,yellow,river,yangtze,river,yellow,river,yangtze,civilizations,arose,millennia,shang,thousands,years,continuous,history,china,worlds,oldest,civilizations,regarded,cradles,civilization",0.00,china
"in  because qin shi huang conquered the various warring states and created for himself the title of huangdi or emperor of the qin marking the beginning of imperial china however the oppressive government fell soon after his death and was supplanted by the longer lived han dynasty  in the  centuries from  because until ad  routine administrative tasks were handled by a special elite of scholar officials young men well versed in calligraphy history literature and philosophy were carefully selected through difficult government examinations chinas last dynasty was the qing  which was replaced by the republic of china in  and then in the mainland by the peoples republic of china in  the republic of china retreated to the island of taiwan in  both the prc and the roc currently claim to be the sole legitimate government of china resulting in an ongoing dispute even after the united nations recognized the prc as the government to represent china at all un conferences in  hong kong and macau transferred sovereignty to china in  and  from the united kingdom and portugal respectively becoming special administrative regions  of the prc
",qin shi huang conquered warring states created title huangdi emperor qin marking beginning imperial china oppressive government fell soon death supplanted longer lived han dynasty centuries ad routine administrative tasks handled special elite scholar officials young men versed calligraphy history literature philosophy carefully selected difficult government examinations chinas dynasty qing replaced republic china mainland peoples republic china republic china retreated island taiwan prc roc currently claim sole legitimate government china resulting ongoing dispute united nations recognized prc government represent china un conferences hong kong macau transferred sovereignty china united kingdom portugal respectively special administrative regions prc,7.79,"qin,shi,huang,conquered,warring,states,created,title,huangdi,emperor,qin,marking,beginning,imperial,china,oppressive,government,fell,soon,death,supplanted,longer,lived,han,dynasty,centuries,ad,routine,administrative,tasks,handled,special,elite,scholar,officials,young,men,versed,calligraphy,history,literature,philosophy,carefully,selected,difficult,government,examinations,chinas,dynasty,qing,replaced,republic,china,mainland,peoples,republic,china,republic,china,retreated,island,taiwan,prc,roc,currently,claim,sole,legitimate,government,china,resulting,ongoing,dispute,united,nations,recognized,prc,government,represent,china,un,conferences,hong,kong,macau,transferred,sovereignty,china,united,kingdom,portugal,respectively,special,administrative,regions,prc",0.00,china
"chinese history has alternated between periods of prosperity political unity and peace and periods of war and failed statehood the region was occasionally dominated by steppe peoples especially the mongols and manchus many of whom were often assimilated into the han chinese culture and population between eras of multiple kingdoms and warlordism chinese dynasties have ruled parts or all of china in some eras control stretched as far as xinjiang tibet and inner mongolia as at present traditional culture and influences from other parts of asia and the western worldcarried by waves of immigration cultural assimilation expansion and foreign contactform the basis of the modern culture of china
",chinese history alternated periods prosperity political unity peace periods war failed statehood region occasionally dominated steppe peoples especially mongols manchus assimilated han chinese culture population eras multiple kingdoms warlordism chinese dynasties ruled parts china eras control stretched far xinjiang tibet inner mongolia present traditional culture influences parts asia western worldcarried waves immigration cultural assimilation expansion foreign contactform basis modern culture china,6.74,"chinese,history,alternated,periods,prosperity,political,unity,peace,periods,war,failed,statehood,region,occasionally,dominated,steppe,peoples,especially,mongols,manchus,assimilated,han,chinese,culture,population,eras,multiple,kingdoms,warlordism,chinese,dynasties,ruled,parts,china,eras,control,stretched,far,xinjiang,tibet,inner,mongolia,present,traditional,culture,influences,parts,asia,western,worldcarried,waves,immigration,cultural,assimilation,expansion,foreign,contactform,basis,modern,culture,china",0.00,china
"the archaic human species of homo erectus arrived in eurasia sometimes between  and  million years ago  and numerous remains of its subspecies have been found in what is now china the oldest of these is the southwestern yuanmou man  dated to c  ma which lived in a mixed bushland forest environment alongside chalicotheres deer the elephant stegodon rhinos cattle pigs and the giant short faced hyaena the better known peking man  of  bp was discovered in the zhoukoudian cave alongside scrapers choppers and dated slightly later points burins and awls other homo erectus fossils have been found widely throughout the region including the northwestern lantian man  as well minor specimens in northeastern liaoning and southern guangdong the dates of most paleolithic sites were long debated but have been more reliably established based on modern magnetostratigraphy majuangou at  ma lanpo at  ma xiaochangliang at  ma xiantai at  ma banshan at  ma feiliang at  ma and donggutuo at  ma evidence of fire use by homo erectus occurred between  million years bp at the archaeological site of xihoudu shanxi province
",archaic human species homo erectus arrived eurasia million years ago numerous remains subspecies found china oldest southwestern yuanmou man dated c lived mixed bushland forest environment alongside chalicotheres deer elephant stegodon rhinos cattle pigs giant short faced hyaena better known peking man bp discovered zhoukoudian cave alongside scrapers choppers dated slightly later points burins awls homo erectus fossils found widely region including northwestern lantian man minor specimens northeastern liaoning southern guangdong dates paleolithic sites long debated reliably established based modern magnetostratigraphy majuangou lanpo xiaochangliang xiantai banshan feiliang donggutuo evidence fire use homo erectus occurred million years bp archaeological site xihoudu shanxi province,6.74,"archaic,human,species,homo,erectus,arrived,eurasia,million,years,ago,numerous,remains,subspecies,found,china,oldest,southwestern,yuanmou,man,dated,c,lived,mixed,bushland,forest,environment,alongside,chalicotheres,deer,elephant,stegodon,rhinos,cattle,pigs,giant,short,faced,hyaena,better,known,peking,man,bp,discovered,zhoukoudian,cave,alongside,scrapers,choppers,dated,slightly,later,points,burins,awls,homo,erectus,fossils,found,widely,region,including,northwestern,lantian,man,minor,specimens,northeastern,liaoning,southern,guangdong,dates,paleolithic,sites,long,debated,reliably,established,based,modern,magnetostratigraphy,majuangou,lanpo,xiaochangliang,xiantai,banshan,feiliang,donggutuo,evidence,fire,use,homo,erectus,occurred,million,years,bp,archaeological,site,xihoudu,shanxi,province",0.00,china
"the circumstances surrounding the evolution of homo erectus to contemporary h sapiens is debated the three main theories include the dominant out of africa theory  the regional continuity model and the admixture variant of the ooa hypothesis regardless the earliest modern humans have been dated to china at  bp based on fossilized teeth discovered in fuyan cave of dao county hunan the larger animals which lived alongside these humans include the extinct ailuropoda baconi panda the crocuta ultima hyena the stegodon and the giant tapir evidence of middle palaeolithic levallois technology has been found in the lithic assemblage of guanyindong cave site in southwest china dated to approximately  years ago
",circumstances surrounding evolution homo erectus contemporary h sapiens debated main theories include dominant africa theory regional continuity model admixture variant ooa hypothesis regardless earliest modern humans dated china bp based fossilized teeth discovered fuyan cave dao county hunan larger animals lived alongside humans include extinct ailuropoda baconi panda crocuta ultima hyena stegodon giant tapir evidence middle palaeolithic levallois technology found lithic assemblage guanyindong cave site southwest china dated approximately years ago,5.49,"circumstances,surrounding,evolution,homo,erectus,contemporary,h,sapiens,debated,main,theories,include,dominant,africa,theory,regional,continuity,model,admixture,variant,ooa,hypothesis,regardless,earliest,modern,humans,dated,china,bp,based,fossilized,teeth,discovered,fuyan,cave,dao,county,hunan,larger,animals,lived,alongside,humans,include,extinct,ailuropoda,baconi,panda,crocuta,ultima,hyena,stegodon,giant,tapir,evidence,middle,palaeolithic,levallois,technology,found,lithic,assemblage,guanyindong,cave,site,southwest,china,dated,approximately,years,ago",0.00,china
"the neolithic age in china is considered to have begun about  years ago since the neolithic is conventionally defined by the presence of agriculture it follows that the neolithic began at different times in the various regions of what is now china agriculture in china developed gradually with initial domestication of a few grains and animals gradually being expanded by the addition of many others over subsequent millennia the earliest evidence of cultivated rice found by the yangtze river was carbon dated to  years ago early evidence for  millet agriculture in the yellow river valley was radiocarbon dated to about  because the jiahu site is one of the best preserved early agricultural villages  at damaidi in ningxia  cliff carvings dating to  because have been discovered featuring  individual characters such as the sun moon stars gods and scenes of hunting or grazing according to researcher li xiangshi written symbols sometimes called proto writing were found at the site of jiahu which is dated around  because damaidi around  because dadiwan from  because to  because and banpo dating from the th millennium because with agriculture came increased population the ability to store and redistribute crops and the potential to support specialist craftsmen and administrators which may have existed at late neolithic sites like taosi and the liangzhu culture in the yangtze delta the cultures of the middle and late neolithic in the central yellow river valley are known respectively as the yangshao culture  and the longshan culture  pigs and dogs were the earliest domesticated animals in the region and after about  because domesticated cattle and sheep arrived from western asia wheat also arrived at this time but remained a minor crop fruit such as peaches cherries and oranges as well as chickens and various vegetables were also domesticated in neolithic china
",neolithic age china considered begun years ago neolithic conventionally defined presence agriculture follows neolithic began different times regions china agriculture china developed gradually initial domestication grains animals gradually expanded addition subsequent millennia earliest evidence cultivated rice found yangtze river carbon dated years ago early evidence millet agriculture yellow river valley radiocarbon dated jiahu site best preserved early agricultural villages damaidi ningxia cliff carvings dating discovered featuring individual characters sun moon stars gods scenes hunting grazing according researcher li xiangshi written symbols called proto writing found site jiahu dated damaidi dadiwan banpo dating th millennium agriculture came increased population ability store redistribute crops potential support specialist craftsmen administrators existed late neolithic sites like taosi liangzhu culture yangtze delta cultures middle late neolithic central yellow river valley known respectively yangshao culture longshan culture pigs dogs earliest domesticated animals region domesticated cattle sheep arrived western asia wheat arrived time remained minor crop fruit peaches cherries oranges chickens vegetables domesticated neolithic china,7.44,"neolithic,age,china,considered,begun,years,ago,neolithic,conventionally,defined,presence,agriculture,follows,neolithic,began,different,times,regions,china,agriculture,china,developed,gradually,initial,domestication,grains,animals,gradually,expanded,addition,subsequent,millennia,earliest,evidence,cultivated,rice,found,yangtze,river,carbon,dated,years,ago,early,evidence,millet,agriculture,yellow,river,valley,radiocarbon,dated,jiahu,site,best,preserved,early,agricultural,villages,damaidi,ningxia,cliff,carvings,dating,discovered,featuring,individual,characters,sun,moon,stars,gods,scenes,hunting,grazing,according,researcher,li,xiangshi,written,symbols,called,proto,writing,found,site,jiahu,dated,damaidi,dadiwan,banpo,dating,th,millennium,agriculture,came,increased,population,ability,store,redistribute,crops,potential,support,specialist,craftsmen,administrators,existed,late,neolithic,sites,like,taosi,liangzhu,culture,yangtze,delta,cultures,middle,late,neolithic,central,yellow,river,valley,known,respectively,yangshao,culture,longshan,culture,pigs,dogs,earliest,domesticated,animals,region,domesticated,cattle,sheep,arrived,western,asia,wheat,arrived,time,remained,minor,crop,fruit,peaches,cherries,oranges,chickens,vegetables,domesticated,neolithic,china",0.00,china
"bronze artifacts have been found at the majiayao culture site  the bronze age is also represented at the lower xiajiadian culture  site in northeast china sanxingdui located in what is now sichuan province is believed to be the site of a major ancient city of a previously unknown bronze age culture  the site was first discovered in  and then re discovered in  chinese archaeologists have identified the sanxingdui culture to be part of the ancient kingdom of shu linking the artifacts found at the site to its early legendary kings
",bronze artifacts found majiayao culture site bronze age represented lower xiajiadian culture site northeast china sanxingdui located sichuan province believed site major ancient city previously unknown bronze age culture site discovered discovered chinese archaeologists identified sanxingdui culture ancient kingdom shu linking artifacts found site early legendary kings,8.05,"bronze,artifacts,found,majiayao,culture,site,bronze,age,represented,lower,xiajiadian,culture,site,northeast,china,sanxingdui,located,sichuan,province,believed,site,major,ancient,city,previously,unknown,bronze,age,culture,site,discovered,discovered,chinese,archaeologists,identified,sanxingdui,culture,ancient,kingdom,shu,linking,artifacts,found,site,early,legendary,kings",0.00,china
"chinese historians in later periods were accustomed to the notion of one dynasty succeeding another but the political situation in early china was much more complicated hence as some scholars of china suggest the xia and the shang can refer to political entities that existed concurrently just as the early zhou existed at the same time as the shang this bears similarities to how china both contemporaneously and later has been divided into states that were not one region legally or culturally
",chinese historians later periods accustomed notion dynasty succeeding political situation early china complicated scholars china suggest xia shang refer political entities existed concurrently early zhou existed time shang bears similarities china contemporaneously later divided states region legally culturally,8.87,"chinese,historians,later,periods,accustomed,notion,dynasty,succeeding,political,situation,early,china,complicated,scholars,china,suggest,xia,shang,refer,political,entities,existed,concurrently,early,zhou,existed,time,shang,bears,similarities,china,contemporaneously,later,divided,states,region,legally,culturally",0.00,china
"the xia dynasty of china  is the earliest of the three dynasties described in ancient historical records such as sima qians records of the grand historian and bamboo annals the dynasty is generally considered mythical by western scholars but in china it is usually associated with the early bronze age site at erlitou that was excavated in henan in  since no writing was excavated at erlitou or any other contemporaneous site there is not enough evidence to prove whether the xia dynasty ever existed with the advancement of archaeological excavationsome archaeologists decided that erlitou site was the capital of the xia dynastyin any case the site of erlitou had a level of political organization that would not be incompatible with the legends of xia recorded in later texts more importantly the erlitou site has the earliest evidence for an elite who conducted rituals using cast bronze vessels which would later be adopted by the shang and zhou
",xia dynasty china earliest dynasties described ancient historical records sima qians records grand historian bamboo annals dynasty generally considered mythical western scholars china usually associated early bronze age site erlitou excavated henan writing excavated erlitou contemporaneous site evidence prove xia dynasty existed advancement archaeological excavationsome archaeologists decided erlitou site capital xia dynastyin case site erlitou level political organization incompatible legends xia recorded later texts importantly erlitou site earliest evidence elite conducted rituals cast bronze vessels later adopted shang zhou,8.20,"xia,dynasty,china,earliest,dynasties,described,ancient,historical,records,sima,qians,records,grand,historian,bamboo,annals,dynasty,generally,considered,mythical,western,scholars,china,usually,associated,early,bronze,age,site,erlitou,excavated,henan,writing,excavated,erlitou,contemporaneous,site,evidence,prove,xia,dynasty,existed,advancement,archaeological,excavationsome,archaeologists,decided,erlitou,site,capital,xia,dynastyin,case,site,erlitou,level,political,organization,incompatible,legends,xia,recorded,later,texts,importantly,erlitou,site,earliest,evidence,elite,conducted,rituals,cast,bronze,vessels,later,adopted,shang,zhou",0.00,china
"although written records found at anyang confirm the existence of the shang dynasty western scholars are often hesitant to associate settlements that are contemporaneous with the anyang settlement with the shang dynasty for example archaeological findings at sanxingdui suggest a technologically advanced civilization culturally unlike anyang the evidence is inconclusive in proving how far the shang realm extended from anyang the leading hypothesis is that anyang ruled by the same shang in the official history coexisted and traded with numerous other culturally diverse settlements in the area that is now referred to as china proper
",written records found anyang confirm existence shang dynasty western scholars hesitant associate settlements contemporaneous anyang settlement shang dynasty example archaeological findings sanxingdui suggest technologically advanced civilization culturally unlike anyang evidence inconclusive proving far shang realm extended anyang leading hypothesis anyang ruled shang official history coexisted traded numerous culturally diverse settlements area referred china proper,6.43,"written,records,found,anyang,confirm,existence,shang,dynasty,western,scholars,hesitant,associate,settlements,contemporaneous,anyang,settlement,shang,dynasty,example,archaeological,findings,sanxingdui,suggest,technologically,advanced,civilization,culturally,unlike,anyang,evidence,inconclusive,proving,far,shang,realm,extended,anyang,leading,hypothesis,anyang,ruled,shang,official,history,coexisted,traded,numerous,culturally,diverse,settlements,area,referred,china,proper",0.00,china
