Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hungarians also known as magyars  native to hungary  and historical hungarian lands who share a common culture history ancestry and language there are an estimated   million hungarians live in todays hungary about  million hungarians live in areas that were part of the kingdom of hungary before the treaty of trianon in  and are now parts of hungarys seven neighbouring countries slovakia ukraine romania serbia croatia slovenia and austria significant groups of people with hungarian ancestry live in various other parts of the world most of them in the united states canada germany france the united kingdom chile brazil australia and argentina
",hungarians known magyars native hungary historical hungarian lands share common culture history ancestry language estimated million hungarians live todays hungary million hungarians live areas kingdom hungary treaty trianon parts hungarys seven neighbouring countries slovakia ukraine romania serbia croatia slovenia austria significant groups people hungarian ancestry live parts world united states canada germany france united kingdom chile brazil australia argentina,6.48,"hungarians,known,magyars,native,hungary,historical,hungarian,lands,share,common,culture,history,ancestry,language,estimated,million,hungarians,live,todays,hungary,million,hungarians,live,areas,kingdom,hungary,treaty,trianon,parts,hungarys,seven,neighbouring,countries,slovakia,ukraine,romania,serbia,croatia,slovenia,austria,significant,groups,people,hungarian,ancestry,live,parts,world,united,states,canada,germany,france,united,kingdom,chile,brazil,australia,argentina",0.00,hungary
"the historical latin phrase natio hungarica  had a wider and political meaning because it once referred to all nobles of the kingdom of hungary regardless of their ethnicity or mother tongue
",historical latin phrase natio hungarica wider political meaning referred nobles kingdom hungary regardless ethnicity mother tongue,7.85,"historical,latin,phrase,natio,hungarica,wider,political,meaning,referred,nobles,kingdom,hungary,regardless,ethnicity,mother,tongue",0.00,hungary
"the pope approved hungarian settlement in the area when their leaders converted to christianity and stephen i  was crowned king of hungary in  the century between the arrival of the hungarians from the eastern european plains and the consolidation of the kingdom of hungary in  was dominated by pillaging campaigns across europe from dania  to the iberian peninsula citation needed after the acceptance of the nation into christian europe under stephen i hungary served as a bulwark against further invasions from the east and south especially by the turks
",pope approved hungarian settlement area leaders converted christianity stephen crowned king hungary century arrival hungarians eastern european plains consolidation kingdom hungary dominated pillaging campaigns europe dania iberian peninsula citation needed acceptance nation christian europe stephen hungary served bulwark invasions east south especially turks,8.26,"pope,approved,hungarian,settlement,area,leaders,converted,christianity,stephen,crowned,king,hungary,century,arrival,hungarians,eastern,european,plains,consolidation,kingdom,hungary,dominated,pillaging,campaigns,europe,dania,iberian,peninsula,citation,needed,acceptance,nation,christian,europe,stephen,hungary,served,bulwark,invasions,east,south,especially,turks",0.00,hungary
"the first accurate measurements of the population of the kingdom of hungary including ethnic composition were carried out in  there is a debate among hungarian and non hungarian  historians about the possible changes in the ethnic structure of the region throughout history some historians support the theory that the proportion of hungarians in the carpathian basin was at an almost constant  during the middle ages non hungarians numbered hardly more than  to  of the total population the hungarian population began to decrease only at the time of the ottoman conquest reaching as low as around  by the end of the th century the decline of the hungarians was due to the constant wars ottoman raids famines and plagues during the  years of ottoman rule the main zones of war were the territories inhabited by the hungarians so the death toll depleted them at a much higher rate than among other nationalities in the th century their proportion declined further because of the influx of new settlers from europe especially slovaks serbs and germans in   the southern great plain was nearly uninhabited but now has  million inhabitants nearly all of them hungarians as a consequence having also the habsburg colonization policies the country underwent a great change in ethnic composition as its population more than tripled to  million between  and  while only  of its people were hungarians who lived primarily in the centre of the country
",accurate measurements population kingdom hungary including ethnic composition carried debate hungarian non hungarian historians possible changes ethnic structure region history historians support theory proportion hungarians carpathian basin constant middle ages non hungarians numbered hardly total population hungarian population began decrease time ottoman conquest reaching low end th century decline hungarians constant wars ottoman raids famines plagues years ottoman rule main zones war territories inhabited hungarians death toll depleted higher rate nationalities th century proportion declined influx new settlers europe especially slovaks serbs germans southern great plain nearly uninhabited million inhabitants nearly hungarians consequence habsburg colonization policies country underwent great change ethnic composition population tripled million people hungarians lived primarily centre country,8.61,"accurate,measurements,population,kingdom,hungary,including,ethnic,composition,carried,debate,hungarian,non,hungarian,historians,possible,changes,ethnic,structure,region,history,historians,support,theory,proportion,hungarians,carpathian,basin,constant,middle,ages,non,hungarians,numbered,hardly,total,population,hungarian,population,began,decrease,time,ottoman,conquest,reaching,low,end,th,century,decline,hungarians,constant,wars,ottoman,raids,famines,plagues,years,ottoman,rule,main,zones,war,territories,inhabited,hungarians,death,toll,depleted,higher,rate,nationalities,th,century,proportion,declined,influx,new,settlers,europe,especially,slovaks,serbs,germans,southern,great,plain,nearly,uninhabited,million,inhabitants,nearly,hungarians,consequence,habsburg,colonization,policies,country,underwent,great,change,ethnic,composition,population,tripled,million,people,hungarians,lived,primarily,centre,country",0.00,hungary
"other historians particularly slovaks and romanians argue that the drastic change in the ethnic structure hypothesized by hungarian historians in fact did not occur in particular there is a fierce debate among hungarians and romanian historians about the ethnic composition of transylvania through these times for instance ioan aurel pop argues that the hungarian army of  th centuries while it was eminently suitable for raids was not at all fit to occupy territories already densely inhabited especially in the hilly and mountainous areas he adds that hungarians outside of alfld region where they were seminomadic during this time were not able to become colonizers and that for this reason the regions of transylvania upper hungary and croatia were integrated in the hungarian kingdom in a later stage after the year  after the sedentarization christianization and partial feudalization of the hungarians pop ignores that plenty magyar artifacts and burial sites have been found in transylvania from the th century dennis hupchick writes the hungarians began to populate the region actively from the th century
",historians particularly slovaks romanians argue drastic change ethnic structure hypothesized hungarian historians fact occur particular fierce debate hungarians romanian historians ethnic composition transylvania times instance ioan aurel pop argues hungarian army th centuries eminently suitable raids fit occupy territories densely inhabited especially hilly mountainous areas adds hungarians outside alfld region seminomadic time able colonizers reason regions transylvania upper hungary croatia integrated hungarian kingdom later stage year sedentarization christianization partial feudalization hungarians pop ignores plenty magyar artifacts burial sites found transylvania th century dennis hupchick writes hungarians began populate region actively th century,7.26,"historians,particularly,slovaks,romanians,argue,drastic,change,ethnic,structure,hypothesized,hungarian,historians,fact,occur,particular,fierce,debate,hungarians,romanian,historians,ethnic,composition,transylvania,times,instance,ioan,aurel,pop,argues,hungarian,army,th,centuries,eminently,suitable,raids,fit,occupy,territories,densely,inhabited,especially,hilly,mountainous,areas,adds,hungarians,outside,alfld,region,seminomadic,time,able,colonizers,reason,regions,transylvania,upper,hungary,croatia,integrated,hungarian,kingdom,later,stage,year,sedentarization,christianization,partial,feudalization,hungarians,pop,ignores,plenty,magyar,artifacts,burial,sites,found,transylvania,th,century,dennis,hupchick,writes,hungarians,began,populate,region,actively,th,century",0.00,hungary
"in the th century the proportion of hungarians in the kingdom of hungary rose gradually reaching over  by  due to higher natural growth and magyarization between  and  the number of ethnic hungarians rose from  million to  million accompanied by the resettlement of the great hungarian plain and dlvidk by mainly roman catholic hungarian settlers from the northern and western counties of the kingdom of hungary
",th century proportion hungarians kingdom hungary rose gradually reaching higher natural growth magyarization number ethnic hungarians rose million million accompanied resettlement great hungarian plain dlvidk mainly roman catholic hungarian settlers northern western counties kingdom hungary,7.28,"th,century,proportion,hungarians,kingdom,hungary,rose,gradually,reaching,higher,natural,growth,magyarization,number,ethnic,hungarians,rose,million,million,accompanied,resettlement,great,hungarian,plain,dlvidk,mainly,roman,catholic,hungarian,settlers,northern,western,counties,kingdom,hungary",0.00,hungary
"spontaneous assimilation was an important factor especially among the german and jewish minorities and the citizens of the bigger towns on the other hand about  million people  left the kingdom of hungary between  to escape from poverty
",spontaneous assimilation important factor especially german jewish minorities citizens bigger towns hand million people left kingdom hungary escape poverty,7.59,"spontaneous,assimilation,important,factor,especially,german,jewish,minorities,citizens,bigger,towns,hand,million,people,left,kingdom,hungary,escape,poverty",0.00,hungary
"the years  to  were a turning point in the hungarians history by the treaty of trianon the kingdom had been cut into several parts leaving only a quarter of its original size one third of the hungarians became minorities in the neighbouring countries during the remainder of the th century the hungarians population of hungary grew from  million  to around  million  despite losses during the second world war and the wave of emigration after the attempted revolution in  the number of hungarians in the neighbouring countries tended to remain the same or slightly decreased mostly due to assimilation  and to emigration to hungary 
",years turning point hungarians history treaty trianon kingdom cut parts leaving quarter original size hungarians minorities neighbouring countries remainder th century hungarians population hungary grew million million despite losses second world war wave emigration attempted revolution number hungarians neighbouring countries tended remain slightly decreased assimilation emigration hungary,8.85,"years,turning,point,hungarians,history,treaty,trianon,kingdom,cut,parts,leaving,quarter,original,size,hungarians,minorities,neighbouring,countries,remainder,th,century,hungarians,population,hungary,grew,million,million,despite,losses,second,world,war,wave,emigration,attempted,revolution,number,hungarians,neighbouring,countries,tended,remain,slightly,decreased,assimilation,emigration,hungary",0.00,hungary
"after the baby boom of the s  a serious demographic crisis began to develop in hungary and its neighbours the hungarian population reached its maximum in  then began to decline
",baby boom demographic crisis began develop hungary neighbours hungarian population reached maximum began decline,9.04,"baby,boom,demographic,crisis,began,develop,hungary,neighbours,hungarian,population,reached,maximum,began,decline",0.00,hungary
"there was a referendum in hungary in december  on whether to grant hungarian citizenship to hungarians living outside hungarys borders  the referendum failed due to insufficient voter turnout on  may  hungarys parliament passed a bill granting dual citizenship to ethnic hungarians living outside of hungary some neighboring countries with sizable hungarian minorities expressed concerns over the legislation
",referendum hungary december grant hungarian citizenship hungarians living outside hungarys borders referendum failed insufficient voter turnout hungarys parliament passed bill granting dual citizenship ethnic hungarians living outside hungary neighboring countries sizable hungarian minorities expressed concerns legislation,5.13,"referendum,hungary,december,grant,hungarian,citizenship,hungarians,living,outside,hungarys,borders,referendum,failed,insufficient,voter,turnout,hungarys,parliament,passed,bill,granting,dual,citizenship,ethnic,hungarians,living,outside,hungary,neighboring,countries,sizable,hungarian,minorities,expressed,concerns,legislation",0.00,hungary
