Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hungary  is a landlocked country in central europe spanning  square kilometres  of the carpathian basin it is bordered by slovakia to the north ukraine to the northeast romania to the east and southeast serbia to the south croatia and slovenia to the southwest and austria to the west hungary has a population of  million mostly ethnic hungarians and a significant romani minority hungarian the official language is the worlds most widely spoken uralic language and among the few non indo european languages widely spoken in europe budapest is the countrys capital and largest city other major urban areas include debrecen szeged miskolc pcs and gyr
",hungary landlocked country central europe spanning square kilometres carpathian basin bordered slovakia north ukraine northeast romania east southeast serbia south croatia slovenia southwest austria west hungary population million ethnic hungarians significant romani minority hungarian official language worlds widely spoken uralic language non indo european languages widely spoken europe budapest countrys capital largest city major urban areas include debrecen szeged miskolc pcs gyr,6.62,"hungary,landlocked,country,central,europe,spanning,square,kilometres,carpathian,basin,bordered,slovakia,north,ukraine,northeast,romania,east,southeast,serbia,south,croatia,slovenia,southwest,austria,west,hungary,population,million,ethnic,hungarians,significant,romani,minority,hungarian,official,language,worlds,widely,spoken,uralic,language,non,indo,european,languages,widely,spoken,europe,budapest,countrys,capital,largest,city,major,urban,areas,include,debrecen,szeged,miskolc,pcs,gyr",0.00,hungary
"the territory of present day hungary has for centuries been a crossroads for various peoples including celts romans germanic tribes huns west slavs and the avars the foundation of the hungarian state was established in the late th century ad with the conquest of the carpathian basin by hungarian grand prince rpd his great grandson stephen i ascended the throne in  converting his realm to a christian kingdom by the th century hungary became a regional power reaching its cultural and political height in the th century following the battle of mohcs in  it was partially occupied by the ottoman empire  hungary came under habsburg rule at the turn of the th century later joining with the austrian empire to form austria hungary a major power into the early th century
",territory present day hungary centuries crossroads peoples including celts romans germanic tribes huns west slavs avars foundation hungarian state established late th century ad conquest carpathian basin hungarian grand prince rpd great grandson stephen ascended throne converting realm christian kingdom th century hungary regional power reaching cultural political height th century following battle mohcs partially occupied ottoman empire hungary came habsburg rule turn th century later joining austrian empire form austria hungary major power early th century,7.00,"territory,present,day,hungary,centuries,crossroads,peoples,including,celts,romans,germanic,tribes,huns,west,slavs,avars,foundation,hungarian,state,established,late,th,century,ad,conquest,carpathian,basin,hungarian,grand,prince,rpd,great,grandson,stephen,ascended,throne,converting,realm,christian,kingdom,th,century,hungary,regional,power,reaching,cultural,political,height,th,century,following,battle,mohcs,partially,occupied,ottoman,empire,hungary,came,habsburg,rule,turn,th,century,later,joining,austrian,empire,form,austria,hungary,major,power,early,th,century",0.00,hungary
"austria hungary collapsed after world war i and the subsequent treaty of trianon established hungarys current borders resulting in the loss of  of its territory  of its population and  of ethnic hungarians following the tumultuous interwar period hungary joined the axis powers in world war ii suffering significant damage and casualties postwar hungary became a satellite state of the soviet union leading to the establishment of the hungarian peoples republic following the failed  revolution hungary became a comparatively freer though still repressed member of the eastern bloc the removal of hungarys border fence with austria accelerated the collapse of the eastern bloc and subsequently the soviet union on  october  hungary again became a democratic parliamentary republic hungary joined the european union in  and has been part of the schengen area since 
",austria hungary collapsed world war subsequent treaty trianon established hungarys current borders resulting loss territory population ethnic hungarians following tumultuous interwar period hungary joined axis powers world war ii suffering significant damage casualties postwar hungary satellite state soviet union leading establishment hungarian peoples republic following failed revolution hungary comparatively freer repressed member eastern bloc removal hungarys border fence austria accelerated collapse eastern bloc subsequently soviet union october hungary democratic parliamentary republic hungary joined european union schengen area,6.24,"austria,hungary,collapsed,world,war,subsequent,treaty,trianon,established,hungarys,current,borders,resulting,loss,territory,population,ethnic,hungarians,following,tumultuous,interwar,period,hungary,joined,axis,powers,world,war,ii,suffering,significant,damage,casualties,postwar,hungary,satellite,state,soviet,union,leading,establishment,hungarian,peoples,republic,following,failed,revolution,hungary,comparatively,freer,repressed,member,eastern,bloc,removal,hungarys,border,fence,austria,accelerated,collapse,eastern,bloc,subsequently,soviet,union,october,hungary,democratic,parliamentary,republic,hungary,joined,european,union,schengen,area",0.00,hungary
"hungary is a middle power in international affairs owing mostly to its cultural and economic influence it is a high income economy with a very high human development index ranked th where citizens enjoy universal health care and tuition free secondary education hungary has a long history of significant contributions to arts music literature sports science and technology it is a popular tourist destination in europe drawing  million international tourists in  it is a member of numerous international organisations including the council of europe nato united nations world health organization world trade organization world bank international investment bank asian infrastructure investment bank and the visegrd group
",hungary middle power international affairs owing cultural economic influence high income economy high human development index ranked th citizens enjoy universal health care tuition free secondary education hungary long history significant contributions arts music literature sports science technology popular tourist destination europe drawing million international tourists member numerous international organisations including council europe nato united nations world health organization world trade organization world bank international investment bank asian infrastructure investment bank visegrd group,4.58,"hungary,middle,power,international,affairs,owing,cultural,economic,influence,high,income,economy,high,human,development,index,ranked,th,citizens,enjoy,universal,health,care,tuition,free,secondary,education,hungary,long,history,significant,contributions,arts,music,literature,sports,science,technology,popular,tourist,destination,europe,drawing,million,international,tourists,member,numerous,international,organisations,including,council,europe,nato,united,nations,world,health,organization,world,trade,organization,world,bank,international,investment,bank,asian,infrastructure,investment,bank,visegrd,group",0.00,hungary
"the h in the name of hungary  is most likely derived from historical associations with the huns who had settled hungary prior to the avars the rest of the word comes from the latinised form of byzantine greek oungroi  the greek name might be borrowed from old bulgarian grin in turn borrowed from oghur turkic onogur  perhaps entering slavic through a dialectal ongur onogur was the collective name for the tribes who later joined the bulgar tribal confederacy that ruled the eastern parts of hungary after the avars peter b golden also considers rpd bertas theory who has suggested that the name derives from khazar turkic ongar  right ogar   to make something better to put  right oaru towards the right rightwing this points to the idea that the pre conquest magyar union formed the right wing  of the khazar military forces
",h hungary likely derived historical associations huns settled hungary prior avars rest word comes latinised form byzantine greek oungroi greek borrowed old bulgarian grin turn borrowed oghur turkic onogur entering slavic dialectal ongur onogur collective tribes later joined bulgar tribal confederacy ruled eastern parts hungary avars peter b golden considers rpd bertas theory suggested derives khazar turkic ongar right ogar better right oaru right rightwing points idea pre conquest magyar union formed right wing khazar military forces,7.73,"h,hungary,likely,derived,historical,associations,huns,settled,hungary,prior,avars,rest,word,comes,latinised,form,byzantine,greek,oungroi,greek,borrowed,old,bulgarian,grin,turn,borrowed,oghur,turkic,onogur,entering,slavic,dialectal,ongur,onogur,collective,tribes,later,joined,bulgar,tribal,confederacy,ruled,eastern,parts,hungary,avars,peter,b,golden,considers,rpd,bertas,theory,suggested,derives,khazar,turkic,ongar,right,ogar,better,right,oaru,right,rightwing,points,idea,pre,conquest,magyar,union,formed,right,wing,khazar,military,forces",0.00,hungary
"the roman empire conquered the territory between the alps and the area west of the danube river from  to  because the danube being the frontier of the empire in  because pannonia the western part of the carpathian basin which includes todays west of hungary was recognised by emperor augustus in the res gestae divi augusti as part of the roman empire the area south east of pannonia was organised as the roman province moesia in  because an area east of the river tisza became the roman province of dacia in  ad which included todays east hungary it remained under roman rule until  from  the roman empire went through troubled times caused by revolts rivalry and rapid succession of emperors the western roman empire collapsed in the th century under the stress of the migration of germanic tribes and carpian pressure
",roman empire conquered territory alps area west danube river danube frontier empire pannonia western carpathian basin includes todays west hungary recognised emperor augustus res gestae divi augusti roman empire area south east pannonia organised roman province moesia area east river tisza roman province dacia ad included todays east hungary remained roman rule roman empire went troubled times caused revolts rivalry rapid succession emperors western roman empire collapsed th century stress migration germanic tribes carpian pressure,7.92,"roman,empire,conquered,territory,alps,area,west,danube,river,danube,frontier,empire,pannonia,western,carpathian,basin,includes,todays,west,hungary,recognised,emperor,augustus,res,gestae,divi,augusti,roman,empire,area,south,east,pannonia,organised,roman,province,moesia,area,east,river,tisza,roman,province,dacia,ad,included,todays,east,hungary,remained,roman,rule,roman,empire,went,troubled,times,caused,revolts,rivalry,rapid,succession,emperors,western,roman,empire,collapsed,th,century,stress,migration,germanic,tribes,carpian,pressure",0.00,hungary
"the freshly unified hungarians led by rpd  settled in the carpathian basin starting in  according to the finno ugrian theory they originated from an ancient uralic speaking population that formerly inhabited the forested area between the volga river and the ural mountains as a federation of united tribes hungary was established in  some  years after the division of the carolingian empire at the treaty of verdun in  before the unification of the anglo saxon kingdoms
",freshly unified hungarians led rpd settled carpathian basin starting according finno ugrian theory originated ancient uralic speaking population inhabited forested area volga river ural mountains federation united tribes hungary established years division carolingian empire treaty verdun unification anglo saxon kingdoms,7.45,"freshly,unified,hungarians,led,rpd,settled,carpathian,basin,starting,according,finno,ugrian,theory,originated,ancient,uralic,speaking,population,inhabited,forested,area,volga,river,ural,mountains,federation,united,tribes,hungary,established,years,division,carolingian,empire,treaty,verdun,unification,anglo,saxon,kingdoms",0.00,hungary
"initially the rising principality of hungary  was a state created by a semi nomadic people it accomplished an enormous transformation into a christian realm during the th century this state was well functioning and the nations military power allowed the hungarians to conduct successful fierce campaigns and raids from constantinople to as far as todays spain the hungarians defeated three major east frankish imperial armies between  and  a defeat at the battle of lechfeld in  signaled a provisory end to most campaigns on foreign territories at least towards the west
",initially rising principality hungary state created semi nomadic people accomplished enormous transformation christian realm th century state functioning nations military power allowed hungarians conduct successful fierce campaigns raids constantinople far todays spain hungarians defeated major east frankish imperial armies defeat battle lechfeld signaled provisory end campaigns foreign territories west,7.18,"initially,rising,principality,hungary,state,created,semi,nomadic,people,accomplished,enormous,transformation,christian,realm,th,century,state,functioning,nations,military,power,allowed,hungarians,conduct,successful,fierce,campaigns,raids,constantinople,far,todays,spain,hungarians,defeated,major,east,frankish,imperial,armies,defeat,battle,lechfeld,signaled,provisory,end,campaigns,foreign,territories,west",0.00,hungary
"in  the ruling prince  gza of the rpd dynasty officially started to integrate hungary into christian western europe his first born son saint stephen i became the first king of hungary after defeating his pagan uncle koppny who also claimed the throne under stephen hungary was recognised as a catholic apostolic kingdom applying to pope sylvester ii stephen received the insignia of royalty  from the papacy
",ruling prince gza rpd dynasty officially started integrate hungary christian western europe born son saint stephen king hungary defeating pagan uncle koppny claimed throne stephen hungary recognised catholic apostolic kingdom applying pope sylvester ii stephen received insignia royalty papacy,6.62,"ruling,prince,gza,rpd,dynasty,officially,started,integrate,hungary,christian,western,europe,born,son,saint,stephen,king,hungary,defeating,pagan,uncle,koppny,claimed,throne,stephen,hungary,recognised,catholic,apostolic,kingdom,applying,pope,sylvester,ii,stephen,received,insignia,royalty,papacy",0.00,hungary
"by  stephen consolidated his power and started sweeping reforms to convert hungary into a western feudal state the country switched to using latin for administration purposes and until as late as  latin remained the official language of administration around this time hungary began to become a powerful kingdomcitation needed ladislaus i extended hungarys frontier in transylvania and invaded croatia in  the croatian campaign culminated in the battle of gvozd mountain in  and a personal union of croatia and hungary in  ruled by coloman
",stephen consolidated power started sweeping reforms convert hungary western feudal state country switched latin administration purposes late latin remained official language administration time hungary began powerful kingdomcitation needed ladislaus extended hungarys frontier transylvania invaded croatia croatian campaign culminated battle gvozd mountain personal union croatia hungary ruled coloman,6.67,"stephen,consolidated,power,started,sweeping,reforms,convert,hungary,western,feudal,state,country,switched,latin,administration,purposes,late,latin,remained,official,language,administration,time,hungary,began,powerful,kingdomcitation,needed,ladislaus,extended,hungarys,frontier,transylvania,invaded,croatia,croatian,campaign,culminated,battle,gvozd,mountain,personal,union,croatia,hungary,ruled,coloman",0.00,hungary
"in  the kingdom received a major blow with the mongol  invasion up to half of hungarys population of  million were victims of the invasion king bla iv let cumans and jassic people into the country who were fleeing the mongols over the centuries they were fully assimilated into the hungarian population after the mongols retreated king bla ordered the construction of hundreds of stone castles and fortifications to defend against a possible second mongol invasion the mongols returned to hungary in  but the newly built stone castle systems and new tactics  stopped them the invading mongol force was defeated near pest by the royal army of king ladislaus iv as with later invasions it was repelled handily the mongols losing much of their invading force
",kingdom received major blow mongol invasion half hungarys population million victims invasion king bla iv let cumans jassic people country fleeing mongols centuries fully assimilated hungarian population mongols retreated king bla ordered construction hundreds stone castles fortifications defend possible second mongol invasion mongols returned hungary newly built stone castle systems new tactics stopped invading mongol force defeated near pest royal army king ladislaus iv later invasions repelled handily mongols losing invading force,7.01,"kingdom,received,major,blow,mongol,invasion,half,hungarys,population,million,victims,invasion,king,bla,iv,let,cumans,jassic,people,country,fleeing,mongols,centuries,fully,assimilated,hungarian,population,mongols,retreated,king,bla,ordered,construction,hundreds,stone,castles,fortifications,defend,possible,second,mongol,invasion,mongols,returned,hungary,newly,built,stone,castle,systems,new,tactics,stopped,invading,mongol,force,defeated,near,pest,royal,army,king,ladislaus,iv,later,invasions,repelled,handily,mongols,losing,invading,force",0.00,hungary
"the kingdom of hungary reached one of its greatest extents during the rpdian kings yet royal power was weakened at the end of their rule in  after a destructive period of interregnum  the first angevin king charles i of hungary  a bilineal descendant of the rpd dynasty  successfully restored royal power and defeated oligarch rivals the so called little kings the second angevin hungarian king louis the great  led many successful military campaigns from lithuania to southern italy  and was also king of poland from  after king louis died without a male heir the country was stabilised only when sigismund of luxembourg  succeeded to the throne who in  also became holy roman emperor sigismund was also  a bilineal descendant of the rpd dynasty
",kingdom hungary reached greatest extents rpdian kings royal power weakened end rule destructive period interregnum angevin king charles hungary bilineal descendant rpd dynasty successfully restored royal power defeated oligarch rivals called little kings second angevin hungarian king louis great led successful military campaigns lithuania southern italy king poland king louis died male heir country stabilised sigismund luxembourg succeeded throne holy roman emperor sigismund bilineal descendant rpd dynasty,7.50,"kingdom,hungary,reached,greatest,extents,rpdian,kings,royal,power,weakened,end,rule,destructive,period,interregnum,angevin,king,charles,hungary,bilineal,descendant,rpd,dynasty,successfully,restored,royal,power,defeated,oligarch,rivals,called,little,kings,second,angevin,hungarian,king,louis,great,led,successful,military,campaigns,lithuania,southern,italy,king,poland,king,louis,died,male,heir,country,stabilised,sigismund,luxembourg,succeeded,throne,holy,roman,emperor,sigismund,bilineal,descendant,rpd,dynasty",0.00,hungary
