Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hyderabad state  was a princely state located in the south central deccan region of india with its capital at the city of hyderabad it is now divided into the present day state of telangana the kalyana karnataka region of karnataka and the marathwada region of maharashtra in india
",hyderabad state princely state located south central deccan region india capital city hyderabad divided present day state telangana kalyana karnataka region karnataka marathwada region maharashtra india,7.80,"hyderabad,state,princely,state,located,south,central,deccan,region,india,capital,city,hyderabad,divided,present,day,state,telangana,kalyana,karnataka,region,karnataka,marathwada,region,maharashtra,india",0.00,hyderabad
"the state was ruled from  to  by the nizam who was initially a viceroy of the mughal empire in the deccan hyderabad gradually became the first princely state to come under british paramountcy signing a subsidiary alliance agreement during the british rule in  the state had an average revenue of rs  making it the wealthiest princely state in india the native inhabitants of hyderabad deccan regardless of ethnic origin are called mulki  a term still used today
",state ruled nizam initially viceroy mughal empire deccan hyderabad gradually princely state come british paramountcy signing subsidiary alliance agreement british rule state average revenue rs making wealthiest princely state india native inhabitants hyderabad deccan regardless ethnic origin called mulki term today,7.79,"state,ruled,nizam,initially,viceroy,mughal,empire,deccan,hyderabad,gradually,princely,state,come,british,paramountcy,signing,subsidiary,alliance,agreement,british,rule,state,average,revenue,rs,making,wealthiest,princely,state,india,native,inhabitants,hyderabad,deccan,regardless,ethnic,origin,called,mulki,term,today",0.00,hyderabad
"the dynasty declared itself an independent monarchy during the final years of the british raj  after the partition of india hyderabad signed a standstill agreement with the new dominion of india continuing all previous arrangements except for the stationing of indian troops in the state hyderabads location in the middle of the indian union as well as its diverse cultural heritage was a driving force behind indias annexation of the state in  subsequently mir osman ali khan the th nizam signed an instrument of accession joining india
",dynasty declared independent monarchy final years british raj partition india hyderabad signed standstill agreement new dominion india continuing previous arrangements stationing indian troops state hyderabads location middle indian union diverse cultural heritage driving force indias annexation state subsequently mir osman ali khan th nizam signed instrument accession joining india,7.06,"dynasty,declared,independent,monarchy,final,years,british,raj,partition,india,hyderabad,signed,standstill,agreement,new,dominion,india,continuing,previous,arrangements,stationing,indian,troops,state,hyderabads,location,middle,indian,union,diverse,cultural,heritage,driving,force,indias,annexation,state,subsequently,mir,osman,ali,khan,th,nizam,signed,instrument,accession,joining,india",0.00,hyderabad
"hyderabad state was founded by mir qamar ud din khan who was the governor of deccan under the mughals from  to  in  he resumed rule from the mughal provincial capital of aurangabad under the title of asaf jah  his other title nizam ul mulk  became the title of his position nizam of hyderabad by the end of his rule the nizam had become independent from the mughals and had founded the asaf jahi dynasty
",hyderabad state founded mir qamar ud din khan governor deccan mughals resumed rule mughal provincial capital aurangabad title asaf jah title nizam ul mulk title position nizam hyderabad end rule nizam independent mughals founded asaf jahi dynasty,9.16,"hyderabad,state,founded,mir,qamar,ud,din,khan,governor,deccan,mughals,resumed,rule,mughal,provincial,capital,aurangabad,title,asaf,jah,title,nizam,ul,mulk,title,position,nizam,hyderabad,end,rule,nizam,independent,mughals,founded,asaf,jahi,dynasty",0.00,hyderabad
"in  the nizam shifted the capital to the city of hyderabad from  a british resident and soldiers were installed in his dominions in  the nizam lost some of his own territories to the marathas the territorial gains of the nizam from mysore as an ally of the british were ceded to the british to meet the cost of maintaining the british soldiers
",nizam shifted capital city hyderabad british resident soldiers installed dominions nizam lost territories marathas territorial gains nizam mysore ally british ceded british meet cost maintaining british soldiers,10.17,"nizam,shifted,capital,city,hyderabad,british,resident,soldiers,installed,dominions,nizam,lost,territories,marathas,territorial,gains,nizam,mysore,ally,british,ceded,british,meet,cost,maintaining,british,soldiers",0.00,hyderabad
"hyderabad was a  km  region in the deccan ruled by the head of the asaf jahi dynasty who had the title of nizam and on whom was bestowed the style of his exalted highness by the british the last nizam mir osman ali khan was the worlds richest man in the s
",hyderabad km region deccan ruled head asaf jahi dynasty title nizam bestowed style exalted highness british nizam mir osman ali khan worlds richest man,10.94,"hyderabad,km,region,deccan,ruled,head,asaf,jahi,dynasty,title,nizam,bestowed,style,exalted,highness,british,nizam,mir,osman,ali,khan,worlds,richest,man",0.00,hyderabad
"in  nizam l khan  was forced to enter into an agreement that put hyderabad under british protection he was the first indian prince to sign such an agreement  the crown retained the right to intervene in case of misrule
",nizam l khan forced enter agreement hyderabad british protection indian prince sign agreement crown retained right intervene case misrule,9.13,"nizam,l,khan,forced,enter,agreement,hyderabad,british,protection,indian,prince,sign,agreement,crown,retained,right,intervene,case,misrule",0.00,hyderabad
"hyderabad under asaf jah ii was a british ally in the second and third maratha wars  anglo mysore wars and would remain loyal to the british during the indian rebellion of  
",hyderabad asaf jahii british ally second maratha wars anglo mysore wars remain loyal british indian rebellion,8.05,"hyderabad,asaf,jahii,british,ally,second,maratha,wars,anglo,mysore,wars,remain,loyal,british,indian,rebellion",0.00,hyderabad
"his son asaf jah iii mir akbar ali khan  ruled from  to  during his rule a british cantonment was built in hyderabad and the area was named in his honor secunderabad the british residency at koti was also built during his reign by the then british resident james achilles kirkpatrick
",son asaf jah iii mir akbar ali khan ruled rule british cantonment built hyderabad area named honor secunderabad british residency koti built reign british resident james achilles kirkpatrick,7.75,"son,asaf,jah,iii,mir,akbar,ali,khan,ruled,rule,british,cantonment,built,hyderabad,area,named,honor,secunderabad,british,residency,koti,built,reign,british,resident,james,achilles,kirkpatrick",0.00,hyderabad
"asaf jah vi mir mahbub ali khan became the nizam at the age of three years his regents were salar jung i and shams ul umra iii and later on asman jah and viqar ul umra he assumed full rule at the age of  and ruled until his death in  his reign saw the official language of hyderabad state shift from persian to urdu a change implemented in the s during the short tenure of prime minister salar jung ii
",asaf jah vi mir mahbub ali khan nizam age years regents salar jungi shams ul umra iii later asman jah viqar ul umra assumed rule age ruled death reign saw official language hyderabad state shift persian urdu change implemented short tenure prime minister salar jung ii,8.46,"asaf,jah,vi,mir,mahbub,ali,khan,nizam,age,years,regents,salar,jungi,shams,ul,umra,iii,later,asman,jah,viqar,ul,umra,assumed,rule,age,ruled,death,reign,saw,official,language,hyderabad,state,shift,persian,urdu,change,implemented,short,tenure,prime,minister,salar,jung,ii",0.00,hyderabad
