Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hyderabad  is a city and the capital of hyderabad division in the sindh province of pakistan it is the second largest city in sindh and the eighth largest in pakistan
",hyderabad city capital hyderabad division sindh province pakistan second largest city sindh eighth largest pakistan,8.98,"hyderabad,city,capital,hyderabad,division,sindh,province,pakistan,second,largest,city,sindh,eighth,largest,pakistan",0.00,hyderabad
"founded in  by mian ghulam shah kalhoro of the kalhora dynasty hyderabad served as a provincial capital until the british transferred the capital to bombay presidency in  it is about  kilometres  inland of karachi the largest city of pakistan to which it is connected by a direct railway and m  motorway
",founded mian ghulam shah kalhoro kalhora dynasty hyderabad served provincial capital british transferred capital bombay presidency kilometres inland karachi largest city pakistan connected direct railway motorway,8.22,"founded,mian,ghulam,shah,kalhoro,kalhora,dynasty,hyderabad,served,provincial,capital,british,transferred,capital,bombay,presidency,kilometres,inland,karachi,largest,city,pakistan,connected,direct,railway,motorway",0.00,hyderabad
"the river indus was changing course around  resulting in periodic floods of the then capital of the kalhora dynasty khudabad mian ghulam shah kalhoro decided to shift the capital away from khudabad and founded hyderabad in  over a limestone ridge on the eastern bank of the indus river known as ganjo takkar or bald hill the small hill is traditionally believed to have been the location of the ancient settlement of neroon kot a town which had fallen to the armies of muhammad bin qasim in  ce  when the foundations were laid the city came to be known by the nickname heart of the mehran
",river indus changing course resulting periodic floods capital kalhora dynasty khudabad mian ghulam shah kalhoro decided shift capital away khudabad founded hyderabad limestone ridge eastern bank indus river known ganjo takkar bald hill small hill traditionally believed location ancient settlement neroon kot town fallen armies muhammad bin qasim ce foundations laid city came known nickname heart mehran,8.15,"river,indus,changing,course,resulting,periodic,floods,capital,kalhora,dynasty,khudabad,mian,ghulam,shah,kalhoro,decided,shift,capital,away,khudabad,founded,hyderabad,limestone,ridge,eastern,bank,indus,river,known,ganjo,takkar,bald,hill,small,hill,traditionally,believed,location,ancient,settlement,neroon,kot,town,fallen,armies,muhammad,bin,qasim,ce,foundations,laid,city,came,known,nickname,heart,mehran",0.00,hyderabad
"in  mian ghulam shah kalhoro ordered a fort to be built on one of the three hills of hyderabad to house and defend his people the fort was built using baked clay bricks earning it the name pacco qillo meaning strong fort in sindhi the fort was completed in  and is spread over  acres mian ghulam shah also built the shah makki fort commonly known as kacha qila to fortify the tomb of the sufi saint shah makki
",mian ghulam shah kalhoro ordered fort built hills hyderabad house defend people fort built baked clay bricks earning pacco qillo meaning strong fort sindhi fort completed spread acres mian ghulam shah built shah makki fort commonly known kacha qila fortify tomb sufi saint shah makki,8.05,"mian,ghulam,shah,kalhoro,ordered,fort,built,hills,hyderabad,house,defend,people,fort,built,baked,clay,bricks,earning,pacco,qillo,meaning,strong,fort,sindhi,fort,completed,spread,acres,mian,ghulam,shah,built,shah,makki,fort,commonly,known,kacha,qila,fortify,tomb,sufi,saint,shah,makki",0.00,hyderabad
"hyderabad remained the kalhora capital during the period in which sindh was united under their rule attracted by the security of the city hyderabad began to attract artisans and traders from throughout sindh thereby resulting in the decline of other rival trading centres such as khudabad a portion of the population of khudabad migrated to the new capital including sonaras amils and bhaibands those groups retained the term khudabadi in the names of their communities as a marker of origin
",hyderabad remained kalhora capital period sindh united rule attracted security city hyderabad began attract artisans traders sindh resulting decline rival trading centres khudabad portion population khudabad migrated new capital including sonaras amils bhaibands groups retained term khudabadi names communities marker origin,7.93,"hyderabad,remained,kalhora,capital,period,sindh,united,rule,attracted,security,city,hyderabad,began,attract,artisans,traders,sindh,resulting,decline,rival,trading,centres,khudabad,portion,population,khudabad,migrated,new,capital,including,sonaras,amils,bhaibands,groups,retained,term,khudabadi,names,communities,marker,origin",0.00,hyderabad
"mian ghulam shah died in  and was succeeded by his son sarfraz khan kalhoro in  sarfraz khan built a new khudabad north of hala in memory of the old kalhoro capital and attempted to shift his capital there the attempt failed and hyderabad continued to prosper while new khudabad was abandoned by  a formal plan for the city was laid out by sarfraz khan in 
",mian ghulam shah died succeeded son sarfraz khan kalhoro sarfraz khan built new khudabad north hala memory old kalhoro capital attempted shift capital attempt failed hyderabad continued prosper new khudabad abandoned formal plan city laid sarfraz khan,7.84,"mian,ghulam,shah,died,succeeded,son,sarfraz,khan,kalhoro,sarfraz,khan,built,new,khudabad,north,hala,memory,old,kalhoro,capital,attempted,shift,capital,attempt,failed,hyderabad,continued,prosper,new,khudabad,abandoned,formal,plan,city,laid,sarfraz,khan",0.00,hyderabad
"mir fateh ali khan talpur captured the city of khudabad from the kalhoros in  and made the city his capital he then captured hyderabad in  and shifted his capital there in  after khudabad once again flooded renovation and reconstruction of the citys fort began in  and lasted for  years celebrations were held in  to mark his formal entry in the pacco qillo fort which he made his residence and held court
",mir fateh ali khan talpur captured city khudabad kalhoros city capital captured hyderabad shifted capital khudabad flooded renovation reconstruction citys fort began lasted years celebrations held mark formal entry pacco qillo fort residence held court,8.87,"mir,fateh,ali,khan,talpur,captured,city,khudabad,kalhoros,city,capital,captured,hyderabad,shifted,capital,khudabad,flooded,renovation,reconstruction,citys,fort,began,lasted,years,celebrations,held,mark,formal,entry,pacco,qillo,fort,residence,held,court",0.00,hyderabad
"henry pottinger traveled up the indus river in the early s on behalf of the british he claimed to have seen  ships over the course of  days at hyderabad indicating its importance as a major trading center by this time hyderabads goods were mostly exported to markets in khorasan india turkestan and kashmir   though some hyderabadi wares were displayed at the great exhibition of  in london
",henry pottinger traveled indus river early behalf british claimed seen ships course days hyderabad indicating importance major trading center time hyderabads goods exported markets khorasan india turkestan kashmir hyderabadi wares displayed great exhibition london,8.18,"henry,pottinger,traveled,indus,river,early,behalf,british,claimed,seen,ships,course,days,hyderabad,indicating,importance,major,trading,center,time,hyderabads,goods,exported,markets,khorasan,india,turkestan,kashmir,hyderabadi,wares,displayed,great,exhibition,london",0.00,hyderabad
"in order to use the indus river for commercial navigation to punjab the british signed a treaty with the rulers of hyderabad and khairpur that guaranteed the british free passage along the indus and through sindh mir murad ali was pressured into accepting an  treaty which resulted in the stationing of a british resident in the city the british also signed a treaty of eternal friendship with the talpur rulers of hyderabad in the early th century who promised not to allow the french to set up residency in sindh in  they were pressured into forcing another treaty that guaranteed the british trade and security privileges
",order use indus river commercial navigation punjab british signed treaty rulers hyderabad khairpur guaranteed british free passage indus sindh mir murad ali pressured accepting treaty resulted stationing british resident city british signed treaty eternal friendship talpur rulers hyderabad early th century promised allow french set residency sindh pressured forcing treaty guaranteed british trade security privileges,8.16,"order,use,indus,river,commercial,navigation,punjab,british,signed,treaty,rulers,hyderabad,khairpur,guaranteed,british,free,passage,indus,sindh,mir,murad,ali,pressured,accepting,treaty,resulted,stationing,british,resident,city,british,signed,treaty,eternal,friendship,talpur,rulers,hyderabad,early,th,century,promised,allow,french,set,residency,sindh,pressured,forcing,treaty,guaranteed,british,trade,security,privileges",0.00,hyderabad
"the british defeated the citys talpur rulers at the battle of hyderabad on  march  the provincial capital was then transferred to bombay presidency by the british general sir charles napier being the last stronghold in sindh the conquered city was the final step in the british conquest of sindh following the success of the british several of the citys talpur mirs rulers were exiled and died in calcutta their bodies were eventually brought back to hyderabad and were buried in the tombs of the talpur mirs located at the northern edge of the ganjo hill
",british defeated citys talpur rulers battle hyderabad march provincial capital transferred bombay presidency british general sir charles napier stronghold sindh conquered city final step british conquest sindh following success british citys talpur mirs rulers exiled died calcutta bodies eventually brought hyderabad buried tombs talpur mirs located northern edge ganjo hill,8.09,"british,defeated,citys,talpur,rulers,battle,hyderabad,march,provincial,capital,transferred,bombay,presidency,british,general,sir,charles,napier,stronghold,sindh,conquered,city,final,step,british,conquest,sindh,following,success,british,citys,talpur,mirs,rulers,exiled,died,calcutta,bodies,eventually,brought,hyderabad,buried,tombs,talpur,mirs,located,northern,edge,ganjo,hill",0.00,hyderabad
