Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"hyderabad  hy dr  bad telugu adarabad urdu dabad is the capital and largest city of the indian state of telangana and the de jure capital of andhra pradesha it occupies  km  on the deccan plateau along the banks of the musi river in the northern part of southern india with an average altitude of  m  much of hyderabad is situated on hilly terrain around artificial lakes including the hussain sagar lake predating the citys founding in the north of the city centre according to the  census of india hyderabad is the fourth most populous city in india with a population of  million residents within the city limits and has a population of  million residents in the metropolitan region making it the sixth most populous metropolitan area in india with an output of us billion hyderabad has the fifth largest urban economy in india
",hyderabad hy dr bad teluguadarabad urdudabad capital largest city indian state telangana de jure capital andhra pradesha occupies km deccan plateau banks musi river northern southern india average altitude hyderabad situated hilly terrain artificial lakes including hussain sagar lake predating citys founding north city centre according census india hyderabad fourth populous city india population million residents city limits population million residents metropolitan region making sixth populous metropolitan area india output usbillion hyderabad fifth largest urban economy india,7.71,"hyderabad,hy,dr,bad,teluguadarabad,urdudabad,capital,largest,city,indian,state,telangana,de,jure,capital,andhra,pradesha,occupies,km,deccan,plateau,banks,musi,river,northern,southern,india,average,altitude,hyderabad,situated,hilly,terrain,artificial,lakes,including,hussain,sagar,lake,predating,citys,founding,north,city,centre,according,census,india,hyderabad,fourth,populous,city,india,population,million,residents,city,limits,population,million,residents,metropolitan,region,making,sixth,populous,metropolitan,area,india,output,usbillion,hyderabad,fifth,largest,urban,economy,india",0.00,hyderabad
"muhammad quli qutb shah established hyderabad in  to extend the capital beyond the fortified golconda in  the city was annexed by the mughals in  asaf jah i the mughal viceroy declared his sovereignty and founded the asaf jahi dynasty also known as the nizams hyderabad served as the imperial capital of the asaf jahis from  to  as capital of the princely state of hyderabad the city housed the british residency and cantonment until indian independence in  hyderabad was annexed by the indian union in  and continued as a capital of hyderabad state from  to  after the introduction of the states reorganisation act of  hyderabad was made the capital of the newly formed andhra pradesh in  andhra pradesh was split to form the state of telangana and hyderabad became the joint capital of the two states with a transitional arrangement scheduled to end in  since  the city has housed the rashtrapati nilayam the winter office of the president of india
",muhammad quli qutb shah established hyderabad extend capital fortified golconda city annexed mughals asaf jah mughal viceroy declared sovereignty founded asaf jahi dynasty known nizams hyderabad served imperial capital asaf jahis capital princely state hyderabad city housed british residency cantonment indian independence hyderabad annexed indian union continued capital hyderabad state introduction states reorganisation act hyderabad capital newly formed andhra pradesh andhra pradesh split form state telangana hyderabad joint capital states transitional arrangement scheduled end city housed rashtrapati nilayam winter office president india,8.10,"muhammad,quli,qutb,shah,established,hyderabad,extend,capital,fortified,golconda,city,annexed,mughals,asaf,jah,mughal,viceroy,declared,sovereignty,founded,asaf,jahi,dynasty,known,nizams,hyderabad,served,imperial,capital,asaf,jahis,capital,princely,state,hyderabad,city,housed,british,residency,cantonment,indian,independence,hyderabad,annexed,indian,union,continued,capital,hyderabad,state,introduction,states,reorganisation,act,hyderabad,capital,newly,formed,andhra,pradesh,andhra,pradesh,split,form,state,telangana,hyderabad,joint,capital,states,transitional,arrangement,scheduled,end,city,housed,rashtrapati,nilayam,winter,office,president,india",0.00,hyderabad
"until the th century hyderabad was known for the pearl industry and was nicknamed the city of pearls and was the only trading centre for golconda diamonds in the world many of the citys historical and traditional bazaars remain open hyderabads central location between the deccan plateau and the western ghats and industrialisation throughout the th century attracted major indian research manufacturing educational and financial institutions since the s the city has emerged as an indian hub of pharmaceuticals and biotechnology the formation of the special economic zones of hardware park and hitec city dedicated to information technology has encouraged leading multinationals to set up operations in hyderabad
",th century hyderabad known pearl industry nicknamed city pearls trading centre golconda diamonds world citys historical traditional bazaars remain open hyderabads central location deccan plateau western ghats industrialisation th century attracted major indian research manufacturing educational financial institutions city emerged indian hub pharmaceuticals biotechnology formation special economic zones hardware park hitec city dedicated information technology encouraged leading multinationals set operations hyderabad,6.58,"th,century,hyderabad,known,pearl,industry,nicknamed,city,pearls,trading,centre,golconda,diamonds,world,citys,historical,traditional,bazaars,remain,open,hyderabads,central,location,deccan,plateau,western,ghats,industrialisation,th,century,attracted,major,indian,research,manufacturing,educational,financial,institutions,city,emerged,indian,hub,pharmaceuticals,biotechnology,formation,special,economic,zones,hardware,park,hitec,city,dedicated,information,technology,encouraged,leading,multinationals,set,operations,hyderabad",0.00,hyderabad
"the name hyderabad means haydars city or lion city from haydar lion and bd city after caliph ali ibn abi talib also known as haydar because of his lion like valour in battle
",hyderabad means haydars city lion city haydar lion bd city caliph ali ibn abi talib known haydar lion like valour battle,6.90,"hyderabad,means,haydars,city,lion,city,haydar,lion,bd,city,caliph,ali,ibn,abi,talib,known,haydar,lion,like,valour,battle",0.00,hyderabad
"the city was originally called bhagnagar  and later acquired the name hyderabad the european travellers von poser and thvenot found both names in use in the th century
",city originally called bhagnagar later acquired hyderabad european travellers von poser thvenot found names use th century,6.55,"city,originally,called,bhagnagar,later,acquired,hyderabad,european,travellers,von,poser,thvenot,found,names,use,th,century",0.00,hyderabad
"one popular legend suggests that the founder of the city muhammad quli qutb shah named it bhagya nagar after bhagmati a local nautch  girl whom he married she converted to islam and adopted the title hyder mahal the city would have been named hyderabad in her honour
",popular legend suggests founder city muhammad quli qutb shah named bhagya nagar bhagmati local nautch girl married converted islam adopted title hyder mahal city named hyderabad honour,7.49,"popular,legend,suggests,founder,city,muhammad,quli,qutb,shah,named,bhagya,nagar,bhagmati,local,nautch,girl,married,converted,islam,adopted,title,hyder,mahal,city,named,hyderabad,honour",0.00,hyderabad
"the discovery of megalithic burial sites and cairn circles in the suburbs of hyderabad in  by philip meadows taylor a polymath in the service of the nizam had provided evidence that the region in which the city stands has been inhabited from the stone age archaeologists excavating near the city have unearthed iron age sites that may date from  bce the region comprising modern hyderabad and its surroundings was ruled by the chalukya dynasty from  ce to  ce following the dissolution of the chalukya empire into four parts in the th century golcondanow part of hyderabadcame under the control of the kakatiya dynasty from  whose seat of power was at warangal km  northeast of modern hyderabad the kakatiya ruler ganapatideva  built a hilltop outpostlater known as golconda fortto defend their western region
",discovery megalithic burial sites cairn circles suburbs hyderabad philip meadows taylor polymath service nizam provided evidence region city stands inhabited stone age archaeologists excavating near city unearthed iron age sites date bce region comprising modern hyderabad surroundings ruled chalukya dynasty ce ce following dissolution chalukya empire parts th century golcondanow hyderabadcame control kakatiya dynasty seat power warangalkm northeast modern hyderabad kakatiya ruler ganapatideva built hilltop outpostlater known golconda fortto defend western region,7.28,"discovery,megalithic,burial,sites,cairn,circles,suburbs,hyderabad,philip,meadows,taylor,polymath,service,nizam,provided,evidence,region,city,stands,inhabited,stone,age,archaeologists,excavating,near,city,unearthed,iron,age,sites,date,bce,region,comprising,modern,hyderabad,surroundings,ruled,chalukya,dynasty,ce,ce,following,dissolution,chalukya,empire,parts,th,century,golcondanow,hyderabadcame,control,kakatiya,dynasty,seat,power,warangalkm,northeast,modern,hyderabad,kakatiya,ruler,ganapatideva,built,hilltop,outpostlater,known,golconda,fortto,defend,western,region",0.00,hyderabad
"in  sultan quli was appointed as a bahmani governor of telangana he rebuilt expanded and fortified the old mud fort of golconda and named the city muhammad nagar in  he revolted against the bahmani sultanate and established the qutb shahi dynasty the fifth qutb shahi sultan muhammad quli qutb shah established hyderabad on the banks of the musi river in  to avoid water shortages experienced at golconda during his rule he had the charminar and mecca masjid built in the city mir momin astarabadi the prime minister in the qutub shahi period developed the plan of the city of hyderabad including the location of the charminar and char kaman
",sultan quli appointed bahmani governor telangana rebuilt expanded fortified old mud fort golconda named city muhammad nagar revolted bahmani sultanate established qutb shahi dynasty fifth qutb shahi sultan muhammad quli qutb shah established hyderabad banks musi river avoid water shortages experienced golconda rule charminar mecca masjid built city mir momin astarabadi prime minister qutub shahi period developed plan city hyderabad including location charminar char kaman,6.85,"sultan,quli,appointed,bahmani,governor,telangana,rebuilt,expanded,fortified,old,mud,fort,golconda,named,city,muhammad,nagar,revolted,bahmani,sultanate,established,qutb,shahi,dynasty,fifth,qutb,shahi,sultan,muhammad,quli,qutb,shah,established,hyderabad,banks,musi,river,avoid,water,shortages,experienced,golconda,rule,charminar,mecca,masjid,built,city,mir,momin,astarabadi,prime,minister,qutub,shahi,period,developed,plan,city,hyderabad,including,location,charminar,char,kaman",0.00,hyderabad
"on  september  the golconda sultanate came under the rule of the mughal emperor aurangzeb after a year long siege of the golconda fort the annexed city hyderabad was renamed darul jihad  whereas the main territories of the golconda sultanate were incorporated into the mughal empire as the province hyderabad subah  mughal rule in hyderabad was administered by three main governors jan sipar khan  his son rustam dil khan  and mubariz khan 
",september golconda sultanate came rule mughal emperor aurangzeb year long siege golconda fort annexed city hyderabad renamed darul jihad main territories golconda sultanate incorporated mughal empire province hyderabad subah mughal rule hyderabad administered main governors jan sipar khan son rustam dil khan mubariz khan,6.12,"september,golconda,sultanate,came,rule,mughal,emperor,aurangzeb,year,long,siege,golconda,fort,annexed,city,hyderabad,renamed,darul,jihad,main,territories,golconda,sultanate,incorporated,mughal,empire,province,hyderabad,subah,mughal,rule,hyderabad,administered,main,governors,jan,sipar,khan,son,rustam,dil,khan,mubariz,khan",0.00,hyderabad
"in  mughal emperor farrukhsiyar appointed mubariz khan as governor of hyderabad during his tenure he fortified the city and controlled the internal and neighbouring threats in  farrukhsiyar appointed asaf jah i as viceroy of the deccan with the title nizam ul mulk  in  he was appointed as prime minister of the mughal empire his differences with the court nobles led him to resign from all the imperial responsibilities in  and leave for deccan under the influence of asaf jah is opponents mughal emperor muhammad shah issued a decree to mubariz khan to stop asaf jah i which resulted in the battle of shakar kheda   in  asaf jah i defeated mubariz khan to establish autonomy over the deccan named the region hyderabad deccan and started what came to be known as the asaf jahi dynasty subsequent rulers retained the title nizam ul mulk and were referred to as asaf jahi nizams or nizams of hyderabad the death of asaf jah i in  resulted in a period of political unrest as his sons and grandsonnasir jung  muzaffar jang  and salabat jung contended for the throne backed by opportunistic neighbouring states and colonial foreign forces the accession of asaf jah ii who reigned from  to  ended the instability in  he signed the treaty of masulipatamby which the east india company in return for a fixed annual rent got the right to control and collect the taxes at coromandel coast
",mughal emperor farrukhsiyar appointed mubariz khan governor hyderabad tenure fortified city controlled internal neighbouring threats farrukhsiyar appointed asaf jah viceroy deccan title nizam ul mulk appointed prime minister mughal empire differences court nobles led resign imperial responsibilities leave deccan influence asaf jah opponents mughal emperor muhammad shah issued decree mubariz khan stop asaf jah resulted battle shakar kheda asaf jah defeated mubariz khan establish autonomy deccan named region hyderabad deccan started came known asaf jahi dynasty subsequent rulers retained title nizam ul mulk referred asaf jahi nizams nizams hyderabad death asaf jah resulted period political unrest sons grandsonnasir jung muzaffar jang salabat jung contended throne backed opportunistic neighbouring states colonial foreign forces accession asaf jah ii reigned ended instability signed treaty masulipatamby east india company return fixed annual rent got right control collect taxes coromandel coast,7.25,"mughal,emperor,farrukhsiyar,appointed,mubariz,khan,governor,hyderabad,tenure,fortified,city,controlled,internal,neighbouring,threats,farrukhsiyar,appointed,asaf,jah,viceroy,deccan,title,nizam,ul,mulk,appointed,prime,minister,mughal,empire,differences,court,nobles,led,resign,imperial,responsibilities,leave,deccan,influence,asaf,jah,opponents,mughal,emperor,muhammad,shah,issued,decree,mubariz,khan,stop,asaf,jah,resulted,battle,shakar,kheda,asaf,jah,defeated,mubariz,khan,establish,autonomy,deccan,named,region,hyderabad,deccan,started,came,known,asaf,jahi,dynasty,subsequent,rulers,retained,title,nizam,ul,mulk,referred,asaf,jahi,nizams,nizams,hyderabad,death,asaf,jah,resulted,period,political,unrest,sons,grandsonnasir,jung,muzaffar,jang,salabat,jung,contended,throne,backed,opportunistic,neighbouring,states,colonial,foreign,forces,accession,asaf,jah,ii,reigned,ended,instability,signed,treaty,masulipatamby,east,india,company,return,fixed,annual,rent,got,right,control,collect,taxes,coromandel,coast",0.00,hyderabad
