Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the krna krouna or krona a is the currency of iceland iceland is the second smallest country by population after the seychelles to have its own currency and monetary policydubious   discuss
",krna krouna krona currency iceland iceland second smallest country population seychelles currency monetary policydubious discuss,8.42,"krna,krouna,krona,currency,iceland,iceland,second,smallest,country,population,seychelles,currency,monetary,policydubious,discuss",0.00,krona
"the icelandic krona separated from the danish krone after the dissolution of the scandinavian monetary union at the start of world war i and icelandic sovereignty from denmark in  the first coins were issued in 
",icelandic krona separated danish krone dissolution scandinavian monetary union start world war icelandic sovereignty denmark coins issued,8.49,"icelandic,krona,separated,danish,krone,dissolution,scandinavian,monetary,union,start,world,war,icelandic,sovereignty,denmark,coins,issued",0.00,krona
"iceland was forced to devalue the icelandic krona in  by  against the danish krone which saw the beginning of an independent monetary policy in iceland and was to be the first of many subsequent devaluations of the krona
",iceland forced devalue icelandic krona danish krone saw beginning independent monetary policy iceland subsequent devaluations krona,9.95,"iceland,forced,devalue,icelandic,krona,danish,krone,saw,beginning,independent,monetary,policy,iceland,subsequent,devaluations,krona",0.00,krona
"in  the krona was pegged to the british pound for the next  years until the spring of  later in  the currency was pegged to the us dollar which was maintained until 
",krona pegged british pound years spring later currency pegged dollar maintained,12.05,"krona,pegged,british,pound,years,spring,later,currency,pegged,dollar,maintained",0.00,krona
"icelands first coins were  and  aurar pieces introduced in  these were followed in  by  krona and  krona pieces and in  by   and  aurar pieces in  the coins designs were altered to remove the royal monogram  following icelandic independence from denmark in 
",icelands coins aurar pieces introduced followed krona krona pieces aurar pieces coins designs altered remove royal monogram following icelandic independence denmark,7.75,"icelands,coins,aurar,pieces,introduced,followed,krona,krona,pieces,aurar,pieces,coins,designs,altered,remove,royal,monogram,following,icelandic,independence,denmark",0.00,krona
"starting in  new coins were introduced due to a considerable fall in the value of the krona  krona coins were introduced in that year followed by  aurar and  krona pieces in  and  krona pieces in 
",starting new coins introduced considerable fall value krona krona coins introduced year followed aurar krona pieces krona pieces,8.63,"starting,new,coins,introduced,considerable,fall,value,krona,krona,coins,introduced,year,followed,aurar,krona,pieces,krona,pieces",0.00,krona
"the first notes issued in  by the landssjyou are slands were in denominations of   and  krona in  the bank of iceland  took over note production and introduced  krona notes in  the rkissjyou are slands began issuing paper money with notes for    and  krona
",notes issued landssjyou slands denominations krona bank iceland took note production introduced krona notes rkissjyou slands began issuing paper money notes krona,8.17,"notes,issued,landssjyou,slands,denominations,krona,bank,iceland,took,note,production,introduced,krona,notes,rkissjyou,slands,began,issuing,paper,money,notes,krona",0.00,krona
"in  another bank the landsbanki slands took over issuance of denominations of  krona and above with the rkissjyou are slands continuing to issue  krona notes until  the landsbanki slands introduced  krona notes in  followed by  and  krona notes in 
",bank landsbanki slands took issuance denominations krona rkissjyou slands continuing issue krona notes landsbanki slands introduced krona notes followed krona notes,7.23,"bank,landsbanki,slands,took,issuance,denominations,krona,rkissjyou,slands,continuing,issue,krona,notes,landsbanki,slands,introduced,krona,notes,followed,krona,notes",0.00,krona
"in  the selabanki slands became the central bank of iceland and started issuing paper money in denominations of    and  krona they were manufactured in england by de la rue
",selabanki slands central bank iceland started issuing paper money denominations krona manufactured england de la rue,7.51,"selabanki,slands,central,bank,iceland,started,issuing,paper,money,denominations,krona,manufactured,england,de,la,rue",0.00,krona
"in  the icelandic krona was revalued due to high inflation with  old krona  being worth  new krona  and a new  krona banknote was first put into circulation in  the  krona was put into circulation in  and the  krona in  the  krona banknote was put into circulation in  but never became very popular the  krona banknote was put into circulation in 
",icelandic krona revalued high inflation old krona worth new krona new krona banknote circulation krona circulation krona krona banknote circulation popular krona banknote circulation,10.34,"icelandic,krona,revalued,high,inflation,old,krona,worth,new,krona,new,krona,banknote,circulation,krona,circulation,krona,krona,banknote,circulation,popular,krona,banknote,circulation",0.00,krona
"coins of less than one krona have not circulated for many years in september  dav oddsson the icelandic prime minister at the time signed two regulations decreeing that all monetary amounts on invoices and financial claims should be stated and paid in whole krona only and that coins with a value of less than one krona should be withdrawn from circulation
",coins krona circulated years september dav oddsson icelandic prime minister time signed regulations decreeing monetary amounts invoices financial claims stated paid krona coins value krona withdrawn circulation,9.52,"coins,krona,circulated,years,september,dav,oddsson,icelandic,prime,minister,time,signed,regulations,decreeing,monetary,amounts,invoices,financial,claims,stated,paid,krona,coins,value,krona,withdrawn,circulation",0.00,krona
"in  coins were introduced in denominations of   and  aurar   krona and  krona these were followed by  krona pieces in   krona in  and  krona in  since  icelandic banks no longer accept any coins denominated in aurar 
",coins introduced denominations aurar krona krona followed krona pieces krona krona icelandic banks longer accept coins denominated aurar,7.83,"coins,introduced,denominations,aurar,krona,krona,followed,krona,pieces,krona,krona,icelandic,banks,longer,accept,coins,denominated,aurar",0.00,krona
"icelandic banknotes are printed with the dates from which the legal basis of the currency derives in  notes were issued in denominations of    and  krona based on the law of  march   krona notes were introduced in  followed by  krona notes in  with the same law
",icelandic banknotes printed dates legal basis currency derives notes issued denominations krona based law march krona notes introduced followed krona notes law,8.78,"icelandic,banknotes,printed,dates,legal,basis,currency,derives,notes,issued,denominations,krona,based,law,march,krona,notes,introduced,followed,krona,notes,law",0.00,krona
"  and  krona notes were reissued in  under the law of  may  in the following year a new denomination of  krona was issued for the first time the  krona note is subtly different from the other notes for example the underprint pattern extends all the way upward and downward while the other denominations had white margins on every side the number  is printed in multi color for  of the  occurrences and the numeral  on the lower left corner of reverse is vertical the shadow of the numeral is printed with s in microprint
",krona notes reissued law following year new denomination krona issued time krona note subtly different notes example underprint pattern extends way upward downward denominations white margins number printed multi color occurrences numeral lower left corner reverse vertical shadow numeral printed microprint,9.79,"krona,notes,reissued,law,following,year,new,denomination,krona,issued,time,krona,note,subtly,different,notes,example,underprint,pattern,extends,way,upward,downward,denominations,white,margins,number,printed,multi,color,occurrences,numeral,lower,left,corner,reverse,vertical,shadow,numeral,printed,microprint",0.00,krona
"the  may  series saw substantial changes the underprint and microprint features of the  krona note were extended to other  denominations the  and  krona notes also received metallic foils next to the portrait
",series saw substantial changes underprint microprint features krona note extended denominations krona notes received metallic foils portrait,7.18,"series,saw,substantial,changes,underprint,microprint,features,krona,note,extended,denominations,krona,notes,received,metallic,foils,portrait",0.00,krona
"in  a new  krona banknote was introduced the face of natural scientist and poet jnas hallgrmsson appears on the bill as well as the eurasian golden plover notes of  krona or less are no longer in circulation as they have been withdrawn by the central bank
",new krona banknote introduced face natural scientist poet jnas hallgrmsson appears bill eurasian golden plover notes krona longer circulation withdrawn central bank,9.38,"new,krona,banknote,introduced,face,natural,scientist,poet,jnas,hallgrmsson,appears,bill,eurasian,golden,plover,notes,krona,longer,circulation,withdrawn,central,bank",0.00,krona
"iceland is not a member of the european union and does not use the euro
the icelandic currency is a low volume world currency strongly managed by its central bank its value in terms of other currencies has historically been swift to change for example against the us and canadian dollars and the other nordic currencies  and the euro for example during the first half of  the icelandic krona ranged between  and  per us dollar prior to the currencys collapse in october  the krona was considered overvalued
",iceland member european union use eurothe icelandic currency low volume world currency strongly managed central bank value terms currencies historically swift change example canadian dollars nordic currencies euro example half icelandic krona ranged dollar prior currencys collapse october krona considered overvalued,9.07,"iceland,member,european,union,use,eurothe,icelandic,currency,low,volume,world,currency,strongly,managed,central,bank,value,terms,currencies,historically,swift,change,example,canadian,dollars,nordic,currencies,euro,example,half,icelandic,krona,ranged,dollar,prior,currencys,collapse,october,krona,considered,overvalued",0.00,krona
"icelands per capita computer usage is among the highest in the world far higher than the uk or us the saturation of technology in iceland has had ramifications in the monetary system a very high proportion of payments in iceland are made electronically for example by debit or credit cards or online bank transfers the largest denomination banknote the  krona note  has a relatively low value therefore most of icelands high value trades are done in electronic transfers and in other currencies
",icelands capita computer usage highest world far higher uk saturation technology iceland ramifications monetary system high proportion payments iceland electronically example debit credit cards online bank transfers largest denomination banknote krona note relatively low value icelands high value trades electronic transfers currencies,8.08,"icelands,capita,computer,usage,highest,world,far,higher,uk,saturation,technology,iceland,ramifications,monetary,system,high,proportion,payments,iceland,electronically,example,debit,credit,cards,online,bank,transfers,largest,denomination,banknote,krona,note,relatively,low,value,icelands,high,value,trades,electronic,transfers,currencies",0.00,krona
