Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"india officially the republic of india  is a country in south asia it is the seventh largest country by area the second most populous country and the most populous democracy in the world bounded by the indian ocean on the south the arabian sea on the southwest and the bay of bengal on the southeast it shares land borders with pakistan to the westh china nepal and bhutan to the north and bangladesh and myanmar to the east in the indian ocean india is in the vicinity of sri lanka and the maldives its andaman and nicobar islands share a maritime border with thailand myanmar and indonesia 
",india officially republic india country south asia seventh largest country area second populous country populous democracy world bounded indian ocean south arabian sea southwest bay bengal southeast shares land borders pakistan westh china nepal bhutan north bangladesh myanmar east indian ocean india vicinity sri lanka maldives andaman nicobar islands share maritime border thailand myanmar indonesia,8.77,"india,officially,republic,india,country,south,asia,seventh,largest,country,area,second,populous,country,populous,democracy,world,bounded,indian,ocean,south,arabian,sea,southwest,bay,bengal,southeast,shares,land,borders,pakistan,westh,china,nepal,bhutan,north,bangladesh,myanmar,east,indian,ocean,india,vicinity,sri,lanka,maldives,andaman,nicobar,islands,share,maritime,border,thailand,myanmar,indonesia",0.00,india
"modern humans arrived on the indian subcontinent from africa no later than  years ago
their long occupation initially in varying forms of isolation as hunter gatherers has made the region highly diverse second only to africa in human genetic diversity settled life emerged on the subcontinent in the western margins of the indus river basin  years ago evolving gradually into the indus valley civilisation of the third millennium bce
by  bce an archaic form of sanskrit an indo european language had diffused into india from the northwest its evidence today is found in the hymns of the rigveda preserved by a resolutely vigilant oral tradition the rigveda records the dawning of hinduism in india the dravidian languages of india were supplanted in the northern and western regions
by  bce stratification and exclusion by caste had emerged within hinduism
and buddhism and jainism had arisen proclaiming social orders unlinked to heredity
early political consolidations gave rise to the loose knit maurya and gupta empires based in the ganges basin
their collective era was suffused with wide ranging creativity but also marked by the declining status of women and the incorporation of untouchability into an organised system of beliefi in south india the middle kingdoms exported dravidian languages scripts and religious cultures to the kingdoms of southeast asia
",modern humans arrived indian subcontinent africa later years agotheir long occupation initially varying forms isolation hunter gatherers region highly diverse second africa human genetic diversity settled life emerged subcontinent western margins indus river basin years ago evolving gradually indus valley civilisation millennium bceby bce archaic form sanskrit indo european language diffused india northwest evidence today found hymns rigveda preserved resolutely vigilant oral tradition rigveda records dawning hinduism india dravidian languages india supplanted northern western regionsby bce stratification exclusion caste emerged hinduismand buddhism jainism arisen proclaiming social orders unlinked heredityearly political consolidations gave rise loose knit maurya gupta empires based ganges basintheir collective era suffused wide ranging creativity marked declining status women incorporation untouchability organised system beliefi south india middle kingdoms exported dravidian languages scripts religious cultures kingdoms southeast asia,6.29,"modern,humans,arrived,indian,subcontinent,africa,later,years,agotheir,long,occupation,initially,varying,forms,isolation,hunter,gatherers,region,highly,diverse,second,africa,human,genetic,diversity,settled,life,emerged,subcontinent,western,margins,indus,river,basin,years,ago,evolving,gradually,indus,valley,civilisation,millennium,bceby,bce,archaic,form,sanskrit,indo,european,language,diffused,india,northwest,evidence,today,found,hymns,rigveda,preserved,resolutely,vigilant,oral,tradition,rigveda,records,dawning,hinduism,india,dravidian,languages,india,supplanted,northern,western,regionsby,bce,stratification,exclusion,caste,emerged,hinduismand,buddhism,jainism,arisen,proclaiming,social,orders,unlinked,heredityearly,political,consolidations,gave,rise,loose,knit,maurya,gupta,empires,based,ganges,basintheir,collective,era,suffused,wide,ranging,creativity,marked,declining,status,women,incorporation,untouchability,organised,system,beliefi,south,india,middle,kingdoms,exported,dravidian,languages,scripts,religious,cultures,kingdoms,southeast,asia",0.00,india
"in the early medieval era christianity islam judaism and zoroastrianism became established on indias southern and western coasts
muslim armies from central asia intermittently overran indias northern plains
eventually founding the delhi sultanate and drawing northern india into the cosmopolitan networks of medieval islam
in the th century the vijayanagara empire created a long lasting composite hindu culture in south india
in the punjab sikhism emerged rejecting institutionalised religion
the mughal empire in  ushered in two centuries of relative peace
leaving a legacy of luminous architecturej
gradually expanding rule of the british east india company followed turning india into a colonial economy but also consolidating its sovereignty british crown rule began in  the rights promised to indians were granted slowly but technological changes were introduced and modern ideas of education and the public life took root a pioneering and influential nationalist movement emerged which was noted for nonviolent resistance and became the major factor in ending british rule in  the british indian empire was partitioned into two independent dominions a hindu majority dominion of india and a muslim majority dominion of pakistan amid large scale loss of life and an unprecedented migration
",early medieval era christianity islam judaism zoroastrianism established indias southern western coastsmuslim armies central asia intermittently overran indias northern plainseventually founding delhi sultanate drawing northern india cosmopolitan networks medieval islamin th century vijayanagara empire created long lasting composite hindu culture south indiain punjab sikhism emerged rejecting institutionalised religionthe mughal empire ushered centuries relative peaceleaving legacy luminous architecturejgradually expanding rule british east india company followed turning india colonial economy consolidating sovereignty british crown rule began rights promised indians granted slowly technological changes introduced modern ideas education public life took root pioneering influential nationalist movement emerged noted nonviolent resistance major factor ending british rule british indian empire partitioned independent dominions hindu majority dominion india muslim majority dominion pakistan amid large scale loss life unprecedented migration,5.02,"early,medieval,era,christianity,islam,judaism,zoroastrianism,established,indias,southern,western,coastsmuslim,armies,central,asia,intermittently,overran,indias,northern,plainseventually,founding,delhi,sultanate,drawing,northern,india,cosmopolitan,networks,medieval,islamin,th,century,vijayanagara,empire,created,long,lasting,composite,hindu,culture,south,indiain,punjab,sikhism,emerged,rejecting,institutionalised,religionthe,mughal,empire,ushered,centuries,relative,peaceleaving,legacy,luminous,architecturejgradually,expanding,rule,british,east,india,company,followed,turning,india,colonial,economy,consolidating,sovereignty,british,crown,rule,began,rights,promised,indians,granted,slowly,technological,changes,introduced,modern,ideas,education,public,life,took,root,pioneering,influential,nationalist,movement,emerged,noted,nonviolent,resistance,major,factor,ending,british,rule,british,indian,empire,partitioned,independent,dominions,hindu,majority,dominion,india,muslim,majority,dominion,pakistan,amid,large,scale,loss,life,unprecedented,migration",0.00,india
"india has been a federal republic since  governed through a democratic parliamentary system it is a pluralistic multilingual and multi ethnic society indias population grew from  million in  to almost  billion in 
during the same time its nominal per capita income increased from us annually to us and its literacy rate from  to  from being a comparatively destitute country in 
india has become a fast growing major economy and a hub for information technology services with an expanding middle class it has a space programme which includes several planned or completed extraterrestrial missions indian movies music and spiritual teachings play an increasing role in global culture
india has substantially reduced its rate of poverty though at the cost of increasing economic inequality
india is a nuclear weapon state which ranks high in military expenditure it has disputes over kashmir with its neighbours pakistan and china unresolved since the mid th century
among the socio economic challenges india faces are gender inequality child malnutrition
and rising levels of air pollution
indias land is megadiverse with four biodiversity hotspots its forest cover comprises  of its area indias wildlife which has traditionally been viewed with tolerance in indias culture is supported among these forests and elsewhere in protected habitats
",india federal republic governed democratic parliamentary system pluralistic multilingual multi ethnic society indias population grew million billion time nominal capita income increased annually literacy rate comparatively destitute country india fast growing major economy hub information technology services expanding middle class space programme includes planned completed extraterrestrial missions indian movies music spiritual teachings play increasing role global cultureindia substantially reduced rate poverty cost increasing economic inequalityindia nuclear weapon state ranks high military expenditure disputes kashmir neighbours pakistan china unresolved mid th centuryamong socio economic challenges india faces gender inequality child malnutritionand rising levels air pollutionindias land megadiverse biodiversity hotspots forest cover comprises area indias wildlife traditionally viewed tolerance indias culture supported forests protected habitats,6.71,"india,federal,republic,governed,democratic,parliamentary,system,pluralistic,multilingual,multi,ethnic,society,indias,population,grew,million,billion,time,nominal,capita,income,increased,annually,literacy,rate,comparatively,destitute,country,india,fast,growing,major,economy,hub,information,technology,services,expanding,middle,class,space,programme,includes,planned,completed,extraterrestrial,missions,indian,movies,music,spiritual,teachings,play,increasing,role,global,cultureindia,substantially,reduced,rate,poverty,cost,increasing,economic,inequalityindia,nuclear,weapon,state,ranks,high,military,expenditure,disputes,kashmir,neighbours,pakistan,china,unresolved,mid,th,centuryamong,socio,economic,challenges,india,faces,gender,inequality,child,malnutritionand,rising,levels,air,pollutionindias,land,megadiverse,biodiversity,hotspots,forest,cover,comprises,area,indias,wildlife,traditionally,viewed,tolerance,indias,culture,supported,forests,protected,habitats",0.00,india
"according to the oxford english dictionary  the name india is derived from the classical latin india a reference to south asia and an uncertain region to its east and in turn derived successively from hellenistic greek india  ancient greek indos  old persian hindush an eastern province of the achaemenid empire and ultimately its cognate the sanskrit sindhu or river specifically the indus river and by implication its well settled southern basin the ancient greeks referred to the indians as indoi  which translates as the people of the indus
",according oxford english dictionary india derived classical latin india reference south asia uncertain region east turn derived successively hellenistic greek india ancient greek indos old persian hindush eastern province achaemenid empire ultimately cognate sanskrit sindhu river specifically indus river implication settled southern basin ancient greeks referred indians indoi translates people indus,6.79,"according,oxford,english,dictionary,india,derived,classical,latin,india,reference,south,asia,uncertain,region,east,turn,derived,successively,hellenistic,greek,india,ancient,greek,indos,old,persian,hindush,eastern,province,achaemenid,empire,ultimately,cognate,sanskrit,sindhu,river,specifically,indus,river,implication,settled,southern,basin,ancient,greeks,referred,indians,indoi,translates,people,indus",0.00,india
"the term bharat  mentioned in both indian epic poetry and the constitution of india is used in its variations by many indian languages a modern rendering of the historical name bharatavarsha which applied originally to north india bharat gained increased currency from the mid th century as a native name for india
",term bharat mentioned indian epic poetry constitution india variations indian languages modern rendering historical bharatavarsha applied originally north india bharat gained increased currency mid th century native india,7.62,"term,bharat,mentioned,indian,epic,poetry,constitution,india,variations,indian,languages,modern,rendering,historical,bharatavarsha,applied,originally,north,india,bharat,gained,increased,currency,mid,th,century,native,india",0.00,india
"hindustan  is a middle persian name for india introduced during the mughal empire and used widely since its meaning has varied referring to a region encompassing present day northern india and pakistan or to india in its near entirety
",hindustan middle persian india introduced mughal empire widely meaning varied referring region encompassing present day northern india pakistan india near entirety,7.66,"hindustan,middle,persian,india,introduced,mughal,empire,widely,meaning,varied,referring,region,encompassing,present,day,northern,india,pakistan,india,near,entirety",0.00,india
"by  years ago the first modern humans or homo sapiens had arrived on the indian subcontinent from africa where they had earlier evolved the earliest known modern human remains in south asia date to about  years ago after  bce evidence for domestication of food crops and animals construction of permanent structures and storage of agricultural surplus appeared in mehrgarh and other sites in what is now balochistan pakistan these gradually developed into the indus valley civilisation the first urban culture in south asia which flourished during  bce in what is now pakistan and western india centred around cities such as mohenjo daro harappa dholavira and kalibangan and relying on varied forms of subsistence the civilisation engaged robustly in crafts production and wide ranging trade
",years ago modern humans homo sapiens arrived indian subcontinent africa earlier evolved earliest known modern human remains south asia date years ago bce evidence domestication food crops animals construction permanent structures storage agricultural surplus appeared mehrgarh sites balochistan pakistan gradually developed indus valley civilisation urban culture south asia flourished bce pakistan western india centred cities mohenjo daro harappa dholavira kalibangan relying varied forms subsistence civilisation engaged robustly crafts production wide ranging trade,6.57,"years,ago,modern,humans,homo,sapiens,arrived,indian,subcontinent,africa,earlier,evolved,earliest,known,modern,human,remains,south,asia,date,years,ago,bce,evidence,domestication,food,crops,animals,construction,permanent,structures,storage,agricultural,surplus,appeared,mehrgarh,sites,balochistan,pakistan,gradually,developed,indus,valley,civilisation,urban,culture,south,asia,flourished,bce,pakistan,western,india,centred,cities,mohenjo,daro,harappa,dholavira,kalibangan,relying,varied,forms,subsistence,civilisation,engaged,robustly,crafts,production,wide,ranging,trade",0.00,india
"during the period  bce many regions of the subcontinent transitioned from the chalcolithic cultures to the iron age ones the vedas the oldest scriptures associated with hinduism were composed during this period and historians have analysed these to posit a vedic culture in the punjab region and the upper gangetic plain most historians also consider this period to have encompassed several waves of indo aryan migration into the subcontinent from the north west the caste system which created a hierarchy of priests warriors and free peasants but which excluded indigenous peoples by labelling their occupations impure arose during this period on the deccan plateau archaeological evidence from this period suggests the existence of a chiefdom stage of political organisation in south india a progression to sedentary life is indicated by the large number of megalithic monuments dating from this period as well as by nearby traces of agriculture irrigation tanks and craft traditions
",period bce regions subcontinent transitioned chalcolithic cultures iron age ones vedas oldest scriptures associated hinduism composed period historians analysed posit vedic culture punjab region upper gangetic plain historians consider period encompassed waves indo aryan migration subcontinent north west caste system created hierarchy priests warriors free peasants excluded indigenous peoples labelling occupations impure arose period deccan plateau archaeological evidence period suggests existence chiefdom stage political organisation south india progression sedentary life indicated large number megalithic monuments dating period nearby traces agriculture irrigation tanks craft traditions,7.00,"period,bce,regions,subcontinent,transitioned,chalcolithic,cultures,iron,age,ones,vedas,oldest,scriptures,associated,hinduism,composed,period,historians,analysed,posit,vedic,culture,punjab,region,upper,gangetic,plain,historians,consider,period,encompassed,waves,indo,aryan,migration,subcontinent,north,west,caste,system,created,hierarchy,priests,warriors,free,peasants,excluded,indigenous,peoples,labelling,occupations,impure,arose,period,deccan,plateau,archaeological,evidence,period,suggests,existence,chiefdom,stage,political,organisation,south,india,progression,sedentary,life,indicated,large,number,megalithic,monuments,dating,period,nearby,traces,agriculture,irrigation,tanks,craft,traditions",0.00,india
"in the late vedic period around the th century bce the small states and chiefdoms of the ganges plain and the north western regions had consolidated into  major oligarchies and monarchies that were known as the mahajanapadas the emerging urbanisation gave rise to non vedic religious movements two of which became independent religions jainism came into prominence during the life of its exemplar mahavira buddhism based on the teachings of gautama buddha attracted followers from all social classes excepting the middle class chronicling the life of the buddha was central to the beginnings of recorded history in india in an age of increasing urban wealth both religions held up renunciation as an ideal and both established long lasting monastic traditions politically by the rd century bce the kingdom of magadha had annexed or reduced other states to emerge as the mauryan empire the empire was once thought to have controlled most of the subcontinent except the far south but its core regions are now thought to have been separated by large autonomous areas the mauryan kings are known as much for their empire building and determined management of public life as for ashokas renunciation of militarism and far flung advocacy of the buddhist dhamma
",late vedic period th century bce small states chiefdoms ganges plain north western regions consolidated major oligarchies monarchies known mahajanapadas emerging urbanisation gave rise non vedic religious movements independent religions jainism came prominence life exemplar mahavira buddhism based teachings gautama buddha attracted followers social classes excepting middle class chronicling life buddha central beginnings recorded history india age increasing urban wealth religions held renunciation ideal established long lasting monastic traditions politically rd century bce kingdom magadha annexed reduced states emerge mauryan empire empire thought controlled subcontinent far south core regions thought separated large autonomous areas mauryan kings known empire building determined management public life ashokas renunciation militarism far flung advocacy buddhist dhamma,7.41,"late,vedic,period,th,century,bce,small,states,chiefdoms,ganges,plain,north,western,regions,consolidated,major,oligarchies,monarchies,known,mahajanapadas,emerging,urbanisation,gave,rise,non,vedic,religious,movements,independent,religions,jainism,came,prominence,life,exemplar,mahavira,buddhism,based,teachings,gautama,buddha,attracted,followers,social,classes,excepting,middle,class,chronicling,life,buddha,central,beginnings,recorded,history,india,age,increasing,urban,wealth,religions,held,renunciation,ideal,established,long,lasting,monastic,traditions,politically,rd,century,bce,kingdom,magadha,annexed,reduced,states,emerge,mauryan,empire,empire,thought,controlled,subcontinent,far,south,core,regions,thought,separated,large,autonomous,areas,mauryan,kings,known,empire,building,determined,management,public,life,ashokas,renunciation,militarism,far,flung,advocacy,buddhist,dhamma",0.00,india
