Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the indian army is the land based branch and the largest component of the indian armed forces the president of india is the supreme commander of the indian army and its professional head is the chief of army staff  who is a four star general two officers have been conferred with the rank of field marshal a five star rank which is a ceremonial position of great honour the indian army was formed in  alongside the long established presidency armies of the east india company which too were absorbed into it in  the princely states had their own armies which were merged into the national army after independence the units and regiments of the indian army have diverse histories and have participated in several battles and campaigns around the world earning many battle and theatre honours before and after independence
",indian army land based branch largest component indian armed forces president india supreme commander indian army professional head chief army staff star general officers conferred rank field marshal star rank ceremonial position great honour indian army formed alongside long established presidency armies east india company absorbed princely states armies merged national army independence units regiments indian army diverse histories participated battles campaigns world earning battle theatre honours independence,8.77,"indian,army,land,based,branch,largest,component,indian,armed,forces,president,india,supreme,commander,indian,army,professional,head,chief,army,staff,star,general,officers,conferred,rank,field,marshal,star,rank,ceremonial,position,great,honour,indian,army,formed,alongside,long,established,presidency,armies,east,india,company,absorbed,princely,states,armies,merged,national,army,independence,units,regiments,indian,army,diverse,histories,participated,battles,campaigns,world,earning,battle,theatre,honours,independence",0.00,indian
"the primary mission of the indian army is to ensure national security and national unity to defend the nation from external aggression and internal threats and to maintain peace and security within its borders it conducts humanitarian rescue operations during natural calamities and other disturbances such as operation surya hope and can also be requisitioned by the government to cope with internal threats it is a major component of national power alongside the indian navy and the indian air force the army has been involved in four wars with neighbouring pakistan and one with china other major operations undertaken by the army include operation vijay operation meghdoot and operation cactus the army has conducted large peacetime exercises such as operation brasstacks and exercise shoorveer and it has also been an active participant in numerous united nations peacekeeping missions including those in cyprus lebanon congo angola cambodia vietnam namibia el salvador liberia mozambique south sudan and somalia
",primary mission indian army ensure national security national unity defend nation external aggression internal threats maintain peace security borders conducts humanitarian rescue operations natural calamities disturbances operation surya hope requisitioned government cope internal threats major component national power alongside indian navy indian air force army involved wars neighbouring pakistan china major operations undertaken army include operation vijay operation meghdoot operation cactus army conducted large peacetime exercises operation brasstacks exercise shoorveer active participant numerous united nations peacekeeping missions including cyprus lebanon congo angola cambodia vietnam namibia el salvador liberia mozambique south sudan somalia,6.29,"primary,mission,indian,army,ensure,national,security,national,unity,defend,nation,external,aggression,internal,threats,maintain,peace,security,borders,conducts,humanitarian,rescue,operations,natural,calamities,disturbances,operation,surya,hope,requisitioned,government,cope,internal,threats,major,component,national,power,alongside,indian,navy,indian,air,force,army,involved,wars,neighbouring,pakistan,china,major,operations,undertaken,army,include,operation,vijay,operation,meghdoot,operation,cactus,army,conducted,large,peacetime,exercises,operation,brasstacks,exercise,shoorveer,active,participant,numerous,united,nations,peacekeeping,missions,including,cyprus,lebanon,congo,angola,cambodia,vietnam,namibia,el,salvador,liberia,mozambique,south,sudan,somalia",0.00,indian
"the indian army is operationally and geographically divided into seven commands with the basic field formation being a division below the division level are permanent regiments that are responsible for their own recruiting and training the army is an all volunteer force and comprises more than  of the countrys active defence personnel it is the largest standing army in the world with   active troops and  reserve troops the army has embarked on an infantry modernisation program known as futuristic infantry soldier as a system  and is also upgrading and acquiring new assets for its armoured artillery and aviation branches
",indian army operationally geographically divided seven commands basic field formation division division level permanent regiments responsible recruiting training army volunteer force comprises countrys active defence personnel largest standing army world active troops reserve troops army embarked infantry modernisation program known futuristic infantry soldier system upgrading acquiring new assets armoured artillery aviation branches,7.48,"indian,army,operationally,geographically,divided,seven,commands,basic,field,formation,division,division,level,permanent,regiments,responsible,recruiting,training,army,volunteer,force,comprises,countrys,active,defence,personnel,largest,standing,army,world,active,troops,reserve,troops,army,embarked,infantry,modernisation,program,known,futuristic,infantry,soldier,system,upgrading,acquiring,new,assets,armoured,artillery,aviation,branches",0.00,indian
"until the independence of india the indian army was a british commanded force defined as the force recruited locally and permanently based in india together with its expatriate british officers the british army in india referred to british army units posted to india for a tour of duty the army of india meant the combined indian army and the british army in india
",independence india indian army british commanded force defined force recruited locally permanently based india expatriate british officers british army india referred british army units posted india tour duty army india meant combined indian army british army india,7.12,"independence,india,indian,army,british,commanded,force,defined,force,recruited,locally,permanently,based,india,expatriate,british,officers,british,army,india,referred,british,army,units,posted,india,tour,duty,army,india,meant,combined,indian,army,british,army,india",0.00,indian
"with the charter act of  the secretariat of the government of the east india company was reorganised into four departments including a military department the army in the presidencies of bengal bombay and madras functioned as respective presidency armies until  april  when they were unified into a single force known as the indian army for administrative convenience it was divided into four commands namely punjab  bengal madras  and bombay 
",charter act secretariat government east india company reorganised departments including military department army presidencies bengal bombay madras functioned respective presidency armies april unified single force known indian army administrative convenience divided commands punjab bengal madras bombay,7.43,"charter,act,secretariat,government,east,india,company,reorganised,departments,including,military,department,army,presidencies,bengal,bombay,madras,functioned,respective,presidency,armies,april,unified,single,force,known,indian,army,administrative,convenience,divided,commands,punjab,bengal,madras,bombay",0.00,indian
"the british indian army was a critical force for maintaining the primacy of the british empire both in india and throughout the world besides maintaining the internal security of the british raj the army fought in many other theatres the anglo burmese wars the first and second anglo sikh wars the first second and third anglo afghan wars the first and second opium wars and the boxer rebellion in china and in abyssinia
",british indian army critical force maintaining primacy british empire india world maintaining internal security british raj army fought theatres anglo burmese wars second anglo sikh wars second anglo afghan wars second opium wars boxer rebellion china abyssinia,8.55,"british,indian,army,critical,force,maintaining,primacy,british,empire,india,world,maintaining,internal,security,british,raj,army,fought,theatres,anglo,burmese,wars,second,anglo,sikh,wars,second,anglo,afghan,wars,second,opium,wars,boxer,rebellion,china,abyssinia",0.00,indian
"the kitchener reforms brought the british army to a new century in the th century the british indian army was a crucial adjunct to british forces in both world wars  million indian soldiers served in world war i  with the allies in which  indian troops were killed or missing in action in  there was a mutiny by indian soldiers in singapore the united kingdom made promises of self governance to the indian national congress in return for its support but reneged on them after the war following which the indian independence movement gained strength
",kitchener reforms brought british army new century th century british indian army crucial adjunct british forces world wars million indian soldiers served world war allies indian troops killed missing action mutiny indian soldiers singapore united kingdom promises self governance indian national congress return support reneged war following indian independence movement gained strength,7.64,"kitchener,reforms,brought,british,army,new,century,th,century,british,indian,army,crucial,adjunct,british,forces,world,wars,million,indian,soldiers,served,world,war,allies,indian,troops,killed,missing,action,mutiny,indian,soldiers,singapore,united,kingdom,promises,self,governance,indian,national,congress,return,support,reneged,war,following,indian,independence,movement,gained,strength",0.00,indian
"the indianisation of the british indian army began with the formation of the prince of wales royal indian military college at dehradun in march  to provide education to the scions of aristocratic and well to do indian families and to prepare selected indian boys for admission into the royal military college sandhurst cadets were given a kings commission after passing out and were posted to one of the eight units selected for indianisation because of the slow pace of indianisation with just  officers being commissioned between  and  political pressure was applied leading to the formation of the indian military academy in  and greater numbers of officers of indian origin being commissioned on the eve of world war ii the officer corps consisted of roughly  indians holding regular commissions against approximately  british officers
",indianisation british indian army began formation prince wales royal indian military college dehradun march provide education scions aristocratic indian families prepare selected indian boys admission royal military college sandhurst cadets given kings commission passing posted units selected indianisation slow pace indianisation officers commissioned political pressure applied leading formation indian military academy greater numbers officers indian origin commissioned eve world war ii officer corps consisted roughly indians holding regular commissions approximately british officers,7.14,"indianisation,british,indian,army,began,formation,prince,wales,royal,indian,military,college,dehradun,march,provide,education,scions,aristocratic,indian,families,prepare,selected,indian,boys,admission,royal,military,college,sandhurst,cadets,given,kings,commission,passing,posted,units,selected,indianisation,slow,pace,indianisation,officers,commissioned,political,pressure,applied,leading,formation,indian,military,academy,greater,numbers,officers,indian,origin,commissioned,eve,world,war,ii,officer,corps,consisted,roughly,indians,holding,regular,commissions,approximately,british,officers",0.00,indian
"in world war ii indian soldiers fought alongside the allies in  british officials had no plan for expansion and training of indian forces which comprised about  men  whose mission was internal security and defence against a possible soviet threat through afghanistan as the war progressed the size and role of the indian army expanded dramatically and troops were sent to battlefronts as soon as possible the most serious problem was the lack of equipment indian units served in burma wherein  five indian divisions were engaged along with one british and three african divisions even larger numbers operated in the middle east some  indian soldiers died in the war by the end of the war it had become the largest volunteer army in history rising to over  million men in august 
",world war ii indian soldiers fought alongside allies british officials plan expansion training indian forces comprised men mission internal security defence possible soviet threat afghanistan war progressed size role indian army expanded dramatically troops sent battlefronts soon possible problem lack equipment indian units served burma indian divisions engaged british african divisions larger numbers operated middle east indian soldiers died war end war largest volunteer army history rising million men august,7.70,"world,war,ii,indian,soldiers,fought,alongside,allies,british,officials,plan,expansion,training,indian,forces,comprised,men,mission,internal,security,defence,possible,soviet,threat,afghanistan,war,progressed,size,role,indian,army,expanded,dramatically,troops,sent,battlefronts,soon,possible,problem,lack,equipment,indian,units,served,burma,indian,divisions,engaged,british,african,divisions,larger,numbers,operated,middle,east,indian,soldiers,died,war,end,war,largest,volunteer,army,history,rising,million,men,august",0.00,indian
"in the african and middle east campaigns captured indian troops were given a choice to join the german army to eventually liberate india from great britain instead of being sent to pow camps these men along with indian students who were in germany when the war broke out made up what was called the free india legion they were originally intended as pathfinders for german forces in asia but were soon sent to help guard the atlantic wall few who were part of the free india legion ever saw any combat and very few were ever stationed outside europe at its height the free india legion had over  troops in its ranks
",african middle east campaigns captured indian troops given choice join german army eventually liberate india great britain instead sent pow camps men indian students germany war broke called free india legion originally intended pathfinders german forces asia soon sent help guard atlantic wall free india legion saw combat stationed outside europe height free india legion troops ranks,8.93,"african,middle,east,campaigns,captured,indian,troops,given,choice,join,german,army,eventually,liberate,india,great,britain,instead,sent,pow,camps,men,indian,students,germany,war,broke,called,free,india,legion,originally,intended,pathfinders,german,forces,asia,soon,sent,help,guard,atlantic,wall,free,india,legion,saw,combat,stationed,outside,europe,height,free,india,legion,troops,ranks",0.00,indian
"indian pows also joined the indian national army which was allied with the empire of japan it was raised by a former colonel of the british indian army general mohan singh but was later led by subhas chandra bose and rash bihari bose with the fall of singapore in  about  indian soldiers were captured when given the choice over  joined the indian national army those who refused became pows and were mostly shipped to new guinea after initial success this army was defeated along with the japanese but it had a huge impact on the indian independence movement
",indian pows joined indian national army allied empire japan raised colonel british indian army general mohan singh later led subhas chandra bose rash bihari bose fall singapore indian soldiers captured given choice joined indian national army refused pows shipped new guinea initial success army defeated japanese huge impact indian independence movement,8.39,"indian,pows,joined,indian,national,army,allied,empire,japan,raised,colonel,british,indian,army,general,mohan,singh,later,led,subhas,chandra,bose,rash,bihari,bose,fall,singapore,indian,soldiers,captured,given,choice,joined,indian,national,army,refused,pows,shipped,new,guinea,initial,success,army,defeated,japanese,huge,impact,indian,independence,movement",0.00,indian
"upon the partition of india and indian independence in  four of the ten gurkha regiments were transferred to the british army the rest of the british indian army was divided between the newly created nations of india and pakistan the punjab boundary force which had been formed to help police punjab during the partition period was disbanded headquarters delhi and the east punjab command were formed to administer the area
",partition india indian independence gurkha regiments transferred british army rest british indian army divided newly created nations india pakistan punjab boundary force formed help police punjab partition period disbanded headquarters delhi east punjab command formed administer area,7.78,"partition,india,indian,independence,gurkha,regiments,transferred,british,army,rest,british,indian,army,divided,newly,created,nations,india,pakistan,punjab,boundary,force,formed,help,police,punjab,partition,period,disbanded,headquarters,delhi,east,punjab,command,formed,administer,area",0.00,indian
"the departure of virtually all senior british officers following independence and their replacement by indian officers meant many of the latter held acting ranks several ranks above their substantive ones for instance s m shrinagesh the ground forces commander of indian forces during the first indo pak war of   was first an acting major general and then an acting lieutenant general during the conflict while holding the substantive rank of major and only received a substantive promotion to lieutenant colonel in august  gopal gurunath bewoor the future ninth coas was an acting colonel at his promotion to substantive major from substantive captain in  while future lieutenant general k p candeth was an acting brigadier  at the same time in april  the former viceroys commissioned officers  were re designated junior commissioned officers while the former kings commissioned indian officers  and indian commissioned officers  along with the former indian other ranks  were respectively re designated as officers and other ranks
",departure virtually senior british officers following independence replacement indian officers meant held acting ranks ranks substantive ones instance shrinagesh ground forces commander indian forces indo pak war acting major general acting lieutenant general conflict holding substantive rank major received substantive promotion lieutenant colonel august gopal gurunath bewoor future ninth coas acting colonel promotion substantive major substantive captain future lieutenant general k p candeth acting brigadier time april viceroys commissioned officers designated junior commissioned officers kings commissioned indian officers indian commissioned officers indian ranks respectively designated officers ranks,6.87,"departure,virtually,senior,british,officers,following,independence,replacement,indian,officers,meant,held,acting,ranks,ranks,substantive,ones,instance,shrinagesh,ground,forces,commander,indian,forces,indo,pak,war,acting,major,general,acting,lieutenant,general,conflict,holding,substantive,rank,major,received,substantive,promotion,lieutenant,colonel,august,gopal,gurunath,bewoor,future,ninth,coas,acting,colonel,promotion,substantive,major,substantive,captain,future,lieutenant,general,k,p,candeth,acting,brigadier,time,april,viceroys,commissioned,officers,designated,junior,commissioned,officers,kings,commissioned,indian,officers,indian,commissioned,officers,indian,ranks,respectively,designated,officers,ranks",0.00,indian
"army day is celebrated on  january every year in india in recognition of lieutenant general k m cariappas taking over as the first commander in chief of the indian army from general sir francis butcher the last british commander in chief of india on  january  with effect from  january  the date india became a republic all active duty indian army officers formerly holding the kings commission were recommissioned and confirmed in their substantive ranks
",army day celebrated january year india recognition lieutenant general k cariappas taking commander chief indian army general sir francis butcher british commander chief india january effect january date india republic active duty indian army officers holding kings commission recommissioned confirmed substantive ranks,7.02,"army,day,celebrated,january,year,india,recognition,lieutenant,general,k,cariappas,taking,commander,chief,indian,army,general,sir,francis,butcher,british,commander,chief,india,january,effect,january,date,india,republic,active,duty,indian,army,officers,holding,kings,commission,recommissioned,confirmed,substantive,ranks",0.00,indian
"immediately after independence tensions between india and pakistan erupted into the first of three full scale wars between the two nations over the then princely state of kashmir the maharaja of kashmir wanted to have a standstill position since kashmir was a muslim majority state pakistan wanted to make kashmir a pakistani territory as a result pakistan invaded kashmir on  october  causing maharaja hari singh to look to india specifically to lord mountbatten of burma the governor general for help he signed the instrument of accession to india on  october  indian troops were airlifted to srinagar from dawn on  october this contingent included general thimayya who distinguished himself in the operation and in the years that followed became a chief of the indian army an intense war was waged across the state and former comrades found themselves fighting each other pakistan suffered significant losses its forces were stopped on the line formed which is now called the line of control citation needed
",immediately independence tensions india pakistan erupted scale wars nations princely state kashmir maharaja kashmir wanted standstill position kashmir muslim majority state pakistan wanted kashmir pakistani territory result pakistan invaded kashmir october causing maharaja hari singh look india specifically lord mountbatten burma governor general help signed instrument accession india october indian troops airlifted srinagar dawn october contingent included general thimayya distinguished operation years followed chief indian army intense war waged state comrades found fighting pakistan suffered significant losses forces stopped line formed called line control citation needed,7.52,"immediately,independence,tensions,india,pakistan,erupted,scale,wars,nations,princely,state,kashmir,maharaja,kashmir,wanted,standstill,position,kashmir,muslim,majority,state,pakistan,wanted,kashmir,pakistani,territory,result,pakistan,invaded,kashmir,october,causing,maharaja,hari,singh,look,india,specifically,lord,mountbatten,burma,governor,general,help,signed,instrument,accession,india,october,indian,troops,airlifted,srinagar,dawn,october,contingent,included,general,thimayya,distinguished,operation,years,followed,chief,indian,army,intense,war,waged,state,comrades,found,fighting,pakistan,suffered,significant,losses,forces,stopped,line,formed,called,line,control,citation,needed",0.00,indian
"an uneasy peace sponsored by the un returned by the end of  with indian and pakistani soldiers facing each other across the line of control which has since divided indian held kashmir from that part held by pakistan several un security council resolutions were passed with resolution  calling for a plebiscite to be held in kashmir to determine accession to india or pakistan only after pakistan withdrew its army from kashmir a precondition to the resolution was for pakistan and india to return to a state of as was before the conflict pakistan would withdraw all tribesmen and pakistani nationals brought in to fight in kashmir pakistan refused to pull back and there could be no further dialogue on fulfilling the un resolution tensions between india and pakistan largely over kashmir have never been eliminated
",uneasy peace sponsored un returned end indian pakistani soldiers facing line control divided indian held kashmir held pakistan un security council resolutions passed resolution calling plebiscite held kashmir determine accession india pakistan pakistan withdrew army kashmir precondition resolution pakistan india return state conflict pakistan withdraw tribesmen pakistani nationals brought fight kashmir pakistan refused pull dialogue fulfilling un resolution tensions india pakistan largely kashmir eliminated,8.70,"uneasy,peace,sponsored,un,returned,end,indian,pakistani,soldiers,facing,line,control,divided,indian,held,kashmir,held,pakistan,un,security,council,resolutions,passed,resolution,calling,plebiscite,held,kashmir,determine,accession,india,pakistan,pakistan,withdrew,army,kashmir,precondition,resolution,pakistan,india,return,state,conflict,pakistan,withdraw,tribesmen,pakistani,nationals,brought,fight,kashmir,pakistan,refused,pull,dialogue,fulfilling,un,resolution,tensions,india,pakistan,largely,kashmir,eliminated",0.00,indian
"after the partition of india hyderabad state a princely state under the rule of the nizam of hyderabad chose to remain independent the following stand off between the government of india and the nizam ended on  september  when indias then deputy prime minister sardar vallabhbhai patel ordered indian troops to secure hyderabad state during five days of fighting the indian army backed by an indian air force squadron of hawker tempest aircraft routed the hyderabad state forces five indian army infantry battalions and one armoured squadron were engaged in the operation the following day hyderabad was proclaimed part of india major general joyanto nath chaudhuri who led the operation and accepted the surrender of the nizams forces on  september  was appointed the military governor of hyderabad to restore law and order and served until 
",partition india hyderabad state princely state rule nizam hyderabad chose remain independent following stand government india nizam ended september indias deputy prime minister sardar vallabhbhai patel ordered indian troops secure hyderabad state days fighting indian army backed indian air force squadron hawker tempest aircraft routed hyderabad state forces indian army infantry battalions armoured squadron engaged operation following day hyderabad proclaimed india major general joyanto nath chaudhuri led operation accepted surrender nizams forces september appointed military governor hyderabad restore law order served,6.29,"partition,india,hyderabad,state,princely,state,rule,nizam,hyderabad,chose,remain,independent,following,stand,government,india,nizam,ended,september,indias,deputy,prime,minister,sardar,vallabhbhai,patel,ordered,indian,troops,secure,hyderabad,state,days,fighting,indian,army,backed,indian,air,force,squadron,hawker,tempest,aircraft,routed,hyderabad,state,forces,indian,army,infantry,battalions,armoured,squadron,engaged,operation,following,day,hyderabad,proclaimed,india,major,general,joyanto,nath,chaudhuri,led,operation,accepted,surrender,nizams,forces,september,appointed,military,governor,hyderabad,restore,law,order,served",0.00,indian
