Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"indians or indian people are the citizens and nationals of the republic of india according to the  indian national census the population of india stood at over  billion people making it the worlds second most populous country containing  percent of the global population in addition to the indian population the indian overseas diaspora also boasts large numbers particularly in the arab states of the persian gulf and the western world while the demonym indian applies to people originating from the present day republic of india it was also used as the identifying term for people originating from what is now pakistan and bangladesh prior to the partition of british india in 
",indians indian people citizens nationals republic india according indian national census population india stood billion people making worlds second populous country containing percent global population addition indian population indian overseas diaspora boasts large numbers particularly arab states persian gulf western world demonym indian applies people originating present day republic india identifying term people originating pakistan bangladesh prior partition british india,7.50,"indians,indian,people,citizens,nationals,republic,india,according,indian,national,census,population,india,stood,billion,people,making,worlds,second,populous,country,containing,percent,global,population,addition,indian,population,indian,overseas,diaspora,boasts,large,numbers,particularly,arab,states,persian,gulf,western,world,demonym,indian,applies,people,originating,present,day,republic,india,identifying,term,people,originating,pakistan,bangladesh,prior,partition,british,india",0.00,indian
"particularly in north america the terms asian indian and east indian are sometimes used to differentiate indians from the indigenous peoples of the americas although the misidentification of indigenous americans as indians occurred during the european colonization of the americas the term indian is still used as an identifier for indigenous populations in north america and the caribbean but very rarely now and are called indigenous amerindian and specifically first nations in canada and native american in the united states including in official discourse and in law
",particularly north america terms asian indian east indian differentiate indians indigenous peoples americas misidentification indigenous americans indians occurred european colonization americas term indian identifier indigenous populations north america caribbean rarely called indigenous amerindian specifically nations canada native american united states including official discourse law,7.52,"particularly,north,america,terms,asian,indian,east,indian,differentiate,indians,indigenous,peoples,americas,misidentification,indigenous,americans,indians,occurred,european,colonization,americas,term,indian,identifier,indigenous,populations,north,america,caribbean,rarely,called,indigenous,amerindian,specifically,nations,canada,native,american,united,states,including,official,discourse,law",0.00,indian
"the name bhrata has been used as a self ascribed name by people of the indian subcontinent and the republic of india since  the designation bhrata appears in the official sanskrit name of the country bhrata gaarjya the name is derived from the ancient vedic and puranas which refer to the land that comprises india as bhrata varam and uses this term to distinguish it from other varas or continents the bhratas were a vedic tribe mentioned in the rigveda notably participating in the battle of the ten kings india is named after legendary emperor bharata who was a descendant of the bhratas tribe scion of kuru dynasty who unified the indian subcontinent under one realm
",bhrata self ascribed people indian subcontinent republic india designation bhrata appears official sanskrit country bhrata gaarjya derived ancient vedic puranas refer land comprises india bhrata varam uses term distinguish varas continents bhratas vedic tribe mentioned rigveda notably participating battle kings india named legendary emperor bharata descendant bhratas tribe scion kuru dynasty unified indian subcontinent realm,9.09,"bhrata,self,ascribed,people,indian,subcontinent,republic,india,designation,bhrata,appears,official,sanskrit,country,bhrata,gaarjya,derived,ancient,vedic,puranas,refer,land,comprises,india,bhrata,varam,uses,term,distinguish,varas,continents,bhratas,vedic,tribe,mentioned,rigveda,notably,participating,battle,kings,india,named,legendary,emperor,bharata,descendant,bhratas,tribe,scion,kuru,dynasty,unified,indian,subcontinent,realm",0.00,indian
"while the word indian and india is derived from greek   via latin india inda in koine greek denoted the region beyond the indus  river since herodotus     h indik chr the indian land  indos an indian from old persian hindu and medieval term hindustani the name is derived ultimately from sindhu the sanskrit name of the river indus but also meaning river generically
",word indian india derived greek latin india inda koine greek denoted region indus river herodotus h indik chr indian land indos indian old persian hindu medieval term hindustani derived ultimately sindhu sanskrit river indus meaning river generically,6.81,"word,indian,india,derived,greek,latin,india,inda,koine,greek,denoted,region,indus,river,herodotus,h,indik,chr,indian,land,indos,indian,old,persian,hindu,medieval,term,hindustani,derived,ultimately,sindhu,sanskrit,river,indus,meaning,river,generically",0.00,indian
"the history of india includes the prehistoric settlements and societies in the indian subcontinent the blending of the indus valley civilization and indo aryan culture into the vedic civilization the development of hinduism as a synthesis of various indian cultures and traditions the rise of sixteen oligarchic republics known as mahajanapadas the rise of the ramaa movement the birth of jainism and buddhism in the th century bce and the onset of a succession of powerful dynasties and empires for more than two millennia throughout various geographic areas of the subcontinent including the growth of muslim dynasties during the medieval period intertwined with hindu powers the advent of european traders resulting in the establishment of british india and the subsequent independence movement that led to the partition of india and the creation of the republic of india
",history india includes prehistoric settlements societies indian subcontinent blending indus valley civilization indo aryan culture vedic civilization development hinduism synthesis indian cultures traditions rise sixteen oligarchic republics known mahajanapadas rise ramaa movement birth jainism buddhism th centurybce onset succession powerful dynasties empires millennia geographic areas subcontinent including growth muslim dynasties medieval period intertwined hindu powers advent european traders resulting establishment british india subsequent independence movement led partition india creation republic india,7.43,"history,india,includes,prehistoric,settlements,societies,indian,subcontinent,blending,indus,valley,civilization,indo,aryan,culture,vedic,civilization,development,hinduism,synthesis,indian,cultures,traditions,rise,sixteen,oligarchic,republics,known,mahajanapadas,rise,ramaa,movement,birth,jainism,buddhism,th,centurybce,onset,succession,powerful,dynasties,empires,millennia,geographic,areas,subcontinent,including,growth,muslim,dynasties,medieval,period,intertwined,hindu,powers,advent,european,traders,resulting,establishment,british,india,subsequent,independence,movement,led,partition,india,creation,republic,india",0.00,indian
"the indian people established during the ancient and medieval periods to the early eighteenth century some of the greatest empires and dynasties in south asian history like the maurya empire satavahana dynasty gupta empire rashtrakuta dynasty chalukya empire chola empire karkota empire pala empire vijayanagara empire delhi sultanate mughal empire maratha empire and sikh empire the first great empire of the indian people was the maurya empire having patliputra as its capital conquered the major part of south asia in the th and rd centuries because during the reign of the indian emperors chandragupta maurya and ashoka alongside their senior advisor acharya chanakya the worlds pioneer of the fields of political science and economics the next great ancient empire of the indian people was the gupta empire this period witnessing a hindu religious and intellectual resurgence is known as the classical or golden age of india during this period aspects of indian civilisation administration culture and hinduism and buddhism spread to much of asia while the chola empire in the south had flourishing maritime trade links with the roman empire during this period the ancient indian mathematicians aryabhata bhskara i and brahmagupta invented the concept of zero and the hinduarabic numeral system decimal system during this period during this period indian cultural influence spread over many parts of southeast asia which led to the establishment of indianized kingdoms in southeast asia
",indian people established ancient medieval periods early eighteenth century greatest empires dynasties south asian history like maurya empire satavahana dynasty gupta empire rashtrakuta dynasty chalukya empire chola empire karkota empire pala empire vijayanagara empire delhi sultanate mughal empire maratha empire sikh empire great empire indian people maurya empire patliputra capital conquered major south asia th rd centuries reign indian emperors chandragupta maurya ashoka alongside senior advisor acharya chanakya worlds pioneer fields political science economics great ancient empire indian people gupta empire period witnessing hindu religious intellectual resurgence known classical golden age india period aspects indian civilisation administration culture hinduism buddhism spread asia chola empire south flourishing maritime trade links roman empire period ancient indian mathematicians aryabhata bhskara brahmagupta invented concept zero hinduarabic numeral system decimal system period period indian cultural influence spread parts southeast asia led establishment indianized kingdoms southeast asia,6.03,"indian,people,established,ancient,medieval,periods,early,eighteenth,century,greatest,empires,dynasties,south,asian,history,like,maurya,empire,satavahana,dynasty,gupta,empire,rashtrakuta,dynasty,chalukya,empire,chola,empire,karkota,empire,pala,empire,vijayanagara,empire,delhi,sultanate,mughal,empire,maratha,empire,sikh,empire,great,empire,indian,people,maurya,empire,patliputra,capital,conquered,major,south,asia,th,rd,centuries,reign,indian,emperors,chandragupta,maurya,ashoka,alongside,senior,advisor,acharya,chanakya,worlds,pioneer,fields,political,science,economics,great,ancient,empire,indian,people,gupta,empire,period,witnessing,hindu,religious,intellectual,resurgence,known,classical,golden,age,india,period,aspects,indian,civilisation,administration,culture,hinduism,buddhism,spread,asia,chola,empire,south,flourishing,maritime,trade,links,roman,empire,period,ancient,indian,mathematicians,aryabhata,bhskara,brahmagupta,invented,concept,zero,hinduarabic,numeral,system,decimal,system,period,period,indian,cultural,influence,spread,parts,southeast,asia,led,establishment,indianized,kingdoms,southeast,asia",0.00,indian
"during the early medieval period the great rashtrakuta dynasty governed most of the indian subcontinent from the th to th centuries and the indian emperor amoghavarsha of the rashtrakuta dynasty was described by the arab traveller sulaiman as one of the four great kings of the world the medieval south indian mathematician mahvra lived in the rashtrakuta dynasty and was the first indian mathematician who separated astrology from mathematics and who wrote the earliest indian text entirely devoted to mathematics the greatest maritime empire of the medieval indians was the chola dynasty under the great indian emperors rajaraja chola i and his successor rajendra chola i the chola dynasty became a military economic and cultural power in south asia and south east asia the power of the chola empire was proclaimed to the eastern world by the expedition to the ganges which rajendra chola i undertook and by the occupation of cities of the maritime empire of srivijaya in southeast asia as well as by the repeated embassies to china
",early medieval period great rashtrakuta dynasty governed indian subcontinent th th centuries indian emperor amoghavarsha rashtrakuta dynasty described arab traveller sulaiman great kings world medieval south indian mathematician mahvra lived rashtrakuta dynasty indian mathematician separated astrology mathematics wrote earliest indian text entirely devoted mathematics greatest maritime empire medieval indians chola dynasty great indian emperors rajaraja chola successor rajendra chola chola dynasty military economic cultural power south asia south east asia power chola empire proclaimed eastern world expedition ganges rajendra chola undertook occupation cities maritime empire srivijaya southeast asia repeated embassies china,7.63,"early,medieval,period,great,rashtrakuta,dynasty,governed,indian,subcontinent,th,th,centuries,indian,emperor,amoghavarsha,rashtrakuta,dynasty,described,arab,traveller,sulaiman,great,kings,world,medieval,south,indian,mathematician,mahvra,lived,rashtrakuta,dynasty,indian,mathematician,separated,astrology,mathematics,wrote,earliest,indian,text,entirely,devoted,mathematics,greatest,maritime,empire,medieval,indians,chola,dynasty,great,indian,emperors,rajaraja,chola,successor,rajendra,chola,chola,dynasty,military,economic,cultural,power,south,asia,south,east,asia,power,chola,empire,proclaimed,eastern,world,expedition,ganges,rajendra,chola,undertook,occupation,cities,maritime,empire,srivijaya,southeast,asia,repeated,embassies,china",0.00,indian
"during the late medieval period the great vijayanagara empire ruled most of southern india from the th to th centuries and reached its peak during the reign of the south indian emperor sri krishnadevaraya the medieval kerala school of astronomy and mathematics flourished during this period under such well known south indian mathematicians as madhava  who made important contributions to trigonometry and calculus and nilakhanta  who postulated on the orbitals of planets
",late medieval period great vijayanagara empire ruled southern india th th centuries reached peak reign south indian emperor sri krishnadevaraya medieval kerala school astronomy mathematics flourished period known south indian mathematicians madhava important contributions trigonometry calculus nilakhanta postulated orbitals planets,6.77,"late,medieval,period,great,vijayanagara,empire,ruled,southern,india,th,th,centuries,reached,peak,reign,south,indian,emperor,sri,krishnadevaraya,medieval,kerala,school,astronomy,mathematics,flourished,period,known,south,indian,mathematicians,madhava,important,contributions,trigonometry,calculus,nilakhanta,postulated,orbitals,planets",0.00,indian
"the mughal empire consolidated much of the indian sub continent under a single realm under the mughals india developed a strong and stable economy leading to commercial expansion and greater patronage of culture greatly influencing indian society the mughal empire balanced and pacified local societies through new administrative practices and had diverse and inclusive ruling elites leading to more systematic centralised and uniform rule newly coherent social groups in northern and western india such as the marathas the rajputs the pathans the jats and the sikhs gained military and governing ambitions during mughal rule which through collaboration or adversity gave them both recognition and military experience
",mughal empire consolidated indian sub continent single realm mughals india developed strong stable economy leading commercial expansion greater patronage culture greatly influencing indian society mughal empire balanced pacified local societies new administrative practices diverse inclusive ruling elites leading systematic centralised uniform rule newly coherent social groups northern western india marathas rajputs pathans jats sikhs gained military governing ambitions mughal rule collaboration adversity gave recognition military experience,5.57,"mughal,empire,consolidated,indian,sub,continent,single,realm,mughals,india,developed,strong,stable,economy,leading,commercial,expansion,greater,patronage,culture,greatly,influencing,indian,society,mughal,empire,balanced,pacified,local,societies,new,administrative,practices,diverse,inclusive,ruling,elites,leading,systematic,centralised,uniform,rule,newly,coherent,social,groups,northern,western,india,marathas,rajputs,pathans,jats,sikhs,gained,military,governing,ambitions,mughal,rule,collaboration,adversity,gave,recognition,military,experience",0.00,indian
"the decline of mughal empire and maratha empire from the late th century to the mid th century lead to large areas of india being annexed by the british east india company of the british empire and witnessed a period of rapid development of infrastructure economic decline and major famines during the first half of the th century a nationwide struggle for indian independence movement was launched the indian subcontinent gained independence from the united kingdom in  after the british provinces were partitioned into the dominions of india and pakistan and the princely states all acceded to one of the new states
",decline mughal empire maratha empire late th century mid th century lead large areas india annexed british east india company british empire witnessed period rapid development infrastructure economic decline major famines half th century nationwide struggle indian independence movement launched indian subcontinent gained independence united kingdom british provinces partitioned dominions india pakistan princely states acceded new states,7.28,"decline,mughal,empire,maratha,empire,late,th,century,mid,th,century,lead,large,areas,india,annexed,british,east,india,company,british,empire,witnessed,period,rapid,development,infrastructure,economic,decline,major,famines,half,th,century,nationwide,struggle,indian,independence,movement,launched,indian,subcontinent,gained,independence,united,kingdom,british,provinces,partitioned,dominions,india,pakistan,princely,states,acceded,new,states",0.00,indian
